PS No & Name,Address,Constituency Number
1 - Sherval (Khalacha Kond),Z.P. Purn Prathmik Adarsh Shala Sherval No.1 Dakshinekadil Kholi No.2,265
2 - Dayal,Z.P. Purn Prathmik Marathi Shala Dayal No.1 Purvekadil Kholi No.2,265
3 - Nandgav Diwalewadi,Z.P. Purn Prathmik Marathi Shala Nandgav No.1 Purvekadil Kholi No.3,265
4 - Nandgav Mohalla,Z.P. Prathmik Urdu Shala Nandgav Mohalla Purvekadil Kholi No.1,265
5 - Khari,Z.P. Prathmik Marathi Shala Khari Pashchimekadil Kholi No.1,265
6 - Koregav,Z.P. Kendriy Prathmik Shala Koregav No.1 Uttarekadil Kholi No.3,265
7 - Sanglat,Z.P. Purn Prathmik Urdu Shala Sanglat Uttarekadil Kholi No.1,265
8 - Sanglat,Z.P. Prathmik Marathi Shala Sanglat (Sapati Shala),265
9 - Karji,Adarsh High School & Junior College Karji Purvekadil Kholi No.1,265
10 - Karji Amashet,Z.P. Prathmik Urdu Shala Aamshet Pashchimekadil Kholi No.1,265
11 - Shirshi (Rajvel),Z. P. Prathmik Urdu Shala Rajvel,265
12 - Shirshi,Z.P.Purn Prathamik Shala Shirshi Marathi Pashchimekadil Imaratimadhil Uttarekadil Kholi No.1,265
13 - Mumbake,Z.P. Purn Prathmik Urdu Shala Mumbake Dakshinekadil Kholi No.1,265
14 - Alsure,Z.P. Prathmik Shala Alsure Marathi Uttarekadil Kholi No.1,265
15 - Bhoste,Z.P. Purn Prathmik Shala Bhoste Virachiwadi Uttrekadil Kholi No.3,265
16 - Bhoste,Z.P. Purn Prathmik Shala Bhoste Virachiwadi Uttarekadil Kholi No.1,265
17 - Morwande,Z.P. Purn Prathmik Adarsh Kendriy Shala Jamburde Morwande Purvekadil Imarat Kholi No.1,265
18 - Morwande,Z.P. Purn Prathmik Shala Morwande (Sutarwadi & Kumbharwadi) Uttarekadil Kholi No.2,265
19 - Nilik,Z.P. Prathmik Marathi Shala Nilik,265
20 - Kondiwali,Z.P. Prathmik Urdu Shala Kondiwali Madhali Kholi No.2,265
21 - Shiv Bu. (Khotwadi),Z.P. Prathmik Urdu Shala Shiv Budruk (Muslim Mohalla),265
22 - Shiv Khurd,Z.P. Prathmik Marathi Shala Shiv Khurd (Kunabi) Purvekadil Kholi No.2,265
23 - Talghar,Z.P. Purn Prathmik Shala Talghar Marathi Pashchimekadil Kholi No.1,265
24 - Anaspure,Z.P. Purn Prathmik Marathi Shala Anaspure Dakshinekadil Kholi No.1,265
25 - Savnas (Mulgav),Z.P. Purn Prathmik Marathi Shala Savnas (Mulgav) Purvekadil Kholi No.2,265
26 - Savnas (Mohalla),Z.P. Purn Prathmik Kendriy Urdu Shala Savnas Pashchimekadil Kholi No.1,265
27 - Savnas,Z.P. Purn Prathmik Marathi Shala Savnas Bauddhwadi Dakshinekadil Kholi No.1,265
28 - Anjani,Jeevan Shikshan Vidya Mandir Z.P.Kendra Shala Anjani No.1 Pashchimekadil Kholi No.1,265
29 - Anjani,Z.P. Prathmik Marathi Shala Anjani Dhakarwadi Dakshinekadil Kholi No.1,265
30 - Ashti,Z.P. Purn Prathmik Urdu Shala Ashti Purvekadil Kholi No.1,265
31 - Boraj,Z.P. Purn Prathmik Shala Nigade Boraj No.1 Pashchimekadil Kholi No.1,265
32 - Dabhil,Z.P. Prathmik Shala Dabhil Mal Dakshinekadil Kholi No.1,265
33 - Lavel,Z.P. Prathmik Adarsh Kendriy Shala Lavel No.1 Uttarekadil Kholi No.2,265
34 - Lavel,Z.P. Prathmik Adarsh Kendriy Shala Lavel No.1 Dakshinekadil Kholi No.1,265
35 - Asagani,Z.P. Purn Prathmik Shala Asagani Marathi No.1 Uttarekadil Kholi No.1,265
36 - Asagani,Z.P. Purn Prathmik Shala Asagani No.2 Uttarekadil kholi No.1,265
37 - Satvingav (Deulwadi),Z.P. Prathmik Marathi Shala Satvingav (Deulwadi) Uttarekadil Kholi No.1,265
38 - Mete,Z.P. Prathmik Shala Mete Patilwadi Purvekadil Kholi No.1,265
39 - Tumbad,Z.P. Purn Prathmik Shala Tumbad Marathi Uttarekadil Kholi No.1,265
40 - Hodkhad,Z.P. Purn Prathmik Marathi Shala Hodkhad (Pashchimekadil Kholi No.1 ),265
41 - Panhalaje,Anjuman Khairul Islam Urdu High School Panhalaje,265
42 - Panhalaje,Z.P. Prathmik Shala Patilwadi Purvekadil Kholi No.3,265
43 - Gangrai,Z.P. Purn Primary School Gangrai No. 1,265
44 - Donavali,Jilhaparishad Urdu School Donavali room no 1,265
45 - Donavali,Z.P. Marathi School Donavali ( Bamanevadi ) room no 1,265
46 - Chiveli,Z.P Marathi School Chiveli Bandar Vithevadi room no 1,265
47 - Lonari Bandar,Z.P. Urdu School Chiveli Bandar room no 1,265
48 - Bamanoli,Z.P. Purn Primary Marathi School Bamanoli No. 1 room no 1,265
49 - Vaghivare,Z.P. Purn Primary Marathi Schoolha Vaghivare Kadamavadi,265
50 - Vaghivare,Kendriy Urdu School Vaghivare Mohalla No. 1 room no 1,265
51 - Vadad,Z.P.P. Primary Marathi School Vadad No. 1 Room No. 1,265
52 - Dafalewadi,Z.P. Primary Marathi School Parchuri No. 2 Dafalewadi Uttarekadil Room No. 2,265
53 - Parchuri,Z.P. Ratnagiri Primary Marathi School Parchuri No. 1 Dakshinekadil Room No. 2,265
54 - Pangari T. Haveli,Z.P. P. Primary Urdu School Pangari T. Haveli Uttarekadil Room No. 2,265
55 - Pangari T. Haveli - Sadewadi,Z.P. Primary School Pangari Sadewadi Room no.1,265
56 - Visapur,Z.P. P. Primary School Visapur new Building Room No.1,265
57 - Karul,Z.P. Central School Karul Room No.1,265
58 - Talavali,Talavali Bauddhawadi Anganwadi,265
59 - Talavali,Z.P. Primary Marathi School Talavali No. 2 Purvekadil Room No. 2,265
60 - Talavali,Z.P. Primary Marathi School Talavali Agarwadi Dakshinekadil Room no. 1,265
61 - Khamshet,Z.P.P.Primary Marathi School Peve Khamshet No. 3 Dakshinekadil Room No. 1,265
62 - Kharyachakond,Z.P. Primary Marathi School Peve Kharekond Uttarekadil Room No.2,265
63 - Kumbharwadi Tarfe Palpene,Z.P. Primary School Palapene No. 1 Dakshinekadil Room No. 1,265
64 - Peve,Z.P. Primary Urdu School Peve Purvekadil Room No.1,265
65 - Nigundal,Z.P. Ratnagiri Primary Central School Nigundal No. 1 Dakshinekadil Room No.1,265
66 - Palpene,Z.P . Primary Marathi School Palapene No. 2 Dakshinekadil Room No.1,265
