PS No & Name,Address,Constituency Number
1 - Maldoli,Z. P. Primary Kendriy Marathi School Maldoli 1 (Room No.1),266
2 - Maladoli,Z. P. Primary Urdu School Maladoli Room No.1,266
3 - Karambavane,Z.P. Adrsha School Karambavane 1 Room No.1,266
4 - Ketki,Z.P. Primary Marathi School Ketki No. 1 Room No. 1,266
5 - Bhile,Z.P. Primary School Bhile Room No.1,266
6 - Majarekashi Chiplun,Z. P. Urdu School Majarekashi South side Room No. 1,266
7 - Parshuram,Z.P. Primary. School Parshuram No. 1 Room No. 1,266
8 - Pedhe Pankarwadi,Z.P. Primary. School. Pedhe (Panakaravadi ) Room No.1,266
9 - Pedhe Koshtewadi,Z.P. Primary. School. Pedhe (Koshtewadi ) Room No. 1,266
10 - Valope,Z.P. Primary Kendriy School Valope No.1 Room No.1,266
11 - Valope,Z.P. Primary Kendriy School Valope No.1 Room No.2,266
12 - Khandant,Purn Primary School. Khandant (punarvasan )navin Kolakevadi No. 1 Room No.1,266
13 - Pali,Z.P. Purn Primary School Khandatapali Room no.1,266
14 - Nirabade,Z.P. Purn Primary School Nirabade No. 1 Room No.1,266
15 - Moravane Bu.,Z.P. Purn Primary School Morvane No. 1 Room No.1,266
16 - Moravane,Z.P. Purn Primary Adrsha Kendra School. Morvane No. 2 Moravane Room No.1,266
17 - Akale,Z.P. Primary School. Akale No. 1 Room No.1,266
18 - Tivare,Z.P.Purn Primary School Tivare No. 1 (Gavathan) New Building Room No.1,266
19 - Tivare,Z.P. Primary School Tivare No. 2 Gangechivadi Kholi No.1,266
20 - Riktoli,Z.P.Purn Primary School Riktoli (deulavadi ) No.1 Room No.1,266
21 - Tivadi,Z.P. Purn Primary School. Tivadi no.1 (Ralevadi ) Room No.1,266
22 - Kadavad,Z.P. Primary School Kadavad No. 1 Room No.1,266
23 - Valoti,Z.P. Primary School. Valoti No. 1 southside Room No.1,266
24 - Dalavatane,Z.P. Purn Primary. School. Dalavatane No. 1 Room No.1,266
25 - Dalavatane,Purn Primary Marathi School Dalavatane No.1 Room No.2,266
26 - Kalambaste,Z.P. Purn Primary Adrsha School. Kalambaste Room No. 1,266
27 - Kalambaste,Z.P. Purn Primary Adrsha School. Kalambaste Room No. 2,266
28 - (Uktad ) Chiplun,Z.P. Purn Primary M. Vidyalay Uktad Chiplun No.1 Room No.1,266
29 - Pethamap Chiplun,Z.P. Marathi School. Pethamap Room No.1 (Southside Room),266
30 - Khend Chowki Chiplun,Z.P. Urdu School Pethamap Room No.6 Northside Room,266
31 - Pethmap Chiplun Khend Chowki,Z.P. Urdu Pethamap School (Notrhside Room No. 5),266
32 - Pethmap Chiplun Khend Chowki,Z.P. Urdu Pethamap School (Office Room),266
33 - Govalakot Chiplun,Khadeeja English Medium School Govalakot (West side Room No. 1),266
34 - Govalakot Chiplun,Khadeeja English Medium School Govalakot (West side Room No.2 ),266
35 - Govalakot Chiplun,Khadeeja English Medium School Govalakot (East side Room No.1 ),266
36 - Govalakot Chiplun,Z.P.Kendriy Primary School Govalkot Urdu School Govalakot Eastside Room No.4,266
37 - (Govalakot ) Chiplun,Z.P. Jeevan Shikshan Urdu Pu Primary School Govalakot Chiplun No.1 Room No.1,266
38 - Muradapur Chiplun,Chiplun Education Society Maharashtra High School Eastside Room 1,266
39 - Muradapur Chiplun,Chiplun Education Society Maharashtra High School Eastside Room No. 3,266
40 - Desai Mohalla Chiplun,Chiplun Education Society Maharashtra High School Westside Room 1,266
41 - Vadanaka Chiplun,Mahila Mandal Chiplun Room No.1,266
42 - Kanya Shala Chiplun,Kanya School Chiplun Eastside Room 1,266
43 - Vadanaka Chiplun,Kanya Shala Chiplun Westside Room,266
44 - Chinchanaka Chiplun,Kanya shala Chiplun Room No. 4,266
45 - Markandi Chiplun,Uunayated English School Chiplun Navin Shishuvihar Gyandeep Eastside Room No. 3,266
46 - Markandi Chiplun,Uunayated English School Chiplun Navin Shishuvihar Gyandeep Eastside Room No. 4,266
