PS No & Name,Address,Constituency Number
1 - Choravane,Z. P. School Choravne (Room No.1),267
2 - Chafavali,Ratnagiri Z . P . Purna Prathamik School Chafavali (Room No. 1),267
3 - Devale,Z . P . Purna Prathamik School Devale no 1 Room No 1,267
4 - Devale,Z . P . Purna Prathamik School Devale no 1 Room no. 2,267
5 - Meghi,Z . P . Purna Prathamik School Meghi ( Room No. 1),267
6 - Kankadi,Z . P . Purn Prathamik School Kanakadi Gotadwadi ( Room No. 1),267
7 - Kankadi,Z . P . Prathamik . School Kanakadi (Room No .1),267
8 - Kondgaon,"Jeevan shikshan vidhyamandir Sakharpa No.1 Bajarpeth, kondagaon, north side bulding ( Room No 2 )",267
9 - Kondgaon,"Z . P . Padma Kanyaschool Sakharapa Bajarapeth, east side bulding, (Room No. 2)",267
10 - Kondgaon,"Ratnagiri Z . P . Kanyaschool Sakharapa Bajarapeth, south side Room No. 3",267
11 - Sakharapa,"Mahatma Gandi Vidhyaly sakharpa, east side Room No. 2",267
12 - Sakharapa,"Z.P. Purna prathamik Kendra School Sakharapa, No.2 (east side Room No.3)",267
13 - Murshi,Z.P. Prathamik Marathi School Murshi No.1 (east side Room No.1),267
14 - Bhadkamba,Z . P. School Bhadkamba Peth (Room No 1),267
15 - Bhadakamba,Z . P. School Bhadkhambea Peth Room No 2,267
16 - Purye Tarfe Devale,Z. P. Purna Prathamik school Purye Tarfe Devale,267
17 - Tivare Tarfe Devale,Z. P. Purna Prathamika School Tivare Tarfe Devale Room No.2,267
18 - Dabhole,Z.P . Praa. School Dabhole Sukamvadi No.3 (Room No 1),267
19 - Dabhole,Z.P.Kendra School Dabhole No.2 ( east side bulding Room No 1),267
20 - Dabhole,Z.P. Kendra School Dabhole No.2 (east side Room No 2),267
21 - Dabhole Khurd,Z.P.Purna Prathamik School Dabhole No.1 (west side Room No. 1),267
22 - Dabhole Khurd,Zila Parishad purna Prathamik School Dabhole Khurd Boudhawadi ( Room No 1),267
23 - Karanjari,Z. P .Prathamik marathi School karanjari (south side bulding Room No 1),267
24 - Ghativale,"Z. P. Purna Prathamik school Ghativale Bramhanwadi, Room No.1",267
25 - Borivale,"Z.P, school Borivale west side bulding, (south side Room No. . 1",267
26 - Salpe,"Z.P.Purna. Prathmik school No. 1 Salape, west side bulding new bulding south side Room",267
27 - Kochari,Z.P.Prathamik Kochari Sutaravadi(New) ( Room no. 1),267
28 - Kochari,Z.P.Purna Prathamik School Kochari No. 1 ( Room No. 1),267
29 - Kirabet,Z.P.Purna Prathamik School kirbet (North side Room No. 1),267
30 - Bhovade,Z. P. Prathamik School Bhovade Marathwadi Room No. 2,267
31 - Devde,Z. P. Purn Prathamik School Devde No 1 ( Room No.4),267
32 - Machal,"Z.P.School machal,west side Room No.2",267
33 - Chinchurti,Z.P.Prathamik School Humbaravane Wadi (Room No. 2),267
34 - Kelavali,Z.P Praa. School Salape No. 2 (Kelavali) Room No. 1),267
35 - Shiposhi Baingaon,Z.P. purna Prathamik. School Shiposhi No. 1 east side bulding (north side Room ),267
36 - Shiposhi,Z.P.Purna. Pra. School Shiposhi No. 2 East side Building (Room No. 1),267
37 - Kurchumb,Z.P.Purna Praa. School Kurachumb No. 1 (Room No. 2),267
38 - Talavade,Z.P.Pra. Kendriy School Talavade (Room No. 1),267
39 - Kangavali,Z.P.Purna prathamik . school Marathi Kanagavali east side Room No. . 2,267
40 - Nandivali,Z.P.Pra. School Nandivali no. 1 ( Room No. 1),267
41 - Anjanari,Z.P.Purna Prathamik Marathi School Anjanari (Center Room),267
42 - Math,Z.P.Purna prathamik school Math west side bulding (south side Room No. 3),267
43 - Kadugaon,Z.P.Praa. School Math Kadugav (Room No.2),267
44 - Asode,Z.P.Purna Prathamik School Asode No.1 Center Room,267
45 - Nivsar,Z.P.Purna prathamik Urdu School Nivasar ( Mala ) Center Room,267
46 - Nivsar,"Z.P.Purna Prathmik School Nivasar No.1 Ghatakaravadi, West side Room",267
47 - Chafet,Z.P.purna prathamik School Chafet east side Room,267
48 - Kurne,Z.P.Purna prathamik School Kurne No.1 near by office,267
49 - Veral,Z.P.Purna prathamik school Veral ( prarthana Kaksh ),267
50 - Veral,Z.P.Purna Prathamik School Veral (Marathi) No. 1 ( Room No.3),267
51 - Manche,Z.P.Purna. Prathamik School Manache ( Devadhe ) No.3 Center Room,267
52 - Devdhe,Z.P.Purna Prathmik School Devadhe No. 1 west side Room No. 2,267
53 - Asage,Z.P.Purna Prathmik School Asage No.1 east side Room No. . 3,267
54 - Asage,Z.P.Purna Prathmik School Asage No. 2 south side Room No.1,267
55 - Adavali,Z.P.Pu. Praa.. School Adavali No.1 ( Room No. 2),267
56 - Hasol,Z.P.Marathi School Adavali Hasol center Room,267
57 - Kolhewadi,"Z.P.Purna Prathmik School Kolhewadi, east side Room No. 2",267
58 - Palu,Z.P.Purna Prathmik School Palu No.1 west side Room,267
59 - Khorninko,Z.P.Prathmik School Khoraninako west side Room No. 2,267
60 - Prabhanavalli,Z.P.Urdu School prabhanavali west side Room,267
61 - Prabhanavalli,Z.P.Purna Prathamik School No. 1 Ghonasevadi prabhanvalli west side Room,267
62 - Govil,Z.P.Purna Prathmik School Govil No. . 1 North side Room No. . 3,267
63 - Govil,Z.P.Purna Prathmik School Govil No. . 1 North side Room No. . 1,267
64 - Wadgaon,Z.P.Purna Prathmik School No. 1 Vadagaon center building east Room,267
65 - Beni Khurd,G. P . Purna Prathmik School Benikhurd east side Room,267
66 - Dhundare,Z.P.Purna Prathmik School Dhundare east side Room,267
67 - Dhundare,Z..P. Praa. School Kumbhar wadi (Room No.1),267
68 - Gavane,Z.P.Purna Prathmik Marathi school gavane Gavaliwadi west side Room,267
69 - Gavane,Z.P.Purna Prathmik Adarsh Kendra school Gavane No. . 1 west side Room,267
70 - Gavane,Z.P.Purna Prathmik Adarsh Kendra school Gavane No. 1 east side Room,267
71 - Punas,Z.P.Purna Prathmik school Punas Kaduwadi east side Room No. 2,267
72 - Punas,Z.P.Purna Prathmik school Punas Kaduwadi east side Room No. .4,267
73 - Upale,Z.P.Purna prathamik. Marathi school Upale east side Room no. 1,267
74 - Upale,"Z.P.Purna Prathmik Marathi school Upale No.1, Room No.3",267
75 - Agave,Z.P.Purna Prathmik school Agave No.1 North side Room No. 4,267
76 - Agave,Z.P.Purna Prathmik school Agave No. . 2 center Room,267
77 - wadilimbu,Z.P.Purna Prathmik school Vadilimbu No. 1 new building center Room,267
78 - Kot,Z.P.Purna Prathmik Saraswati Vidayamandir Kot No.1 south side Room No. . 2,267
79 - Agargaon Kot,Z.P.Praa. School Kot Agargav (Room No. 2),267
80 - Koldhe,Z.P.Purna Prathmik school Koladhe No. 1 near by office,267
81 - Kante,Z.P.Marathi school Kante south side Room,267
82 - Zapde,Z.P.Prathmik. school Zapade North side Room,267
83 - Lanja Agargaon,Z.P.Praa. School Lanja (Agargav) ( Room No. 2),267
84 - Lanja,"Alamin Urdu Highschool, Lanja ( Room no.1)",267
85 - Lanja,Z.P.Pu.Praa.School Lanja Urdu ( Room No. 1),267
86 - Lanja,Z.P.Pu.Prathamik Kendra School Lanja No. 1 ( Room No. 3),267
87 - Lanja,Z.P.Pu.Prathamik Kendra School Lanja No.1 (Room No. 4),267
