PS No & Name,Address,Constituency Number
1 - Vijaydurg,Z.P Purna Prathmik Shala No.1 (West) ),268
2 - Vijaydurg,Z.P Purna Prathmik Shala No. 1 (East ),268
3 - Rameshwar,Z.P Prathmik Shala Rameshwar,268
4 - Rameshwar Girye Kolwadi,Z.P Prathmik Shala Rameshwar Kolwadi,268
5 - Girye,Z.P Purna Prathmik Kendra Shala No.1 (South ),268
6 - Girye,Z.P Purna Prathmik Kendra Shala No. 1(North),268
7 - Bandegaon,Bhausaheb Lokegaonkar Vidyalay Girye,268
8 - Mohulgaon,"Z.P Prathamik shala Tirlot, Mohulgaon",268
9 - Thakurwadi,Z.P Prathamik Shala Thakurwadi Urdu,268
10 - Tirlot,Z.P Purn Prathamik Shala Tirlot Marathi (North),268
11 - Tirlot,Z.P Purn Prathamik Shala Tirlot Marathi (South),268
12 - Tirlot,Z.P Purn Prathamik Shala Tirlot Amberi,268
13 - Kasba Waghotan,Z.P Purn Prathamik Shala Kasba Waghotan,268
14 - Soundale ( Boulwadi ),Z.P Prathamik Shala Soundale (Boulwadi ),268
15 - Soundale,Z.P Prathamik Shala Soundale Gavthan.,268
16 - Soundale (Heldhewadi ),Z.PPrathamik Shala Soundale Heldewadi,268
17 - Padel,Zilla Parishad Prathamik Kendrashala Padel No. 1,268
18 - Padel,Shriram Madhyamik Vidhyamandir Padel,268
19 - Padel,Z.P. Prathamik Shala Padel Gavkarwadi,268
20 - Hurshi,Z.P. Purn Prathamik Shala Pural-Hurshi,268
21 - Kalambai,Z.P Purn Prathamik Shala Pural-Kalambai,268
22 - Pural,Purn Prathamik shala Pural Kasaba,268
23 - Phanase,Purn Prathamik Shala Phanase,268
24 - Wada,Anant Krushna Kelkar High school Wada (East),268
25 - Wada,Anant Krushna Kelkar High school Wade (West),268
26 - Nadan,Z.P Purna Prathamik shala Nadan No.1,268
27 - Nadan,Gram Panchayat Karyalay Nadan,268
28 - Malegaon,Purn Prathamik Shala Malegaon Zarkarwadi,268
29 - Malegaon Veer Anbhavanewadi,Z.P. Purn Prathamik Shala Malegaon Anbhavnewadi,268
30 - Waghotan Sadewadi,Z.P Prathamik Shala Sade Waghotan,268
31 - Palekarwadi,Z.P.Purna Prathamik Shala Palekarwadi No.1,268
32 - Mutat,Z.P.Purna Prathamik Shala Mutat No. 1,268
33 - Mutat,Grampanchyat Karyalay Mutat,268
34 - Manche,Z.P Purn Prathamik Kendrashala Manche No.1,268
35 - Manche,Z.P Purn Prathamik Shala Manache Tari Vathar,268
36 - Pombhurle,Z.P. Purn Prathamik Kendrashala Pombhurle No.1 (East),268
37 - Pombhurle,Z.P Purn Prathamik Kendrashala Pombhurle No. 1 (West),268
38 - Malpewadi,Z.P Purn Prathamik Shala Malpe Marathi,268
39 - Dhalvali,Korle-Dhalvali Madhyamik Vidyalay,268
40 - Korle,Z.P.Prathamik Shala Korle No. 1,268
41 - Kunkavan,Z.P. Prun Prathamik Shala Kunkavan No. 1,268
