PS No & Name,Address,Constituency Number
1 - Nirom,Jawahar Lal Purn Prathamik Vidyamandir Nirom No. 1,269
2 - Math Budruk,Bharat Vidyamandir Math Budruk Purn Prathamik Shala No. 1,269
3 - Budhavale,Purn Prathamik Shala Budhavale No. 1,269
4 - Kudopi,Z. P. Purn Prathamik Shla Kudopi (New Building),269
5 - Chindar Bazaar,Akari Bramhan Vidyamandir Chindar,269
6 - Gavathanavadi Teraivadi,Purn Prathamik Shala Chindar No. 1,269
7 - Bhatvadi Chindar,Gramapanchayat Karyalay Chindar,269
8 - Achara,K. Ba. Na. Bidaye Vidyamandir Kendra Shala No. 1 Achare,269
9 - Varachivadi Achare,K. Ba. Na. Bidaye Vidyamandir Kendra Shala N. 1 Achare,269
10 - Paravadi,Jivan Shikshan Vidyamandir Achara Paravadi,269
11 - Dongarevadi,Z. P. Pu. Pra. Shala Achara Gaudwadi (East part),269
12 - Gaudavadi,Z. P. Purn Prathamik Shala Achare Gaudavadi,269
13 - Piravadi,G. P. Marathi Shala Hutatma D. B. Koyande Achare Piravadi,269
14 - Hirlevadi,G. P. Pu. Pra. Shala Achare Hirlevadi,269
15 - Trimbak,Jivan Shikshan Shala Trimbak No. 1,269
16 - Trimbak,Jivan Shikshan Shala Trimbak No. 1,269
17 - Gavathanavadi Palasamb,G. P. Purn Prathamik Shala Palasamb,269
18 - Shravan,Mahatma Gandhi Vidyalay Shravan,269
19 - Ramagad,G. P. Sindhudurg Purn Prathamik Shala Ramagad No. 1 (Near Highschool),269
20 - Gothane,Z.P Prathamik shala Gothane Kondwadi,269
21 - Kirlos,Purn Prathamik Shala Kirlos Gaonthan,269
22 - Asagani,G. P. Sindhudurg Purn Prathamik Shala Asagani No. 1,269
23 - Rathivade,Z. P. Prayamari School Rathivade No. 1,269
24 - Ghadivadi,Purn Prathamek Shala Adavali No. 1,269
25 - Bandivade Budruk,Z.P. Purn Prathamik Shala Bandiwade No.1 (New Building),269
26 - Koil,Gra. P. Karyalay Koil Bandivade,269
27 - Vayangani,G. P. Sindhudurg Prathamik Shala Vayangani No. 1 Navi Imarat,269
28 - Vayangani,Z.P. Purn Prathamik Shala Thaneshwr Bhandaewada,269
29 - Masure,Shri. Dajisaheb Prabhuganvakar Pu. Pra. Shala Masure No. 1,269
30 - Khajanavadi,Z.P.Sindhudurg Prathamik Shala Masure Khajanavadi,269
31 - Dewoolwada khervand,Z. P. Prayamari School Rathivade No. 1,269
32 - Deulavada,Purn Prathamik Shala Deulavada,269
33 - Marde,Masure Education Society Ramchandra Pandurang Bagve High School Masure Bhag East,269
34 - Wadi Dangamode,Masure Education Society Ramchandra Pandurang Bagve High School Masure Bhag West,269
35 - Veral,G. P. Prayamari School Veral,269
36 - Malond,G. P. Prayamari School Malond No. 1,269
37 - Chunavare,G. P. Prayamari Shala Chunavare,269
38 - Masade,Shri Saraswati Vidyalay Masade,269
39 - Vadachapat,Prayamari School Vidyamadir Vadachapat,269
40 - Poip,G. P. Pra. Kendra Shala Poip N. 1,269
41 - Poip,G. P. Pra. Kendra Shala Poip No. 1,269
42 - Hivale,G. P. Pu. Pra. Shala Hivale No. 1,269
43 - Shiravande,G. P. Pu. Pra. Shala Shiravande No. 1,269
44 - Asarondi,Jivan Shikshan Vidyamandir Asarondi Nan. 1,269
45 - Ovaliye,pu. pra.Shala G.P.SIndhudurg Ovaliye,269
46 - Ovaliye,Purn Prathamik Shala Ovaliye Koleri No. 2,269
47 - Hedul,Z.P Prayamari School Hedul,269
48 - Khotale,Z. P. Prayamari School Khotale No. 1,269
49 - Vayangavade,Z.P School Vayangavade No.1,269
50 - Dikaval,Z.P. Shala Marathi Shala Dikaval Golavan,269
51 - Golavan,Z.P. Shala Golavan No. 2,269
52 - Golavan,Jivan Shikshan Shala Golavan No. 1,269
53 - Chafekhol,G. P. Shala Chafekhol No. 1,269
54 - Malaganv,Prayamari Vidyamandir Malaganv No. 1,269
55 - Bilavas,Prayamari School Bilavas No. 1,269
56 - Mahanavadi (kandalaganv ),Prayamari School Mahan (kandalaganv ),269
57 - Kandalaganv,Z. P. Prayamari School Kandalaganv No. 1 New Building,269
58 - Rane Shemadavadi,Z. P. Prayamari School Kandalaganv No. 1 New Building,269
59 - Hadi,G. P. Shala Hadi No. 2 (jatharavadi ),269
60 - Hadi,K. K. G. Manjrekar Shala Hadi No. 1,269
61 - Tondavali Varachi,Purn Prathamik Shala Tondavali Varachi,269
62 - Tendavali Talashil,Purn Prathamik Shala Tondavali Khalachi,269
63 - Ozar,G. P. Sindhudurg Jivan Shikshan Vidyamandir Revandi Varachi,269
64 - Kolamb,Jeevan Shikshan Vidyamandir Kolamb No. 1,269
65 - Kolamb (kandalaganv ),Bal Vikas Mandir Nhive,269
66 - Sarjekot,Prayamari School Sarjekot Miryabanda,269
67 - Nandarukh,Z. P. Prayamari School Nandarukh Amados,269
68 - Ambados,Purn Prathamik Shala Ambados No. 1,269
69 - Salel,G. P. Sindhudurg Jivan Shikshan Vidyamandir Nangarabhat,269
70 - Kunakavale,G. P. Sindhudurg Purn Pra. Shala Kunakavale,269
71 - Guramanagari,G. P. Pra. Shala Guramavadi No. 1,269
72 - Katta,G. P. Kendra Shala Katta No. 1,269
73 - Nandos,G. P. Shala Nandos Gadakarivadi,269
74 - Kumame,Z. P. Shala Nandos Kumame,269
75 - Nandos,Prathamik Shala Sarangavadi Nandos,269
76 - Tiravade,G. Pan. Shala Tiravade,269
77 - Sukalavad,G. P. Sindhudurg Prathamik Shikshan Mandal Prayamari Shala Sukalavad,269
78 - Sukalavad,G. P. Sindhudurg Prathamik Shikshan Mandal Prayamari Shala Sukalavad West Bhag,269
79 - Talaganv,G. P. Jivan Shikshan Shala Talaganv Ranevadi Katapur,269
80 - Talaganv,G. P. Jivan Shikshan Shala Talaganv No. 1 Talaganv,269
81 - Kusarave,G. P. Marathi Shala Varad Savaravad,269
82 - Varad,Z.P Prathmik Shala Varad No.1,269
83 - Bhandaarawada,Z.P. Shala Bhandaarawada Varad,269
84 - Kharare,Pu. Pra. G. Shikshan Sheti Shala Pedur Kharare,269
85 - Pendur Sonaravadi,G. P. Pra. Mulanchi Shala Pendur No. 1,269
86 - Pendur Mogarane,G. P. Pra. Shala Pendur No. 2,269
87 - Dhamapur,G. P sindhudurg Prayamari School Dhamapur Khalachavada,269
88 - Chauke,G. P. Sindhudurg Jivan Shikshan Vidyalay No. 1,269
89 - Chauke,G. P. Sindhudurg Jivan Shikshan Vidyalay No. 1,269
90 - Kumbharamath,G. P. Sindhudurg Prathamik Shala Karlachavhal,269
91 - Kumbharamath (malavan ),Zilha Parishad Purn Prathamik Kendra Shala Kumbharamath (pashchim ),269
92 - Ghumade,Zilha Parishad Purn Prathamik Kendra Shala Kumbharamath (purv ),269
93 - Malavan N. P,Shala Malavan Deulavada,269
94 - Malavan N. P,Bhandari Education society Malvan (std. 9 th Class Room South),269
95 - Malavan N. P,Bhandari Education society Malvan (std.12 th Class Room North ),269
96 - Malavan N. P,Jivan Shikshan Prayamari School Revatale Malavan (navin Imarat ),269
97 - Malavan N. P,Jivan Shikshan Prayamari School Revatale Malavan (navin Imarat ),269
98 - Malavan N. P,S. K. Patil Sindhudurg Mahavidyalay Malavan (bachat Yojna Bhawan ),269
99 - Malavan N. P.,S. K. Patil Sindhudurg Mahavidyalay Malavan (bachat Yojna Bhawan ),269
100 - Malavan N. P,Malavan Ajyukeshan Society A. S. Desai Topiwala High School,269
101 - Malavan N. P,Anant Shivaji Desai Topiwala School Malvan (North Part),269
102 - Malavan N. P,Anant Shivaji Desai Topiwala School Malvan (South Part),269
103 - Malavan N. P,Raghunath Desai Vidyalay Malavan,269
104 - Malavan N. P,Bhandari Ajyukeshan Sasayati Malavan,269
105 - Malavan N. P,Z. P. Sindhudurg Prayamari School Malavan,269
106 - Malavan N. P,Z. P. Sindhudurg Prayamari School Malavan,269
107 - Malavan N. P,Bhandari Education Sociery Malvan (North),269
108 - Malavan N. P,Ambaji Sadashiv Chavan Vidhyalay Wayri Malvan (Chavanwadi),269
109 - Vayari,G. P. Prathamik Shala Vayari Bhutanath East,269
110 - Vayari,G. P. Prathamik Shala Vayari Bhutanath West,269
111 - Vayari,A. K. Tikam Guruji Shala Vayari Bhutnath,269
112 - Tarakarli,Shasakiy Matsyavyavasay Shala Tarakarli,269
113 - Tarakarli,Shasakiy Matsya Vyavasay Shala Tarakarli,269
114 - Devabag,Prathamik Shala Devabag No. 2,269
115 - Devabag,Prathamik Shala Devabag Shala No. 1,269
116 - Devabag,Prathamik Shala Devabag Shala N. 1,269
117 - Devali (kalethar ),Prathamik Shala Devali (kalethar ),269
118 - Vaghavane,Prathamik Shala Devali Varachi,269
119 - Amberi,Z.P. Sindhudurg Prathamik Shala Amberi No.1,269
120 - Malakevadi (kalase ),G. P. Pu. Prathamik Shala Kalase Dhamapur,269
121 - Parabavada,G. P. Prathamik Shala Kalase Parabavada No. 1,269
122 - Bagavadi,1 G. P. Prathamik Shala Kalase Bagavadi,269
123 - Ambrad,G. P. Pra. Shala Ambrad Parabavada,269
124 - Ambrad,G. P. Pra. Shala Ambrad Bajarabadi,269
