PS No & Name,Address,Constituency Number
1 - Mohna Bu.,Zilla Parishad Marathi Pre Secondary School Mohana Bu. Room number 1,26
2 - Mohana Bu,Zilla Parishad Marathi Pre Secondary School Mohana Bu. Room number 2,26
3 - Mandava Forest,Zilla Parishad Marathi Primary School Mandava Forest,26
4 - Mandva Samet Dongar,Zilla Parishad Marathi Primary School Mandwa including hills,26
5 - Deulgaon Sakarsha,Zilla Parishad Marathi Primary School Dealgaon Sakarsha Room No.1,26
6 - Deulgaon Sakarsha,Zilla Parishad Marathi Primary School Dealgaon Sakarsha Room No.2,26
7 - Deulgaon Sakarsha,Zilla Parishad Urdu Primary School Delagaon Sakarsha Room No.1,26
8 - Deulgaon Sakarsha,Zilla Parishad Urdu Primary School Dealgaon Sakarsha Room No.2,26
9 - Naygaon Deshmukh,Zilla Parishad Marathi Pre Secondary School Naigaon Deshmukh Room No.1,26
10 - Vagdev,Zilla Parishad Marathi Primary School Vagdev Room No.02,26
11 - Parakhed,Zilla Parishad Pre Secondary School Parkhed,26
12 - Vadali,Zilla Parishad Marathi Secondary School Wadali Room No.1,26
13 - Vadali,Zilla Parishad Marathi Secondary School Wadali Room No.2,26
14 - Ghatanandra,Zilla Parishad Pre-Secondary School Ghatnandra,26
15 - Varvand,Zilla Parishad Pre-Secondary School Varvand Room No.1,26
16 - Varavand,Zilla Parishad Pre-Secondary School Varvand Room No.2,26
17 - Botha,""" Zilla Parishad Marathi Primary School Botha Room No.01""",26
18 - Pathardi Forest,Zilla Parishad Marathi Pre Secondary School Pathardi Forest,26
19 - Temburakhed,Zilla Parishad Marathi Junior Primary School Tambhurkhed,26
20 - Ghatbori,Zilla Parishad Marathi Pre Secondary School Room No.1 Ghatbori,26
21 - Ghatbori,Zilla Parishad Marathi Pre Secondary School Room No 2 Ghatbori,26
22 - Nageshwadi,Zilla Parishad Marathi School Nageshwadi,26
23 - Ghatbori,Zilla Parishad Marathi Pre Secondary School Room No 3 Ghatbori,26
24 - Ghatabori,Zilla Parishad Marathi Pre Secondary School Room No. 4 Ghatbori,26
25 - Drugabori,Zilla Parishad Marathi Primary School Durgbori,26
26 - Loni Kale,Zilla Parishad Marathi Senior Primary School Loni Kale,26
27 - Gomedhar,"Zilla Parishad Primary School, Gomedhar",26
