PS No & Name,Address,Constituency Number
1 - Kharadgaon,"Zilha Parishad High Primary Dijital School, Kharadgaon Room No. 1",270
2 - Kharadgaon,"Zilha Parishad High Primary Dijital School, Kharadgaon Room No. 2",270
3 - Donad,"Primary Marathi School, Donad (Khurd) Room No. 1",270
4 - Khalana,"Z.P. Primary Marathi School, Khalna Room No. 1",270
5 - Bramhanavada West,"Z.P. High Primary Marathi School, Bramhawada West Room No. 1",270
6 - Pandhari,"Z.P. Primary School, Pandhari Room No. 1",270
7 - Shirajgaon,"Z.P. Primary Center School, Shirajgaon Room No. 1",270
8 - Savargaon Kale,"Z.P. High Primary Marathi Digital School, Sawargaon (Kale) Room No. 1",270
9 - Savargaon Kale,"Z.P. High Primary Marathi Digital School, Sawargaon (Kale) Room No. 2",270
10 - Vyahali,Anganwadi Kendra Vyahali,270
11 - Mozar,"Z.P. Primary Marathi Center School, Mozar Room No. 1",270
12 - Mozar,"Z.P. Primary Marathi Center School, Mozar Room No. 2",270
13 - Pipanlgaon Kale,"High Primary Marathi School, Pimpalgaon(Kale) Room No. 1",270
14 - Kohala,"Zilha Parishad Primary Marathi School, Kohala Room No. 1",270
15 - Dagadadhanora,"Z.P. Primary Marathi School, Dagad Dhanora Room No. 1",270
16 - Watfali,"Z.P. Primary Marathi School, Watfali Room No. 1",270
17 - Watfali,"Z.P. Primary Marathi School, Watfali Room No. 2",270
18 - Watfala,"Primary Marathi School, Watfala Room No. 1",270
19 - Balegaon,"Z.P. Primary Marathi School, Balegaon Room No. 1",270
20 - Ajanti,"Z.P. HIgh Primary Marathi School, Ajanti Room No. 1",270
21 - Ajanti,"Z.P. HIgh Primary Marathi School, Ajanti Room No. 2",270
22 - Loni,"Primary Marathi School, Loni Room No. 1",270
23 - Walki,"Z.P. Primary Marathi School, Walki Room No. 1",270
24 - Pimpari Kalga,"Z.P. HIgh Primary Marathi School, Pimpari Kalga Room No. 1",270
25 - Pimpari Kalga,"Z.P. HIgh Primary Marathi School, Pimpari Kalga Room No. 2",270
26 - Mukhtyarpur,"Z.P. Primary Marathi School, Mukhtyarpur Room No.1",270
27 - Pathrad Gole,"High Primary Marathi School, Pathrad (Gole) Room No. 1",270
28 - Pathrad Gole,"High Primary Marathi School, Pathrad (Gole) Room No. 2",270
29 - Dhanaj,"Z.P. High Primary Marathi & Semi Inglish School, Dhanaj Room No.1",270
30 - Dhanaj,"Z.P. High Primary Marathi & Semi Inglish School, Dhanaj Room No.2",270
31 - Manikwada,Z. P. High School & Juniear Mahavidhyalay Manikwada Room No.1,270
32 - Manikwada,Z. P. High School & Juniear Mahavidhyalay Manikwada Room No.2,270
33 - Chikhali ( Ka. ),"Z.P. Primary Marathi School, Chikhali (Ka) Room No. 1",270
34 - Chikhali ( Ka. ),"Z.P. Primary Marathi School, Chikhali (Ka) Room No. 2",270
35 - Mangladevi,"Z.P. High Primary School, Mangladevi Room No. 1",270
36 - Mangladevi,"Z.P. High Primary School, Mangladevi Room No. 2",270
37 - Mangladevi,"Z.P. High Primary School, Mangladevi Room No. 3",270
38 - Mangrul,"Z.P. Primary Marathi School, Mangrul Room No. 1",270
39 - Takali (Salami),"Primary School, Takali Salami Room No. 1",270
40 - Bramhanawada East,"Z.P. High Primary School, Bramhanwada (East) Room No. 1",270
41 - Sindkhed,"Z.P. High Primary Marathi School, Sindkhed Room No. 1",270
42 - Pimpalgaon Dubba,"Z.P. High Primary Marathi School, Pimpalgaon (Dubba) Room No. 1",270
43 - Lonadi,"Z.P. Primary Marathi School, Lonadi Room No. 1",270
44 - Sonakhas,"Z.P. High Primary Marathi School, Sonkhas Room No. 1",270
45 - Heti,"Z.P. Primary Marathi School, Heti Room No. 1",270
46 - Kamandev,"Z.P. Primary Marathi School, Kamandev Room No. 1",270
47 - Ghui,"High Primary Marathi School, Ghui Room No. 1",270
48 - Boragaon,"Z.P. High Primary Marathi School, Borgaon Room No. 1",270
49 - Linga,"Z.P. Primary Marathi School, Linga Room No. 1",270
50 - Uttarwadhona,"Z.P. Primary Marathi School, Uttarwadhona Room No. 1",270
51 - Uttarwadhona,"Z.P. Primary Marathi School, Uttarwadhona Room No. 2",270
