PS No & Name,Address,Constituency Number
1 - Hattivade,SHRI CHATRAPATI VIDYAMANDIR HATTIVADE OLD BUILDING ROOM NO .02,271
2 - Pedrewadi,SHRI VITTHAL . VIDYAMANDIR EAST SIDE ROOM NO. 2,271
3 - Kovade,SHRIMATI KAMALABAI APATE VIDYANIKETAN EAST SIDE ROOM NO .01,271
4 - Kovade,SHRIMATI KAMALABAI APATE VIDYANIKETAN EAST SIDE ROOM NO .03,271
5 - Ningudage,CENTRAL SCHOOL VIDYAMANDIR NINGUDAGE EAST SIDE ROOM NO .01,271
6 - Ningudage,CENTRAL SCHOOL VIDYAMANDIR NINGUDAGE EAST SIDE ROOM NO .03,271
7 - Saroli,SHRI SARSVATI VIDYAMANDIR SAROLI EAST SIDE ROOM NO .03,271
8 - Saroli,SHRI SARSVATI VIDYAMANDIR SAROLI EAST SIDE ROOM NO .05,271
9 - Gajargav,"SHRI SARSAVATI VIDYAMANDIR GAJARAV,NEW BUILDING SOUTH SIDE ROOM NO .02",271
10 - Gajargav,"SHRI SARSAVATI VIDYAMANDIR GAJARAV,NEW BUILDING SOUTH SIDE ROOM NO .04",271
11 - Kanoli,VIDYAMANDIR KANOLI EAST SIDE ROOM NO .1,271
12 - Maligre,MAHATMA JOTIBA PHULE VIDYAMANDIR MALIGRE WEST SIDE ROOM NO.02,271
13 - Maligre,MAHATMA JOTIBA PHULE VIDYAMANDIR MALIGRE EAST SIDE ROOM NO.02,271
14 - Honewadi,VIDYAMANDIR HONEVADI WEST SIDE ROOM NO. 1,271
15 - Mendholi,VIDYAMANDIR MENDHOLI UTTAR SIDE ROOM NO. 1,271
16 - Mendholi,VIDYA MANDIR BOLKEWADI SOUTH SIDE ROOM NO1,271
17 - Burude,VIDYAMANDIR BURUDE NORTH SIDE ROOM NO. 1,271
18 - Murude,VIDYAMANDIR MURUDE NEW BUILDING EAST SIDE ROOM NO .01,271
19 - Kasarkandagav,VIDHYA MANDIR KASAR KANDGAON NORTH SIDE WEST SIDE ROOM NO .02,271
