PS No & Name,Address,Constituency Number
1 - Gavashi,Vidyamandir Gavashi New Building North Side Room Number-1,272
2 - Sawatwadi,Sawatwadi Anganwadi Number 162,272
3 - Sawatwadi,"Vidyamandir Sawatwadi, West side, Room Number-1",272
4 - Mhasurli,"Vidyamandir Mhasurli, South side Room Number-1",272
5 - Bajarwada,Vidhyamandir Bajarwada East side Room Number-1,272
6 - Mhasurli,Vidyamandir Mhasurli North Side Room Number-1,272
7 - Konoli Turf Asandoli,Vidyamandir Konoli Turf Asandoli east side Room Number-1,272
8 - Chouke,"Vidhya Mandir Chouke , South side, Room Number- 1",272
9 - Manbet,Vidyamandir Manabet Room Number- 1,272
10 - Padsali,Vidyamandir Padasali Main Building Room Number- 1,272
11 - Kudalwadi,Vidyamandir Kudalwadi East side Room Number-1,272
12 - Aptal,Vidyamandir Apatal East Side Room Number 1,272
13 - Malapwadi,Vidyamandir Malapwadi East side Room Number-1,272
14 - Keloshi Kh.,"Vidyamandir, Keloshi Kh. east side Room Number-1",272
15 - Keloshi Bk.,Vidyamandir Keloshi Bu East Side Room Number- 1,272
16 - Avachitwadi,"Vidyamandir, Avachitwadi east side Room Number-1",272
17 - Hanbarwadi,"Vidyamandir Hanbarwadi , East side Room Number-1",272
18 - Pilarwadi,"Vidyamandir Pilarwadi , East side Room Number-1",272
19 - Walwantwadi,Vidya Mandir Avachitwadi (Walwantwadi ) West side Room Number- 1,272
20 - Keloshi Bk.,"Vidyamandir, Keloshi Bk. West side Room Number- 3",272
21 - Manewadi,Vidyamanadir Manewadi ( Bachankar Vasahat ) building East Side Room Number-1,272
22 - Khamkar-wadi,Vidyamandir Khamkarwadi North Side Room Number-1,272
23 - Gotewadi,Vidyamandir Gotevadi West Side Room Number- 1,272
24 - Nagdewadi,Vidya Mandir Nagadewadi East side Room Number- 1,272
25 - Pal khu,Vidyamandir Pal kh. East side Room Number- 1,272
26 - Pal Bk.,"Vidyamandir Pal Bk., South side Room Number-1",272
27 - Kote,"Vidyamandir Kote, South Side Room Number- 4",272
28 - Chande,Vidyamandir Chande East Side Room Number- 1,272
29 - Ladwadi,Vidyamandir Ladwadi North side Room Number- 2,272
30 - Kuranewadi,Vidyamandir Kuranewadi East side Room Number- 1,272
31 - Dhamod,Vidyamandir Dhamod South side Room Number- 1,272
32 - Dhamod,Vidyamandir Dhamod Est Side Room Number-1,272
33 - Dhamod,Vidyamandir Dhamod North Side Room Number- 2,272
34 - Burambali,Vidyamandir Burambali East Side Room Number- 1,272
35 - Kambalwadi,Vidyamandir Kambalavadi Middle Room,272
36 - Musalwadi,Vidyamandir Musalavadi South side Room Number- 2,272
37 - Shirgaon,Vidyamandir Shirgaon East side Room Number- 1,272
38 - Shirgaon,Vidyamandir Shiragav West Side Room Number-4,272
39 - Shirgaon,Vidyamandir Shirgaon West Side Room Number- 2,272
40 - Rashiwade Kh.,Grampanchayat Karyalay Rashivade Kh,272
41 - Pungaon,"Central Primary School, Pungaon West Side Room Number- 1",272
42 - Pungaon,"Central Primary School, Pungaon West Side Room Number- 4",272
43 - Chaphodi Turf Tarale,"Zilhaparishad Anganavadi School, Chafodi Tarf Tarale",272
44 - Mohade,Vidyamandir Mohade/ Chaphodi Tarf Tarale East side Room Number- 1,272
45 - Kodawade,Vidyamandir Kodavade South Side Room Number- 1,272
46 - Waghawade,Vidyamandir Vaghavade East Side Room Number- 1,272
47 - Rashiwade Bk.,Shri.Nageshwar high school Rashiwade bk North side Room Number-2 from east side,272
48 - Rashiwade Bk.,Shri.Nageshwar highschool Rashiwade bk East side Room Number-1 from North side,272
49 - Rashiwade Bk.,Grampanchayat Hall Rashivade Bu. East Side Room Number- 1,272
50 - Rashiwade Bk.,Kanya vidhyamandir Rashiwade Bu near Mahadev Temple East side Room Number- 2,272
51 - Rashiwade Bk.,Kanya vidhyamandir Rashiwade Bu near Maruti Temple East side Room Number-2,272
52 - Rashiwade Bk.,"Shri Parshuram Vidyamandir, Rashiwade Bu Boys Rrimary School East side Room Number- 2",272
53 - Rashiwade Bk.,"Shri Parshuram Vidyamandir, Rashiwade Bu Boys Rrimary School West side Room Number- 2",272
54 - Yelwade,"Vidamandir Yelawade, East side Room Number-1",272
55 - Yelwade,"Vidyamandir Yelawade, West side Room Number-1",272
56 - Koulav,Anganwadi Number-125 Kaulav,272
57 - Koulav,Anganwadi Number-185 Kaulav,272
58 - Koulav,Central School Kaulav East Side Room Number- 1,272
59 - Bargewadi,Vidyamandir Baragevadi East Side Room Number- 1,272
60 - Bhopalwadi,Vidyamandir Bhapalavadi East Side Room Number- 1,272
61 - Shirshe,Vidyamandir Sirase North Side Room Number- 1,272
62 - Shirshe,Vidhya Mandir Sirshe East Side Room Number- 1,272
63 - Pimpalwadi,Vidyamandir Pimpalavadi South Side Room Noo. 1,272
64 - Ghotawade,"Vidyamandir,Ghotavade South side Room Number- 1",272
65 - Ghotawade,Vidyamandir Ghotavade North Side Room Number- 1,272
66 - Ghotawade,Vidyamandir Ghotavade South side Room Number- 1,272
67 - Olwan,"Central Primary School, Olwan, New Building South side Room Number-1",272
68 - Olwan,Vidhyamandir Bhatwadi Newbuilding West side Room Number- 1,272
69 - Chorwadi,Vidhya Mandir Choravadi ( New ) Room,272
70 - Kumbharwadi,Vidyamandir Kumbharavadi East Side Room Number- 2,272
71 - Talgaon,"Central Primary School Talgaon, New Building, East side Room Number-2",272
72 - Talgaon,Vidhya Mandir Chafewadi Hexagonal building South side Room Number- 1,272
73 - Durgmanwad,Central School Durgmanvad Old Building Room Number- 2,272
74 - Durgmanwad,Central Schoo Durgmanwad New Bilding East side Room Number-2,272
75 - Misalwadi,Vidyamandir Misalavadi Room,272
76 - Shelap Bamber,Anganwadi No.206 Shelap Babar,272
77 - Hasane,Vidyamandir Hasane West side Room Number- 1,272
78 - Kariwade,Vidyamandir Karivade Room Number- 1,272
79 - Digas,Vidyamandir Digas East Side Room Number- 1,272
80 - Ejiwade,Vidyamandir New Karanje South side Building Room Number 1,272
81 - Fejiwade,Central Primary School Fejivade West Side Room Number- 1,272
82 - Fejiwade,Central Primary School Fejivade West Side Room Number- 3,272
83 - Rautwadi,Vidyamandir Old Karanje (Rautwadi) Room Number- 1,272
84 - Padali,Vidyamandir Padali West Side Room Number- 1,272
85 - Piral,Vidyamandir Piral North Side Room Number- 1,272
86 - Piral,Vidyamandir Piral South Side Room Number- 2,272
87 - Kukudwadi,Vidyamandir Kukudavadi East Side Room Number- 1,272
88 - Tarale Kh.,"Central Primary School, Tarale Kh. New Building West side Room Number-1",272
89 - Tarale Kh.,"Central Primary School, Tarale kh. New Building .West Side Room Number-3",272
90 - Tarasambale,Vidyamandir Tarasambale East Side Room Number- 1,272
91 - Kanthewadi,Vidyamandir Kanthewadi East Side Room Number- 2,272
92 - Kasaba Tarale,"Vidyamandir Kasaba Tarale, New building east side Room Number-1",272
93 - Kasaba Tarale,"Vidyamandir Kasaba Tarale, New building west side Room Number-1",272
94 - Kasaba Tarale,"Vidhya Mandir Kasaba Tarale ,Anganwadi Buidling",272
95 - Shiroli,Vidyamandir Shiroli East Side Room Number- 2,272
96 - Shiroli,Vidyamandir Shiroli West Side Room Number- 1,272
97 - Radhanagari,Kanya Vidyamandir South Side Room Number- 1 (Hexagonal Room),272
98 - Radhanagari,Kanya Vidyamandir Radhanagari East Side Room Number- 1,272
99 - Radhanagari,Rajarshi Shahu Vidyamandir Radhanagari East Side Room Number- 1,272
100 - Radhanagari,Rajarshi Shahu Vidyamandir Radhanagari East Side Room Number- 2,272
101 - Radhanagari,Rajarshi Shahu Vidyamandir Radhanagari West Side Room Number-2,272
102 - Ramanwadi,Vidyamandir Ramanavadi East Side Room Number- 1,272
103 - Shelap,Vidyamandir Shelap Room Number- 1,272
104 - Patpanhala,Vidyamandir Patapanhala East Side Room Number- 1,272
105 - Banachiwadi,New Anganwadi building Banachivadi,272
106 - Kudutri,Vidyamandir Kudutri West Side Room Number- 1,272
107 - Karanjphen,Vidyamandir Karanjafen East Side Room Number- 1,272
108 - Gudalwadi,Vidyamandir Gudalavadi West Side Room Number- 1,272
109 - Gudal,"Central School Vidhya mandir , Gudal, New Building east side Room Number-2",272
110 - Gudal,"Central School Vidhya mandir , Gudal, New Building east side Room Number-4",272
111 - Awali Kh.,Vidyamandir Avali Khurd East Side Room Number- 3,272
112 - Ghudewadi,Vidyamandir Ghudewadi South side Room Number- 2,272
113 - Amjai Waravade,Vidyamandir Amajai Vharavade South Side Room Number- 1,272
114 - Amjai Waravade,Vidyamandir Amajai Vharavade South Side Room Number- 2,272
115 - Awali Bk.,Vidhya Mandir Avali Bu North side Room Number- 1,272
116 - Awali Bk.,Vidhya Mandir Avali Bu Room Number- 4,272
117 - Awali Bk.,Vidyamandir Awali Bk.North Side Room Number-3,272
118 - Anaje,Vidyamandir Anaje West Side Room Number- 1,272
119 - Anaje,Vidyamandir Anaje West Side Room Number-2,272
120 - Bujawade,Vidyamandir Bujavade North side Room Number- 1,272
121 - Bhairibambar,Bhairinath Dnyanmandir Anganwadi Bhairibambar,272
122 - Pharale,Vidyamandir Farale East Side Room Number- 1,272
123 - Lingachiwadi,Vidyamandir Lingachivadi Norht Side Room Number-2,272
124 - Panori,Vidyamandir Panori Norht Side Room Number- 3,272
125 - Panori,Vidyamandir Panori South Side Room Number-1,272
126 - Helewadi,Vidyamandir Helevadi West Side Room Number- 1,272
127 - Mallewadi,Vidyamandir Mallevadi East Side Room Number- 1,272
128 - Mogharde,Vidyamandir Mogharde West Side Room Number- 1,272
129 - Solankur,Central Primary School Solankur East side Room Number- 1,272
130 - Solankur,Central Primary School Solankur West side Room Number- 1,272
131 - Khindi-waravade,Vidyamandir Khindi Vharavade south Side Room Number- 3,272
132 - Khindi-waravade,Vidyamandir Khindi Waravade South Side Room Number-1,272
133 - Chakreshwar wadi,Vidyamandir Chakreshvaravadi East Side Room Number- 1,272
134 - Jogewadi,Vidyamandir Jogevadi West Side Room Number- 1,272
135 - Baradwadi,Vidyamandir Baradavadi West Side Room Number- 2,272
136 - Baradwadi,"Vidyamandir Baradwadi, East side Room Number-2",272
137 - Kuradwadi,Vidyamandir Kuradavadi East Side Room Number- 1,272
138 - Majgaon,Vidyamandir Majagav South Side Room Number- 3,272
139 - Thikpurali,"Center Primary school, Thikpurali, South side east side Room Number-2",272
140 - Thikpurali,"Central Primary school, Thikpurali, South side west side Room Number-2",272
141 - Thikpurali,"Central Primary school, Thikpurali, North side building west side Room Number-2",272
142 - Thikpurali,"Central school Thikpurali, North side building, west side Room Number-3",272
143 - Shelewadi,Vidyalankar Bhavan Jr.Collage Kalashakha East Side Room Number-4 Shelewadi,272
144 - Talashi,Vidyamandir Talashi New Building East Side Room Number- 1,272
145 - Talashi,Vidyamandir Talashi New Building West Side Room Number- 5,272
146 - Mangoli,Vidyamandir Mangoli New Building South Side Room Number- 1,272
147 - Mangoli,Vidyamandir Mangoli New Building South Side Room Number- 5,272
148 - Aknur,Vidyamandir Akanur East Side Room Number- 5,272
149 - Aknur,Vidyamandir Akanur West Side Room Number- 6,272
150 - Nartawade,Kanya Vidyamandir Nartavade East Side Room Number- 2,272
151 - Nartawade,"Boys primary school, Nartwade East side building, South side Room Number- 1",272
152 - Sulambi,Vidyamandir Sulambi West Side Room Number-2,272
153 - Dhengewadi,Vidyamandir Dhengevadi East Side Room Number- 2,272
154 - Pandewadi,Vidyamandir Pandevadi East Side Room Number- 3,272
155 - Ategaon,Vidyamandir Ategaon East Side Room Number- 1,272
"156 - Bhairi Dhangarwada,",Vidyamandir Dhavarwade,272
157 - Karanjwadi,Vidyamandir Aini (Dhavarwada) South side Room Number-1,272
158 - Rajapur,Vidyamandir Rajapur Room Number-1,272
159 - Bagalwadi,Vidyamandir Bagalavadi Room Number-1,272
160 - Sawarde,Vidyamandir Savarde East Side Room Number- 3,272
161 - Kalamma-wadi Dudhaganga-nagar,"Vidhya Mandir Kalammavadi, East side Room Number-1",272
162 - Aini,Vidyamandir Aini from East Side Room Number- 3,272
163 - Aini,"Vidyamandir Aini,south side building, East side North facing Room Number- 2.",272
164 - Dharmalewadi,Mini Aaganwadi Dharmalewadi,272
165 - Sawarde Patankar,Vidyamandir Savarde (pa. ) East Side Room Number- 2,272
166 - Sawarde (Pa),Vidyamandir Savarde (pa.) East Side Room Number- 4,272
167 - Mangewadi,Vidyamandir Mangevadi East Side Room Number- 2,272
168 - Kapileshwar,Vidyamandir Kapileshwar East Side Room Number- 3,272
169 - Kapileshwar,Vidyamandir Kapileshwar West Side Room Number- 5,272
170 - Chandre,Vidyamandir Chandre Buidling Number- 1 West Side Room Number-2,272
171 - Chandre,Vidyamandir Chandre East Side Room Number- 2,272
172 - Chandre,"Vidyamandir Chandre, Building Number- 2, East Side Room Number-2",272
173 - Chandekar-wadi,Vidyamandir Chandekaravadi East Side Room Number- 3,272
174 - Chandekar-wadi,Vidyamandir Chandekarwadi West Side Room Number-2,272
175 - Kasaba Walave,Kanya Vidyamandir Kasaba Walave East Side Room Number- 2,272
176 - Kasaba Walave,Kanya Vidyamandir Kasaba Walave West Side Room Number-1,272
177 - Kasaba Walave,"Jivan Shikshan Vidyamandir, Kasaba Walave, North side Room Number-6",272
178 - Kasaba Walave,"Jivan Shikshan Vidyamandir, Kasaba Walave, east side Room Number-4",272
179 - Kasaba Walave,"Gaon Chavadi Building Kasaba Walave, Central Hall",272
180 - Palkarwadi,"Vidyamandir Palkarwadi, east side Room Number-2",272
181 - Arjunwada,"Jivan Shikshan Vidyamandir, Arjunwada East Side Room Number-1",272
182 - Arjunwada,Jeevan Shikshan Vidyamandir Arjunavada West Side Room Number-1,272
183 - Titave,Vidyamandir Titave East side Room Number- 1,272
184 - Titave,Vidyamandir Titave West side Room Number- 2,272
185 - Majare Kasarwada,"Vidayamandir Majare Kasarwada, From West side Room Number-4",272
186 - Majare Kasarwada,"Vidayamandir Majare Kasarwada, From West side Room Number-1",272
187 - Turambe,Central School Kumar vidya mandir Turambe west side Room Number 2,272
188 - Turambe,"Central school Kumar VidhyaMandir, Turambe West side Room Number-3",272
189 - Turambe,Kanya Vidyamandir Turambe South Side Room Number- 2,272
190 - Malave,"Vidyamandir Malave, East Side Room Number- 1",272
191 - Sarwade,"Kanya Vidhya Mandir Sarwade, East-West building, From West Side Room Number- 2, North facing Room",272
192 - Sarwade,"Kanya Vidhya Mandir Sarwade, East-West building, From East Side Room Number- 1, South facing Room",272
193 - Sarwade,"Kanya Vidhya Mandir Sarwade, East-West building, From East Side Room Number- 4, South facing Room",272
194 - Sarwade,"Central school Kumar VidhyaMandir, Sarawade, North-South building, From North Side Room Number- 1, West facing Room",272
195 - Sarwade,"Central school Kumar VidhyaMandir, Sarawade, East-West building, From East Side Room Number- 1, North facing Room",272
196 - Sarwade,"Central school Kumar VidhyaMandir, Sarawade, East-West building, From West Side, Room Number- 1, North facing Room",272
197 - Kasarputale,"Vidyamandir Kasarputale, East Side Room Number-1",272
198 - Kasarputale,Vidyamandir Kasarputale from West Side Room Number- 2,272
199 - Mouje Kasarwada,"Daulatrao Suryawanshi Vidyamandir Mauje Kasarwada, east side Room Number-1",272
200 - Dhamanwadi,"Vidyamandir Dhamanwadi, east side Room Number-1",272
201 - Dhamanwadi paiki Avachitwadi,Vidyamandir Dhamanwadi Paiki Avachitvadi South Side Room,272
202 - Chaphodi T. Ainghol,"Vidyamandir Chafodi tarf ainghol, East side Room Number- 1",272
203 - Gaonthan- wadi,Vidyamandir Gavathanavadi West Side Room Number- 1,272
204 - Adoli,Vidyamandir Adoli South Room Number-1,272
205 - Vadachiwadi,Vidyamandir Vadachiwadi Room Number- 1,272
206 - Moraskarwadi,Vidyamandir Moraskarwadi North Side Room No 1,272
207 - Minche Bk,Vidyamandir Minche Bk North Side Room No 1,272
208 - Pandivare,Vidyamandir Pandivare South Side Room No 1,272
209 - Tikkewadi,Vidyamandir Tikkewadi South Side Room No 1,272
210 - Tikkewadi,Vidyamandir Tikkewadi South Side Room No 3,272
211 - Adamapur,Vidyamandir Adamapur East Side Room No 2,272
212 - Adamapur,Vidyamandir Adamapur East Side Room No. 4,272
213 - Mudal,Vidyamandir Mudal South Side Room No 1,272
214 - Mudal,Vidyamandir Mudal South Side Room No 3,272
215 - Mudal,Vidyamandir Mudal New Building room No.1,272
216 - Koor,Central Primary School Koor East side Room No 1,272
217 - Koor,Central Primary School Koor East side Room No 3,272
218 - Koor,"Sarva Shiksha Abhiyan, Samuha Sadhan Kendra Koor, West side Room",272
219 - Nadhavade,vidyamandir nadhavade East side room no 1,272
220 - Nadhavade,vidyamandir nadhavade east side room no 3,272
221 - Nadhavade,vidya mandir nadhavade From East Side Room No. 1,272
222 - Pachawade,Vidyamandir Pachawade East Side Room No 2,272
223 - Basarewadi,Vidyamandir Basarewadi West Side Room No 2,272
224 - Lotewadi,Vidyamandir Lotewadi East Side Room No 1,272
225 - Minche Kh,Central Primery SchoolMinche Kh South Side Room No 1,272
226 - Navaraswadi,Vidyamandir Navaraswadi North Side Room No 1,272
227 - Kolwan,Vidyamandir Kolwan East Side Room No 2,272
