PS No & Name,Address,Constituency Number
1 - Ekondi,Vidya Mandir Ekondi West Side Room no. 1,273
2 - Ekondi,Vidya Mandir Ekondi East side Room No. 1,273
3 - Ekondi,Vidya Mandir Ekondi East Side Room No.3,273
4 - Vhannur,Vidya Mandir Vhannur East Side Room no. 1,273
5 - Vhannur,Vidya Mandir Vhannur South Side Room no. 1,273
6 - Vhannur,Vidya Mandir Vhannur West Side Room no. 2,273
7 - Vhannur,Vidya Mandir Vhannur South Side Room no. 1,273
8 - Pimpalgaon Khurd,Taluka School Vidya Mandir Pimalgaon Kh. East Side Room no.2,273
9 - Pimpalgaon Khurd,Taluka School Vidya Mandir Pimalgaon Kh. West Side Room no.2,273
10 - Pimpalgaon Khurd,Taluka School Vidya Mandir Pimalgaon Kh. West Side Room no.1,273
11 - Pimpalgaon Khurd,Taluka Shala Vidya Mandir Pimapalgaon Khurd North Side Room No 1,273
12 - Kagal,"Shri Shahu Highschool and Jr.College, Kagal North-South building, South side Room No.2",273
13 - Kagal,Gopal Krushna Gokhale Vidya Mandir Bhag Shalha Jaysingrao Park Kagal south Side Room No. 2,273
14 - Kagal,Shri Shahu High School Jr. College New Bldg East side Room No. 1,273
15 - Kagal,Gopal Krushna Gokhale Vidya Mandir Bhag Shala Jaysingrao Park Kagal North Side Room No. 1,273
16 - Kagal,"Sant Rohidas V.M. Kagal Old East-West Building, East side Room no. 1",273
17 - Kagal,"Sant Rohidas V.M. Kagal Old East-West Building, East side Room no. 4",273
18 - Kagal,"Sant Rohidas V.M. Kagal Old East-West Building, from East side Room no.6",273
19 - Kagal,"Sant Rohidas V.M. Kagal Old North-South Building, from North Side Room no. 2",273
20 - Kagal,Shree Ramling Balvikas Mandir (Dharangrasht Vashat) Kagal East Side Room No 1,273
21 - Kagal,Shree Ramling Balvikas Mandir (Dharangrasht Vashat) Kagal West Side Room No 1,273
22 - Kagal,Sane Guruji Khule Vichar Manch computer guidance room kagal,273
23 - Kagal,Kagal Municipal Council Yashwant Killa Open Auditorium Kagal Eastfront Bldg,273
24 - Kagal,Savitribai Fule Kanya Vidya Mandir Kagal North Faced Building East Side Room 1,273
25 - Kagal,"Kagal Municipal Library Shree Shahu Cultural Hall, Kagal",273
26 - Kagal,"Hindurao Ghatage, Vidya Mandir No.1, Kagal, North Side Room no.1",273
27 - Kagal,Hindurao Ghatage Vidya Mandir No.1 Kagal West faced Bldg South side Room No. 1,273
28 - Kagal,"Nam. Gopal Krishna Gokhale Vidya Mandir Kagal, East Faced Building. from North Side Room No.1",273
29 - Kagal,"Nam. Gopal Krishna Gokhale Vidya Mandir Kagal, East Faced Building. from North Side Room No.2",273
30 - Kagal,Sri Shahu High School Jr. College East Side Room No. 1,273
31 - Kagal,Srimant Sir Pirajirao Ghatage Kanya Vidya Mandir No 1 Kagal South Side Room No. 1,273
32 - Kagal,Shrimant sir Pirajirao Ghatge Kanya Vidya Mandir Kagal North Side Room No 1,273
33 - Kagal,Gaon Chavadi Kagal.,273
34 - Kagal,"Shahu Sanskrutik Hall, Kagal",273
35 - Kagal,"Shri. Yashwantrao Ghatage Highschool, New building from South Side Room No. 5(staff room)",273
36 - Kagal,"Shri. Yashwantrao Ghatge High School, New building North Side Room No.1",273
37 - Kagal,Yashwantrao Ghatage Highschool Kagal New South North Building North Side Room No.3,273
38 - Kagal,"Shri. Yashwantrao Ghatage Highschool, New building South Side Room No. 2",273
39 - Kasaba Sangaon,"Dadasheb Magdum Highschool Kasaba sangaon, South Side from East Room no.2",273
40 - Kasaba Sangaon,Dadasaheb Magadum Highschool Kasaba Sangaon East Side form South side Room No.1,273
41 - Kasaba Sangaon,Girls & Boys Highschool Kasaba Sangaon South Side From East Side Room No. 2,273
42 - Kasaba Sangaon,Girls & Boys Highschool Kasaba Sangaon South Side From East Side Room No. 5,273
43 - Kasaba Sangaon,Kumar Vidya Mandir Kasaba Sangaon West Side from North side Room No 1,273
44 - Kasaba Sangaon,"Dadasaheb Magadum Highschool Kasaba Sangaon, South side Room No.3",273
45 - Kasaba Sangaon,Sainik bhawan north Faced building Kasba sangaon,273
46 - Kasaba Sangaon,sheti Vavsaya Kumar Vidya Mandir Kasaba Sangaon East Side Room no.5,273
47 - Kasaba Sangaon,Sheti Vyavasay Kumar VidyaMandir Kasaba Sangaon West Side Room No. 2,273
48 - Randivewadi,Anganwadi no. 20 North Faced Building Randivewadi,273
49 - Mouje Sangaon,Kumar Vidya Mandir Mouje Sangaon North Facing Building From East Side Room No.8,273
50 - Mouje Sangaon,Kumar Vidya Mandir Primary School Mauje Sangaon North faced Bldg. East Side Room No.4,273
51 - Mouje Sangaon,Kumar Vidya Mandir Primary School Mouje Sangaon East Side Room no.2,273
52 - Mouje Sangaon,Veternari Hospatil Mouje Sangaion,273
53 - Mouje Sangaon,Anganvadi No.10 Indira Nagar Mouje Sangaon,273
54 - Mouje Sangaon,Kumar Vidya Mandir Primary School Mouje Sangaon East Side Room no.7,273
55 - Sulkud,Kumar Vidya Mandir Sulkud North Faced New building East Side Balwadi.,273
56 - Sulkud,Kumar Jivan Vidya Mandir Sulkud North Faced New building East Side Room no.1,273
57 - Sulkud,"Kumar Vidya Mandir, Sulkud Room No.13",273
58 - Sulkud,Kumar Vidya Mandir Sulkud New building East Side Room no.2,273
59 - Linganur Dumala,Vidya Mandir Lingnur Dumala New North Facing Building from East Side Room No.2,273
60 - Linganur Dumala,Vidya Mandir Lingnur Dumala New North Facing Building from East Side room No. 4,273
61 - Linganur Dumala,Vidya Mandir Lingnur Dumala New North Facing Building Mahila Bachatgat Multipurpose Hall,273
62 - Karnur,Vidya Mandir Karnoor South front Building West Side Room no.1,273
63 - Karnur,Vidya Mandir Karnur South faced Bldg. from west Side Room No. 3,273
64 - Karnur,Vidya Mandir Karnoor Ramkrushna Nagar East Side Room No 1,273
65 - Karnur,Vidya Mandir Karnoor Ramkrushna Nagar East Side Room No 2,273
66 - Vandur,Vidya Mandir Vandur New building East Side Room no.1,273
67 - Vandur,Vidya Mandir Vandur New building west Side Room no.1,273
68 - Vandur,Vidyamandir Vandur South faced New Bldg West side Room No. 2,273
69 - Siddhanerli,Viilage Secretatiate Siddhanerli East Side Building Anaganwadi No.35,273
70 - Siddhanerli,Kumar Vidya Mandir Siddhanerli South side Bldg East front Room No 3,273
71 - Siddhanerli,Kumar Vidya Mandir Siddhanerli South faced East Side Room No.4,273
72 - Siddhanerli,"Kumar Vidya Mandir, Siddhanerli, South faced Side Bulding Cultural Hall",273
73 - Siddhanerli,"Kanya Vidya Mandir Siddhanerli, South Side Room no.1",273
74 - Bamani,Kumar Vidya Mandir Bamani East Side Room no.1,273
75 - Bamani,Kumar Vidya Mandir Bamani West Side Room no.2,273
76 - Shendur,Central School Vidya Mandir Shendur East side Room no1,273
77 - Shendur,Central School Vidya Mandir Shendur East side Room no 3,273
78 - Shendur,Central School Vidya Mandir Shendur East side Room no.2,273
79 - Shankarwadi,Vidya mandir Shankarwadi North Faced Building Room no 1,273
80 - Bachani,"Vidya mandir Bachani new building, North Facing Building, From East Side Room no.1",273
81 - Bachani,"Vidya Mandir Bachani new building, North Facing Building, From East Side Room no.3",273
82 - Bachani,"Vidya mandir Bachani new building, North Facing Building, From East Side Room no.6",273
83 - Kembali,Vidya mandir Kembali East Side Room no.2,273
84 - Kembali,Vidya Mandir Kembali East side Room No. 4,273
85 - Belavale Kh.,Vidya mandir Belavale Kh. East Side Room no.2,273
86 - Belavale Kh.,Vidya mandir Belavale Kh. West Side Room no.1,273
87 - Belavale Bk.,"Vidya mandir Belavale Bk. South Faced Building, East side Room no. 1",273
88 - Belavale Bk.,"Vidya mandir Belavale Bk. South Faced Building,Old Building, West side Room no. 3",273
89 - Belavale Bk.,"Vidya mandir Belavale Bk. South Faced Building, Old Building, West side Room no. 5",273
90 - Sake,Vidya mandir Sake West faced Bldg East Side Room no.3,273
91 - Sake,Vidya Mandir Sake West faced Bldg. From South side room No. 5,273
92 - Sake,Vidya mandir Sake North faced bldg. faced BldgWest Side Room no.1,273
93 - Vhanali,Vidya Mandir Vhanali East side Room No.2,273
94 - Vhanali,Vidya Mandir Vhanali East side Room No. 5,273
95 - Gorambe,Jawahar Vidyalay Gorambe East Facing Building From North Side Room No. 2,273
96 - Gorambe,Jawahar Vidyalay Gorambe East Facing Building From North Side Room No. 4,273
97 - Gorambe,Jawahar Vidyalay Gorambe East Facing Building From North Side Room No. 6,273
98 - Kenvade,Central Primary School Kenavade Main South Faced Building East Side Room No.4,273
99 - Kenvade,Central Primary School Main South Faced Building East Side Room No.6,273
100 - Savarde Khurd,Vidya Mandir Savarde Kh North Side Bulding No 1. West Side Room no 4,273
101 - Savarde Khurd,Vidya Mandir Savarde Khurd West faced Bldg. No.3 from South side room No. 1,273
102 - Pirachiwadi,Vidya Mandir Pirachiwadi East Side Room No.1,273
103 - Pirachiwadi,Vidya Mandir Pirachiwadi West Side Room No.1,273
104 - Savarde Budruk,Vidya Mandir Savarde Bk. North Side Room no.1,273
105 - Savarde Budruk,Vidya Mandir Savarde Bk. West Side Room no.2,273
106 - Savarde Budruk,Vidya Mandir Savarde Bk. West Side Room no.1,273
107 - Savarde Budruk,Vidya Mandir Savarde Budruk New Bldg South Side Room No. 1,273
108 - Walave Khurd,Vidya Mandir Walave Kh. East Side room no.2,273
109 - Walave Khurd,Vidya Mandir Walve Khurd East faced Room No. 1,273
110 - Mhakave,Vidya Mandir Mhakave South Faced Building East Side Room no. 2,273
111 - Mhakave,Vidya Mandir Mhakave South Faced Building. East Side Room No.5,273
112 - Mhakave,Vidya mandir Mhakave South faced Building East Side Room No.8,273
113 - Mhakave,Vidya Mandir Mhakave new building East Faced Bldg South Side Room no. 2,273
114 - Anur,Vidya Mandir Anur East Side Room no. 2,273
115 - Anur,Vidya Mandir Anur West Side Room No. 2,273
116 - Anur,Vidya Mandir Anur West Side Room no.1,273
117 - Pimpalgaon Bk.,Vidya Mandir Pimpalgaon Bk. East side Room no.1,273
118 - Pimpalgaon Bk.,Vidya Mandir Pimpalgaon Budruk West side Room no.1,273
119 - Sonali,Vidya Mandir Sonali Old Bulding North faced East Side Room No 1,273
120 - Sonali,Vidya Mandir Sonali New Bldg Northfront Bldg from East Side Room No 1,273
121 - Sonali,Vidya Mandir Sonali Old North Building East Side Room No. 2,273
122 - Bidri,Vidya Mandir Bidri East Side Room no.2,273
123 - Bidri,Vidya Mandar Bidri North Faced Bulding East Side Room No 4,273
124 - Bidri (Mouninagar),Dudha Sakhar VidyaNiketan Primari School Bidri (Mouni Nagar ) New Bulding,273
125 - Borawade,Vidya Mandir Borawade Old Building lower East Side Room no.1,273
126 - Borawade,Vidya Mandir Borawade Old Building Lower East Side Room no.2,273
127 - Borawade,Vidya Mandir Borawade Old Building Under North Side Room no.8,273
128 - Borawade,Vidya Mandir Borawade new building South Side Room no.3,273
129 - Borawade,Vidya Mandir Borawade Old Building East Side room No 6,273
130 - Borawade,Vidya Mandir Dattanagar Boravade Room No.1,273
131 - Pharakatewadi,Vidya Mandir Faraktewadi South Side Room No 2,273
132 - Undarwadi,Vidya Mandir Undarwadi New building South side Room no1,273
133 - Undarwadi,Vidya Mandir Undarwadi New building South side Room no 5,273
134 - Nidhori,Vidya Mandir Nidhori East Side Room No. 2,273
135 - Nidhori,Vidya Mandir Nidhori East Side Room No. 5,273
136 - Kurani,Vidya Mandir Kurani East Side Room no.1,273
137 - Kurani,Vidya Mandir Kurani East Side Room No.2,273
138 - Bhadagaon,Vidya Mandir Bhadgaon North Side room No 2,273
139 - Bhadagaon,Vidya Mandir Bhadagaon south side room no.1,273
140 - Choundal,Vidya Mandir Choundal North faced Building East Side Room No. 2,273
141 - Malage Budruk,Vidya Mandir Malage Budruk south side building East side room No 2,273
142 - Malage Budruk,Vidya Mandir Malage bk. East side Room no.4,273
143 - Malage Khurd,Vidya Mandir Malage kh. East side Room no.2,273
144 - Malage Khurd,Vidya Mandir Malage kh. West side Room no.4,273
145 - Banage,Central Vidya Mandir Banage South faced Building East Side Room No.2,273
146 - Banage,Central Vidya Mandir Banage South Faced Building East Side Room No. 4,273
147 - Banage,Central School Vidya Mandir Bange South Faced Building East side room No. 6,273
148 - Koulage,Jivan Shikshan Vidya Mandir koulage South Faced Building East side Room no.2,273
149 - Koulage,Vidya Mandir Songe South Faced Building East Side Room No 4,273
150 - Koulage,Jivan Shikshan Vidya Mandir Koulage East Facing Building North side Room no.2,273
151 - Chikhali,Anganwadi No. 235 Chikhali,273
152 - Chikhali,Gram panchayat office Chikhali side room no.1,273
153 - Chikhali,"Kumar Vidya mandir Primary School, Chikhali South side building East room no 3",273
154 - Chikhali,Kumar Vidya Mandir Primary School South Facing Building From East Side Room No.2,273
155 - Chikhali,Kumar Vidya Mandir Primary School South Facing Building From west Side Room No.1,273
156 - Bastawade,Karmavir Dr.Bhosale Vidya Mandir Bastawde East side Room no. 4,273
157 - Bastawade,Karmveer Dr. Bhosale Vidya Mandir Bastavade East faced Bldg. from North Side Room No.2,273
158 - Sonage,"Vidya Mandir, Sonage. North side room no.1",273
159 - Sonage,Vidya Mandir Sonage South Faced West Side Room N.3,273
160 - Kurukali,"Vidya mandir Kurukali, North faced Buldg. East side Room no 1.",273
161 - Kurukali,"Vidya mandir Kurukali, North faced Buldg. West side Room no 2",273
162 - Surupali,Gram panchayat Office Surupali. New Buldg.,273
163 - Surupali,"Anganwadi, Surupali",273
