PS No & Name,Address,Constituency Number
1 - Lakshtirth Vasahat,Mahatma Phule High School Lakshtirtha Vasahat West Side Room No. 3,274
2 - Lakshtirth Vasahat,Mahatma Phule High School Lakshtirtha Vasahat West Side Room No. 4,274
3 - Lakshtirth Vasahat,Maharshi Vitthal Ramaji Alias Annaso Shinde Vidyalay New Building From East Side South Faced Room No.1,274
4 - Lakshtirth Vasahat,Maharshi Vitthal Ramaji Alias Annaso Shinde Vidyalay New Building From East Side South Faced Room No.3,274
5 - Lakshtirth Vasahat,Maharshi Vitthal Ramaji Alias Annaso Shinde Vidyalay New Building From South Faced Room No. 4,274
6 - Lakshtirth Vasahat,Prabuddha Bharat Highschool West Side Room No.2,274
7 - Lakshtirth Vasahat,Prabuddha Bharat Highschool West Side Room No. 3,274
8 - Lakshtirth Vasahat,Prabuddha Bharat Highschool East Side Room No.5,274
9 - Lakshtirth Vasahat,Prabuddha Bharat Highschool west Side Room No.9,274
10 - DandgaiWadi,Prabuddha Bharat Highschool North Side Room No.2,274
11 - Mirabag Kolhapur,Prabuddha Bharat Highschool North Side Room No.1,274
12 - Phulewadi,Shri Gurudev Vidyaniketan West Side Std 10 Th B Class Room,274
13 - Phulewadi,Shri Gurudev Vidyaniketan West Side 9th A Class Room,274
14 - Phulewadi,Shri Gurudev Vidyaniketan West Side Std 9th B Class Room,274
15 - Phulewadi,"Mahatma Phule Vidya Laya Phulewadi School No.21, North Faced From West Side Room No.2",274
16 - Phulewadi,"Mahatma Phule Vidya Laya Phulewadi School No.21, North Faced Fromwest Side Room No.4",274
17 - Phulewadi,"Mahatma Phule Vidya Laya Phulewadi School No.21, West Faced From South Side 2Nd Room",274
18 - Phulewadi,"Mahatma Phule Vidya Laya Phulewadi School No.21, West Faced From South Side Room No.4",274
19 - Phulewadi Ring Rod,Bondrenagar Vidyalaya School No.74 From South Side Room No.1,274
20 - Phulewadi Ring Rod,Bondre Nagar Vidyalaya School No.74 From South Side Room No.2,274
21 - Ambai Tank,Rotary Vidyalaya Near K D C C Bank Room No. 2,274
22 - Ambai Tank,Rotary Vidyalaya Near K D C C Bank Room No. 3,274
23 - Rajopadhye Nagar,"Co. Govind Panasare Vidyalay, North Side Room No.1",274
24 - Rajopadhye Nagar,"Co. Govind Panasare Vidyalay, North Side Room No.2",274
25 - Rajopadhye Nagar,"Co. Govind Panasare Vidyalay, North Side Room No.3",274
26 - Rajopadhye Nagar,Co. Govind Panasare Vidyalay North Side Room No.6,274
27 - Rajopadhye Nagar,"Co. Govind Panasare Vidyalay, North Side Room No.4",274
28 - Rajopadhye Nagar,"Co. Govind Panasare Vidyalay, North Side Room No.5",274
29 - Rajopadhye Nagar,"Co. Govind Panasare Vidyalay, South Side Hall",274
30 - Saneguruji Vasahat,Saneguruji Vasahat Vidyalaya School No. 58 East Side Room No.1,274
31 - Saneguruji Vasahat,Saneguruji Vasahat Vidyalaya School No. 58 East Side Room No.2,274
32 - Saneguruji Vasahat,Saneguruji Vasahat Vidyalaya School No. 58 West Side Room No.2,274
33 - Saneguruji Vasahat Kolhapur,Vasantrao Jayvantrao Deshmukh Highschool West Side Room No. 2,274
34 - Saneguruji Vasahat Kolhapur,Vasantrao Jayvantrao Deshmukh Highschool West Side Room No. 3,274
35 - Saneguruji Vasahat Kolhapur,Vasantrao Jayvantrao Deshmukh Highschool West Side Room No. 4,274
