PS No & Name,Address,Constituency Number
1 - Padsali,Padsali Primary School East Side Room No. 1,275
2 - Washi,Washi Z P Primary School East Side Room,275
3 - Kolik,Kolik Primary School South Side Room,275
4 - Chaphewadi,Vidyamandir Chaphewadi West side Room No. 1,275
5 - Manawad,ZP School Khapanewadi East Side,275
6 - Pombare,Pombare Vidyamandir North Side Room No.1 Pombare,275
7 - Pisatri,Pisatri Z.P.Primary School Room No. 1,275
8 - Kaljawade,Kaljawade Vidyamandir South Side Room No. 2,275
9 - Kisarul,Kisarul Vidyamandir West Side Room 1,275
10 - Mugadewadi,Mugadevadi Anganwadi No. 189,275
11 - Pat Panhala,Vidyamandir Pat Panhala Room No. 2,275
12 - Bandrewadi,Primary School Bandrewadi,275
13 - Kourwadi,Primary School Kourwadi,275
14 - Porle Tarf Borgaon,Primary School Porle Tarf Borgaon,275
15 - Bajar Bhogaon,"Abasaheb Bhogaonkar Jr. College, Bajar Bhogaon Room no.1 from North side",275
16 - Bajar Bhogaon,Aabasaheb Bhogaonkar Junior College South Side,275
17 - Pohalawadi,Vidyamandir Pohalwadi North Side Room No 1,275
18 - Walawekarwadi,Walawekar wadi Z P Primary School Room No 1,275
19 - Khumbharwadi,Primary School Khumbharwadi East side Room No1,275
20 - Pohale Tarf Borgaon,Vidyamandir Pohale Tarf Borgaon Room No 1,275
21 - Pohale Tarf Borgaon,Vidyamandir Pohale Tarf Borgaon East side Room No 2,275
22 - Waloli,Vidyamandir Waloli East Side Room No 1,275
23 - Salwadi,Vidyamandir Salwadi Room No 1 From West Side,275
24 - Waranul,Vidyamandir Waranul East Side Room No 1,275
25 - Majnal,Vidyamandir Majnal East Side Room No 1,275
26 - Majnal,Vidyamandir Majnal West Side Room No 3,275
27 - Kate Bhogaon,Vidyamandir Katebhogaon East side Room No.1,275
28 - Talewadi,Vidyamandir Talewadi East side Room No.1,275
29 - PushireTarf Borgaon,Vidyamandir Pushire Tarf Borgaon,275
30 - Punal,Punal Shankarao Chavan Vidyamandir South Side Room No 1,275
31 - Punal,Punal Shankarrao Chavan Vidyamandir Punal Room No 2 ( North Side),275
32 - Punal,Punal Shankarrao Chavan Vidyamandir Punal Room No 3 ( North Side),275
33 - Mhalunge Tarf Borgaon,Vidyamandir Mhalunge Tarf Borgaon,275
34 - Kasaba Thane,KanyaVidyamandir Kasaba Thane Southern Room No 1 From West side,275
35 - Kasaba Thane,KanyaVidyamandir Kasaba Thane Western Room No 1,275
36 - Mahadikwadi,Vidyamandir Mahadikwadi Room No 1,275
37 - Devthane,Vidyamandir Devthane,275
38 - Shindewadi,Shindewadi Vidyamandir ZP Primary School Room No 1,275
39 - Malwadi,Vidyamandir ZP Primary School (Majgaon Paiki) Malwadi Room No 1,275
40 - Khotwadi,Khotwadi Vidyamandir ZP Primary School East Side Room No 3,275
41 - Majgaon,Majgaon Vidyamandir ZP Primary School East Side Room 1,275
42 - Majgaon,Majgaon Vidyamandir ZP Primary School East Side Room No 3,275
