PS No & Name,Address,Constituency Number
1 - Nilevadi,"Vidya Mandir , Nilewadi Eastern the room No. 2",278
2 - Nilevadi,"Farewell Mandir, old building from east room No. 4",278
3 - Old Pargaon,Vidya Mandir Room No. 3 from West,278
4 - Old Pargaon,Vidya Mandir Room No. 5 from West,278
5 - Old Pargaon,Vidya Mandir Room No. 7 from West,278
6 - Old Pargaon,"Anganwadi Room (Vidya Mandir, Opposite School)",278
7 - New Pargaon,"CENTRAL PRIMARY SCHOOL NO 65, EAST NORTH SOUTH BUILDING ROOM NO 2 SOUTH",278
8 - New Pargaon,CENTRAL PRIMARY SCHOOL NO 65 EAST-WEST BUILDING EAST ROOM NO.3,278
9 - New Pargaon,"Central Primary School, no. 65, Nave Pargaon from West side North -South building from South side Room no. 6",278
10 - New Pargaon,"Central Primary School, no. 65, Nave Pargaon from West side North -South building from South side Room no. 3",278
11 - New Pargaon,"Vidya Mandir Chandoli Colony, New Pargaon",278
12 - old chavre,Anganwadi Room June Chavare,278
13 - New Chawre,"Vidya Mandir, East Room No. 2",278
14 - New Chawre,"Vidya Mandir ,from east the room No. 4",278
15 - Ghunki,"KUMAR VIDYA Mandir, EAST WEST FACING ROOM NO. 1",278
16 - Ghunki,"Kumar Vidya Mandir,Western east facing the room No. 6",278
17 - Ghunki,"Kanya Vidya Mandir, from north side room no. 2",278
18 - Ghunki,"Kanya Vidya Mandir,from the south room No. 3",278
19 - Ghunki,"Anganwadi No.133,Ghunki",278
20 - Ghunki,"Kanya Vidya Mandir ,from the south roomNo. 1",278
21 - Ghunki,"Kanya Vidya Mandir ,from the north the roomNo 03",278
22 - Talsande,"Vikas Vidya Mandir ,North-South building from south side room No. 1",278
23 - Talsande,"Vikas Vidya Mandir ,North-South building from south side room No. 3",278
24 - Talsande,"Vikas Vidya Mandir ,East West building from west side room No. 2",278
25 - Talsande,"Kanya Vidya Mandir,East West building ,from the eastthe room No. 04",278
26 - Talsande,"Kanya Vidya Mandir,North South ,building from souththe room No2",278
27 - Padli,"Vikas Vidya Mandir , (New building )from the west the room No1",278
28 - Padli,"Vikas Vidya Mandir , (old building )from the west the room No. 1",278
29 - Padli,"Vikas Vidya Mandir , (Hexagon building )from the south the room No1",278
30 - Manpadli,"Vidya Mandir ,school No . 1 Eastern room No . 1,",278
31 - Manpadli,"Vidya Mandir ,school No . 1 Eastern roomNo . 3,",278
32 - Ambapwadi,"Vidya Mandir ,East West in the building from the east 3 Re the room",278
33 - Ambapwadi,"Vidya mandir Hexagon building,",278
34 - Ambap,"Jeevan Shikshan Vidya mandir ,East West building North side the room No. 1",278
35 - Ambap,Jeevan Shikshan Vidya mandir East West building from the east room No. 4,278
36 - Ambap,"Jeevan Shikshan Mandir ,East West building from the west room No. 1",278
37 - Ambap,"Kanya Vidya Mandir ,North east building ,from north room No. 1",278
38 - Ambap,"Kanya Vidyamadir,SouthIn North Building north side room No.2",278
39 - Ambap,"Kanya Vidya Mandir, , Hexagonal building north side room No. 1",278
40 - Vathar Tarf Vadgaon,Central Primary school No . 68 East-West Building from the east room No. 2,278
41 - Vadgaon Tarf Vathar,"Central Primary school No . 68, East Room from east west building No. 3",278
42 - Vathar Tarf Vadgaon,"Central Primary school No 68 , South North Building North from room No 01",278
43 - Vathar Tarf Vadgaon,"Kanya Vidya Mandir , East West Building from the east room No. 2",278
44 - Vathar Tarf Vadgaon,"Kanya Vidya the Mandir , East West Building from the west room No. 6",278
45 - Kini,"Kanya Vidya Mandir, between the room South north building",278
46 - Kini,"the village Near the well Azad square Anganwadi No. 35,",278
47 - Kini,"Bhadole road Anganwadi No.24,",278
48 - Kini,"Pratap Vidya Mandir ,Eastern room No . 3 East West building",278
49 - Kini,"PratapVidyamandir,Western roomNo 2,East West building",278
50 - Kini,Pratap Vidya Mandir Kini North South building East facing Room no.2,278
51 - Kini,Kanya Vidya Mandir Kini East-West building from West side Room no.1,278
