PS No & Name,Address,Constituency Number
1 - Kathora,Z.P.Marathi Upper Pre Middle School Kathora,27
2 - Kalvad,"Anganwadi Kendra Building, Kalvad",27
3 - Bhastan,Z.P.Marathi Primary School Bhastan,27
4 - Sagoda,Z.P.Marathi Primary School Sagoda,27
5 - Bhonaganv,Z.P.Upper Primary School South Side Room No. 2 Bhonagaon,27
6 - Bhonaganv,Z.P.Upper Primary School North Side Room No. 4 Bhonagaon,27
7 - Bondaganv,Z.P.Marathi Primary School Bondgaon,27
8 - Yeulakhed,Z.P.Marathi Primary School Yeulkhed,27
9 - Chinchakhed,Z.P.Marathi Primary School Chinchkhed,27
10 - Mataraganv Bu.,Z.P.Marathi Primary Girls School West Side Building South Side Room No. 1 Mataragaon Bk.,27
11 - Mataraganv Bu.,Z.P.Marathi Primary Girls School East Side Building Road Side Room Mataragaon Bk.,27
12 - Mataraganv Bu.,Z.P.Marathi Primary School South Side Building East Side Room No. 1 Mataragaon Bk.,27
13 - Mataraganv Bu.,Z.P.Marathi Primary School South Side Building West Side Room No. 1 Mataragaon Bk.,27
14 - Mataraganv Bu.,Z.P.Marathi Primary School South Side Building North Side Room No. 1 Mataragaon Bk.,27
15 - Mataragaav Bu.,Z.P.High School Room No. 5 Mataragaon Bk.,27
16 - Mataraganv Bu.,Z.P.High School Room No. 8 Mataragaon Bk.,27
17 - Dolarakhed,Z.P.Marathi Primary School Dolarkhed,27
18 - Kholakhed,Z.P.Primary School Kholkhed,27
19 - Mataraganv Khu.,Z.P.Marathi Upper Primary School Mataragaon Kd.,27
20 - Nimbi,"Z.P.Marathi Primary School, Nimbi",27
21 - Machchhindrakhed,Z.P.Marathi Upper Primary School Machchhindrakhed,27
22 - Janori,Z.P.Marathi Primary School East West Building East Side Room No. 3 Janori,27
23 - Janori,Z.P.Marathi Primary School East West Building Seprate Room Janori,27
24 - Takali Dharav,Z.P.Marathi Upper Primary School Takali Dharav,27
25 - Tivhan Kd.,"Z.P. Marathi Primary School Room No.1, Tivhan Kd.",27
26 - Sangava,Z.P.Marathi Primary School Sangava,27
27 - Jalamb,Z.P.Marathi Primary School East West Building East Side Room No. 1 Jalamb,27
