PS No & Name,Address,Constituency Number
1 - Kavathesar,"Kavathesar Vidyamandir, South side Room No. 1, Kavathesar",280
2 - Kavathesar,"Vidyamandir, South side Room No. 6, Kavathesar",280
3 - Kavathesar,"Dada Nana Bhokare Highschool, Kavthesar, Room No. 1",280
4 - Kothali,"Kanya Vidya Mandir, Room No. 7 from North, Kothali",280
5 - Kothali,"Kanya Vidya Mandir, Room No. 3 from North, Kothali",280
6 - Kothali,"Kanya Vidya Mandir, Room No.2 from East, Kothali",280
7 - Kothali,"Adarsh Vidyalaya, West Room No. 1, Kothali",280
8 - Kothali,"Adarsh Balak Mandir, New Building from North, Room No. 2, Kothali",280
9 - Kothali,"Adarsh Vidyalaya, Room No. 3 from North, Kothali",280
10 - Danoli,"Kumar Vidya Mandir School No. 1 East side room No. 2, Danoli",280
11 - Danoli,"Kumar Vidya Mandir School No. 1 East side room No. 4, Danoli",280
12 - Danoli,"Danoli Highschool Danoli New Building East side room No. 1, Danoli",280
13 - Danoli,"Danoli Highschool Danoli New Building East side room No. 2, Danoli",280
14 - Danoli,"Kanya Vidya Mandir, South Building, East Room No. 1, Danoli",280
15 - Danoli,"Kanya Vidya Mandir North side Room No. 3, Danoli",280
16 - Danoli,"Kanya Vidya Mandir, South Building, East Room No. 5, Danoli",280
17 - Danoli,"Kanya Vidya Mandir North side Building East side room No. 1, Danoli",280
18 - Danoli,"Kanya Vidya Mandir North Building East side room No. 6, Danoli",280
19 - Danoli,"Kumar Vidya Mandir Chandoli Colony Danoli East side room No. 2, Danoli",280
20 - Umalwad,"Kumar Vidya Mandir, from East side Room No. 1",280
21 - Umalwad,"Kumar Vidyamandir, Room No. 1 from West, Umalwad",280
22 - Umalwad,"Girls Primary School, South North Building, Room No. 2 from South, Umalwad",280
23 - Umalwad,"Girls Primary School, East West Building, No. 1 from West, Umalwad",280
24 - Chinchwad,"Vidya Mandir Chinchwad, Old Building, East side room No. 1",280
25 - Chinchwad,"Vidya Mandir Chinchwad, New Building, East side room No. 1",280
26 - Chinchwad,"Kumar Vidya Mandir, Beghar Colony, Chinchwad",280
