PS No & Name,Address,Constituency Number
1 - Vari Bhairavgarh,Z.P. Pra. Marathi Shala Vari Bhairavagadh Kholi Kr. 1,28
"2 - Nagrtas, Barukhed",Z.P. Pra. Marathi Shala Vari Bhairavagadh Kholi Kr. 2,28
3 - Pimparkhed,Z.P. Pra. Marathi Shala Pimparkhed Kholi Kr. 1,28
4 - Diwanazari,Z.P. Pra. Marathi Shala Divanazari Kholi Kr. 1,28
5 - Zaribazar,"Z.P. Pra. Marathi School, Zaribazar, Kholi Kr. 1",28
6 - Khandala,Z.P. Pra. Marathi Shala Khandala Kholi Kr. 1,28
7 - Khandala,Z.P. Pra. Marathi Shala Khandala.Kholi Kr. 2,28
8 - Boravha,Z.P. Pra. Marathi Shala Boravha Kholi Kr. 1,28
9 - Bhili,Z.P. Pra. Marathi Shala Bhili Kholi Kr. 1,28
10 - Chipi,Z.P. Pra. Marathi Shala Chipi Kholi Kr. 1,28
11 - Dhonda Akhar,"Z. P. Pra. Marathi Shala Dhonda Akhar, Kholi Kr. 1",28
12 - Jitapur Pr Adaav,Z.P. Pra. Marathi Shala Uttar Bhag Jitapur Pr. Adaganv.,28
13 - Shahapur Rupagad,Z.P. Pra. Marathi Shala Shahapur Rupagad Kholi Kr.1,28
14 - Rahanapur,Z.P. Pra. Marathi Shala Rahanapur Kholi Kr.1,28
15 - Shahanur (jangal ),Z.P. Pra. Marathi Shala Shahnoor Jangal Kholi Kr.1,28
16 - Popatakhed,Z.P. Pra. Marathi Shala Popatakhed Kholi Kr. 1,28
17 - Popatakhed.,Z.P. Pra. Marathi Shala Popatakhed. Kholi Kr. 2,28
18 - Gullarghat,Z.P.Pra.Marathi Shala Gullarghat Kholi Kr.1,28
19 - Somthana,Z.P.Pra. Marathi Shala Somthana Kholi Kr.1,28
20 - Januna Bk,Z.P. Pra. Marathi Shala Januna Bk Kholi Kr 1,28
21 - Vastapur Mankari,Z.P. Pra. Marathi Shala Vastapur Manakari. Kholi Kr. 1,28
22 - Vastapur Mankari,Z.P. Pra. Marathi Shala Vastapur Manakari. Kholi Kr. 2,28
23 - Khirakund Bu,Z.P. Pra. Marathi Shala Khirakund Bu. Kholi Kr. 1,28
24 - Khirakund Bu,Z.P. Pra. Marathi Shala Khirakund Bu. Kholi Kr. 2,28
25 - Ruihed,Z.P. Pra. Marathi Shala Ruikhed Kholi Kr 2,28
26 - Ruqhed,Z.P. Pra. Marathi Shala Ruikhed Kholi Kr. 1,28
27 - Mahagaon,Z.P. Pra. Marathi Shala Mahaganv Kholi Kr 1,28
28 - Ambadi,Z.P. Pra. Marathi Shala Ambadi Kholi Kr 1,28
29 - Dharur Ramapur,Z.P. Pra. Marathi Shala Dharur Ramapur Kholi Kr 1,28
30 - Dhargad,Z.P. Pra. Marathi Shala Dhargad Kholi Kr 1,28
31 - Bordi,"Z.P. Pra. Marathi Shala Bordi Kholi Kr ,. 1",28
32 - Bordi,Z.P. Pra. Marathi Shala Bordi Kholi Kr. 2,28
33 - Bordi,Z.P. Pra. Marathi Shala Bordi Kholi Kr 1,28
34 - Kasod Shivpur,Z.P. Pra. Marathi Shala Kasod Shivapur Kholi Kr. 1,28
35 - Kasod Shivpur,Z.P. Pra. Marathi Shala Kasod Shivapur Kholi Kr. 2,28
36 - Amona,Z.P. Pra. Marathi Shala Amona Kholi Kr.1,28
37 - Makarmpur,Z.P. Pra. Marathi Shala Makramapur Kholi Kr 1,28
38 - Umra,Z.P. Pra. Marathi Shala Umra Kholi Kr 1,28
39 - Umra,Z.P. Pra. Ma. Shalechi Imarat Umra Kholi Kr 2,28
40 - Ladaga,Z.P. Pra. Marathi Shala Ladeganv Kholi Kr 1,28
41 - Umra,Z.P. Pra. Marathi Shala Umra Kholi Kr. 3,28
42 - Umra,Z.P. Pra. Marathi Shala Umra Kholi Kr. 4,28
43 - Pimpri Khurd,Z.P. Pra. Marathi Shala Pimpri Khurd Kholi Kr 1,28
44 - Pimpri Khurd,Z.P. Pra. Marathi Shala Pimpri Khurd Kholi Kr. 2,28
45 - Belura,Z.P. Pra. Marathi Shala Belura Kholi Kr 1,28
46 - Janpur Pimpri,Z.P. Pra. Marathi Shala Jainpur Pimpri Kholi Kr 1,28
47 - Khairkhed,Z.P. Pra. Marathi Shala Khairakhed Kholi Kr. 1,28
48 - Adalapur,Z.P. Pra. Marathi Shala Adalapur. Kholi Kr 1,28
49 - Chitalwadi,Z.P. Madhy. Vidya. Chitalavadi Kholi Kr. 1,28
50 - Chitalwadi,Z.P. Madhy. Vidya. Chitalavadi.Kholi Kr. 2,28
51 - Sadarpur,Z.P. Pra. Marathi Shala Sadarpur .Kholi Kr. 1,28
52 - Malthana Bk.,Z.P. Pra. Marathi Shala Malathana Bu..Kholi Kr. 1,28
53 - Talegaon Bk,Z. P. Pra. Marathi School Talegaon Bk Kholi Kr.1 Uttar Bhag,28
54 - Hiwarkhed,Z.P.Pra.Urdu M.Gandhi (Urdu Vibhag) Athavadi Bazar Hiwarkhed Kholi Kr.1 Purv Bhag,28
55 - Hiwarkhed,Z.P. Varishth Pra. Urdu Shala Athavadi Bazar Hiwarakhed Kholi Kr. 1 Purv Bhag,28
56 - Hiwarkhed,"Z. P. Pra. Urdu Vidyalay Athavati Bazar - Hiwarkhed, Kholi Kr. 1 Uttar Bhag",28
57 - Hiwarkhed,Z.P. Kendriy Kanishth Pra. Mulinchi Shala Hiwarakhed Kholi Kr. 1,28
58 - Hiwarkhed,Z.P. Kendriy Kanishth Pra. Mulinchi Shala Hiwarkhed. Kholi. Kran. 2,28
59 - Hiwarkhed,Z.P. Kendriy Kanishth Pra. Mulanchi Shala Hiwarkhed Kholi Kr. 3,28
60 - Hiwarkhed,Z. P. Kendriy Pra.Marathi Mulanchi Shala Hiwarkhed Kholi Kr. 1 Sarkari Davakhana Javal,28
61 - Hiwarkhed,Z.P. Kendriy Kanishth Pra. Mulinchi Shala Hiwarkhed Kholi Kr. 4,28
62 - Hiwarkhed,"Z. P. Kendriy Pra.Marathi Mulinchi Shala Hiwarkhed,Kholi Kr. 2 Sarkari Davakhana Javal",28
63 - Hiwarkhed,Z.P. M. Gandhi Kanishth Mahavidyalay Hiwarkhed. Kholi Kr. 1 Dakshin Bhag,28
64 - Hiwarkhed,Z.P. M. Gandhi Kanishth Mahavidyalay Hiwarkhed. Kholi Kr. 2 Purv Bhag,28
65 - Hiwarkhed,Z.P. M. Gandhi Kanishth Mahavidyalay Hiwarkhed. Kholi Kr. 3 Purv Bhag,28
66 - Hiwarkhed,Z.P. M. Gandhi Kanishth Mahavidyalay Hiwarkhed. P Kholi Kr. 4 urv Bhag,28
67 - Hiwarkhed,Z.P. M. Gandhi Kanishth Mahavidyalay Hiwarkhed. Purv Bhag Kholi Kr. 5,28
68 - Hiwarkhed,Z.P. M. Gandhi Kanishth Mahavidyalay Hiwarkhed.Kholi Kr. 6 Purv Bhag,28
69 - Hiwarkhed,Maulana Abdul Kalam Azad Urdu Highschool Hiwarkhed Kholi Kr. 1,28
70 - Hiwarkhed,Maulana Abdul Kalam Azad Urdu Highschool Hiwarkhed Kholi Kr. 2,28
71 - Hiwarkhed,Maulana Abdul Kalam Azad Urdu Highschool Hiwarkhed Kholi Kr. 3,28
72 - Hiwarkhed,"Z. P. Kendriy Pra.Marathi Mulanchi Shala Hiwarkhed, Kholi Kr. 4 Sarkari Davakhana Javal",28
73 - Karla Bu.,Z.P. Pra. Marathi Shala Kholi Kr. 1 Karla Bu. Pashchim Bhag,28
74 - Karla Bu.,Z.P. Pra. Marathi Shala Kholi Kr. 2 Karla Bu. Pashchim Bhag,28
75 - Saundala,Z.P. Madhy. Vidyalay Saundala Kholi Kr. 1,28
76 - Saundala,Z.P. Madhy. Vidyalay Saundala Kholi Kr. 2,28
77 - Saundala,Z.P. Pra. Marathi Shala Saundala Kholi Kr. 1,28
78 - Varakhed,Z.P. Pra. Marathi Shala Varakhed Kholi Kr. 1,28
79 - Danapur,"Hanuman Prasad Janta Vidhyalay Danapur, Kholi Kr.11 Pashchim Bhag",28
80 - Danapur,Z.P. Pra. Marathi Mulanchi Shala Danapur Kholi Kr. 1,28
81 - Danapur,Z.P. Pra. Marathi Mulanchi Shala Danapur Kholi Kr. 2,28
82 - Danapur,Z.P. Pra. Marathi Mulanchi Shala Danapur Kholi Kr. 3,28
83 - Danapur,Z.P. Pra. Marathi Mulinchi Shala Danapur Kholi Kr. 1,28
84 - Danapur,Hanuman Prasad Janta Vidyalay Danapur Kholi Kr. 7 Purv Bhag,28
85 - Danapur,"Hanuman Prasad Janta Vidhyalay Danapur, Kholi Kr.9 Purv Bhag",28
86 - Hingani Bu..,Z.P. Pra. Marathi Shala Shala Hingani Bu. Kholi Kr. 1,28
87 - Hingani Bu..,Z.P. Pra. Marathi Shala Shala Hingani Bu. Kholi Kr. 2,28
88 - Hingani Bu..,Z.P. Pra. Marathi Shala Shala Hingani Bu. Kholi Kr. 3,28
89 - Gordha,Z.P. Pra. Marathi Shala Gordha Kholi Kr. 1,28
90 - Talegaon Bu.,Z.P. Pra. Marathi Shala Talegaon Bu. Kholi Kr. 1,28
91 - Talegaon Bu.,Z.P. Pra. Marathi ShalaTaleganv Bu. Kholi Kr. 2,28
92 - Adgaon Bu.,Z.P. Kanishth Mahavidyalay Adgaon Bu Kholi Kr. 1 .Purv Bhag.,28
93 - Adgaon Bu.,Z.P. Kanishth Mahavidyalay Adgaon Bu Kholi Kr. 2 .Purv Bhag.,28
94 - Adgaon Bu.,Z.P. Kanishth Mahavidyalay Adgaon Bu Kholi Kr. 3 .Purv Bhag.,28
95 - Adgaon Bu.,Z.P. Kanishth Mahavidyalay Adgaon Bu Kholi Kr. 2 Dakshin Bhag.,28
96 - Adgaon Bu.,"Z. P. Pra. Urdu Kanya Shala Adgoan Bu., Kholi Kr. 2",28
97 - Adgaon Bu.,Z. P. Pra. Urdu Mulanchai Shala Adgoan Bu. Kholi Kr. 1,28
98 - Adgaon Bu.,Z. P. Pra. Urdu Mulanchai Shala Adgoan Bu. Kholi Kr. 2,28
99 - Adgaon Bu.,"Maulana Abdul Kalam Azad Urdu Highschool Adgaon Bu, Kholi Kr. 1",28
100 - Shivaji Nagar,"Swa. Baburavji Bazare Madhyamik Vidhyaly Shivaji Nagar, Kholi Kr.1",28
101 - Shivaji Nagar,"Swa. Baburavji Bazare Madhyamik Vidhyaly Shivaji Nagar, Kholi Kr.2",28
102 - Adgaon Kh.,Z.P. Pra. Marathi Shala Adaganv Khurd Kho. Kr. 1,28
103 - Adgaon Kh.,Z.P. Pra. Marathi Shala Adaganv Khurd Kho. Kr. 2,28
104 - Nevhori Bu.,Z.P. Pra. Marathi Shala Nevhori Bu. Kholi Kr 1,28
105 - Jalgaon Nahate,Z.P. Pra. Marathi Shala Jalaganv Nahate Uttar Bhag Kholi Kr1,28
106 - Wadali Satwai,Z.P. Pra. Marathi Shala Vadali Satavai Kholi Kr 1,28
107 - Wadali Satwai,Z.P. Pra. Marathi Shala Vadali Satavai Kho. Kr. 2,28
108 - Akot,Smt gitabai Pote school Hiwarkhed road akot Room No 1 (Old Krushi Tantr Vidhyalay Akot ),28
109 - Akot,Smt gitabai Pote school Hiwarkhed road akot Room No 2 (Old Krushi Tantr Vidhyalay Akot ),28
110 - Akot,N. Pa. Pra. Marathi Shala Kr. 7 Akot Kholi Kr. 2,28
111 - Akot,"Freedom English School, Gajanan Nagar, Akot Kholi Kr.1",28
112 - Akot,"Freedom English School, Gajanan Nagar, Akot Kholi Kr.2",28
113 - Akot,N. Pa. Pra. Marathi Shala Kr. 7 Akot Kholi Kr. 3,28
114 - Akot,N. Pa. Pra. Marathi Shala Kr. 7 Akot Kholi Kr. 4,28
115 - Akot,N. Pa. Pra. Urdu Shala Akot Kr. 4 Kholi Kr. 5,28
116 - Akot,N. Pa. Pra. Urdu Shala Akot Kr. 4 Kholi Kr. 6,28
117 - Akot,N. Pa. Pra. Urdu Shala Kr. 4 Akot Kholi Kr. 6,28
118 - Akot,Nagar Palika Primary Urdu Shala No 4 Akot dakshine kadil gol Kholi Kr 1,28
119 - Akot,Z. P. Pra. Marathi Shala Akot Kr. 8 Kholi Kr. 1 Akot,28
