PS No & Name,Address,Constituency Number
1 - Kazikhed,Jilha Parishad Prathamik Shala Room No 1 Kazikhed,29
2 - Janori Mel,Jilha Parishad Prathamik Shala Room No 1 Janori Mel,29
3 - Mokha,Jilha Parishad Prathamik Shala Room No 1 Mokha,29
4 - Dagadakhed,Jilha Parishad Prathamik Shala Room No 1 Dagadakhed,29
5 - Nagad,Jilha Parishad Prathamik Shala Room No 1 Nagad,29
6 - Sagad,Jilha Parishad Prathamik Shala Room No 1 Sagad,29
7 - Hata,Jilha Parishad Prathamik Shala Room No 1 Hata,29
8 - Hata,Jilha Parishad Prathamik Shala Room No 2 Hata,29
9 - Hata,Jilha Parishad Prathamik Shala Room No3 Hata,29
10 - Naya Andura,Jilha Parishad Prathamik Shala Room No 1 Naya Andura.,29
11 - Andura,Vidhya Mandir Primary School Andura Room No 1,29
12 - Andura,Vidhya Mandir Primary School Andura Room No 2,29
13 - Andura,Vidhya Mandir Primary School Andura Room No 3,29
14 - Sonala,Jilha Parishad Prathamik Shala Room No 1 Sonala,29
15 - Borgaon Vairale,Jilha Parishad Prathamik Shala Room No 1 Boraganv Vairale,29
16 - Dhamana,Jilha Parishad Prathamik Marathi Shala Room No 1 Dhamana,29
17 - Nirat,Jilha Parishad Prathamik Marathi Shala Room No 1 Nirat,29
18 - Vairat Rajapur,Jilha Parishad Prathamik Marathi Shala Room No 2 Nirat,29
19 - Gopalkhed,Jilha Parishad Prathamik Marathi Shala Room No 1 Gopalakhed,29
20 - Gandhigram,Jilha Parishad Prathamik Marathi Shala Room No 1 Gandhigram,29
21 - Gandhigram,Jilha Parishad Prathamik Marathi Shala Room No 2 Gandhigram,29
22 - Vallabhanagar,Jilha Parishad Prathamik Marathi Shala Room No 1 Vallabh Nagar,29
23 - Sangavi Khu,Jilha Parishad Prathamik Marathi Shala Room No 1 Sangavi Khu,29
24 - SN of Polling Station,Jilha Parishad Prathamik Marathi Shala Room No 1 Palodi,29
25 - Khambora,Jilha Parishad Prathamik Marathi Shala Room No 1 Khambora,29
26 - Dudhala,Jilha Parishad Prathamik Marathi ShalaRoom No 1 Dudhala,29
27 - Shingoli,Jilha Parishad Prathamik Shala Room No 1 Shingoli,29
28 - Karanja Ramajanapur,Jilha Parishad Prathamik Shala Room No 1 Karanja Ramajanapur,29
29 - Kavatha,Jilha Parishad Prathamik Shala Room No 1 Kavatha,29
30 - Bahadura,Gram Panchayat Bhawan Room No 1 Bahadura,29
31 - Nimbi,Jilha Parishad Prathamik Shala Room No 1 Nimbi,29
32 - Nimba,Jilha Parishad Prathamik Shala Room No1 Nimba,29
33 - Nimba,Jilha Parishad Prathamik Shala Room No2 Nimba,29
34 - Nimba,Z P Parthamik marathi Shala Room No 3 Nimba,29
35 - Hingana Nimba,Jilha Parishad Prathamik Shala Room No 1 Hingana Nimba,29
36 - Vazegaon,Jilha Parishad Prathamik Shala Room No 1 Vazegaon,29
37 - Lohara,Jilha Parishad Prathamik Shala East Room No 1 Bhag Lohara,29
38 - Lohara,Jilha Parishad Prathamik Shala Room No 2 West Bhag Lohara,29
39 - Lohara,Gram Panchayat Bhawan Lohara,29
40 - Lohara,Jilha Parishad Prathamik Urdu Shala Room No 3 Lohara,29
41 - Antri Malakapur,Jilha Parishad Prathamik Shala Room No 1 Antri Malakapur,29
42 - Antri Malakapur,Jilha Parishad Prathamik Shala Room No 2 Antri Malakapur,29
43 - Morzadi,Jilha Parishad Prathamik Shala Room No 1 Morazadi,29
44 - Hatrun,Jilha Parishad Prathamik Urdu / Marathi Shala Gavabaher East BhagRoom No 1 Hatarun,29
45 - Hatrun,Jilha Parishad Prathamik Urdu / Marathi Shala Gavabaher East BhagRoom No 2 Hatarun,29
46 - Hatrun,Jilha Parishad Prathamik Urdu/ Marathi Shala Gavabaher Madhy Bhag Room No 3 Hatarun,29
47 - Hatrun,Jilha Parishad Prathamik Urdu/ Marathi Shala Gavabaher Madhy Bhag Room No 4 Hatarun,29
48 - Malvada,Jilha Parishad Prathamik Shala Room No 1 Malavada,29
49 - Lonagra,zilla parishad prathamik marathi school Room No 1 lonagra,29
50 - Agar,Jilha Parishad Prathamik Marathi Shala Agar Room No 1,29
51 - Agar,Jilha Parishad Prathamik Marathi Shala Room No 2 Agar,29
52 - Agar,Jilha Parishad Prathamik Marathi Shala Room No 3 Agar,29
53 - Agar,Jilha Parishad Prathamik Marathi Shala Room No 4 Agar,29
54 - Navathal,Z P Prathamik Shala Room No 1 Navathal,29
55 - Ugava,Jilha Parishad Prathamik Kanya Shala Room No 1 Ugava,29
56 - Ugava,Jilha Parishad Besik Shala Room No 1 Ugava,29
57 - Ugava,Jilha Parishad Besik Shala Room No 2 Ugava,29
58 - Ugava,Jankibai Dandale Vidhalaya Room No1 Ugawa,29
59 - Ugava,Jankibai Dandale Viddayalay Room No 2 Ugava,29
60 - Sangavi Mohadi,Jilha Parishad Prathami Marathi Shala Room No 1 Sangavi Mohadi,29
61 - Bhod,Jilha Parishad Prathamik Marathi Shala Room No 1 Bhod,29
62 - Badalapur,G. P. Pra. Shala Room No 1 Badalapur,29
63 - Kanchanpur,G. P. Pra. Shala Room No 1 Kanchanpur,29
64 - Manjari,Jilha Parishad Prathamik Shala Room No 1 Manjari,29
65 - Manjari,Jilha Parrishad Prathamik Shala Room No 2 Manjari,29
66 - Khandala,Jilha Parishad Prathamik Shala Navin Imarat Room No 1 Khandala,29
67 - Khandala,Jilha Parishad Prathamik Shala Room No 2 Khandala,29
68 - Morgaon Sadijan,Jilha Parishad Prathamik Shala Room No 1 Moraganv Sadijan,29
69 - Morgaon Sadijan,Jilha Parishad Prathamik Shala Room No 2 Moraganv Sadijan,29
70 - Ural Bu.,Jilha Parinshad Prathamik Shala East BhagRoom No 1 Ural Bu,29
71 - Ural Bu.,Jilha Parishad Prathamik Room No 2 Shala Ural Bu,29
72 - Zural Bu,Jilha Parishad Prathamik Shala Room No 1 Zural Bu,29
73 - Ural Khu,Jilha Parishad Prathamik Shala Room No 1 West Bhag Ural Khu,29
74 - Dongargaon,Jilha Parishad Prathamik Shala Room No 1 Dongaraganv,29
75 - Dongargaon,Jilha Parishad Prathamik Shala Room No 2 Dongaraganv,29
76 - Kalamba Khu,Jilha Parishad Prathamik ShalaRoom No 1 Kalamba Khu,29
77 - Kalambi Mahagaon,Jilha Parishad Prathamik Shala Room No 1 Kalambi Mahaganv,29
78 - Takali Khojabod,Jilha Parishad Prathamik Shala Room No 1 Takali Khojabod,29
79 - Takali Nimakarda,Jilha Parishad Prathamik Shala Room No 1 Takali Nimakarda,29
80 - Morgaon Bhakare,G. P. Pra. Marathi Shala Kholi Kr. 1 Moraganv Bhakare,29
81 - Morgaon Bhakare,G. P. Pra. Marathi ShalaRoom No 2 Moraganv Bhakare,29
82 - Bakharabad,Jilha Parishad Prathamik Marathi Shala Room No 1 Bakharabad,29
83 - Amanatapur,"G. P. Pra. Marathi Shala, Room No 1 Amanatapur",29
84 - Khadaki Takali,"G. P. Pra. Marathi Shala, Room No 1 Khadaki Takali",29
85 - Sukoda,"G. P. Pra. Marathi Shala, Room No 1 Sukoda",29
86 - Kanadi,Jilha Parishad Prathamik Marathi Shala Room No 2 Kanadi,29
87 - Shiloda,"G. P. Pra. Marathi Shala, Navin Imarat Room No 1 shiloda",29
88 - Shiloda,Z P Prathami Urdu Shala (Laxmi Colony)Room No 1 Shiloda,29
89 - Shiloda,Jilha Parishad Prathamik Marathi Shala Kholi Kr.2Shiloda,29
90 - Shiloda,Jilha Parishad Prathamik Marathi Shala Room No 3 Shiloda,29
91 - Shiloda,Z P Prathami Urdu Shala (Laxmi Colony)Room No 2 Shiloda,29
92 - Gaigaon,Jilha Parishad Prathamik Shala West Bhag Room No 1 Gaigaon,29
93 - Gaigaon,Jilha Parishad Prathamik Shala Room No 2 Gaigaon,29
94 - Gaigaon,Jilha Parishad Prathamik Shala Gayaganv East Bhag Room No 3 Gaigaon,29
95 - Nimakarda,Madhyavarti Jilha Parishad Varishth Prathamik Shala Room No 1 Nimakarda,29
96 - Nimakarda,Madhyavarti Jilha Parishad Varishth Prathamik Shala Room No 2 Nimakarda,29
97 - Kadoshi,Jillha Parishad Prathamik Shala Room No 1 Kadoshi,29
98 - Jogalkhed,Jilha Parishad Prathamik Shala Room No 1 Jogalakhed,29
99 - Kalamba Bu,Jilha Parishad Prathamik ShalaRoom No 1 Kalamba Bu,29
100 - Kasura,Jilha Parishad Prathamik Shala Room No 1 Kasura,29
101 - Kasura,Jilha Parishad Prathamik Shala Room No2 Kasura,29
102 - Manarkhed,Jilha Parishad Prathamik Shala Room No 1 Manarakhed,29
