PS No & Name,Address,Constituency Number
1 - Kotbandhani,"Zillha Parishad Primary School Kotbandhani , North Side Building From West to East Room No. 1",2
2 - Nagziri,"Zillha Parishad Primary School Nagziri, West Side building Room Having door to north,Room No. 2 From West",2
3 - Sablapani (Nagziri),"Zillha Parishad Primary Sablapani, East Building Room No. 02",2
4 - Ranipur,"Zillha Parishad Primary School Ranipur, From South Room No.2",2
5 - Ranipur,"Zillha Parishad Primary School, Ranipur, From South Room No.1",2
6 - Chirde,Zillha Parishad New Primary School Chirde,2
7 - Madkani,"Zillha Parishad Primary School Madkani, West side Room no.1",2
8 - Madkani,"Zillha Parishad Primary School Madkani, East side Room no.2",2
9 - Dara,"Zillha Parishad Primary School Dara, From North Room No.1",2
10 - Pimprani,"Zillha Parishad Primary School Pimprani, East West Building Room No 1 From East.",2
11 - Pimprani,"Zillha Parishad Primary School Pimprani, East West Building Room No 2 From East.",2
12 - Virpur,"Zillha Parishad Primary School Virpur, From North-South Room No.1",2
13 - Virpur,"Zillha Parishad Primary School Virpur, From North South Room-No.2",2
14 - Navagaon,"Zillha Parishad Primary School Navagaon, From North, East-West Room No.2",2
15 - Akaspur,"Zillha Parishad Primary School Akaspur, North side new Building Room No. 1",2
16 - Limbardi,"Zillha Parishad Primary School Limbardi, From West Room No. 2",2
17 - Nande,"Zillha Parishad Primary School Nande, From West Room No.1 New Building",2
18 - Rampur,"Zillha Parishad Primary School Rampur, From East, Room 1 (Having Door)",2
19 - Rampur,"Zillha Parishad Primary School Rampur, From East, Room 2 (Having Door)",2
20 - Talawadi,"Zillha Parishad Primary School Talawadi, East Room No.2",2
21 - Talawadi,"Zillha Parishad Primary School Talawadi, East Room No.1",2
22 - Amode,"Zillha Parishad Primary School Amode, From North Room No. 2",2
23 - Amode,"Zillha Parishad Primary School Amode, From North Room No.3",2
24 - Fattepur,"Zillha Parishad Primary School Fattepur, From East, Room No.1",2
25 - Fattepur,"Zillha Parishad Primary School Fattepur, From East, Room No.2",2
26 - Kusumwade,"Zillha Parishad Primary School Kusumwade, From West Room No. 2",2
27 - Kusumwade,"Zillha Parishad Primary School Kusumwade, From West Room No.3",2
28 - Kansai,"Zillha Parishad Primary School Kansai, East West Building From West Room No 1",2
29 - Kansai,"Zillha Parishad Primary School Kansai, East West Building From West Room No.3",2
30 - Bhute,"Zillha Parishad.Primary School Bhute, From South Room No.1",2
31 - Jawade T.Bo,"Zillha Parishad Primary School Jawade T.Bo, From North Room No.1",2
32 - Jawade T.Bo,"Zillha Parishad Primary School Jawade T.Bo, From North Room No.2",2
33 - Velawad,"Zillha Parishad School Velawad, From East Room No.1",2
34 - Vadi,"Narmada Jivan School Vadi, Room No 2 Form East",2
35 - Vadi,"Narmada Jivan School Vadi, Room No 1 Form South Vadi",2
36 - Pimplod,"Zillha Parishad Primary School Pimplod, From North Room No.2",2
37 - Kudhawad,"Zillha Parishad Primary School Kudhawad, From West Room No.2",2
38 - Kudhawad,"Zillha Parishad Primary School Kudhawad, From West, Room No. 3",2
39 - Kanadi T.H.,"Zillha Parishad Primary School Kanadi T.H, From South Room No.1",2
40 - Kandi T.H. (Umarti) (Shirud Digar),"Zillha Parishad Primary School Kanadi T.H. (Umarti) (Shirud Digar) , From South Room No.2",2
41 - Mhasawad,"Prampuj Sati Godavari Mata High School Mhasawad, Room No 1 Form South",2
42 - Mhasawad,"Prampuj Sati Godavari Mata High School Mhasawad, Room No 3 Form South",2
43 - Mhasawad,"Prampuj Sati Godavari Mata High School Mhasawad, Room No 5 Form South",2
44 - Mhasawad,"Prampuj Sati Godavari Mata High School Mhasawad, Room No 7 Form South",2
45 - Mhasawad,"Zillha Parishad Primary Girl School Mhasawad, East Side Building From South Room No.1",2
46 - Mhasawad,"Zillha Parishad Primary Girl School Mhasawad, East Side Building From South Room No.2",2
47 - Chikhali Bu (Budigavan),"Ashram School Chikhali Bu (Budigavan), From West Room No.1",2
48 - Chikhali Bu (Budigavan),"Ashram School Chikhali Bu (Budigavan), From West, Room No.2",2
49 - Padalade Bu,"Nutan Vallabh Vidya Mandir Padalade Bu, New Building South North From South Room No 1",2
50 - Padalade Bu,"Nutan Vallabh Vidya Mandir Padalade Bu, New Building South North From South Room No 2",2
51 - Padalade Bu,"Nutan Vallabh Vidya Mandir Padalade Bu, New Building South North From South Room No 3",2
52 - Alkhed,"Zillha Parishad Primary School Alkhed,",2
53 - Lakkadkot,"Zillha Parishad Primary Girls School Lakkadkot, From North Room No.1",2
54 - Lakkadkot,"Zillha Parishad Primary Girls School Lakkadkot, From North Room No.2",2
55 - Ambapur,"Zillha Parishad Primary School Ambapur, North Side room no. 1",2
56 - Ambapur,"Zillha Parishad Primary School Ambapur, South Side Room No.2",2
57 - Islampur,"Zillha Parishad Primary School Islampur, South Side Building No. 2",2
58 - Tawlai,Zillha Parishad Primary School Tavlai West Building North Side Room No. 2,2
59 - Sulwade,Zillha Parishad New Building Sulwade From North Room No. 1,2
60 - Sulwade,"Zillha Parishad Primary School Sulwade, New Building North Side Room No. 2",2
61 - Mubarakpur,"Zillha Parishad Primary School Mubarakpur, East Building No. 1",2
62 - Aadgaon,"Zillha Parishad Primary School Aadgaon, East Room No. 1",2
63 - Aadgaon,"Zillha Parishad Primary School Aadgaon, Room No 2 From East",2
64 - Ganor,"Zillha Parishad Primary School Ganor, From North Room No.1",2
65 - Ganor,"Zillha Parishad Primary School Ganor, From North Room No.2",2
66 - Khargaon,"Zillha Parishad Primary School Khargone, West Room of Office.",2
67 - Bahirpur (Biladi T.H),"Zillha Parishad Primary School Bahirpur (Biladi T.H), From South Room No.2",2
68 - (Biladi T.H),Zillha Parishad Primary School Biladi T.H Digital Room,2
69 - Khed Digar,"Zillha Parishad Primary School Khed Digar, From South Room No.1",2
70 - Khed Digar,"Zillha Parishad Primary School Khed Digar, From South Room No. 2",2
71 - Raikhed,"Zillha Parishad Primary School Raikhed, From West Room No. 4",2
72 - Raikhed,"Zillha Parishad Primary School Raikhed, From West Room No.2",2
73 - Sultanpur,"Zillha Parishad Primary School Sultanpur, From West Room No. 2",2
74 - Sultanpur,"Zillha Parishad Primary School Sultanpur, From West Room No. 3",2
75 - Brahmanpuri,Zillha Parishad Primary School Bramhanpuri West Room No 2,2
76 - Brahmanpuri,"Zillha Parishad Primary School Bramhanpuri, West Room No. 3",2
77 - Godipur Chandsaili,"Zillha Parishad Primary School Godipur (Chandsaili), North Room No. 2",2
78 - Pimpri,"Zillha Parishad Primary School Pimpri, From East Room No.1",2
79 - Pimpri,Zillha Parishad Primary School From East Room No. 3 Pimpri,2
80 - Navalpur,"Zillha Parishad Primary School Navalpur, Room No.1",2
81 - Junawane,"Zillha Parishad Primary School Junawane, From East Room No.1",2
82 - Bhagapur (Padhalde Khu),"Zillha Parishad Primary School Bhagapur, East-West Building, Room No. 2 from North",2
83 - Jawkheda,"Zillha Parishad Primary School Jawkheda, North-South Building East Room No. 2",2
84 - Tuki,"Zillha Parishad Primary School Tuki, From West Room No.2",2
85 - Kawlith (Sonwal),"Zillha Parishad Primary School Kawlith, From West Room No.3",2
86 - Kawlith (Sonwal),"Zillha Parishad Primary School Kawlith, From West Room No.4",2
87 - Kochara,"Zillha Parishad Primary School Kochara, From East Room No.2",2
88 - Kurangi,"Zillha Parishad Primary School Kochara, From East Room No.1",2
89 - Shrikhed (Ukhalshem),"Zillha Parishad Primary School Shrikhed (Ukhalshem), North Side Room No. 3",2
90 - Ozarte,"Zillha Parishad Primary School Ozarte, From North Room No. 1",2
91 - Bhortek,Zillha Parishad Primary School Bhortek Old Building,2
92 - Jam,"Zillha Parishad Primary School Jam, South Side Building Room No.1",2
93 - Titari,"Zillha Parishad School Titari, From East from Room No 1.",2
94 - Jawade T.H.,"Zillha Parishad Primary School Javde T.H, East West Building Room No.2",2
95 - Jawade T.H.,"Zillha Parishad Primary School Javde T.H., East West Building, Room No.1",2
96 - Nawanagar,"Zillha Parishad Primary School Navanagar, East Room No.1",2
97 - Nawanagar,"Zillha Parishad Primary School Navanagar, South Room No.2",2
98 - Vadgaon,"Zillha Parishad Primary School Vadgaon, East Room No. 1",2
99 - Vadgaon,"Zillha Parishad Primary School Vadgaon, North Room No. 2",2
100 - Vadgaon,"Zillha Parishad Primary School Vadgaon, West Room No 3",2
101 - Vagharde,"Zillha Parishad Primary School Wagharde, South Room No.1",2
102 - Vagharde,Zillha Parishad Primary School Waghardeए South Room No. 2,2
103 - Damalade,"Zillha Parishad Primary School Damalade, North Side Building From East Room No.1",2
104 - Damalade Tidhare,"Zillha Parishad Primary School Damalde (Tidhare), North-South Building, Room No. 2 from East",2
105 - Gogapur,"Zillha Parishad Primary School Gogapur, From North Room No.1",2
106 - Gogapur,"Zillha Parishad Primary School Gogapur, From North Room No.3",2
107 - Lohare,"Zillha Parishad Primary School Lohare, From South Room No.1",2
108 - Karjot,"Zillha Parishad Primaryi School Karjot, From East Room No.2",2
109 - Pimparde,"Zillha Parishad Primary School Pimparde, From East Room No.2",2
110 - Aslod,"Zillha Parishad Primary School Aslod, From East Room No.2",2
111 - Aslod,"Zillha Parishad Primary School Aslod, From East Room No.3",2
112 - Aslod,"Zillha Parishad Primary School Aslod, From East Room No.1",2
113 - Mandane,Zillha Parishad Primary School North Side Room No 1 Mandane,2
114 - Mandane,Zillha Parishad Primary School North Side Room No 3,2
115 - Mandane,"Zillha Parishad Primary School Mandane, Room No. 4 from West",2
116 - Mandane,"Zillha Parishad Primary School Mandane, East Room No. 5",2
117 - Shahana,"Zillha Parishad Primary School Shahana, East Room No. 4",2
118 - Shahana,"Zillha Parishad Primary School Shahana, From East Room No.2",2
119 - Langadi Bhawani,"Zillha Parishad School Langadi Bhawani, Building West Side Room No. 1",2
120 - Langadi Bhawani,"Zillha Parishad School Langadi Bhawani, Building West Side Room No. 2",2
121 - Ghotali Bardi,"Zillha Parishad School Ghotali Bardi, East side Building Room No.1",2
122 - Malgaon,"Zillha Parishad Primary School Malgaon, Room 1",2
123 - Malgaon,"Zillha Parishad Primary School Malgaon, Room 2",2
124 - Satipani (Malgaon),Zillha Parishad Primary School Satipani. (Malgaon),2
125 - Chandsaili,"Zillha Parishad Primary School Chandsaili, Room No.1 ( Now Aanganwadi)",2
126 - Chandsaili,"Zillha Parishad Primary School Chandsaili, Room No.2",2
127 - Bhongra,"Zillha Parishad Primary School Bhongra, South Side Building From West Room No.1",2
128 - Bhongra,"Zillha Parishad Primary School Bhongra, South Side Building From West Room No.2",2
129 - Dudhkheda,"Zillha Parishad Primary School Dudhkheda, From East Room No.2",2
130 - Dudhkheda,"Zillha Parishad Primary School Dudhkheda, From East Room No.3",2
131 - New Aslod,"Zillha Parishad Primary School New Aslod, Old Building From East Room No.3",2
132 - Manmodya,"Zillha Parishad Primary School Manmodya, East West Building From South Room No.1",2
133 - Bhulane,Zillha Parishad. Primary School Bhulane.,2
134 - Hol,Zillha Parishad Primary School Hol.,2
135 - Mohide T.H,Zillha Parishad Primary School MohideT.H.,2
136 - Mohide T.H,"Zillha Parishad Primary School Mohide T.H, (Samaj Mandir Vidya vihar)",2
137 - Tembhali Aasus,"Zillha Parishad Primary School Tembhali,",2
138 - Aasus,"Zillha Parishad Primary School Aasus, Room No 1 From East",2
139 - Lonkheda,"Zillha Parishad Primary School Lonkheda, From West Room No.2",2
140 - Lonkheda,"Zillha Parishad. Primary School Lonkheda, From West Room No.3",2
141 - Lonkheda,"Zillha Parishad Primary School Lonkheda, From West Room No.4",2
142 - Lonkheda,"Satpura Secondary School Lonkheda, East Room No.1",2
143 - Lonkheda,"Satpura Secondary School Lonkheda, East Room No.2",2
144 - Lonkheda,"Satpura Secondary School Lonkheda, North-South Building North Side Room No.2",2
145 - Lonkheda,"Satpura Secondary School Lonkheda, North-South Building North Side Room No.1",2
146 - Purushottam Nagar (Lonkheda),"Valmiki Vidyalaya Purushottam Nagar, East-West Building West Side Room No.1",2
