PS No & Name,Address,Constituency Number
1 - Akola Ashok Nagar,Manapa Pra. M. Mulanchi Shala Kr. 18 Room No. 1 Ayurvedik Davakhanya Bajula,30
2 - Akola Ashok Nagar,Swargiy S. M. Damre Guruji Sarvoday Vidyalay Akola va Smt. Shantabai Rambhau Chim Sarvoday Marathi Pra. Shala south Part Akola Room No.1,30
3 - Akola Ashok Nagar,Swargiy S. M. Damre Guruji Sarvoday Vidyalay Akola va Smt. Shantabai Rambhau Chim Sarvoday Marathi Pra. Shala south Part Akola Room No.2,30
4 - Akola Bapunagar,Manapa Pra. M. Mulanchi Shala Kr. 18 Room No.5 Ayurvedik Davakhanya Behind,30
5 - Akola Bapunagar,Manapa Pra. M. Mulanchi Shala Kr. 18 Room No.6 Behind Ayurvedik Davakhanya,30
6 - Akola Ashok Nagar,"Manapa Urdu Mulanchi Shala No.12, Room No.4",30
7 - Akola Bapu Nagar,Swargiy S. M. Damre Guruji Sarvoday Vidyalay Akola va Smt. Shantabai Rambhau Chim Sarvoday Marathi Pra. Shala South Part Akola Room No.3,30
8 - Akola Bapu Nagar,Swargiy S. M. Damre Guruji Sarvoday Vidyalay Akola va Smt. Shantabai Rambhau Chim Sarvoday Marathi Pra. Shala North Part Akola Room No.4,30
9 - Akola Bapu Nagar,Swargiy S. M. Damre Guruji Sarvoday Vidyalay Akola va Smt. Shantabai Rambhau Chim Sarvoday Marathi Pra. Shala North Part Akola Room No.5,30
10 - Akola Akbar Plot,Millat Urdu High School Room No. 1 North building,30
11 - Akola Akbar Plot,Millat Urdu High School Room No. 2 North building,30
12 - Akola Akbar Plot,Millat Urdu High School Room No. 5 South building,30
13 - Akola Akbar Plot,Millat Urdu High School Room No. 6 South building,30
14 - Akola Akbar Falot,Millat Urdu High School Room No.7 South building,30
15 - Akola Akbar Falot,Millat Urdu High School Room No.8 South building,30
16 - Akola Akbar Plot,Kuba urdu primary shala nur nagar Akot Fail Akola North Side Room No. 6,30
17 - Akola Akbar Plot,Kuba urdu primary shala nur nagar Akot Fail Akola East Side Room No. 5,30
18 - Akola Akbar Plot,Kuba urdu primary shala nur nagar Akot Fail Akola East Side Room No. 4,30
19 - Akola Akbar Plot,Kuba urdu primary shala nur nagar Akot Fail Akola East South Side Room No. 3,30
20 - Akola Akbar Plot,Kuba urdu primary shala nur nagar Akot Fail Akola South Side Room No 2,30
21 - Akola Akbar Plot,Kuba urdu primary shala nur nagar Akot Fail Akola South Side Room No 1,30
22 - Akola Akbar Plot,Swargiy S. M. Damre Guruji Sarvoday Vidyalay Akola va Smt. Shantabai Rambhau Chim Sarvoday Marathi Pra. Shala Akola Kholi no. 6,30
23 - Akola Naygaon,M N P primary Urdu boys sch no 7 room no 1,30
24 - Akola Naygaon,M N P primary Urdu boys sch no 7 room no 2,30
25 - Akola Naygaon,M N P primary Urdu boys sch no 7 room no 3,30
