PS No & Name,Address,Constituency Number
1 - Pimpri Dikkar,Z.P. Primary Marathi School Pimpri Dikkar Room No.1,31
2 - Savargaon,Z.P. Primary Marathi School Savaragav Room No.1,31
3 - Devari,Z.P. Primary Marathi School Devari Room No. 1,31
4 - Devari,Z.P. Primary Marathi School Devari Room No.2,31
5 - Jaulaka,Z. P. Primary Marathi School Jaulaka Room No.1,31
6 - Vitali,Z.P. Primary Marathi School Vitali Room No.1,31
7 - Punda,Z.P. Primary Marathi School Punda Room No. 1,31
8 - Punda,Z.P. Primary Marathi School Punda Room No. 2,31
9 - Varur,Z.P. Primary Marathi School Varur Room No. 1,31
10 - Varur,Z.P. Primary Marathi School Varur Room No. 2,31
11 - Khaparwadi,Z.P. Primary Marathi School Khaparwadi Bk Room no 1,31
12 - Alevadi,Z.P. Primary Marathi School Alevadi Room No.1,31
13 - Patasul,Z.P. Primary Marathi School Patasul Room No.1,31
14 - Maroda,Z.P. Primary Marathi School Maroda Room No.1,31
15 - Lotkhed,Z.P. Primary Marathi School Lotkhed Room No.1,31
16 - Bambarda,Z.P. Primary Marathi School Bambarda Room No.1,31
17 - Rohankhed,Z.P. Primary Marathi School Rohankhed Room No.1,31
18 - Dinoda,Z.P. Primary Marathi School Dinoda Room No.1,31
19 - Raundala,Z.P. Primary Marathi School Raundala Room No. 1,31
20 - Raundala,Z.P. Primary Marathi School Raundala Room No. 2,31
21 - Palasod,Z.P. Primary Marathi School Palasod Room No. 1,31
22 - Palasod,Z.P. Primary Marathi School Palasod Room No. 2,31
23 - Taroda,Z.P. Primary Marathi School Taroda Room No.1,31
24 - Kavasa Bk,Z.P. Primary Marathi School Kavasa Bk Room No. 1,31
25 - Kavasa Kh,Z.P. Primary Marathi School Kavasa Bk Room No. 2,31
26 - Danori,Z.P. Pra. School Danori Room No.1,31
27 - Danori,Z.P. Pra. School Danori Room No.2,31
28 - Devarda,Z.P. Primary Marathi School Devarda Room No. 1,31
29 - Parala,Z.P. Primary Marathi School Parala Room No.1,31
30 - Nijampur,Anganavadi Building Nijampur Room No.1,31
31 - Kutasa,Z.P. Primary Marathi School Room No. 1 Kutasa,31
32 - Kutasa,Z.P. Primary Marathi School Kutasa Room No. 2,31
33 - Kutasa,Z.P. Primary Marathi School Kutasa Room No. 3,31
34 - Kutasa,Z.P. Primary Marathi School Kutasa Room No. 4,31
35 - Takali Kh,Gram Panchayat Karyalay Takali Kh Room No.1,31
36 - Takali Bk,Gram Panchayat Karyalay Takali Bk Room No.2,31
37 - Hanwadi,"Vidyamandir Lower Primary Marathi School, Hanwadi Room No.1",31
38 - Karatwadi Railway,Z.P. Primary Marathi School Karatwadi Railway Room No.1,31
