PS No & Name,Address,Constituency Number
1 - Viravada,Jilla Parishad Pra Shala Viravada Room No.1,32
2 - Mungashi,Jilla Parishad Pra Shala Mungashi Room No.1,32
3 - Ghungashi,Jilha Parishad Pra Shala Ghungashi Room No.1,32
4 - Sangava,Jilha Parishad Pra Shala Sangava Mel R NO 1,32
5 - Sangava,Jilha Parishad Pra Shala Sangava Mel R NO 2,32
6 - Parad,Jilha Parishad Pra Shala Parad R No 1,32
7 - Bhatori,Jilha Parishad Pra Shala Bhatori R NO 1,32
8 - Bhatori,Jilha Parishad Pra Shala Bhatori R NO 2,32
9 - Lait,Jilha Parishad Pra Shala Lait,32
10 - Datavi,Jilha Parishad Pra Shala Datavi,32
11 - Lakhapuri,Jilha Parishad Pra Shala Lakhapuri R No 1,32
12 - Lakhapuri,Jilha Parishad Pra Shala Lakhapuri R NO 2,32
13 - Lakhapuri,Archana Vidyalaya Lakhpuri,32
14 - Durgavada,Jilha Parishad Pra Shala Durgavada R NO 1,32
15 - Durgavada,Jilha Parishad Pra Shala Durgavada R NO 2,32
16 - Sangavi,Grampanchayat office Sangavi Room No 1,32
17 - Kolasara,Jilha Parishad Pra Shala Kolasara Room No.1,32
18 - Yendali,Jilha Parishad Pra Shala Yendali Room No.1,32
19 - Pingala,Jilha Parishad Pra Shala Pingala Room No.1,32
20 - Shelu Bazaar,Jilha Parishad Pra Shala Shelu Bazaar R NO 1,32
21 - Shelu Bazaar,Jilha Parishad Pra Shala Shelu Bazaar R NO 2,32
22 - Kavatha Kholapur,Jilha Parishad Pra Shala Kavatha Kholapur,32
23 - Bapori,Jilha Parishad Pra Shala Bapori R NO 1,32
24 - Bapori,Jilha Parishad Pra Shala Bapori R NO 2,32
25 - Khodad,Jilha Parishad Pra Shala Khodad Room No.1,32
26 - Sonori Bapori,Jilha Parishad Pra Shala Sonori Bapori Room No.1,32
27 - Hivara Korde,Jilha Parishad Pra Shala Hivara Korde R NO 1,32
28 - Hivara Korde,Jilha Parishad Pra Shala Hivara Korde R NO 2,32
29 - Lonasana,Jilha Parishad Pra Shala Lonasana Room No.1,32
30 - Borta,Jilha Parishad Pra Shala Borta Room No.1,32
31 - Gunjavada,Jilha Parishad Pra Shala Gunjavada Room No.1,32
32 - Khaparavada,Jilha Parishad Pra Shala Khaparavada R NO 1,32
33 - Khaparavada,Jilha Parishad Pra Shala Khaparavada R NO 2,32
34 - Tipatala,Jilha Parishad Pra Shala Tipatala Room No.1,32
35 - Repadkhed,Aganwadi Repadkhed Room No.1,32
36 - Mangarul Kambe,Jilha Parishad Pra Shala Mangarul Kambe R NO 1,32
37 - Mangarul Kambe,Jilha Parishad Pra Shala Mangarul Kambe R NO 2,32
38 - Shelu (najik ),Jilha Parishad Pra Shala Shelu najik Room No.1,32
39 - Datala,Jilha Parishad Pra Shala Datala Room No.1,32
40 - Jambha Bu.,Jilha Parishad Pra Shala Jambha Bu R NO 1,32
41 - Jambha Bu.,Jilha Parishad Pra Shala Jambha Bu R NO 2,32
42 - Jambha Khurd,Jilha Parishad Pra Shala Jambha Khurd,32
43 - Siraso,Jilha Parishad Pra Shala Siraso R NO 1,32
44 - Siraso,Jilha Parishad Pra Shala Siraso R NO 2,32
45 - Siraso,Jilha Parishad Pra Shala Siraso R NO 3,32
46 - Siraso,Jilha Parishad Pra Shala Siraso Pundlik Nagar R NO 2,32
47 - Siraso,Jilha Parishad Pra Shala Pundalik Nagar Sirso R No 1,32
48 - Hirpur,Jilha Parishad Pra Marathi Mulinchi Shala Hirapur R NO 1,32
49 - Hirapur,Jilha Parishad Pra Marathi Mulinchi Shala Hirapur R NO 2,32
50 - Hirpur,Jilha Parishad Pra Marathi Mulinchi Shala Hirapur R NO 3,32
51 - Hirapur,Anganavadi Shala Hirapur Room No.1,32
52 - Bramhi Khu.,Jilha Parishad Marathi Pra Shala Bramhi Khu R NO 1,32
53 - Bramhi Bu.,Jilha Parishad Urdu Pra Shala Bramhi Bu Room No.1,32
54 - Langhapur,Jilha Parishad Pra Shala Langhapur Room No.1,32
55 - Pohi,Jilha Parishad Pra Shala Pohi Room No.1,32
56 - Mandura,Jilha Parishad Pra Shala Mandura Room No.1,32
57 - Kurum,Panchshil Vidyalaya kurum Convent kurum R NO 1,32
