PS No & Name,Address,Constituency Number
1 - Pangarabandi,Z. P.pri. school Pangarabandi Room No.1 east side,33
2 - Pangarabandi,Z. P.pri. school Pangarabandi Room No.2 east side,33
3 - Devthana Khamb,Z. P.pri. school Devathana Khamb Room No.1 west side,33
4 - Malegaon Najik Kinhi,Z. P.pri. school Malegav N. Kinhi. Room No.1 west side,33
5 - Dharamwadi,Z.P.School Dharamwadi Room No.1west side,33
6 - Amana,Z. P.pri. school Amana Room No.1 west side,33
7 - Musalwai,Z. P.pri. school Musalavadi Room No.1 South side,33
8 - Khairkheda,Z. P.pri. school Khairakheda Room no 1 Eist Side,33
9 - Pimpalwadi,Z.P.School Room No. 1 Pimpalwadi East side,33
10 - Gangalwadi,Z. P.pri. school Gangalavadi Room No.1 south side,33
11 - Marsul,Z. P. Pri. Shool marsul Room No.1 west side,33
12 - Marsul,Z.P.Primary School Room No. 2 west side,33
13 - Wakalwadi,Z. P.pri. school Wakalavadi Room No.1 North side,33
14 - Koldara,Z. P.pri. school Koladara Room No.1 South side,33
15 - Kalakamtha,Z. P.pri. school Kalakamatha Room No.1 South side,33
16 - Medashi,Z. P.pri. school Medashi Room No.1 east side,33
17 - Medashi,Z. P.pri. school Medashi Room No.2 east side,33
18 - Medashi,Z. P.pri. school Medashi Room No.3 east side,33
19 - Medashi,Z.P. Pri. School Room.no.4 East side Medashi,33
20 - Bramhanwada,Z. P.pri. school Bramhanavada Room No.1 north side,33
21 - Bramhanwada,Z. P.pri. school Bramhanavada Room No.2 north side,33
22 - Rajura,Z. P.pri. school Rajura Room No.1 North side,33
23 - Rajura,Z. P.pri. school Rajura Room No.2 North side,33
24 - Sudi,Z.P.Prat.Shala Navin Imarat room no.2 west side,33
25 - Dhamdhami,Z. P.pri. school Dhamadhami Room No 1 North side,33
26 - Kuttardoh,Z. P.pri. school Kutaradoh Room No.1 west side,33
27 - Wadiramrao,Z. P.pri. school Vadiramarav Room No.1west side,33
28 - Pimpalshenda,Z. P.pri. school Pipalasheda Room No.1 east side,33
29 - Kavardari,ZP pri school kavaradari Room No.1 North side,33
30 - Kavardari,ZP pri schoolkavaradari Room No 3 south side,33
31 - VardariKhurd,Z. P.pri. school Varadari Khu. Room No.1 north side,33
32 - Udi,Z. P.pri. school Udi Room No.1 South side,33
33 - Ansing,Z. P.pri. school Ansingh Room No.1 North side,33
34 - Umarwadi,Z. P.pri. school Umaravadi Room No.1 east side,33
35 - Bhaurad,Z. P.pri. school Bhaarad Room No.1 east side,33
36 - Mungala,Z P.pri. School Mungala Room No.1 South side,33
37 - Mungala,Z. P. Pra. School mungala Room No.2 South side,33
38 - Mungala,Z. P.pri. school Mungala Room No.3 South side,33
39 - Goksavangi,Z. P.pri. school Gokasanvagi Room No.1west side,33
40 - Ridhora,Z. P.pri. school Ridhora Room No.2 east side,33
41 - Sukanda,Z. P.pri. school Sunkada Room No.1 east side,33
42 - Sukanda,Z. P.pri. school Sunkada Room No.2 east side,33
43 - Jaluka,Z. P.pri. school Jaulaka Room No.1 east side,33
44 - Jaluka,Z.P.pri. School Room.no.3 East side Jaluka,33
45 - Jaluka,Z. P.pri. school Jaulaka Room No.2 east side,33
46 - Kinhiraja,Z. P.pri. school Kinhiraja Room No. 1 South side,33
47 - Kinhiraja,Z. P.pri. school Kinhiraja Room No. 5 east side,33
48 - Kinhiraja,Z. P.pri. school Kinhiraja Room No.6 east side,33
49 - Kinhiraja,Z. P.pri. school Kinhiraja Room No.3 South sidead,33
50 - Sonala,Z. P.pri. school Sonla Room No.1 west side,33
51 - Umardari,Z. P.pri. school Umaradari Room No.1 east side,33
52 - Davha,Z.P.pri school davha Room No 1 south side,33
53 - Davha,Anganwadi Room Davha,33
54 - Kurala,Z. P.Room Kurala Room No. 1 South side,33
55 - Irala,Z. P.pri. school Irala Room No.1 South side,33
56 - Varangi,Z. P.pri. school Varangi Room No.1west side,33
57 - Regaon,Z. P.pri. school Regao Room No.1 North side,33
58 - Kalambeshwar,Z. P.pri. school kalambeshwar Room No.1 north side,33
59 - Kalambeshwar,Z. P.pri. school kalambeshwar Room No.2 north side,33
60 - Nagardas,Z. P.pri. school Nagardas Room No.1 east side,33
61 - Khirda,Z. P.pri. school Khirda Room No.1 North side,33
62 - Khirda,Z. P.pri. school Khirda Room No.2 North side,33
63 - Jamkhed,Z. P.pri. school Jamakhed Room No.1west side,33
64 - Vardari Bk,Z. P.pri. school Varadari Bu. Room No.1 west sidehhi,33
65 - Mairaldoh,Z. P.pri. school Mairaladoh Room No.1west side,33
66 - Mairaldoh,Z. P.pri. school Mairaladoh Room No.2west side,33
67 - Eranda,Z. P.pri. school Eranda randa Room No.1 north side,33
68 - Eranda,Z. P.pri. school Eranda Room No.2 North side,33
