PS No & Name,Address,Constituency Number
1 - Malshelu,Z.P. Primary Marathi School Malshelu Room No. 1,34
2 - Malshelu,Z.P. Primary Marathi School Malshelu Room No. 2,34
3 - Nandkheda,Z.P. Primary Marathi School Nandkheda Room No. 2,34
4 - Pangari Mahadev,Z.P. Primary Marathi School Pangari Mahadev Room No. 1,34
5 - Pedgaon,Z.P. H. Primary Marathi School Pedgaon Room No. 1,34
6 - Pedgaon,Z.P. H. Primary Marathi School Pedgaon Room No. 2,34
7 - Pedgaon,Z.P. H. Primary Marathi School Pedgaon Room No. 3,34
8 - Poghat,Z.P. Primary Marathi School Poghat Room No. 1,34
9 - Poghat,Z.P. Primary Marathi School Poghat Room No. 2,34
10 - Shivani Road,Z.P. Primary Marathi School Shivani Road Room No. 1,34
11 - Parava Poti,Z.P. Primary Marathi School Parava Poti Room No. 1,34
12 - Parava Poti,Z.P. Primary Marathi School Parava Poti Room No. 2,34
13 - Aamgavhan,Z.P. Primary Marathi School Aamgavhan Room No. 2,34
14 - Ghota,Z.P. Primary Marathi School Ghota Room No. 1,34
15 - Shendurjana More,Z.P. Primary Marathi School (New) Shendurjana More Room No. 5,34
16 - Shendurjana More,Z.P. Primary Marathi School (New) Shendurjana More Room No. .2,34
17 - Tandali,Z.P. Primary Marathi School Tandali Room No. 2,34
18 - Wanoja,Z.P. Primary Marathi School Wanoja Room No. 1 South Side,34
19 - Wanoja,Z.P. Primary Marathi School Wanoja Room No. 2 West Side,34
20 - Wanoja,Z.P. Primary Marathi School Wanoja Room No. 3 East Side,34
21 - Tapovan,Z.P. Primary Marathi School Tapovan Room No. 2,34
22 - Tarhala,Z.P. H. Primary Marathi School Tarhala Room No. 1 East Side,34
23 - Tarhala,Z.P. H. Primary Marathi School Tarhala Room No. 2 North Side,34
24 - Tarhala,Z.P. H. Primary Marathi School Tarhala Office Room No. 3,34
25 - Masola Bu.,Z.P. Primary Marathi School Masola Bu. Room No. 1,34
26 - Ganeshapur,Z.P. Primary Marathi School Ganeshapur. Room No. 1,34
27 - Poti,Z.P. Primary Marathi School Poti Room No. 2,34
28 - Khadi,Z.P. Primary Marathi School Khadi Room No. 1,34
29 - Mohari,Z.P. Primary Marathi School Mohari Room No. 1 North Side,34
30 - Mohari,Z.P. Primary Marathi School Mohari Room No. 2 West Side,34
31 - Dhotra,Z.P. Primary Marathi School Dhotra Room No. 2,34
32 - Mozari,Z.P. Primary Marathi School Mozari Room No. 2,34
33 - Pipari Bu.,Z.P. Primary Marathi School Pipari Bu. Room No. 2,34
34 - Pimpalkhuta,Z.P. Primary Marathi School Pimpalkhuta. Room No. 2,34
35 - Pardi Tad,Z.P. Primary Marathi School Pardi Tad Room No. 1 South Side,34
36 - Pardi Tad,Z.P. Primary Marathi School Pardi Tad Room No. 2 North Side,34
37 - Nagi,Z.P. Primary Marathi School Nagi Room No. 1,34
38 - Shelu Khu.,Z.P. H.PrimaryUrdu School Shelu Khu. Room No. 2,34
39 - Shelu Khu.,Z.P.H. Primary Marathi School Shelu Khu. Room No.1,34
40 - Shelu Khu.,Z.P. H.Primary Marathi School Shelu Khu. Room No.2,34
41 - Shelu Khu.,Z.P. H. PrimaryUrdu School Shelu Khu. Room No. 6,34
42 - Bhur,Z.P. Primary Marathi School Bhur Room No. 2,34
43 - Lathi,Z.P. Primary Marathi School Lathi Room No. 4,34
44 - Icha,Z.P. Primary Marathi School Icha Room No. 1,34
45 - Hisai,Z.P. Primary Marathi School Hisai Room No. 1,34
46 - Chambhai,Z.P. Primary Marathi School Chambhai Room No. 1,34
47 - Mangalsa,Z.P. Primary Marathi School Mangalsa Room No. 1,34
48 - Belkhed,Z.P. Primary Marathi School Belkhed Room No. 1,34
49 - Gimbha,Z.P. Primary Marathi School Gimbha Room No. 1,34
50 - Gimbha,Z.P. Primary Marathi School Gimbha Room No. 2,34
51 - Kavathal,Z.P. Primary Marathi School Kavathal Room No. 1 East Side,34
52 - Kavathal,Z.P. Primary Marathi School Kavathal Room No. 2 West Side,34
53 - Kavathal,Z.P. Primary Marathi School Kavathal Room No. 3 North Side,34
54 - Januna Bu.,Z.P. Primary Marathi School Januna Bk. Room No. 1,34
55 - Dhanora Bu,Z.P. Primary Marathi School Dhanora Bu. Room No.1,34
56 - Svasin,Z.P. Primary Marathi School Svasin Room No. 1,34
57 - Mangrulpir,Z.P. Marathi Govt School and Junior College Mangrulpir Room No. 3,34
58 - Mangrulpir,Z.P. Marathi Govt School and Junior College Mangrulpir Room No.10,34
59 - Mangrulpir,Z.P. Marathi Govt School and Junior College Mangrulpir Room No.11,34
60 - Mangrulpir,Z.P. Marathi Govt School and Junior College Mangrulpir Room No.17,34
61 - Mangrulpir,Z.P. Ex. (Govt) School and Junior College Mangrulpir Room No. 18,34
62 - Mangrulpir,Maulana Azad Nagar Parishad Urdu Primary School No. 2 Mangrulpir (New Building),34
63 - Mangrulpir,Kalandariya Urdu Secondary and Higher Secondary School Mangrulpir Room No. 1,34
64 - Mangrulpir,Kalandariya Urdu High School Mangrulpir 8 Room No. 2 South Side,34
65 - Mangrulpir,Kalandariya Urdu Secondary and Higher Secondary School Mangrulpir (HALL),34
66 - Mangrulpir,Kalandariya Urdu Secondary and Higher Secondary School Mangrulpir Room No. 2,34
67 - Mangrulpir,"Kalandariya Urdu Secondary and Higher Secondary School Jingar Gali Mangrulpir, South Side",34
68 - Mangrulpir,N. P. Urdu Primary V. Pra School No. 1 Mangrulpir Room No. 1 North Side,34
69 - Mangrulpir,N. P. Urdu Primary V. Pra School No. 1 Mangrulpir Room No. 2 North Side,34
70 - Mangrulpir,N. P. Urdu Primary V. Pra School No. 1 Mangrulpir Room No. 3 West Side,34
71 - Mangrulpir,"N. P. Urdu Primary V. Pra High School No. 1 Mangrulpir, Near Juni Imarat, Room No. 1 West Side",34
72 - Mangrulpir,Javed Khan Urdu High School Mangrulpir Room No. 1 East Side,34
73 - Mangrulpir,N. P. Primary V.Uchha Primary Marathi School No. 2 Mangrulpir Room No.1 East Side,34
74 - Mangrulpir,N. P. Primary V.Uchha Primary Marathi School No. 2 Mangrulpir Room No. 2 East Side,34
75 - Mangrulpir,Z.P. Marathi Govt School and Junior College (New Building) Mangrulpir Room No. 1,34
76 - Mangrulpir,Z.P. Marathi Govt School and Junior College (New Building) Mangrulpir Room No. 2,34
77 - Mangrulpir,Z.P. Marathi Govt School and Junior College (New Building) Mangrulpir Room No. 3,34
78 - Mangrulpir,Z.P. Marathi Govt School and Junior College (New Building) Mangrulpir Room No. 4,34
79 - Mangrulpir,Z.P. Marathi Govt School and Junior College (New) Mangrulpir Room No. 5,34
80 - Mangrulpir,Siddharth Vidyalaya Mangarulpir East Side Room No. 1,34
81 - Mangrulpir,Siddharth Vidyalaya Mangarulpir East Side Room No. 2,34
82 - Mangrulpir,Siddharth Vidyalaya Mangrulpir East Side Room No.3,34
83 - Murtijapur,Z.P. Primary Marathi School Murtijapur Room No. 1,34
84 - Baldev,Z.P. Primary Marathi School Baldev Room No. 1,34
85 - Chikhali,Z.P. Primary Marathi School Chikhali Room No. 1,34
86 - Yedashi,Z.P. Primary Marathi School Yedashi Room No. 1,34
87 - Yedashi,Z.P. Primary Marathi School Yedashi Room No.2,34
88 - Chorad,Z.P. Primary Marathi School Chorad Room No. 1,34
89 - Hirangi,Z.P. Primary Marathi School Hirangi Room No. 1,34
90 - Gogari,Z.P. Primary Marathi School Gogari Room No. 1 West Side,34
91 - Gogari,Z.P. Primary Marathi School Gogari Room No. 2 North Side,34
92 - Kanzara,Z.P. Primary Marathi School Kanzara Room No. 2,34
93 - Kanzara,Z.P. Primary Marathi School Kanzara Room No. 4,34
94 - Aajgaon,Z.P. Primary Marathi School Aajgaon Room No. 1,34
95 - Jamb,Z.P. Primary Marathi School Jamb Room No. 1,34
96 - Shahpur Khurd,Z.P. Primary Marathi School Shahpur Khurd Room No. 1,34
97 - Shahpur Khurd,Z.P. Primary Marathi School Shahpur Khurd Room No. 2,34
98 - Sonkhas,Z.P. Primary Marathi School Sonkhas Room No. 1,34
99 - Sonkhas,Anganwadi Building Sonkhas Room No. 1,34
100 - Sonkhas,Z.P. Primary Marathi School Shahapur Room No. 3,34
101 - Chehel,Z.P. Primary Marathi School Chehel Room No. 1,34
