PS No & Name,Address,Constituency Number
1 - Dhangarakhed,Jilha Parishad Prathamik Shala Dhangarakhed,35
2 - Shahadattapur,Jilha Parishad Prathamik Shala Shahadtapur,35
3 - Dhanaj Khurd,Jilha Parishad Prathamik Shala Dhanaj Khu,35
4 - Ramtek,Jilha Parishad Prathamik Shala Ramatek,35
5 - Dhotra Jahangir,Jilha Parishad Prathamik Shala Dhotra Janha,35
6 - Rahati,Jilha Parishad Prathamik Shala Rahati,35
7 - Hinganavadi,Jilha Parishad Prathamik Shala Hinganavadi,35
8 - Malegaon,Jilhaparishad Prathamik Shala Maleganv,35
9 - Dongargaon,Z P Pra Sha Dongar Gaon,35
10 - Sirsoli,Jilha Parishad Prathamik Shala Sirsoli,35
11 - Amboda,Z.P.Primary School Room No 2 Amboda,35
12 - Mhasala,Jilha Parishad Prathamik Shala Mhasala,35
13 - Belkhed,Jilha Parishad Prathamik Shala Belakhed,35
14 - Dhanaj BK,Jilha Parishad Kenndriy Prath. Shala Navin Imarat Kholi Kr. 1 Dhanaj Bu.,35
15 - Dhanaj BK,Jilha parishad kenndriy prath shala Navin Imarat Kholi kr 2 Dhanaj Bu,35
16 - Dhanaj BK,Jilha Parishad Urdu Prath. Shala Kholi Kr. 1 Purv bhag,35
17 - Dhanaj BK,jilha parishad Urdu prath shala kholi kr 3 East bhag dhanaj bu,35
18 - Bhivari,Jilha Parishad Prath. Shala Bhivari,35
19 - Pimpalgaon BK,Jilha Parishad prath shala Pimpalgaon Bu,35
20 - Shivna BK,Jilha Parishad Varishth Prath Shala Shivna Bu,35
21 - Bembala,Jilhaparishad Varishth Prath Shala Bebala Kholi Kr. 5,35
22 - Bembala,jilhaparishad Varishth Prath Shala Bembala Sarv Shiksha Abhiyanachi Kholi,35
23 - Takali Kh,Jilha Parishad Prath. Shala Kholi Kr. 4 Dakshin Bhag Takali Khu.,35
24 - Kamtha,Jilhaparishad Prathamik Shala Kamtha,35
25 - Nagalvadi,Jjilha Parishad Prath Shala Nagalvadi,35
26 - Ladegaon,Jilha Parishad Prath Marathi Shala Kholi Kramank 3 Ladegaon,35
27 - Ladegaon,Jilha Parishad Prath Marathi Shala Kholi Kr 1 Ladegaon,35
28 - Kamargaon,Jilha Parishad Madhyamik Shala Kholi Kr. 6 Kamargaon,35
29 - Kamargaon,Jilha Parishad Madhyamik Shala Kholi Kr. 8 Kamargaon,35
30 - Kamargaon,"Z.P.Primary Boys School Room.No. 1, Kamargaon",35
31 - Kamargaon,Z.P.Primary Boys School Room No. 2 Kamargaon,35
32 - Kamargaon,Jilha Parishad Mulinchi Prathamik Shala Kholi Kramank 1 Kamargaon,35
33 - Kamargaon,Jilhaparishad Madhyamik Shala Kholi Kr. 3 Kamargaon,35
34 - Bhamdevi,Jilha Parishad Prath. Shala Kholi Kr. 1 Bhabadevi,35
35 - Bhamdevi,Jilha Parishad Marathi Shala Kholi Kr. 2 Bhabadevi,35
36 - Meha,Jilha Parishad Varishth Shala Meha,35
37 - Pimpri Modak,Jilha Parishad Prath Marathi Shala Purvekadil Kholi Kramank 2 Pimpri Modak,35
38 - Pimpri Modak,Jilha Parishad Prath Marathi Shala Pakshchimekadil Kholi Kramank 5,35
39 - Dhotra Deshmukh,Jilha Parishad Prath. Shala Dhotra Deshmukh,35
40 - Hivara Lahe,Jilha Parishad Prath. Shala Pakshchimekadil Kholi Kr. 4 Hivaralahe,35
41 - Hivara Lahe,Jilha Parishad Prath. Shala Gate Javalil Kholi Kr. 8hivaralahe,35
42 - Bramhanavada,Jilha Parishad Prath. Shala Bramhanavada,35
43 - Bhuloda,Jilha Parishad Prath. Shala Bhuloda,35
44 - Vilegaon,Jilhaparishad Varishth Prath. Shala Purvekadil Kholi Kramak 1,35
45 - Vilegaon,Jilahaparishad Prath. Shala Pakshchim Bhag Kholi Kr. 2 Vileganv,35
46 - Khanapur,Jilha Parishad Prath. Shala Khanapur,35
47 - Kherda BK,Jilaha Parishad Prath Shala Kholi Kramank 2 Kherda Bu.,35
48 - Kherda BK,Jilha Prath. Shala Kholi Kramank 4 Kherda Bu.,35
49 - Muguntapur,Jilha Parishad Prath Shala Mugutapur,35
50 - Tarakheda,Jilha Parishad Prath. Shala Tarakheda,35
51 - Viragavhan,Anganwadi Kendra Virgavhan,35
52 - Naregaon,Jilha Parishad Uchch Madhyamik Shala Nareganv,35
53 - Shemalai,Jilha Parishad Prath. Shala Shemalai,35
54 - Vapati,Jilhaparishad Prath Shala Vapati,35
55 - Palana,Jilha Parishad Prath Urdu Shala Palana,35
56 - Kajaleshwar,Jilha Parishad Prath. Shala Pakshchim Bhag Kholi Kr. 4 Kajaleshvar,35
57 - Kajaleshvar,Jilha Parishad Prath Shala East Bhag Kholi Kr. 3 Kajaleshvar,35
58 - Kajaleshvar,Jilha Parishad Prath. Shala Juni Imarat Kholi Kr. 2 Kajaleshvar,35
59 - Janori,Jilha Parishad Prath Marathi Shala Janori,35
60 - Bambarda,Jilha Parishad Prath Shala Bambarda,35
61 - Kupati,Jilhaparishad Prath Shala Kupati,35
62 - Loniarab,Jilha Parishad Prath Shala Loni,35
63 - Nimbha Jaha,Jilha Parishad Prath Shala Nimba Janha,35
64 - Donad Bu,Jilha Parishad Uchch Madhyamik Shala Donad Bu Kholi Kr. 3,35
65 - Donad Bu,Jilha Parishad Varishth Prath Shala Kholi Kr. 4 Donad Bu.,35
66 - Karli,Jilha Parishad Prath Shala Karli,35
67 - Mohagavhan,Jilha Parishad Varishth Prath Shala Mohagavhan,35
68 - Zodaga,Jilha Parishad Prath Shala Zodaga,35
69 - Bhadashivani,Jilaha Parishad Prath Shala Bhadashivani,35
70 - Kakadashivani,Jilha Parishad Prath Shala Kakadashivani,35
71 - Mahagaon,Jilha Parishad Prath Shala Vurv Bhag Kholi Kr. 1 Mahaganv,35
72 - Mahagaon,Jilha Parishad Prath Shala East Bhag Kholi Kr. 2 Mahaganv,35
73 - Lohagaon,Jilha Parishad Prath Shala East Bhag Lohaganv,35
74 - Parava Kohar,Jilha Parishad Prath Shala ( Madhy Kholi ) Parava Kohar,35
75 - Jaypur,Jilha Parishad Prath. Shala Jayapur,35
76 - Mokhad Pimpri,Jilha Parishad Prath Shala Mokhad Pimpri,35
77 - Wadgaon Range,Jilha Parishad Prathamik Shala Dakshin Bhag,35
78 - Yavardi,Jilha parishad prath shala kholi karmank 1 Pacchhim bhag yawardi,35
79 - Dhanora Tathod,Jilha Parishad Prath Shala Uttar Bhag Kholi Kr. 1 Dhanora Tathod,35
80 - Akhatavada,Jilha Parishad Prath Shala Akhatavada,35
81 - Pimpri Mokhad,Jilha Parishad Prath Shala Pipri Mokhad,35
82 - Shaha,Jilaha Parrishad Prath Shala Dakshin Bhag Kholi Kr. 5 Shaha,35
83 - Shaha,Jilha Parishad Prath Shala Madhy Bhag Kholi Kr. 8 Purv bhag Shaha,35
84 - Chandai,Jilha Parishad Prath Shala Chandai,35
85 - Belamandal,Jilha Parishad Prath Shala Belamandal,35
86 - Poha,Jilha Parishad Prath Shala Kholi Kr. 1 Poha,35
87 - Poha,Jilha Parishad Prath Marathi Shala East Bhag Kholi Kramank 3 Poha,35
88 - Poha,Jilha Parishadamadhyamik Shala East Bhag Kholi Kr. 4 Poha,35
89 - Poha,Jilhaparishad Prathmik Shala Navin Imarat Poha Pachhimbhag,35
90 - Walhai,Jilha Parishad Prath Shala Valhai,35
91 - Kherda Karanja,Jilha Parishad Prath Shala Uttar Bhag Kholi Kr. 1 Kherda Karanja,35
92 - Kherda Karanja,Jilha Parishad Prath Shala Dakshin Bhag Kholi Kramank 2 Kherda Karanja,35
93 - Manabha,Jilha Parishad Prath Shala Dakshin Bhag Kholi Kramank 2 Manabha,35
94 - Manabha,Jilha Parishad Prathr Shala Dakshin Bhag Kholi Kr. 3 Manabha,35
95 - Manabha,Jilha Parishad Prath. Shala ( Karyalayachi Kholi ) Manabha,35
96 - Pimpriwarghat,Jilha Parishad Prathr. Shala Pipri Varghat,35
97 - Yevata,Jilla Parishad Shala Yevata Kholi Kramank 1,35
98 - Yevata,Jilla Parishad Shala Kholi Kramank 2,35
99 - Inza,Jilha Parishad Prath Shala Inza,35
100 - Kali Karanja,Jilha Parishad Prath. Shala Kholi kramank 2 Dakshin Bhag Kali karanja,35
101 - Kali Karanja,Jilha Parishad Prath. Shala Kholi kramank 4 Kali karanja,35
102 - Kali Karanja,Jilha Parishad Prath. Shala Kholi kramank 3 Kali karanja,35
103 - Shivanagar,Jilha Parishad Prath Shala Shivanagar,35
104 - Vadhavi,Jilha Parishad Prath Shala Kholi Kr. 2 Vadhavi,35
105 - Vadhavi,Jilahaparishad Prath Shala Kholi Kramank 3 Vadhavi,35
106 - Lahara,Jilha Parishad Prath. Shala Kholi Kramank 1 Lohara,35
107 - Lohara,Jilha Parishad Prath Shala Uttar Bhag Kholi Kr. 2 lohara,35
108 - Anai,Jilha Parishad Prath Shala Anai,35
109 - Jamb,Jilha Parishad Prath Shala Jamb,35
