PS No & Name,Address,Constituency Number
1 - Fulaamala,Z. P. Primary Marathi School Room No. 1,36
2 - Fulaamala,Z. P. Primary Marathi School Room No. 2,36
3 - Takali Bk,Z. P. Pre Secondary School Room No. 1,36
4 - Takali Bk,Z. P. Pre Secondary School Room No. 3,36
5 - Takali Bk,Z. P. Pre Secondary School Room No. 2,36
6 - Ajani,Z P Primary School Room No 1,36
7 - Pala,Z. P. Primary Marathi School Room No. 3,36
8 - Dabha,Z. P. Pre Secondary School Room No. 1,36
9 - Dabha,Z. P. Pre Secondary School Room No. 2,36
10 - Dabha,Z. P. Pre Secondary School Room No.3,36
11 - Chirodi,Z. P. Pre Secondary School Room No.1,36
12 - Chirodi,Z. P. Pre Secondary School Room N. 2,36
13 - Karala,Z. P. Primary School Room No. 2,36
14 - Karala,Z. P. Primary School Room No. 4,36
15 - Karala,Z. P. Primary School Room No. 5,36
16 - Pathargaon,Z. P. Primary School Room No. 1,36
17 - Salora Khurd,Z. P. Primary School Room. N. 2,36
18 - Anjanwati,ZP Praimory School Room No.1,36
19 - Anjanwati,ZP Praimory School Room No.5,36
20 - Anjansingi,ZP Praimory School Room No.1,36
21 - Anjansingi,ZP Praimory School Room No.2,36
22 - Anjansingi,ZP Praimory School Room No.3 (North Building),36
23 - Anjansingi,ZP Praimory School Room No.4,36
24 - Pimpalkhuta,ZP Pre.Secondary School New Building Room No.1,36
25 - Pimpalkhuta,ZP Pre.Secondary School New Building Room No.2,36
26 - Dhakulgaon,ZP Praimory School Room No.1,36
27 - Dhakulgaon,ZP Praimory School Room No.3,36
28 - Gavha farkade,ZP Praimory School Room No.2,36
29 - Jalka Jagtap,Z. P. Pre Secondary School Room No. 4,36
30 - Jalka Jagtap,Z. P. Pre Secondary School Room No. 7,36
31 - Amla V.,Z. P. Primary School Room No. 1,36
32 - Amla V.,Z. P. Primary School Room No. 5,36
33 - Amala v,Z. P. Primary School Room No. 8,36
34 - Amla V.,Z. P. Primary School Room No. 9,36
35 - Thugaon,Z. P. Primary School Room No. 1,36
36 - Savanga Vithoba,Z. P. Pre Secondary School Room No. 1,36
37 - Savanga Vithoba,Z. P. Pre Secondary School Room No. 2,36
38 - Lalkhed,Z. P. Primary School Room No. 1,36
39 - Nimbhora Lahe,Z. P. Pre Secondary School Room No. 1,36
40 - Adagaon Khu,Z. P. Pre Secondary School Room No. 1,36
