PS No & Name,Address,Constituency Number
1 - Kumagad,Jilha Parishad East Madhyamik Shala KumagadKholi Kr. 1,37
2 - Checharavadi,Jilha Parishad Prathamik Shala Checharavadi,37
3 - Kund Khurd,Jilha Parishad Prathamik Shala kunda khurda kholi,37
4 - Savarakheda,Jilha Parishad Prathamik Marathi Shala savarakheda Kholi. Kr. 3,37
5 - Borgaon Dharmale,Jilha Parishad East Madhyamik Shala Kholi Kr. 1 boraganv Dharmale.,37
6 - Borgaon Dharmale,Jilha Parishad East Madhyamik Shala Kholi Kr. 2 boraganv Dharmale.,37
7 - Alangaon,Jilha Parishad East Madhyamik Shala Kholi Kr. 1 alanaganv,37
8 - Alangaon,Jilha Parishad East Madhyamik Shala Kholi Kr. 2 alanaganv,37
9 - Haratoti,Jilha Parishad Prathamik Marathi Shala Kholi Kr. 1,37
10 - Wadala,Jilha Parishad Prathamik Marathi Shala Kholi Kr. 1,37
11 - Jasapur,Jilha Parishad Prathamik Shala jasapur,37
12 - Khalakhoni,Jilha Parishad East Madhyamik Shala Kholi Kr. 1 Khalakhoni,37
13 - Khalakhoni,Jilha Parishad East Madhyamik Shala Kholi Kr. 2 Kh,37
14 - Haratala,Jilha Parishad Prathamika shala Room No.1Hartala,37
15 - Kolatek,Jilha Parishad Prathamika shala Kolatek,37
16 - Vasevadi,Jilha Parishad Prathamik Shala vasevadi,37
17 - Gopagavhan,Jilha Parishad Prathamik Shala Gopagavhan Kholi Kr,37
18 - Haturna,Jilha Parishad East Madhyamik Shala Kholi Kramank 1 haturna,37
19 - Haturna,Jilha Parishad East Madhyamik Shala Kholi Kramank 2 haturna,37
20 - Sukali,Jilha Parishad Prathamik Shala Kholi Kr. 1 sukali,37
21 - Sukali,Jilha Parishad Prathamik Shala Kholi Kr. 2sukali,37
22 - Vadgaon Mahore,Jilha Parishad East Madhyamik Shala Kholi Kr. 1Vadaganv Mahore,37
23 - Vadgaon Mahore,Jilha Parishad East Madhyamik Shala Kholi Kr. 2Vadaganv Mahore,37
24 - Rasulapur,Jilha Parishad Prathamik Shala rasulapur,37
25 - Nimbha,Jilha Parishad East Madhyamik Shala Kholi Kramank 1 nimbha.,37
26 - Nimbha,Jilha Parishad East Madhyamik Shala Kholi Kramank 2 nimbha,37
27 - Bhatakuli,Jilha Parishad East Madhyamik Urdu Shala Kholi Kr. 1bhatkuli,37
28 - Bhatakuli,Zilha parishad pre secondary urdu school Bhatkuli room no. 03,37
29 - Bhatakuli,Jilha Parishad East Madhyamik Urdu Shala Kholi Kr. 2bhatkuli,37
30 - Bhatakuli,Jilha Parishad East Madhyamik Mulinchi Shala Kholi Kr. 1 Bhatkuli.,37
31 - Bhatakuli,Jilha Parishad East Madhyamik Mulinchi Shala Kholi Kr. 2 Bhatkuli.,37
32 - Bhatakuli,Jilha Parishad Prathamik Mulanchi Shala Kholi Kr. 1 bhatkuli.,37
33 - Bhatakuli,Jilha Parishad Prathamik Mulanchi Shala Kholi Kr. 2 bhatkuli.,37
34 - Sayat,Jilha Parishad East Madhyamik Shala Kholi Kr. 1say,37
35 - Sayat,Jilha Parishad East Madhyamik Shala Kholi Kramank 4sayat,37
36 - Nanded Khurd,Jilha Parishad East Madhyamik Shala nanded Kurd,37
37 - Rrunamochan,Jilha Parishad Prathamik Shala Runamochan,37
38 - Asra,Jilha Parishad East Madhyamik Shala Kholi Kr. 1asa,37
39 - Asra,Zilha parishad pre secondary school Asara room no,37
40 - Asra,Jilha Parishad East Madhyamik Shala Kholi Kr 2 asa,37
41 - Asra,Jilha Parishad East Madhyamik Shala Kholi Kr 5 asa,37
42 - Ganoja Devi,Jilha Parishad Prathamik Shala Kholi Kr. 1ganoja D,37
43 - Ganoja Devi,Jilha Parishad Prathamik Shala Kholi Kr. 2 Ganoji,37
44 - Ganoja Devi,Jilha Parishad Prathamik Shala Kholi Kr. 3 Ganoja,37
45 - Kanafodi,Jilha Parishad Prathamik Shala kanafodi,37
46 - Gaurakheda,Jilha Parishad Prathamik Shala Gaurakheda,37
47 - Kavatha Bahale,Jilha Parishad Prathamik Shala Kholi Kramank 1 kavatha Bahale,37
48 - Kavatha Bahale,Jilha Parishad Prathamik Shala Kholi Kramank 2kavatha Bahale,37
49 - Malakapur,Jilha Parishad East Madhyamik Shala Kholi Kr. 1malakapur,37
50 - Malakapur,Jilha Parishad East Madhyamik Shala Kholi Kr. 2 malakapur,37
51 - Lonatek,Jilha Parishad Prathamik Shala. Lonatek,37
52 - Baba Chowk Haidarpura Parisar Amaravati.,Jiwan jyoti primary school Kewalewadi Hanuman nagar room no. 01,37
53 - Hanuman Nagar,Jiwan jyoti primary school Kewalewadi Hanuman nagar room no. 02,37
54 - Hanuman Nagar,Sunlight primary school Kewalewadi Hanuman nagar room no. 01,37
