PS No & Name,Address,Constituency Number
"1 - Navodaya Vidyalala , Navsari",Municipal Corporation Middle School Navsari Room No.2,38
"2 - Navodaya Vidyalala , Navsari",Municipal Corporation Middle School Navsari Room No.1,38
"3 - NavodayaVidyalala , Navsari",Municipal Corporation Middle School Navsari Room No.4,38
"4 - NavodayaVidyalala , Navsari",Municipal Corporation Middle School Navsari Room No.3,38
5 - Rahatgaon,Pragati Vidyalaya Rahatgaon Room No.1,38
6 - Rahatgaon,Pragati Vidyalaya Rahatgaon Room No.2,38
7 - Rahatgaon,Pragati Vidyalaya Rahatgaon Room No.3,38
8 - Rahatgaon,Pragati Vidyalaya Rahatgaon Room No.4,38
9 - Rahatgaon,Pragati Vidyalaya Rahatgaon Room No.5,38
10 - Rahatgaon,Municipal Corporation Middle School Rahatgaon Room No.1,38
11 - Rahatgaon,Municipal Corporation Middle School Rahatgaon Room No.6,38
12 - Rahatgaon,Municipal Corporation Middle School Rahatgaon Room No.3,38
13 - Rahatgaon,Municipal Corporation Middle School Rahatgaon Room No.5,38
14 - Rahatgaon,Municipal Corporation Middle School Rahatgaon Room No.4,38
15 - Rahatgaon,Municipal Corporation Middle School Rahatgaon Room No.2,38
16 - Mahatma phule Nagar,"Govt. Engineering College, Room No.E4 Laungvege laybrary",38
"17 - Jawahar Nagar , Harshraj Colony","Govt. Engineering College, Room No. L2 Computer saince and Engineering Section",38
"18 - Jawahar Nagar , Harshraj Colony","Govt. Engineering College, Room No. L1 Computer saince and Engineering Section",38
19 - Harshraj Colony,"Govt. Engineering College, Room No. L3 Computer saince and Engineering Section",38
20 - Harshraj Colony,"Govt. Engineering College, Room No. L4 Computer saince and Engineering Section",38
21 - Harshraj Colony,"Govt. Engineering College,Computer saince and Engineering Section",38
22 - Electrical Nagar,"Govt. Engineering College, Room No. M2 Department of Electrical Section",38
23 - Electrical Nagar,"Govt. Engineering College, Room No. 2 Department of Electrical Section",38
24 - Electrical Nagar,"Govt. Engineering College, Room No. 1Department of Electrical Section",38
25 - Electrical Nagar,"Govt. Engineering College, seminar hall Amt",38
26 - Navsari Village,"Govt. Engineering College, seminar hall Amt",38
27 - Navsari Village,"Govt. Engineering College,Uphar gruh Amt",38
28 - Vijay Colony,Vidharbha Maha Vidhyalay Amravati Bullding No 1 Room No 1 Goegraphy Depatment,38
29 - Vijay Colony,Vidharbha Maha Vidhyalay Amravati Bullding No 1 Room No 2 Goegraphy Depatment,38
30 - Vijay Colony,Vidharbha Maha Vidhyalay Amravati Bullding No 1 Room No 3 Goegraphy Depatment,38
31 - Pushapgandha Colony,Vidharbha Maha Vidhyalay Amravati Bullding No 1 Room No 4 Goegraphy Depatment,38
32 - Pushapgandha Colony,Vidharbha Maha Vidhyalay Amravati Bullding No 1 Room No 5 Goegraphy Depatment,38
