PS No & Name,Address,Constituency Number
1 - Vishnora,ZP PURV MADHYAMIK MARATHI SHALA SOTHERN ROOM NO 2,39
2 - Vishnora,ZP PURV MADHYAMIK MARATHI SHALA ESTERERN ROOM NO 10,39
3 - Poragavhan,ZP PURV MADHYAMIK MARATHI SHALA ESTERERN ROOM NO 6,39
4 - Poragavhan,ZP PURV MADHYAMIK MARATHI SHALA WESTERN ROOM NO 1,39
5 - Bhambora,ZP PURV MADHYAMIK MARATHI SHALA ROOM NO 1,39
6 - Nayavathoda,ZP PURV MADHYAMIK MARATHI SHALA ROOM NO 7,39
7 - Naya Vathoda,ZP PURV MADHYAMIK MARATHI SHALA ROOM NO 8,39
8 - Shirakhed,ZP UCCHA PARTHAMIK MARATHI SHALA NORTHERN ROOM NO 1,39
9 - Shirakhed,ZP UCCHA PARTHAMIK MARATHI SHALA SOUTHERN ROOM NO 7,39
10 - Shirakhed,ZP UCCHA PARTHAMIK MARATHI SHALA SOUTHERN ROOM NO 8,39
11 - Shirakhed,ZP UCCHA PARTHAMIK MARATHI SHALA SOUTHERN ROOM NO 2,39
12 - Mamadapur,ZP PURV MADHYAMIK MARATHI SHALA ROOM NO 1 KATPUR,39
13 - Mamadapur,ZP PURV MADHYAMIK MARATHI SHALA ROOM NO 3 KATPUR,39
14 - Dhamangaon,ZP MADHYAMIK MARATHI SHALA SOUTHERN ROOM NO 2,39
15 - Dhamangaon,ZP MADHYAMIK MARATHI SHALA SOUTHERN ROOM NO 3,39
16 - Talegaon,ZP PURV MADHYAMIK MARATHI ROOM NO 2,39
17 - Vichori,ZP PURV MADHYAMIK MARATHI SHALA WESTERN ROOM NO 1,39
18 - Vichori,ZP PURV MADHYAMIK MARATHI SHALA WESTERN ROOM NO 3,39
19 - Katapur,ZP PURV MADHYAMIK MARATHI ROOM NO 4,39
20 - Lihida,ZP PURV MADHYAMIK MARATHI SHALA ESTERN ROOM NO 1,39
21 - Kavathad,ZP PURV MADHYAMIK MARATHI SHALA SOUTHERN ROOM NO 7,39
22 - Kavathad,ZP PURV MADHYAMIK MARATHI SHALA ESTERN ROOM NO 2,39
23 - Rajuravadi,ZP PRATHAMIK MARATHI SHALA SOUTHERN ROOM NO 2,39
24 - Rajuravadi,ZP PRATHAMIK MARATHI SHALA SOUTHERN ROOM NO 4,39
25 - Rajuravadi,ZP PRATHAMIK MARATHI SHALA SOUTHERN ROOM NO 6,39
26 - Akhatavada,ZP PRATHAMIKMARATHI SHALA ESTERN ROOM NO 1,39
27 - Lehagav,ZP PRATHAMIK MARATHI SHALA NORTHERN ROOM NO 1,39
28 - Vagholi,ZP PURV MADHYAMIK MARATHI ROOM NO 2,39
29 - Rohankheda,ZP PURV MADHYAMIK MARATHI SHALA NORTHERN ROOM NO 2,39
30 - Patur,Z PPRATHAMIK MARATHI ROOM NO 1,39
31 - Nerapingalai,ZP PURV MADHYAMIK MARATHI KANYYA SHALA SOUTHERN ROOM NO 1,39
32 - Nerapingalai,ZP PURV MADHYAMIK MARATHI KANYYA SHALA SOUTHERN ROOM NO 3,39
33 - Nerapingalai,ZP PURV MADHYAMIK MARATHI KANYYA SHALA WESTERN ROOM NO 5,39
34 - Nerapingalai,ZP PURV MADHYAMIK MARATHI KANYYA SHALA WESTERN ROOM NO 7,39
35 - Nerapingalai,ZP PURV MADHYAMIK MARATHI SHALA ESTERN ROOM NO 4,39
36 - Nerapingalai,ZP PURV MADHYAMIK MARATHI SHALA ESTERN ROOM NO 7,39
37 - Nerapingalai,ZP PURV MADHYAMIK URDU SHALA ESTERN ROOM NO 9,39
38 - Nerapingalai,ZP PURV MADHYAMIK URDU SHALA SOUTHERN ROOM NO 13,39
39 - Nerpinglai,ZP PURV MADHYAMIK MULANCHI SHALA ESTERN ROOM NO 7,39
40 - Nerapingalai,ZP PURV MADHYAMIK MARATHI SHALA ESTERN ROOM NO 11,39
41 - Nerapingalai,ZP PURV MADHYAMIK MULANCHI SHALA SOUTHERN ROOM NO 15,39
42 - Nerapingalai,ZP PURV MADHYAMIK MULANCHI MARATHI SHALA WESTERN ROOM NO 11,39
43 - Nimbharani,ZP PARTHAMIK MARATHI SHALA ROOM NO 1,39
44 - Savarkhed,ZP PURV MADHYAMIK MARATHI SHALA SOUTHERN ROOM NO 2,39
45 - Savarkhed,ZP PURV MADHYAMIK MARATHI SHALA SOUTHERN ROOM NO 4,39
46 - Ghodgavhan,ZP PARTHAMIK MARATHI SHALA ESTERN ROOM NO 1,39
47 - Mangarul,ZP PARTHAMIK MARATHI SHALA WESTERN ROOM NO 1,39
48 - Adgaon,ZP PARTHAMIK MARATHI SHALA SOUTHERN ROOM NO 2,39
49 - Adgaon,ZP PARTHAMIK MARATHI SHALA WESTERN ROOM NO 6,39
50 - Adgaon,ZP PARTHAMIK MARATHI SHALA NORTHERN ROOM NO 2,39
51 - Katasur,ZP PARTHAMIK MARATHI SHALA SOUTHERN ROOM NO 1,39
52 - Saur,ZP PRATHMIK MARATHI MULANCHI SHALA ESTERN ROOM NO 1,39
53 - Saur,ZP PRATHMIK MARATHI MULANCHI SHALA ESTERN ROOM NO 2,39
54 - Saur,ZP PARTHAMIK MARATHI KANYA SHALA SOUTHERN ROOM NO 1,39
55 - Saur,ZP URDU PARTHAMIK SHALA SOUTHERN ROOM NO 2,39
56 - Rama,ZP PRIMARY MARATHI SCHOOL SOUTHERN ROOM NO 1,39
57 - Pohara,ZP PARTHAMIK MARATHI SHALA ROOM NO 2,39
58 - Purnanagar,ZP PARTHAMIK MARATHI MULANCHI SHALA NORTHERN ROOM NO 1,39
59 - Purnanagar,ZP PARTHAMIK MARATHI MULANCHI SHALA NORTHERN ROOM NO.2,39
60 - Purnanagar,ZP URDU PURV MADHAMIK SHALA SUTHETN ROOM NO 1,39
61 - Purna Nagar,ZP PARTHAMIK MARATHI MULANCHI SHALA WESTERN ROOM NO.5,39
62 - Abitapur,ZP PRIMARY MARATHI SCHOOL SOUTHERN ROOM NO 5,39
63 - Takarakheda Shambu,ZP PARTHAMIK MARATHI SHALA SOUTHERN ROOM NO 1,39
64 - Takarakheda Shambhu,ZP PARTHAMIK MARATHI SHALA SOUTHERN ROOM NO 2,39
65 - Takarkheda Sambhu,ZP PARTHAMIK MARATHI SHALA WESTERN ROOM NO 2,39
66 - Takarkheda Sambhu,ZP PARTHAMIK MARATHI SHALA WESTERN ROOM NO 4,39
67 - Jalaka (hirapur ),ZP PARTHAMIK MARATHI SHALA NORTHERN ROOM NO 4,39
68 - Jalaka Hirapur,ZP PARTHAMIK MARATHI SHALA NORTHERN ROOM NO 5,39
69 - Shirala,ZP PARTHAMIK MARATHI MULINCHI SHALA SOUTHERN ROOM NO 1,39
70 - Shirala,ZP PARTHAMIK MARATHI MULiNCHI SHALA SOUTHERN ROOM NO 2,39
71 - Shirala,ZP PARTHAMIK MARATHI MULiNCHI SHALA SOUTHERN ROOM NO 3,39
72 - Shirala,KASTURABAI JAIN VIDHYALAY SOUTHERN ROOM NO 1,39
73 - Shirala,KASTURABAI JAIN VIDHYALAY SOUTHERN ROOM NO 2,39
74 - Shirala,KASTURABAI JAIN VIDHYALAY SOUTHERN ROOM NO 3,39
75 - Shirala,KASTURABAI JAIN VIDHYALA Y WESTERN ROOM NO 4,39
76 - Antora,ZP PRATHHMIK MARATHI SHALA ROOM NO 1,39
77 - Savanga,ZP PRATHHMIK MARATHI SHALA ROOM NO 1,39
78 - Shirajgaon,ZP PURV MADYAMIK MARATHI SHALA SOUTHERN ROOM NO 2,39
79 - Bhilapur,ZP PARTHAMIK MARATHI SHALA ROOM NO 2,39
80 - Gorala,ZP MARATHI PARTHAMIK SHALA,39
81 - Varuda,ZP MARATHI PARTHAMIK SHALA ROOM NO 1,39
82 - Dapari Khu,ZP PURV MADHYAMIK MARATHI SHALA NORTHERN ROOM NO 2,39
83 - Jawra,ZP PURV MADHYAMIK MARATHI SHALA ROOM NO 1,39
84 - Shiralas,ZP PURV MADHYAMIK MARATHI SHALA NORTHERN ROOM NO 1,39
85 - Jamdol,ZP PRATHAMIK SHALA JAMDOL,39
86 - Nandura Pingalai,ZP PRATHMIK MARATHI SHALA ROOM NO 1,39
87 - Karajgaon,ZP MARATHI PARTHAMIK SHALA ROOM NO 2,39
88 - Chichakheda,ZP MARATHI PARTHAMIK SHALA ROOM NO 1,39
89 - Yavali,SHAHID SMARAK SAMITI JR COLLEGE YAWLI (SH) SOUTHERN ROOM NO 1,39
90 - Yavali,SHAHID SMARAK SAMITI JR COLLEGE YAWLI (SH) SOUTHERN ROOM NO 2,39
91 - Yavali,SHAHID SMARAK SAMITI PRATHMIK SHALA SOUTHERN ROOM NO 3,39
92 - Yavali,SHAHID SMARAK SAMITI PRATHMIK SHALA WESTERN ROOM NO 2,39
93 - Devari,ZP MARATHI PARTHAMIK SHALA,39
94 - Bramhanavada Bhagat,ZP MARATHI PARTHAMIK SHALA ROOM NO 1,39
95 - Devara,ZP MARATHI PARTHAMIK SHALA ROOM NO 1,39
96 - Fajalapur,ZP MARATHI PARTHAMIK SHALA ROOM NO 1,39
97 - Pusada,ZP PURV MADHAMIK MARATHI SHALA WESTERN ROOM NO 1,39
98 - Pusada,ZP PURV MADHAMIK MARATHI SHALA WESTERN ROOM NO 2,39
