PS No & Name,Address,Constituency Number
1 - Kalmadi Tarfe Borad,Zilla Parishad Marathi Pri.School East West Building Room No. 1 from west,3
2 - Kalmadi Tarfe Borad,Zilla Parishad Marathi Pri.School East West Building Room No. 2 from east,3
3 - Tarhadi Tarfe Borad,Zilla Parishad Marathi Pri.School Building Room No. 1 from east,3
4 - Tarhadi Tarfe Borad,Zilla Parishad Marathi Pri.School East West Building Room No. 2 from east,3
5 - Sonavad Tarfe Borad,Zilla Parishad Marathi Pri.School East west Building Room No. 3 from west,3
6 - Aurangapur,Zilla Parishad Marathi Pri.School East West Building Room No. 1 from west,3
7 - Pari,Zilla Parishad Marathi Pri.School East West Building Room No. 2 from west,3
8 - Vaghode,Zilla Parishad Marathi Pri.School East west Building Room No. 3 from west,3
9 - Vardhe,Zilla Parishad Marathi Pri.School East West Building Room No. 2 from north,3
10 - Vardhe,Zilla Parishad Marathi Pri.School East West Building Room No. 3 from north,3
11 - Vaijali,Zilla Parishad Marathi Pri.School building Room No. 2 from east,3
12 - Vaijali,Zilla Parishad Marathi Pri.School building Room No. 4 from east,3
13 - Nandarde,Zilla Parishad Marathi Pri.School Building room no.1 from east,3
14 - Karankheda,Zilla Parishad Marathi Pri.School New Building Room No. 1 from east,3
15 - Katharde Khurd,Zilla Parishad Marathi Pri.School New Building Room No. 1 from east,3
16 - Katharde Khurd,Zilla Parishad Marathi Pri.School Old building room no. 2 from west,3
17 - Katharde Digar,Zilla Parishad Marathi Pri.School Building Room No. 2 from south,3
18 - Kalasadi,Zilla Parishad Marathi Pri.School North South Building room No. 3 from north,3
19 - Kalasadi,"Zilla Parishad Marathi Pri.School North South Building, Room No. 1 from North",3
20 - Dhurakheda,Zilla Parishad Marathi Pri.School Building Room No. 1from south,3
21 - Dhurakheda,Zilla Parishad Marathi Pri.School building room number-4 from south,3
22 - Pingane,Zilla Parishad Marathi Pri.School east west building Room No.2 from east,3
23 - Pingane,Zilla Parishad Marathi Pri.School east west Building Room no.3 from east,3
24 - Bhade,"Zilla Parishad Marathi Pri.School North South Building, Room No. 2 from north",3
25 - Bhade,"Zilla Parishad Marathi Pri.Schoola North South Building, Room No. 1from south",3
26 - Prakasha,Zilla Parishad Girls School North-South Building Room No. 3 from north,3
27 - Prakasha,Zilla Parishad Marathi Pri.School Building room no.2 from west,3
28 - Prakasha,Z.P.Marathi Pri.School East West Building Room No.03 from west,3
29 - Prakasha,Zilla Parishad Girls School Room No. 4 from south,3
30 - Prakasha,Sarvodaya Vidyamandir new building room no. -1 from east,3
31 - Prakasha,Sarvodaya Vidyamandir new building Room No. 2 from east,3
32 - Prakasha,Sarvodaya Vidyamandir new building Room No. 3 from east,3
33 - Prakasha,Sarvoday Vidya Mandir New Building South side Room No.2 From East,3
34 - Prakasha,Sarvoday Vidya Mandir New Building South side Room No.3 From East,3
35 - Bupakari,Zilla Parishad Marathi Pri.Schoola North South Building Room No. 1 from north,3
36 - Damarkheda,Zilla Parishad Marathi Pri.School East West Building Room No. 1 from east,3
37 - Damarkheda,Zilla Parishad Marathi Pri.School East West Building Room No. 1 from west,3
38 - Karajai,Zilla Parishad Marathi Pri.School East West Building Room No. 1 from east,3
39 - Lambola,"Zilla Parishad Marathi Pri.Schoola North South Building, Room No. 1from south",3
40 - Lambola,"Zilla Parishad Marathi Pri.Schoola North South Building, Room No. 2 from south",3
41 - Manarad,Zilla Parishad Marathi Pri.School East West Building Room no.1 from east,3
42 - Shirud Digar,Zilla Parishad Marathi Pri.School westside buiilding room no.1 near southside,3
43 - Shirud Digar,Zilla Parishad Marathi Pri.Schoola North South building near Anganwadi room No. 1 from east,3
44 - Savalade,"Zilla Parishad Marathi Pri.School North South Building, Room No. 2, from South",3
45 - Kandi Tarfe Shahada,Zilla Parishad Marathi Pri.School building Room No. 1 from north,3
46 - Varul Tarfe Shahada,Zilla Parishad Marathi Pri.School East West Building Room No. 1 from south,3
47 - Tembhe Tarfe Shahada,"Zilla Parishad Marathi Pri.Schoola North South Building, Room no.1 from west",3
48 - Nandarakheda,"Zilla Parishad Marathi Pri.School North North Building, Room No. 1from north",3
49 - Nandarakheda,"Zilla Parishad Marathi Pri.School North South Building, Room No. 1from south",3
50 - Palasavade,Zilla Parishad Marathi Pri.School new building at northside,3
51 - Shelti,Zilla Parishad Marathi Pri.School East West Building Room No. 3 from west,3
52 - Shelti,Zilla Parishad Marathi Pri.School East West Building Room no.4 from east,3
53 - Sasade,Zilla Parishad Marathi Pri.School new building at the westside Room No. 1,3
54 - Sasade Tekadi,Z. P. Pri. School Room No. 1 from north,3
55 - Sonavad Tarfe Shahada,Zilla Parishad Marathi Pri.School East West Building Room No. 2 from east,3
56 - Sonavad Tarfe Shahada,Zilla Parishad Marathi Pri.School East West Building Room No. 1from west,3
57 - Kauthal Tarfe Shahada,Zilla Parishad Marathi Pri.School East West Building Room No. 1 from west,3
58 - Kothali Tarfe Sarangakheda,Zilla Parishad Marathi Pri.School East West Building Room No. 2 from east,3
59 - Kothali Tarfe Sarangakheda,Zilla Parishad Marathi Pri.School East West Building Room No. 3 from east,3
60 - Kukaval,Jilha Parishad Pri.School Kukaval,3
61 - Kukaval,Jilha Parishad Pri.School Kukaval,3
62 - Kalambu,Jilha Parishad Marathi Pri. School East West building,3
63 - Kalambu,Jilha Parishad Marathi Pri. School East West building,3
64 - Kalambu,Jilha Parishad Marathi Pri.School New ( Round ) building,3
65 - Pusnad,Jilha Parishad Shala New ( Round ) School,3
66 - Pusnad,Zilla Parishad School East West Building eastside room no.2,3
67 - Anrad,Jilha Parishad Marathi Pri.School New ( Round ) building,3
68 - Anrad,Zilla Parishad Marathi Pri.School East West Building easternside Room No. 1,3
69 - Biladi Tarfe Sarangakheda,Jilha Parishad Marathi Pri.School Eastern side new building,3
70 - Bamakheda T. San.,Jilha Parishad Marathi Pri.School North south building,3
71 - Kauthal Tarfe Sarangakheda,Jilha Parishad Marathi Pri.School New Building,3
72 - Kurhavad T. S.,"Zilla Parishad Marathi Pri.School New building, Northern side room no. 1",3
73 - Sarangkheda,"Zilla Parishad Central girls School No. 1 North South Building, Southern side Room No. 1",3
74 - Sarangkheda,Zilla Parishad central boys School east west building room no.2 from east,3
75 - Sarangkheda,"Zilla Parishad central girls school No. 2 from East West Building, Room No. 4 from east",3
76 - Sarangkheda,Zilla Parishad central girls School No. 2 east west building room no.4 from east,3
77 - Sarangkheda,Sharda Kanya Vidyalaya East-West Building western side room no.1,3
78 - Sarangkheda,"Sharda Kanya Vidyalaya east west Building,western side Room No. 2",3
79 - Sarangkheda,"Sharda Kanya Vidyalaya east west Building,western side Room No.3",3
80 - Tembhe Tarfe Sarangkheda,"Zilla Parishad Marathi Pri.School East west Building, Room No. 4 from west",3
81 - Tembhe Tarfe Sarangkheda,Jilha Parishad Marathi Pri.School New ( Round ) building,3
82 - Deur,"Zilla Parishad Marathi Pri.School New (round) Building, Room No. 1from south",3
83 - Udhalod,Zilla Parishad Marathi Pri.School building Room No. 2 from east,3
84 - Chirakhan,Z.P.Pri.School Room No.1 from east,3
85 - Londhare,Jilha Parishad Marathi Pri.School building,3
86 - Kahatul,Zilla Parishad Marathi girls pri.school east West building Room No. 2 from east,3
87 - Kahatul,Zilla Parishad Marathi girls Pri.School East West building western side room no. 2,3
88 - Kahatul,Zilla Parishad Marathi girls Pri.School East West building western side room No.-3,3
89 - Kahatul,Zilla Parishad Marathi boys pri.school East West Building Eastern side Room No. 3,3
