PS No & Name,Address,Constituency Number
1 - Chinchona,Z.P. Marathi Primary School Chinchona,40
2 - Nimakhed Ba.,Z.P. Primary School(north Side) Room no.3 Nimkhed Bazar,40
3 - Nimakhed Ba.,Z.P. Primary School(East Side) Room no. 4 Nimkhed Bazar,40
4 - Dahigaon Khurd,Z.P. Marathi Primary School(East Side) Room no.1 Dahigaon Khurd,40
5 - Dahigaon Khurd,Z.P. Marathi Primary School(East Side) Room no.3 Dahigaon Khurd,40
6 - Dahgaon Khurd,Indira Gandhi Madhyamik School& Jr. College (East side) Room no.1 Dahigaon Khurd,40
7 - Dahigaon Khurd,Indira Gandhi Madhyamik School& Jr. College (East side) Room no.7 Dahigaon Khurd,40
8 - Husenapur Khodgaon,Z.P. Primary School(North Side) Room no.2 Husenpur,40
9 - Husenapur Khodgaon,Z.P. Primary School(West Side) Room no.5 Husenpur,40
10 - Devgaon,Z P Primary School Room No.2 Devgaon,40
11 - Khanamapur Pandhari,Z.P. Primary School(New Building) (South side)(Room No. 3) Khanampur Pandhari,40
12 - Khanamapur Pandhari,Z.P. Primary School(New Building) (East side) Room no.4 Khanampur Pandhari,40
13 - Khanamapur Pandhari,Z.P. Primary School(New Building) (North side)(Room No.6 ) Khanampur Pandhari,40
14 - Khanamapur Pandhari,Z.P. Primary Urdu SchoolRoom No 1 Khanampur Pandhari,40
15 - Borala,Z.P. Purva Madhmik SchoolRoom no.1 Borala.,40
16 - Vadali,Z.P. Primary SchoolRoom no 2 Wadali,40
17 - Shelgaon,Z.P. Marathi Primary School(North Side) Room no.2 Shelgaon,40
18 - Hirapur,Z.P. Primary School(North side) Room no.3 Hirapur,40
19 - Hirapur,Z.P. Primary (east side)Room no.5 Hirapur,40
20 - Khirala,Z.P.purv Madhmik School(south side)Room no.3 Khirala,40
21 - Chausala,Z.P.Marathi Primary School Old Building(south side) Room No.1 Chausala,40
22 - Chausala,Z.P.Marathi Primary School Old Building(north side) Room No.2 Chausala,40
23 - Chausala,Z.P. Marathi Primary School (south side)Room No.3 Chausala,40
24 - Turkhed,Z.P. Primary School(north Side) room no.2 Turkhed,40
25 - Turkhed,Z.P. Primary School (East Side) Turkhed,40
26 - Bhandaraj,Z.P. Primary School(south Side)(New Building Room No.2 Bhandaraj,40
27 - Bhandaraj,Z.P. Primary School(Northt Side)(New Building Room No. 10 Bhandaraj,40
28 - Bhandaraj,Z.P. Primary School(East Side)(New Building Room No. 8) Bhandaraj,40
29 - Lakhad,Z.P. Primary School(East Side) Room no.1 Lakhad,40
30 - Lakhad,Z.P. Primary School(West Side) Room no.4 Lakhad,40
