PS No & Name,Address,Constituency Number
1 - Salita,Z. P. Primary Marathi School Room. No. 2 Salita,41
2 - Hilda,Z. P. Primary Marathi School Room. No. 1 Hilda,41
3 - Khari,Z. P. Primary Marathi School Room. No. 1 Khari,41
4 - Rahu,Z. P. Primary Marathi School Room. No. 1 Rahu,41
5 - Karajkheda,Z. P. Primary Marathi School Room. No. 1 Karajakheda,41
6 - Ekatai,Z. P. Medil School Room No. 1 Ektai,41
7 - Marita,Z. P. Primary Marathi School Room No. 1 Marita,41
8 - Simori,Z. P. Primary Marathi School Room. No. 1 Simori,41
9 - Ruipathar,Z. P. Primary Marathi School Room. No. 1 Ruipathar,41
10 - Rangubeli,Z. P. Primary Marathi School Room. No. 1 Rangubeli,41
11 - Harada,Z. P. Primary Marathi School Room. No. 1 Harada,41
12 - Kuntaga,Z. P. Primary Marathi School Room. No. 1 Kutanga,41
13 - Hataru,Z. P. Primary Marathi School Room. No. 1 Hataru,41
14 - Biba,Z. P. Primary Marathi School Room. No. 1 Biba,41
15 - Lakhevada,Z. P. Primary Marathi School Room. No 1 Lakhevada,41
16 - Barugavhan,Z. P. Primary Marathi School Room. No. 1 Barugavhan,41
17 - Madizadap,Z. P. Primary Marathi School Room. No. 1 Madizadap,41
18 - Khamada,Z. P. Primary Marathi School Room. No 1 Khamada,41
19 - Savalakheda,Z. P. Primary Marathi School Room. No 1 Savalakheda,41
20 - Bairagad 1,Z. P. Primary Marathi School Room. Nor. 1 Bairagad,41
21 - Bairagad 2,Z. P. Higher Secondary Marathi School Room. No. 3 Bairagad,41
22 - Kasaikheda,Z. P. Primary Marathi School Room. No. 1 Kasaikheda,41
23 - Chopan,Z. P. Primary Marathi School Room. Nor. 1 Chopan,41
24 - Khokmar,Z. P. Primary Marathi School Room. No. 1 Khokmar,41
25 - Khadimal,Z. P. Primary Marathi School Room. No. 1 Khadimal,41
26 - Bhandora,Z. P. Primary Marathi School Room. No. 2 Bhandora,41
27 - Butida,Z. P. Primary Marathi School Room. No 1 Butida,41
28 - Dahendri 1,Z. P. Primary Marathi School Room. No. 1 Dahendri,41
29 - Dahendri 2 (palashya ),Z. P. Primary Marathi School Room. No. 2 Dahendri,41
30 - Jarida,Forest Rest House Room No. 1 Jarida,41
31 - Mehariam,Z. P. Primary Marathi School Room. No. 1 Mehariam,41
32 - Boratayakheda,Z. P. Primary Marathi School Room. No. 1 Boratyakheda,41
33 - Bulumagavhan,Z. P. Primary Marathi School Room. No. 1 Bulumagavhan,41
34 - Hatnada,Z. P. Primary Marathi School Room. No. 1 Hatnada,41
35 - Bhondinlava,Z. P. Primary Marathi School Room. No. 1 Bhondilava,41
36 - Chatavabod,Z. P. Primary Marathi School Room. No. 1 Chatavabod,41
37 - Katakaubh,Z. P. Primary Marathi School Room. No. 1 Kantakubh,41
38 - Raipur,Forest Rest house Room. No. 1 Rayapur,41
39 - Avagad,Z. P. Primary Marathi School Room. No. 1 Avagad,41
40 - Karada (chi. ),Z. P. Primary Marathi School Room. No. 1 Karada,41
41 - Churni 1,Z. P. Primary Marathi School Room. No. 1 Churni,41
42 - Churni 2,Z. P. Primary Marathi School Room. No. 2 Churni,41
43 - Kotami,Z. P. Primary Marathi School Room. No. 1 Kotami,41
44 - Gangarakheda,Z. P. Primary Marathi School Room. No. 2 Gangarakheda,41
45 - Korda,Z. P. Primary Marathi School Room. No. 1 Korda,41
46 - Khandukheda,Z. P. Primary Marathi School Room. No. 1 Khandukheda,41
47 - Malur (forest ),Z. P. Primary Marathi School Room. No. 2 Malur,41
48 - Chaurakund,Z. P. Primary Marathi School Room. No. 1 Chaurakund,41
49 - Patiya,Z. P. Secondary Marathi School. North Building Room No 1 Patiya,41
50 - Kekadabod,Z. P. Primary Marathi School Room. No. 1 Kekadabod,41
51 - Dhakaramal,Z. P. Primary Marathi School Room. No. 1 Dhakaramal,41
52 - Gobarakahu,Z. P. Primary Marathi School Room. No. 1 Gobarakahu,41
53 - Karada (dharani. ),Z. P. Primary Marathi School Room. No. 2 Karada,41
54 - Potilava,Z. P. Primary Marathi School Room. No. 2 Potilava,41
55 - Chunakhadi,"Z. P. Primary Marathi School , Chunkhadi Tal.Chikhaldara",41
56 - Koyalari 1,Z. P. Primary Marathi School Room. No. 1 Koyalari,41
57 - Koyalari 2 (pachadoganri ),Z. P. Primary Marathi School Room. No. 2 Koyalari,41
58 - Toranavadi,Z. P. Primary Marathi School Room. No. 1 Toranavadi,41
59 - Bagadari,Z. P. Primary Marathi School Room. No. 1 Bagadari,41
60 - Katakumbh Churni 1,Z. P. Primary Marathi School Room. No. 3 Katakumbh,41
61 - Katakumbh Churni 2,Z. P. Primary Marathi School Room. No. 4 Katakumbh,41
62 - Makhala,Z. P. Primary Marathi School Room. No. 1 Makhala,41
63 - Chipoli,Z. P. Primary Marathi School Room. No. 2 Chipoli,41
64 - Chakarda,Z. P. Primary Marathi School Room. No. 2 Chakarda,41
65 - Dharanmahu,Z. P. Secondary Marathi School East Building Room. No. 1 Dharanamahu,41
66 - Chethar,Z. P. Primary Marathi School Room. No. 1 Chethar,41
67 - Kharyatembharu,Z. P. Primary Marathi School East Building Room. No. 6 Kharyatembharu,41
68 - Ratnapur 1,Z. P. Primary Marathi School Room No. 1 Ratnapur,41
69 - Ratnapur 2,Z. P. Primary Marathi School South Building Room No. 2 Ratnapur,41
70 - Sonabardi,Z. P. Primary Marathi School Room. No. 3 Sonabardi,41
71 - Dahenda,Z. P. Primary Marathi School Room. No. 6 Dahenda,41
72 - Dharani 1,"Z. P. Secondary Marathi Girls School, New Building, Room. No. 1 Dharani",41
73 - Dharani 2,"Z. P. Secondary Marathi Boys School, New Hexagonal Building, Room. No. 1 Dharani",41
74 - Dharani 3,"Z. P. Secondary Boys Urdu School, East Building, Room. No . 3 Dharani",41
75 - Dharani 4,Z. P. Primary Marathi Boys School Room. No 2 Dharani,41
76 - Dharani 5,Z. P. Higher Secondary Boys Urdu School . 4 Dharani,41
77 - Dharani 6,Z. P. Secondary Boys school Room No.1 Dharani,41
78 - Dharani 7,Z. P. Secondary Girls Marathi School East Old Building Room No. 1 Dharani,41
79 - Dharani 8,Z. P. Secondary Girls Marathi School Room No . 1 Dharani,41
80 - Dharani 9,Z. P. Secondary Girls Marathi School East Old Building Room No . 2 Dharani,41
81 - Dharani 10,Z. P. Secondary Boys Marath School. Room No. 3 Dharani,41
82 - Dharani 11,Z. P. Secondary Urdu School New Building Room No. 1 Dharani,41
83 - Dharani 12,Z. P. Secondary Marathi Boys School South Building Room No. 4 Dharani,41
84 - Talai 1,Z. P. Primary Marathi School Room. No. 1 Talai,41
85 - Talai 2,Z. P. Primary Marathi School Room. No 2 Talai Camp,41
86 - Diya,Z. P. Secondary Marathi School Room No. 1 Diya,41
87 - Ukupati,Z. P. Primary Marathi School Room. No. 6 Ukupati,41
88 - Niragudi,Z. P. Primary Marathi School Room. No. 1 Niragudi,41
89 - Haradoli,Z. P. Primary Marathi School Room. No. 1 Haradoli,41
90 - Pohara,Z. P. Primary Marathi School Room No. 1 Pohara,41
91 - Kakaramal,Z. P. Primary Marathi School Room. No. 2 Kakaramal,41
92 - Chitri,Z. P. Primary Marathi School Room. No. 1 Chitri,41
93 - Harisal 1,"Z. P. Secondary Marathi School,South Building Room No. 2 Harisal",41
94 - Harisal (failadhana ) 2,Z. P. Secondary Marathi School. Room No 6 Harisal (failadhana ),41
95 - Bamadehi,Z. P. Primary Marathi School Room. No . 1 Bamadehi,41
96 - Doma,Z. P. Primary Marathi School Room. No. 1 Doma,41
