PS No & Name,Address,Constituency Number
1 - Karanja Bahiram,Zilla Prishad Primary School Room No 3 Karanja Bahiram,42
2 - Karanja Bahiram,Zilla Prishad Primary School Room No 4 Karanja Bahiram,42
3 - Chichkumbha,Zilla Prishad Primary School Room No 1 Chichkumbha,42
4 - Redwa,Zilla Prishad Primary School Room No 1 Redwa,42
5 - Ghatladki,Zilla Prishad Primary Marathi School East side Room No 1 Ghatladki,42
6 - Ghatladki,Zilla Prishad Primary Marathi School North side Room No 1 Ghatladki,42
7 - Ghatladki,Zilla Prishad Primary Marathi School North side room 6 Ghatladki,42
8 - Ghatladki,Zilla Prishad Primary Marathi School North sideRoom No 2 Ghatladki,42
9 - Ghatladki,Zilla Prishad Primary Marathi School North sideRoom No 3 Ghatladki,42
10 - Ghatladki,Zilla Prishad Primary Marathi School North side Room No 5 Ghatladki,42
11 - Ghatladki,Zilla Prishad Marathi Primary School North side Room No 4 Ghatladki,42
12 - Ghatladki,Zilla Prishad Urdu Primary School East side Room No 1 Ghatladk,42
13 - Belmandli,Zilla Prishad Primary School South side Room No 1 Belmandli,42
14 - Wani,Zilla Prishad Primary School North side Room No 3 Wani,42
15 - Wani,Zilla Prishad Primary School North side Room No 2 Wani,42
16 - Vishroli,Zilla Prishad Higher Primary Marathi School Room No 2 Vishroli,42
17 - Vishroli,Zilla Prishad Higher Primary Marathi School Room No 5 Vishroli,42
18 - Chincholi.,Zilla Prishad Primary Marathi School Room No 1 Chincholi,42
19 - Shirajgaon kasba,Zilla Prishad Primary School Room No 1 North South Building Shirajgaon kasba,42
20 - Shirajgaon kasba,Zilla Prishad Marathi Girls school Room no 1 East West Building North side Shirajgaon Kasaba,42
21 - Shirajgaon kasba,Shri Balmukund Rathi High school South Side East West Billding Room No 3 Shirajgaon kasba,42
22 - Shirajgaon kasba,Shri Balmukund Rathi High school South Side East West Building Room No 4 Shirajgaon kasba,42
23 - Shirajgaon kasba,Shri Balmukund Rathi High school South Side East West BuildingRoom No 1 Shirajgaon kasba,42
24 - Shirajgaon kasba,Zilla Prishad Primary School Room No 2 Shirajgaon kasba,42
25 - Shirajgaon kasba,Zilla Prishad Urdu School Chunar pura North side Room no 1 Shirajgaon Kasaba,42
26 - Shirajgaon kasba,Shri Balmukund Rathi High school South Side East West Building Room No 2 Shirajgaon kasba,42
27 - Shirajgaon kasba,Shri Balmukund Rathi High school East West North Building Room No 1 Shirajgaon kasba,42
28 - Shirajgaon kasba,Gangabai Ganojkar High school North Side East West Building Room No 1 Shirajgaon kasba,42
29 - Shirajgaon kasba,Gangabai Ganojkar High school North Side East West Building Room No 3 Shirajgaon kasba,42
30 - Pandhari,Zilla Prishad Primary School Room no 2 Pandhari,42
31 - Shirajgaon kasba,Gangabai Ganojkar High school North Side East West Building Room No 5 Shirajgaon kasba,42
32 - Shirajgaon kasba,Gangabai Ganojkar High school North side East-West Billding Room No 2 Shirajgaon kasba,42
33 - Shirajgaon kasba,Gangabai Ganojkar High school West Side North South Building Room No 4 Shirajgaon kasba,42
34 - Shirajgaon kasba,Gangabai Ganojkar High school West Side North South Building Room No 3 Shirajgaon kasba,42
35 - Shirajgaon kasba,Zilla Prishad Primary School Room No 3 Shirajgaon kasba,42
36 - Ratanpur.,Zilla Prishad Primary School Room No 1 Ratanpur,42
37 - Subanpur,Zilla Prishad Primary School Room No 1 Subanpur,42
38 - Govindpur,Zilla Prishad Primary School Room No 2 Govindpur,42
39 - Kharpi,Zilla Prishad Primary School Room No 1 Kharpi,42
40 - Kharpi,Zilla Prishad Primary School Room No 2 Kharpi,42
41 - Karajgaon,Zilla Prishad Primary School Old Building Room No 1 Karajgaon,42
42 - Karajgaon,Zilla Prishad Primary School Old Building Room No 2 Karajgaon,42
43 - Karajgaon,Zilla Prishad Primary School Old Building Room No 3 Karajgaon,42
44 - Karajgaon,Zilla Prishad Primary School New Building Room No 5 Karajgaon,42
45 - Karajgaon,Shri Shankarrao High school Old Building Room No 16 Karajgaon,42
46 - Karajgaon,Shri Shamrao Sonar Girls High school Room No 8 Karajgaon,42
47 - Karajgaon,Shri Shamrao Sonar Girls High school Room No 10 Karajgaon,42
48 - Karajgaon,Shri Shamrao Sonar Girls High school Room No 11 Karajgaon,42
49 - Karajgaon,Shri Shamrao Sonar Girls High school Room No 13 Karajgaon,42
50 - Karajgaon,Shri Shankarrao High school Old Building East side Room No 1 Karajgaon,42
51 - Karajgaon,Shri Shankarrao High school Old Building East side Room No 2 Karajgaon,42
52 - Karajgaon,Shri Shankarrao High school Old Building East side Room No 3 Karajgaon,42
53 - Karajgaon,Shri Shankarrao High school New Building Room No 13 Karajgaon,42
54 - Karajgaon,Shri Shankarrao High school New Building Room No 14 Karajgaon,42
55 - Kallodi,Zilla Prishad Primary School Room No 1 Kallodi,42
56 - Sarfapur,Zilla Prishad Primary School Room No 2 Sarfapur,42
57 - Deurwada,Zilla Prishad Primary Marathi School New Billding Room No 1 Deurwada,42
58 - Deurwada,Zilla Prishad Primary Marathi School New Billding Room No 3 Deurwada,42
59 - Deurwada,Zilla Prishad Primary Marathi School New Billding Room No 5 Deurwada,42
60 - Kajali,Zilla Prishad Primary Marathi School Room No 2 Kajali,42
61 - Bramhanwada Thadi,Zilla Prishad Primary Marathi Boyes School New Building East side Room No 1 Bramhanwada Thadi,42
62 - Bramhanwada Thadi,Zilla Prishad Primary Marathi Boyes School New Building East side Room No 2 Bramhanwada Thadi,42
63 - Bramhanwada Thadi,Zilla Prishad Primary Marathi Boyes School New Building East side Room No 6 Bramhanwada Thadi,42
64 - Bramhanwada Thadi,Zilla Prishad Primary Marathi Boyes School New Building East side Room No 7 Bramhanwada Thadi,42
65 - Bramhanwada Thadi,Zilla Prishad Primary Marathi Girls School North side Room No 1 Bramhanwada Thadi,42
66 - Bramhanwada Thadi,Zilla Prishad Primary Marathi Girls School North side Room No 2 Bramhanwada Thadi,42
67 - Bramhanwada Thadi,Zilla Prishad Primary Urdu School Room No 1 Bramhanwada Thadi,42
68 - Bramhanwada Thadi,Zilla Prishad Primary Urdu School East side Room No 2 Bramhanwada thadi,42
69 - Bramhanwada Thadi,Zilla Prishad Primary Urdu School East side Room No 3 Bramhanwada Thadi,42
70 - Bramhanwada Thadi,Zilla Prishad Primary Marathi Girls School Room No 4 Bramhanwada Thadi,42
