PS No & Name,Address,Constituency Number
1 - GANESHPUR,Z.P.PRE SECONDARY SCHOOL ROOM 1,43
2 - BHIVKUNDI,Z.P.PRE SECONDARY SCHOOL ROOM 1,43
3 - PALA,Z.P.PRE SECONDARY SCHOOL SOUTH SIDE BUILDING ROOM NO 1,43
4 - PALA,Z.P.PRE SECONDARY SCHOOL SOUTH SIDE BUILDING ROOM NO 4,43
5 - PALA,Z.P.PRE SECONDARY SCHOOL NORTH SIDE BUILDING ROOM NO 1,43
6 - YAWALI,Z.P.PRE SECONDARY SCHOOL ROOM NO 7,43
7 - YAWALI,Z.P.PRE SECONDARY SCHOOL ROOM NO 2,43
8 - GHODDEV KHU,Z.P.PREMIRY SCHOOL ROOM NO 1,43
9 - UMARKHED,Z.P.PREMIRY SCHOOL ROOM NO 2 ‍UMARKHED,43
10 - KHADAKA,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 3,43
11 - KHADAKA,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 5,43
12 - JAMGAON,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 1,43
13 - JAMGAON,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 3,43
14 - NAGZIRI,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 2,43
15 - PALSONA,Z.P.PRIMARY MARATHI SCHOOL ROOM NO. 1,43
16 - BAHADA,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 2,43
17 - GAVANKUND,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 2,43
18 - GAVANKUND,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 5,43
19 - BHEMDI,Z.P.PRIMARY MARATHI SCHOOL ROOM NO. 2,43
20 - ZATAMZIRI,Z.P.PRE.SECONDARY MARATHI SCHOOL ROOM NO. 2,43
21 - RAWALA,Z.P.PRE.SECONDARY MARATHI SCHOOL ROOM NO 4,43
22 - SATANUR,Z.P.PRE.SECONDARY SCHOOL EAST SIDE BUILDING ROOM NO. 1,43
23 - PUSLI,Z.P.PRIMARY MARATHI SCHOOL ROOM NO. 1,43
24 - WAI KHURD,Z.P.PRIMARY SCHOOL ROOM NO. 1,43
25 - KARALI,Z.P.PRIMARY SCHOOL ROOM NO. 1,43
26 - JAMGAON(M),Z.P.PRIMARY SCHOOL ROOM NO. 2,43
27 - MAHENDRI,MAHENDRI FOREST DEPARTMENT REST HOUSE,43
28 - SHENDURJANA GHAT,JANTA GIRLS HIGH SCHOOL SOUTH SIDE BUILDING ROOM 2,43
29 - SHENDURJANA GHAT,JANTA GIRLS HIGH SCHOOL WEST BUILDING ROOM NO. 5,43
30 - SHENDURJANA GHAT,JANTA GIRLS HIGH SCHOOL WEST BUILDING ROOM NO. 2,43
31 - SHENDURJANA GHAT,JANTA BOYS HIGH SCHOOL EAST BUILDING ROOM NO. 3,43
32 - SHENDURJANA GHAT,JANTA BOYS HIGH SCHOOL EAST BUILDING ROOM NO.4,43
33 - SHENDURJANA GHAT,JANTA BOYS HIGH SCHOOL NORTH BUILDING ROOM NO. 9,43
34 - SHENDURJANA GHAT,NAGAR PARISHAD MARATHI SCHOOL NO 1 NORTH SIDE ROOM NO. 1,43
35 - SHENDURJANA GHAT,NAGAR PARISHAD MARATHI PRIMARY SCHOOL NO 1 EAST SIDE ROOM NO. 2,43
36 - SHENDURJANA GHAT,NAGAR PARISHAD MARATHI PRIMARY SCHOOL NO 1 EAST SIDE ROOM NO.3,43
37 - SHENDURJANA GHAT,NAGAR PARISHAD MARATHI PRIMARY SCHOOL NO 2 EAST SIDE ROOM NO.1,43
38 - SHENDURJANA GHAT,NAGAR PARISHAD MARATHI PRIMARY SCHOOL NO 2 SARV SHIKSHA ABHIYAN EAST SIDE ROOM NO.2,43
39 - SHENDURJANA GHAT,NAGAR PARISHAD MARATHI PRIMARY SCHOOL NO 2 EAST SIDE ROOM NO.4,43
40 - SHENDURJANA GHAT,NAGAR PARISHAD MARATHI PRIMARY SCHOOL NO 2 NORTH SIDE ROOM NO.4,43
41 - SHENDURJANA GHAT,NAGAR PARISHAD MARATHI PRIMARY SCHOOL NO 2 SAMAJ MANDIR HALL,43
42 - SHENDURJANA GHAT,NAGAR PARISHAD MARATHI PRIMARY SCHOOL NO 2 NORTH SIDE ROOM NO.2,43
43 - TIWASA GHAT,Z.P.PRIMARY SCHOOL ROOM NO. 2,43
44 - TIWASA GHAT,Z.P.PRIMARY SCHOOL ROOM NO. 9,43
45 - TEMBHURKHEDA,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 1,43
46 - TEMBHURKHEDA,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 3,43
47 - TEMBHURKHEDA,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 5,43
48 - TEMBHURKHEDA,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 7,43
49 - ISAMBARI,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 5,43
50 - BENODA,SHAHID SMURTI VIDHYALAYA ROOM NO. 14,43
51 - BENODA,SHAHID SMURTI VIDHYALAYA ROOM NO. 12,43
52 - BENODA,SHAHID SMURTI VIDHYALAYA ROOM NO. 11,43
53 - BENODA,Z.P.PRIMARY SCHOOL ROOM NO. 10,43
54 - BENODA,Z.P.PRIMARY SCHOOL ROOM NO. 9,43
55 - BENODA,Z.P.PRIMARY SCHOOL ROOM NO. 6,43
56 - BARGAON,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 4,43
57 - BELONA,Samaj Mandir Belona,43
58 - HIWARKHED,Z.P.PRIMARY BOYS SCHOOL NORTH SIDE BUILDING ROOM NO 2,43
59 - HIWARKHED,MAHATMA PHULE HIGH SCHOOL ROOM NO 1,43
60 - HIWARKHED,MAHATMA PHULE HIGH SCHOOL ROOM NO 3,43
61 - HIWARKHED,Z.P.PRIMARY GIRLS SCHOOL NORTH SIDE BUILDING ROOM NO 4,43
62 - HIWARKHED,MAHATMA PHULE HIGH SCHOOL ROOM NO 4,43
63 - HIWARKHED,Z.P.PRIMARY GIRLS SCHOOL SOUTH SIDE BUILDING ROOM NO 1,43
64 - HIWARKHED,Z.P.PRIMARY GIRLS SCHOOL EAST SIDE ROOM NO 1,43
65 - HIWARKHED,MAHATMA PHULE HIGH SCHOOL ROOM NO 10,43
66 - DAPORI,Z.P.PRE SECENODRY SCHOOL ROOM NO 1,43
67 - DAPORI,Z.P.PRE SECENODRY SCHOOL ROOM NO 4,43
68 - MAYWADI,Z.P.PRIMARY SCHOOL ROOM NO 1,43
69 - DHANORA,Z.P.PRIMARY SCHOOL ROOM NO 1,43
70 - CHINCHOLI GAWALI,Z.P.PRE SECONDARY SCHOOL SOUTH SIDE BUILDING ROOM NO 1,43
71 - CHINCHOLI GAWALI,Z.P.PRE SECONDARY SCHOOL ROOM NO 4,43
72 - CHINCHOLI GAWALI,Z.P.PRE SECONDARY SCHOOL WEST SIDE BUILDING ROOM NO 1,43
73 - TARODA,Z.P.PRE SECONDARY SCHOOL NORTH SIDE BUILDING ROOM NO 1,43
74 - PIMPARI,Z.P.PRE SECONDARY SCHOOL ROOM NO 2,43
75 - DHASUR,Z.P.PRIMARY SCHOOL ROOM NO 1,43
76 - AMBADA,Z.P.PRIMARY GIRLS SCHOOL SOUTH SIDE ROOM NO 1,43
77 - AMBADA,Z.P.PRIMARY GIRLS SCHOOL SOUTH SIDE ROOM NO 4,43
78 - AMBADA,Z.P.PRIMARY BOYS SCHOOL SOUTH SIDE ROOM NO 2,43
79 - AMBADA,Z.P.PRIMARY BOYS SCHOOL WEST SIDE ROOM NO 5,43
80 - AMBADA,Gramvikas Vidhyalaya and Jr. College West side building Room No 1,43
81 - AMBADA,Gramvikas Vidhyalaya and Jr. College West side building Room No 2,43
82 - AMBADA,Gramvikas Vidhyalaya and Jr. College West side building Room No 7,43
83 - AMBADA,Gramvikas Vidhyalaya and Jr. College West side building Room No 9,43
84 - ASHTGAON,Z.P.PRE SECONDARY SCHOOL NEW BUILDING ROOM NO 3,43
85 - KHANAPUR,Z.P.PRIMARY SCHOOL KHANAPUR ROOM NO 2,43
86 - KHANAPUR,Z.P.PRIMARY SCHOOL KHANAPUR ROOM NO 4,43
87 - KHANAPUR,Z.P.PRIMARY SCHOOL KHANAPUR ROOM NO 5,43
88 - KHANAPUR,Z.P.PRIMARY SCHOOL KHANAPUR ROOM NO 7,43
89 - CHIKHAL SAWANGI,Z.P.PRE. SECONDARY MARATHI SCHOOL EAST SIDE BUILDING ROOM NO 3,43
90 - CHIKHAL SAWANGI,Z.P.PRE. SECONDARY MARATHI SCHOOL NORTH SIDE BUILDING ROOM NO 7,43
91 - MORSHI,NAGAR PARISHAD PRIMARY GIRLS SCHOOL NO 7 ROOM NO 3,43
92 - MORSHI,Z.P.PRIMARY GIRLS SCHOOL NORTH SIDE BUILDING ROOM NO 1,43
93 - MORSHI,Z.P.PRIMARY GIRLS SCHOOL NORTH SIDE BUILDING SOUTH SIDE ROOM NO 2,43
94 - MORSHI,"NAGAR PARISHAD PRIMARY SCHOOL WEEKLY MARKET ,ROOM NO 2,MORSHI",43
95 - MORSHI,"NAGAR PARISHAD PRIMARY SCHOOL WEEKLY MARKET, ROOM NO 7, ,MORSHI",43
96 - MORSHI,"NAGAR PARISHAD PRIMARY SCHOOL WEEKLY MARKET, ROOM NO 8, ,MORSHI",43
97 - MORSHI,"NAGAR PARISHADPRIMARY SCHOOL WEEKLY MARKET , ROOM NO 9, MORSHI",43
98 - MANIMPUR,"Z.P.PRIMARY SCHOOLMANIMPUR EAST SIDE BUILDING , WEST SIDE ROOM NO 1",43
99 - MORSHI,SHIVAJI GIRLS SCHOOL EAST SIDE BUILDING ROOM NO 1,43
100 - MORSHI,SHIVAJI GIRLS SCHOOL EAST SIDE BUILDING ROOM NO 2,43
101 - MORSHI,SHIVAJI GIRLS SCHOOL EAST SIDE BUILDING ROOM NO 3,43
102 - MORSHI,SHIVAJI GIRLS SCHOOLWEST SIDE BUILDING ROOM NO 4,43
103 - MORSHI,SHIVAJI GIRLS SCHOOLWEST SIDE BUILDING ROOM NO 5,43
104 - MORSHI,SHIVAJI GIRLS SCHOOLWEST SIDE BUILDING ROOM NO 6,43
105 - MORSHI,"NAGAR PARISHAD URDU SECONDARY AND HIGHER SECONDARY SCHOOL NAGAR PARISHAD OFFICE AREA ,MORSHI SOUTHERN BUILDING EASTERN ROOM NO 1",43
106 - MORSHI,"NAGAR PARISHAD URDU SECONDARY AND HIGHER SECONDARY SCHOOL,NAGAR PARISHAD OFFICE AREA ,MORSHI SOUTHERN BUILDING EASTERN ROOM NO 2",43
107 - MORSHI,"NAGAR PARISHAD URDU SECONDARY AND HIGHER SECONDARY SCHOOL,NAGAR PARISHAD OFFICE AREA ,MORSHI SOUTHERN BUILDING EASTERN ROOM NO 1",43
108 - MORSHI,"NAGAR PARISHAD URDU SECONDARY AND HIGHER SECONDARY SCHOOL,NAGAR PARISHAD OFFICE AREA ,MORSHI NORTH SIDE BUILDING EAST SIDE ROOM NO 1",43
109 - MORSHI,SHIVAJI HIGHER SECONDARY SCHOOLWEST SIDE BUILDING ROOM NO 10,43
110 - MORSHI,SHIVAJI HIGHER SECONDARY SCHOOLWEST SIDE BUILDING ROOM NO 1,43
111 - MORSHI,SHIVAJI HIGHER SECONDARY SCHOOLWEST SIDE BUILDING ROOM NO 7,43
112 - MORSHI,SHIVAJI HIGHER SECONDARY SCHOOL SOUTHERN BUILDING ROOM NO 2,43
113 - MORSHI,SHIVAJI HIGHER SECONDARY SCHOOL EASTERN BUILDING ROOM NO 3,43
114 - MORSHI,SHIVAJI HIGHER SECONDARY SCHOOL WESTERN BUILDING ROOM NO 12.,43
115 - MORSHI,SHIVAJI HIGHER SECONDARY SCHOOL EAST SIDE BUILDING ROOM NO 4,43
116 - MORSHI,BHARTIYA MAHAVIDHYALAY EAST SIDE BUILDING NORTH SIDE ROOM NO 1,43
117 - MORSHI,BHARTIYA MAHAVIDHYALAY EAST SIDE BUILDING SOUTH SIDE ROOM NO 4,43
118 - MORSHI,BHARTIYA MAHAVIDHYALAY SOURT SIDE (STAFF ROOM) ROOM NO 4,43
119 - MORSHI,BHARTIYA MAHAVIDHYALAY EASTERN BUILDING SOUTHERN ROOM NO 7,43
120 - MORSHI,BHARTIYA MAHAVIDHYALAY EASTERN BUILDING ROOM NO 12,43
121 - BHAIPUR,Z.P.PRIMARY SCHOOL ROOM NO 2,43
122 - ZOLAMBA,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 2,43
123 - MAMDAPUR,Z. P. PRE.SECONDAR SCHOOL ROOM NO. 1,43
124 - GOREGAON,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 4,43
125 - PIMPALKHUTA (BK),Z.P.PRE.SECONDARY SCHOOL ROOM NO. 1,43
126 - JARUD,Z. P. PRE SECONDARY BOYS SCHOOL EAST SIDE ROOM NO. 1,43
127 - JARUD,Z. P. PRE SECONDARY BOYS SCHOOL EAST SIDE ROOM NO. 3,43
128 - JARUD,Z. P. PRE SECONDARY BOYS SCHOOL WEST SIDE BUILDING ROOM NO. 3,43
129 - JARUD,Z. P. PRE SECONDARY BOYS SCHOOL WEST SIDE BUILDING ROOM NO. 1,43
130 - JARUD,Z P. PRE SECONDARY BOYS SCHOOL WEST SIDE BUILDING ROOM NO. 5,43
131 - JARUD,JARUD HIGHER SECONDARY SCHOOL EAST SIDE ROOM NO. 1,43
132 - JARUD,JARUD HIGHER SECONDARY SCHOOL WEST SIDE BUILDING ROOM NO. 1,43
133 - JARUD,JARUD HIGHER SECONDARY SCHOOL SOUTH SIDE BUILDING ROOM NO. 2,43
134 - JARUD,JARUD HIGHER SECONDARY SCHOOL SOUTH SIDE BUILDING ROOM NO. 1,43
135 - JARUD,JARUD HIGHER SECONDARY SCHOOL WEST SIDE BUILDING ROOM NO. 3,43
136 - SHAHAPUR,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 4,43
137 - SHAHAPUR,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 11,43
138 - SHAHAPUR,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 8,43
139 - WARUD,"Nagar Parishad Marathi Vidhya Mandir School No.1, Budhwar Bajar Parisar Room No. 1",43
140 - WARUD,"Nagar Parishad Marathi Vidhya Mandir School No.1, Budhwar Bajar Parisar Room No. 2",43
141 - WARUD,"Nagar Parishad Marathi Vidhya Mandir School No.1, Budhwar Bajar Parisar Room No. 3",43
142 - WARUD,"Nagar Parishad Marathi Vidhya Mandir School No.1, Budhwar Bajar Parisar Room No. 4",43
143 - WARUD,"NEW ENGLISH HIGHER SECONDARY SCHOOL EAST SIDE, BUILDING NO.1 ROOM NO. 3",43
144 - WARUD,"NEW ENGLISH HIGHER SECONDARY SCHOOL EAST SIDE, BUILDING NO.1 ROOM NO. 4",43
145 - WARUD,NEW ENGLISH HIGHER SECONDARY SCHOOL EAST SIDE BUILDING NO.1 ROOM NO. 5,43
146 - WARUD,"NEW ENGLISH HIGHER SECONDARY SCHOOL EAST SIDE, BUILDING NO.1 ROOM NO. 6",43
147 - WARUD,"NEW ENGLISH HIGHER SECONDARY SCHOOL EAST SIDE, BUILDING NO.1 ROOM NO. 7",43
148 - WARUD,"NEW ENGLISH HIGHER SECONDARY SCHOOL MIDDLE SIDE, BUILDING NO.2 ROOM NO. 1",43
149 - WARUD,"NEW ENGLISH HIGHER SECONDARY SCHOOL MIDDLE SIDE, BUILDING NO.2 ROOM NO. 4",43
150 - WARUD,"NEW ENGLISH HIGHER SECONDARY SCHOOL MIDDLE SIDE, BUILDING NO.2 ROOM NO. 5",43
151 - WARUD,"NEW ENGLISH HIGHER SECONDARY SCHOOL MIDDLE SIDE, BUILDING NO.2 ROOM NO. 6",43
152 - WARUD,"NEW ENGLISH HIGHER SECONDARY SCHOOL BUILDING NO. MCVC WEST SIDE, ROOM NO. 1",43
153 - WARUD,"NEW ENGLISH HIGHER SECONDARY SCHOOL BUILDING NO. MCVC WEST SIDE, ROOM NO. 2",43
154 - WARUD,"NEW ENGLISH HIGHER SECONDARY SCHOOL BUILDING NO. MCVC WEST SIDE, ROOM NO. 3",43
155 - WARUD,"NEW ENGLISH PRIMARY SCHOOL, POLICE STATION ROAD, ROOM NO. 12",43
156 - WARUD,"NEW ENGLISH PRIMARY SCHOOL, POLICE STATION ROAD, ROOM NO. 5",43
157 - WARUD,"NEW ENGLISH PRIMARY SCHOOL, POLICE STATION ROAD, ROOM NO. 7",43
158 - WARUD,PARVATABAI DHARMADHIKARI GIRLS SCHOOL ROOM NO. 1,43
159 - WARUD,PARVATABAI DHARMADHIKARI GIRLS SCHOOL ROOM NO. 2,43
160 - WARUD,NAGAR PARISHAD MARATHI VIDHYA MANDIR ROOM NO. 1,43
161 - WARUD,NAGAR PARISHAD MARATHI VIDHYA MANDIR ROOM NO. 8,43
162 - WARUD,NAGAR PARISHAD MARATHI VIDHYA MANDIR ROOM NO. 4,43
163 - WARUD,NAGAR PARISHAD URDU PRIMARY SCHOOL ROOM NO. 2,43
164 - WARUD,"NAGAR PARISHAD SAVATA VIDHYA MANDIR, SCHOOL ROOM NO. 3",43
165 - WARUD,NAGAR PARISHAD URDU PRIMARY SCHOOL ROOM NO. 6,43
166 - WARUD,NAGAR PARISHADURDU PRIMARY SCHOOL ROOM NO. 3,43
167 - WARUD,"NAGAR PARISHAD SAVATA VIDHYA MANDIR, SAVATA SCHOOL ROOM NO. 4",43
168 - WARUD,NAGAR PARISHADURDU PRIMARY SCHOOL ROOM NO. 4,43
169 - WARUD,NAGAR PARISHAD SAVATA VIDHYA MANDIR SAVATA SCHOOL ROOM NO. 5,43
170 - WARUD,"NAGAR PARISHADJAWAHAR VIDHYA MANDIR, BUILDING NO.1 ROOM NO. 2",43
171 - WARUD,"NAGAR PARISHAD JAWAHAR VIDHYA MANDIR, BUILDING NO.1 ROOM NO. 3",43
172 - WARUD,"NAGAR PARISHAD JAWAHAR VIDHYA MANDIR, BUILDING NO.1 ROOM NO. 4",43
173 - WARUD,"NAGAR PARISHAD JAWAHAR VIDHYA MANDIR, BUILDING NO.2 ROOM NO. 1",43
174 - WARUD,"NAGAR PARISHAD JAWAHAR VIDHYA MANDIR, BUILDING NO.3 ROOM NO. 1",43
175 - WARUD,"NAGAR PARISHAD JAWAHAR VIDHYA MANDIR, BUILDING NO.3 ROOM NO. 3",43
176 - MALKHED,Z.P.PRE.SECONDARY SCHOOL PUNARVASAN NEW BUILDING ROOM NO. 7,43
177 - MALKHED,Z.P.PRE.SECONDARY SCHOOL PUNARVASAN NEW BUILDING ROOM NO.2,43
178 - PUSALA,Z. P. PRIMARY GIRLS SCHOOL SOUTH SIDE BUILDING ROOM NO. 1,43
179 - PUSALA,Z. P. PRIMARY GIRLS SCHOOL NORTH BUILDING ROOM NO. 3,43
180 - PUSALA,Z. P. PRIMARY GIRLS SCHOOL NORTH BUILDING ROOM NO. 5,43
181 - PUSALA,Z.P.PRE.SECONDARY SCHOOL WEST SIDE BUILDING ROOM NO. 3,43
182 - PUSALA,Z.P.PRE.SECONDARY SCHOOL WEST ROOM NO. 2,43
183 - PUSALA,Z.P.PRE.SECONDARY SCHOOL CENTER BUILDING ROOM NO. 4,43
184 - PUSALA,Z.P.PRE.SECONDARY SCHOOL EAST SIDE ROOM NO. 2,43
185 - PUSALA,Z.P.PRE.SECONDARY SCHOOL WEST SIDE BUILDING ROOM NO. 1,43
186 - URAD,Z.P.PRIMARY SCHOOL ROOM NO. 1,43
187 - EKALVIHIR,Z.P.PRIMARY SCHOOL ROOM NO. 2 EKALVIHIR,43
188 - LINGA,Z.P.PRE.SECONDARY SCHOOL SOUTH SIDE BUILDING ROOM NO. 4,43
189 - LINGA,Z.P.PRE.SECONDARY SCHOOL SOUTH SIDE BUILDING ROOM NO. 3,43
190 - JAMTHI GANESHPUR,Z.P.PRE.SECONDARY SCHOOL PUNARVASAN BUILDING ROOM NO. 3,43
191 - JAMTHI GANESHPUR,Z.P.PRE.SECONDARY SCHOOL PUNARVASAN BUILDING EAST ROOM NO. 4,43
192 - JAMTHI,Z.P.PRE.SECONDARY SCHOOL PUNARVASAN BUILDING EAST ROOM NO. 1,43
193 - SAWANGI,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 1,43
194 - SWANGI,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 3,43
195 - SAWANGI,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 6,43
196 - DHANODI,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 2,43
197 - DHANODI,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 5,43
198 - KURLI,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 1,43
199 - KURLI,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 3,43
200 - ROSHANKHEDA,Z.P.PRE.SECONDARY SCHOOL ROOM NO. 1,43
