PS No & Name,Address,Constituency Number
1 - Wadala,Gram Panchayat Office Wadala,44
2 - Wardhapur,Z. P. Primary School Wardhapur,44
3 - Sattarapur,Z. P. Primary School Sattarpur,44
4 - Pilapur,Z. P. Primary School Pilapur (Pu ),44
5 - Belora (bu ),Z. P. Highier Primary School Belora (Bu ),44
6 - Khambit,Z. P. Primary School Khambit,44
7 - Borgaon (Tu),Z. P. Primary School Borgaon (Tu.),44
8 - Borgaon (tu. ),Gramapachayat Office Boraganv (Tu.) New Bulding,44
9 - Drugawada,Z. P. Highier Primary School Drugawada New Building,44
10 - Tarasanvaga,Z. P. Highier Primary School Tarasawanga,44
11 - Sahur,Z. P. Primary School Sahur North Side,44
12 - Sahur,Z. P. Primary School Sahur Room No. 2 South Side,44
13 - Sahur,Dnyaneshwari Junior High school Sahur East Side,44
14 - Savanga (purn ),"Z. P. Primary School, Savanga (pu)",44
15 - Porgavhan,"Z. P. Primary School, Porgavhan",44
16 - Panchala,Z. P. Primary School Panchala,44
17 - Delwadi,Z. P. Highier Primary School Delwadi,44
18 - Delwadi,Gram panchayat Office Delwadi,44
19 - Jolwadi,Z. P. Primary School Jolwadi West Side,44
20 - Antora (Old),Gram panchayat Office Antora (Old),44
21 - Antora (New ),Z. P. Primary School Antora (New),44
22 - Lahan Arvi,"Z. P. Primary School, New Building Lahan Arvi",44
23 - Lahan Arvi,Gram panchayat Office Lahan Arvi,44
24 - Jaitapur,Z. P. Primary School Jaitapur North Side,44
25 - Dhadi,"Z. P Primary School, Dhadi New Building",44
26 - Dhadi,Z. P. Highier Primary School Dhadi New Building Room No. 2,44
27 - Manikawada,Z. P. Highier Primary school Manikwada West Side Old Bulding,44
28 - Manikawada,Z. P. Highier Primary School Manikwada New Building,44
29 - Susundra,Z.P.Highier Primary School Susundra,44
30 - Moi,Z. P. Primary School Moi,44
31 - Kinhi Abad,Z. P. Primary School Kinhi Abad,44
32 - Peth Ahamadapur,Gram panchayat Office Peth Ahamadpur New Building South Side,44
33 - Peth Ahamadapur,K. Mallikarjun Appa Ganjivale Z.P. Primary School Peth Ahamadpur,44
34 - Kinnhala,Z. P. Primary School Kinhala,44
35 - Dalpatpur,Z. P. Primary School Dalapatpur,44
36 - Sirasoli,Z. P. Primary School Sirsoli,44
37 - Khadaki,Z. P. Primary School Khadaki Room No. 1,44
38 - Parasoda,Z. P. Primary School Parsoda,44
39 - Ashti,L.Gopalrao Wagh Z. P. Primary School Ashti Building No.1 North Side,44
40 - Ashti,L. Gopalrao Wagh Z. P. Primary School Ashti Building No.3 Middle Bulding,44
41 - Ashti,L. Gopalrao Wagh Z. P. Primary School Ashti South Side,44
42 - Ashti,L. Indira Gandhi Z. P. Primary School Ashti (Girls),44
43 - Ashti,L. Indira Gandhi Z. P. Primary School Ashti (Girls) Room No. 4,44
44 - Ashti,Shahid Rashid Khan Z. P. Primary Urdu School Ashti Old Building South Side,44
45 - Ashti,Shahid Rashid Khan Z. P. Primary Urdu School Ashti Old Building North Side,44
46 - Narsingpur,Z. P. Primary School Narasingpur,44
47 - Ashti,Mahatma Gandhi Z. P. Primary School Ashti School No 2 East Side,44
48 - Ashti,Mahatma Gandhi Z. P. Primary School Ashti School No 2 East Side New Bulding,44
49 - Thar,Z. P. Highier Primary School Thar New Bulding South Side,44
50 - Thar,Z. P. Primary School Thar,44
51 - Belgaon,Z.P.Highier Primary School Belgaon,44
52 - Sawardoh,Z.P. Primary School Sawardoh,44
53 - Taroda,Z.P.Highier Primary School Taroda,44
54 - Kakada,Z.P. Primary School Kakada,44
55 - Parasodi,Z.P. Primary School Parasodi,44
56 - Bihadi,Z.P.Highier Primary School Bihadi,44
57 - Waghoda,Z.P. Primary School Waghoda,44
58 - Nara,Z.P.Highier Primary School Nara,44
59 - Nara,Grampanchayat Office Nara New Building,44
60 - Aajanadevi,Z.P. Primary School Aajanadevi,44
61 - Paradi,Z.P. Primary School Paradi Room No.1,44
62 - Paradi,Z.P. Primary School Paradi Room No.2,44
63 - Paradi,Z.P. Primary School Paradi Room No.3,44
64 - Botona,Z.P.Highier Primary School Botona New Building,44
65 - Bambarda,Z. P. Primary School Bambarda,44
66 - Sirkutani,Z. P. Primary School Sirkutani,44
67 - Sujatapur,"Z. P. Primary School, Sujatapur East Side",44
68 - Tekoda,Z. P. Primary School Tekoda,44
69 - Bharaswada,"Z. P. Highier Primary School (Boys), Bharaswada Room No.1",44
70 - Bharaswada,"Z. P. Highier Primary School (Boys), Bharaswada Room No.2",44
71 - Bhishnur,Z. P. Highier Primary School Bhishnur,44
72 - Ramdara,Z.P. Primary Urdu School Room No 2 Ramdara,44
73 - Ramdara,Grapanchayat Office Talegaon Library Room,44
74 - Ramdara,Z. P. Primary (Girls ) School Talegaon,44
75 - Ramdara,Z. P. Primary Urdu School Ramdara,44
76 - Ramdara,Z. P. Primary School Ramdara (Pu),44
77 - Talegaon,Z. P. Primary School New Kakaddara (Pu),44
78 - Talegaon,Z. P. Primary School New Ramadra (Pu),44
79 - Ramdara,Z. P. Primary School Shiri Ramdara West Side,44
80 - Talegaon,L. Pandurangji Ingle Z. P. Primary School Talegaon North Side,44
81 - Ramdara,L. Pandurangji Ingle Z. P. Primary School Talegaon South Side,44
82 - Ramdara,Z. P. Primary Central School Talegaon (S.P.),44
83 - Sarwadi,Z.P.Highier Primary School Sarwadi Room No.1,44
84 - Sarwadi,Z. P. Highier Primary School Sarwadi Room No.2,44
85 - Sarwadi,Mahatma Fule Vidyalaya Sarwadi (Devwadi),44
86 - Palora,Z.P. Primary School Palora,44
87 - Sawali (Bu),Z. P. Highier Primary School Sawali (Bu),44
88 - Karanja,Z.P. Primary School Khardipura Karanja Room No. 1 West Side,44
89 - Karanja,Z.P. Primary School Khardipura Karanja Room No. 2 East Side,44
90 - Karanja,Z.P. Central Primary (Boys) School Karanja Room No.1,44
91 - Karanja,Z.P. Central Primary (Boys) School Karanja Room No.2,44
92 - Karanja,Kasturba Vidyalaya Karanja Room No. 2 East Side,44
93 - Karanja,Kasturba Vidyalaya Karanja Room No. 3 East Side,44
94 - Karanja,Kasturba Vidyalaya Karanja Room No. 4 West Side,44
95 - Karanja,Panchayat Samiti Office Hall Karanja,44
96 - Karanja,Panchayat Samiti Office Gat Sadhan Kendra Karanja,44
97 - Karanja,Z.P. Primary School Khairi (Pu) Karanja,44
98 - Karanja,Z.P. Primary School Indira Nagar Karanja Room No. 1,44
99 - Karanja,Z.P. Primary School Indira Nagar Karanja Room No. 2,44
100 - Chandewani,Z.P. Primary School Chandewani,44
101 - Madani,Z.P. Primary School Madani,44
102 - Selgaon (Lavane),Z. P. Highier Primary School Selgaon (Lavane) Room No. 1,44
103 - Jaurwada (Khu),Z.P. Highier Primary School Jaurwada (Khu),44
104 - Dharti,Z. P. Highier Primary School Dharti,44
105 - Bori,Z. P. Highier Primary School Bori,44
106 - Thanegaon,Z. P. Primary School Thanegaon,44
107 - Thanegaon,Grampanchayat Office Thanegaon,44
108 - Thanegaon,Anganwadi Kendra No. 119 Thanegaon,44
109 - 109-Borgaon (Dhole),Z. P. Highier Primary School Borgaon (Dhole),44
110 - 110-Dhawdi (Bu),Z. P. Primary School Dhawdi (Bu),44
111 - Rajani,Z. P. Primary School Rajani,44
112 - Bondarthana,Z. P. Highier Primary School Bondarthana,44
113 - Ekarjun,Z. P. Primary School Ekarjun,44
114 - Sonegaon (Mu),Z. P. Primary School Sonegaon (Mu),44
115 - Kinhala,Z. P. Primary School Kinhala,44
116 - Jasapur,Z. P. Highier Primary School Jasapur,44
117 - Chistur,Z. P. Primary School (Hexagonal Building) Chistur,44
118 - Anadwadi,Z. P. Primary School Anadwadi,44
119 - Belora (khu ),Z. P. Primary School Belora (Khu ) New Building,44
120 - Khadka,Z. P. Primary School Khadka,44
121 - Jalgaon,Z.P. Primary School Jalgaon Room No.1,44
122 - Jalgaon,Z.P. Primary School Jalgaon Room No.1 New Building,44
123 - Jalgaon,Z.P. Primary School Jalgaon Office,44
