PS No & Name,Address,Constituency Number
1 - Sindhi (Railway),Nagar Parishad Kasturaba Primary Girls School Sindhi Railway West Side Room No.1,46
2 - Sindhi (Railway),Nagar Parishad Kasturaba Primay Girls School Sindhi (Railway) Room No.2,46
3 - Sindhi (Railway),Nagar Parishad Kasturaba Primay Girls School Sindhi (Railway) Room No.3,46
4 - Sindhi (Railway),Nagar Parishad Rajendra Primary School North Side Sindhi (Railway) Room No.1,46
5 - Sindhi (Railway),Kesarimal Nagar Vidyalaya Sindhi Railway Vir Savarkar Class Room No.4,46
6 - Sindhi (Railway),Kesarimal Nagar Vidyalaya Sindhi Railway East Side Room No.1,46
7 - Sindhi (Railway),Kesarimal Nagar Vidyalaya Sindhi Railway East Side Room No.6,46
8 - Sindhi (Railway),Nagar Parishad Nehru Vidyalaya Sindhi Railway West Side Room No.1,46
9 - Sindhi (Railway),Nagar Parishad Nehru Vidyalay Sindhi Railway West Side Room No.3,46
10 - Sindhi (Railway),Nagar Parishad Tilak Primary School Sindhi Railway Room No.1,46
11 - Sindhi (Railway),Nagar Parishad Nehru Junior Vidyalaya . Sindhi Railway North Side Room No.7,46
12 - Sindhi (Railway),Nagar Parishad Nehru Junior Vidyalaya . Sindhi Railway North Side Room No.6,46
13 - Digras,Z.P Primary School Digras,46
14 - Vikhani,Z.P Primary School Vikhani (New Building),46
15 - Barbadi,Z.P Higher Primary School Barabadi,46
16 - Umari,Z.P Higher Primary School Umari,46
17 - Kurla,Z.P Primary School Kurla,46
18 - Dhamangaon,Z.P Higher Primary School Dhamangaon,46
19 - Khursapar,Z.P Primary School Khursapar,46
20 - Waigaon (Gond),Z.P Higher Primary School Waigaon (Gond) Room No. 1,46
21 - Waigaon (Gond),Z.P Higher Primary School Waigaon (Gond) Room No. 2,46
22 - Kalmana,Z.P Higher Primary School Kalamana,46
23 - Helodi,Z.P Higher Primary School Helodi New Bulilding,46
24 - Khapri (Dhone),Z.P Primary School (New building) Khapari (dhone ),46
25 - Palasagaon (Bai ),"Z.P Higher Primary School ,Palasagaon (Bai) Room No.1",46
26 - Palasagaon (Bai ),"Z.P Higher Primary School ,Palasagaon (Bai) Room No.2",46
27 - Marada,Z.P. Primary School Marada,46
28 - Kandhali,Z.P Higher Primary School Kandhali,46
29 - Kandhali,Gramanchayat Office Kandhali,46
30 - Faridpur,"Z.P Higher Primary School,Faridpur",46
31 - Girad,Z.P Primary Girls School (Main Hall) North Side Girad Room No.1,46
32 - Girad,Z.P Primary Girls School South Side Girad Room No.2,46
33 - Girad,Z.P Central Primary Girls School North Side Girad Room No.1,46
34 - Girad,Z.P Central Primary Girls School South Side Girad Room No.2,46
35 - Girad,Gramapanchayat Office Girad (South Side ),46
36 - Girad,Public Library New Buliding Girad,46
37 - Ramnagar,Z.P Primary School Ram Nagar,46
38 - Bhosa,Z.P Higher Primary School Bhosa,46
39 - Tuljapur,Z.P Higher Primary School Tuljapur New Building,46
40 - Dahegaon (go),Z.P Center Primary School Dahegaon (Gosavi),46
41 - Dahegaon (go),Z.P Primary School South Side Building (Samuh Sadhan Kendra) Dahegaon Gosavi,46
42 - Dhahegaon (go),Z.P Primary Kendra School (A)Dahegaon (Gosavi),46
