PS No & Name,Address,Constituency Number
1 - Mowad,"Nagar Parishad Primary School No. 2, Mowad, Room No. 1",48
2 - Gandhani,"Z. P. Primary School, Godhani, Room of Sarva Shiksha Abhiyan",48
3 - Mowad,"Nagar Parishad Primary School No. 2, Mowad, Room No. 2",48
4 - Mowad,"Nagar Parishad Lokmanya Tilak Public Library, Mowad",48
5 - Mowad,"Nagar Parishad Primary School No. 1 , Mowad, Room No. 1",48
6 - Mowad,"Nagar Parishad Primary School No. 1 , Mowad, Room No. 4",48
7 - Mowad,"Nagar Parishad Primary School No. 1 , Mowad, Room No. 2",48
8 - Mowad,"Nagar Parishad Primary School No. 1 , Mowad, Room No. 5",48
9 - Belona,"Z. P. Higher Primary School No.1 Belona, Room No. 1",48
10 - Belona,"Z.P. Higher Primary School No. 1, Belona (Peth), Room No. 1",48
11 - Gaimukh (Pandhari),"Z .P Primary School, Pandhari (Gaimukh), Room No. 1",48
12 - Belona,"Z. P.Higher Primary School No. 1, Belona (Peth), New Building, Room No. 1",48
13 - Belona,"Z. P. Higher Primary School No. 1 Belona, Room No. 2",48
14 - Gangaldoh,"Z .P. Primary School, Gangaldoh, Room No. 1",48
15 - Manikwada,"Z. P.Higher Primary School, Manikwada, Room No. 1",48
16 - Bhaywadi,"Z.P. Higher Primary School, Bhaywadi, Old Building, Room No. 1",48
17 - Pilapur,"Z.P. Primary School, Pilapur, New Building, Room No. 1",48
18 - Mohadi (Dalvi),"Z.P. Higher Primary School Mohadi (Dalvi), Room No. 1",48
19 - Mohadi (Dalvi),"Z.P. Higher Primary School Mohadi (Dalvi), Room No. 4",48
20 - Narkhed,"Jawahar Library Nagar Parishad, Narkhed",48
21 - Narkhed,"Nagar Parishad Narkhed Primary School No. 2, Old Building, Room No. 1",48
22 - Narkhed,"Nagar Parishad Narkhed Primary School No. 2, New Building, Room No. 1",48
23 - Narkhed,"Nagar Parishad Narkhed Primary School No. 2, New Building, Room No. 3",48
24 - Narkhed,"Nagar Parishad Narkhed Primary School No. 3, New Building, Room No. 1",48
25 - Narkhed,"Nagar Parishad Narkhed Primary School No. 3, New Building, Room No. 2",48
26 - Narkhed,"Nagar Parishad Narkhed Primary School No. 3, New Building, Room No. 3",48
27 - Narkhed,"Shri.Pandharinath College, Narkhed, Art ,Commerce & M C V C, Room No. 1",48
28 - Narkhed,"Shri.Pandharinath College, Narkhed, Art ,Commerce & M C V C, Room No. 2",48
29 - Narkhed,"Shri.Pandharinath College, Narkhed, Art ,Commerce & M C V C, Room No. 3",48
30 - Narkhed,"Nagar Parishad Narkhed Primary School No. 6, Room No. 1",48
31 - Narkhed,"Nagar Parishad Higer Primary School No. 1, Narkhed, Room No. 1",48
32 - Narkhed,"Nagar Parishad Higer Primary School No. 1, Narkhed, Room No. 4",48
33 - Narkhed,"Nagar Parishad High school (Urdu Sec.), Narkhed, Room No. 1",48
34 - Parsodi (Raut),"Z P Higher Primary School, Parsodi (Raut), New Building, Room No. 1",48
35 - Narkhed,"Nagar Parishad Urdu Higher Primary School No. 4, Narkhed, Room No. 1",48
36 - Narkhed,"Nagar Parishad Narkhed Primary School No. 5, Narkhed, Room No. 1",48
37 - Narkhed,"Nagar Parishad Office, Narkhed, Room No. 1",48
38 - Narkhed,"Nagar Parishad High School, Narkhed, Room No. 1",48
39 - Narkhed,"Nagar Parishad High School, Narkhed, Room No. 4",48
40 - Khairgaon,"Z.P. Higher Primary Girls School No. 2, Khairgaon, Old Building , Room No. 1",48
41 - Khairgaon,"Z.P. Higher Primary School (Boys) No. 1, Khairgaon, New Building , Room No. 1",48
42 - Khairgaon,"Z.P. Higher Primary School (Boys) No. 1, Khairgaon, New Building , Room No. 3",48
43 - Khairgaon,"Z.P. Higher Primary Girls School No. 2, Khairgaon, New Building, Room No. 1",48
44 - Deoli,"Z.P. Primary School, Deoli., Room No. 1",48
45 - Yerla (Indora),"Z.P. Primary School, Yerla (Indora)., Room No. 1",48
46 - Kharsoli,"Z.P. Primary School, Kharsoli, Old Building, Room No. 1",48
47 - Kharsoli,"Z.P. Primary School, Kharsoli, New Building, Room No. 1",48
48 - Pimpalgaon (Wakhaji),"Z.P. Higher Primary School, Pimpalgaon (Wakhaji), Room No. 1",48
49 - Kamathi Tola,"Z.P. Primary School, Kamathi Tola, Room No. 1",48
50 - Mogara,"Z.P. Primary School, Mogara, Room No. 1",48
51 - Banor (Pithori),"Z.P. Primary School, Banor (Pithori), New Building, Room No. 1",48
52 - Pithori (Banor),"Z.P. Primary School, Pithori (Banor), Room No. 1",48
53 - Saradi,"Z.P. Primary School ,Saradi, Room No. 1",48
54 - Ambada (Deshmukh),"Z.P. Primary School, Ambada (Deshmukh), Room No. 1",48
55 - Khedi Gowargondi,"Z.P. Primary School, Khedi (Gowargondi), Room No. 1",48
56 - Shemada,"Z.P. Primary School, Shemada, Room No. 1",48
57 - Pipala Khurd,"Z.P. Primary School, Pipala (Khurd), Room No. 1",48
58 - Agra,"Z.P. Primary School, Agra, Room No. 1",48
59 - Umri (Shindi),"Z.P. Primary School, Umri (Shindi), Room No. 1",48
60 - Mannathkhedi,"Z.P. Primary School, Mannathkhedi, Room No. 1",48
61 - Masora,"Z.P. Higher Primary School, Masora, Room No. 1",48
62 - Masora,"Z.P. Higher Primary School, Masora, Room No. 2",48
63 - Junona Fuke,"Z.P. Higher School Junona (Fuke), New Building, Room No. 1",48
64 - Yeni Koni,"Z.P. Primary School,Yenikoni, Room No. 1",48
65 - Ambola,"Z.P. Primary School, Ambola, Room No. 1",48
66 - Mohadi (Dhotra),"Z.P. Primary School, Mohadi (Dhotra), Room No. 1",48
67 - Toyapar,"Z.P. Primary School, Toyapar, Room No. 1",48
68 - Khedi karyat,"Z.P. Primary School, Khedikaryat, New Building, Room No. 1",48
69 - Thugaon Nipani,"Z.P. Higher Primary School, Thugaon (Nipani), New Building, Room No. 1",48
70 - Thugaondeon,"Jivan Vikas Vidyalaya, Thugaondev, Room No. 1",48
71 - Thugaondeon,"Jivan Vikas Vidyalaya, Thugaondev, Room No. 3",48
72 - Dindargaon,"Z.P. Primary School, Dindargaon, Room No. 1",48
73 - Junona Gharad,"Z.P. Primary School, Junona (Gharad), Room No. 1",48
74 - Tinkheda,"Z.P. Higher Primary Central School, Tinkheda, Room No. 1",48
75 - Tinkheda,"Z.P. Higher Primary Central School Tinkheda, Room No. 4",48
76 - Wadegaon Umari,"Z.P. Primary School, Wadegaon Umari, New Building, Room No. 1",48
77 - Khandala Bu.,"Z.P. Primary School, Khandala (Bu), Room No. 1",48
78 - Rajani,"Z.P. Primary School, Rajani, Room No. 1",48
79 - Sawargaon,"Z.P. Central Higher Primary School No.1, Sawargaon, Room No. 1",48
80 - Sawargaon,"Z.P. Central Higher Primary School No.1, Sawargaon, Room No. 2",48
81 - Sawargaon,"Z.P. Central Higher Primary School No.1, Sawargaon, Room No. 3",48
82 - Sawargaon,"Z.P. Higher Primary School No. 2, Sawargaon, Room No.3",48
83 - Sawargaon,"Z.P. Higher Primary School No. 2, Sawargaon, Room No.4",48
84 - Sawargaon,"Z.P. Higher Primary School (Girls) No. 2, Sawargaon, Room No.5",48
85 - Sindi (Umri),Anganwadi old Bulding No.1 Sindi,48
86 - Sindi (Umri),"Z.P. Higher Primary School, Sindi, New Building, Room No. 2",48
87 - Pipla Ke.,"Z.P. Primary School, Pipla (Ke), New Building, Room No. 1",48
88 - Pipla Ke.,"Z.P. Primary School, Pipla (Ke), New Building, Room No. 4",48
89 - Mohgaon (Bhadade),"Z.P. Higher Primary School , Mohgaon (Bhadade), Room No. 1",48
90 - Mohgaon (Bhadade),"Z.P. Higher Primary School , Mohgaon (Bhadade), Room No. 4",48
91 - Malapur,"Z.P. Primary School, Malapur, Room No. 1",48
92 - Sonoli,"Z.P. Higher Primary School, Sonoli, Room No. 1",48
93 - Sonoli,"Z.P. Higher Primary School, Sonoli, Room No. 2",48
94 - Tapni,"Z.P. Primary School, Tapni, Room No. 1",48
95 - Gondidigras,"Z.P. Higher Primary School, Gondidigras, Room No. 1",48
96 - Khamli,"Z.P. Primary School, Khamli, Room No. 1",48
97 - Dorli Bhandwalkar,"Z.P. Primary School, Dorli Bhandwalkar, Room No. 1",48
98 - Singarkheda,"Z.P. Higher Primary School, Singarkheda, Room No. 1",48
99 - Pimpalgaon Raut,"Z.P. Primary School, Pimpalgaon (Raut), New Building, Room No. 1",48
100 - Madana,"Z.P. Higher Primary School, Madana, (Rehabilated), Room No. 1",48
101 - Jalalkheda,"Z.P. Girls Primary School, Jalalkheda, Room No. 1",48
102 - Jalalkheda,"Janata High School, Jalalkheda, Room No. 1",48
103 - Jalalkheda,"Janata High School, Jalalkheda, Room No. 4",48
104 - Jalalkheda,"Janata High School, Jalalkheda, Room No. 2",48
105 - Narsingi,"Z.P. Primary School, Narsingi, Room No. 1",48
106 - Parsodi Dixit,"Z.P. Higher Primary School, Parsodi (Dixit), Room No. 1",48
107 - Vivara,"Z.P. Primary School, Vivara, New Building, Room No. 1",48
108 - Bhishnoor,"Z.P. Primary School, Bhishnoor, New Building, Room No. 1",48
109 - Bhishnoor,"Z.P. Primary School, Bhishnoor, New Building, Room No. 2",48
110 - Bhishnoor,"Z.P. Primary School, Bhishnoor, New Building , Room No. 3",48
111 - Masali,"Z.P. Higher Primary School, Masali, Room No. 1",48
112 - Masali,"Z.P. Higher Primary School, Masali, Room No. 2",48
113 - Wandali Sawarkar,"Z.P. Higher Primary School, Wandali Sawarkar, Room No. 1",48
114 - Kalambha,"Z.P. Higher Primary School, Kalambha, Room No. 1",48
115 - Kalambha,"Z.P. Higher Primary School, Kalambha, Room No. 2",48
116 - Mendaki,"Z.P. Higher Primary School, Mendaki, Room No. 1",48
117 - Bori,"Z.P. Higher Primary School, Bori., Room No. 1",48
118 - Zilpa,"Z.P. Higher Primary School, Zilpa, Room No. 1",48
119 - Zilpa,"Z.P. Higher Primary School, Zilpa, Room No. 2",48
120 - Gondi Mohagaon,"Z.P. Higher Primary School, Gondi Mohagaon, Room No. 1",48
121 - Jatamzari,"Z.P. Primary School, Jatamzari, Room No. 1",48
122 - Malegaon,"Z.P. Primary School, Malegaon, Room No. 1",48
123 - Maskhapra,"Z.P. Primary School, Maskhapra, Room No. 1",48
124 - Isapur Bk.,"Z.P. Primary School, Isapur (Bu.), New Building, Room No. 1",48
125 - Isapur Kh.,"Z.P. Higher Primary School, Isapur (Khu.), Room No. 1",48
126 - Gonhi,"Z.P. Primary School, Gonhi, Room No. 1",48
127 - Yenwa,"Z.P. Higher Primary School, Yenwa, Room No. 1",48
128 - Yenwa,"Z.P. Higher Primary School, Yenwa, Room No. 4",48
129 - Yerla (Dhote),"Z.P. Higher Primary School, Yerla (Dhote) , Room No. 1",48
130 - Thaturwada,"Z.P. Higher Primary School, Thaturwada, Room No. 1",48
131 - Naigaon Dhote,"Z.P. Primary School, Naigaon (Dhote), Room No. 1",48
132 - Rohana,"Z.P. Higher Primary Centre School, Rohana, Room No. 1",48
133 - Rohana,"Z.P. Higher Primary Centre School, Rohana, Room No. 4",48
134 - Maiwadi,"Z.P. Higher Primary School, Maiwadi, Room No. 1",48
135 - Jamgaon Khurd,"Z.P. Higher Primary School, Jamgaon (Khurd), Room No. 1",48
136 - Panwadi,"Z.P. Higher Primary School, Panwadi, Room No. 1",48
137 - Jolwadi,"Z.P.Primary School, Jolwadi, Room No. 1",48
138 - Bharsingi,"Z.P. Primary School, Bharsingi, Room No. 1",48
139 - Karanjoli,"Z.P. Primary School, Karanjoli, Room No. 1",48
140 - Pethismailpur,"Z.P. Primary School, Pethismailpur, Room No. 1",48
141 - Khadki,"Z.P. Primary School, Khadki, Room No. 1",48
142 - Mahendri,"Z.P. Higher Primary School, Mahendri, Room No. 1",48
143 - Kharbadi,"Z.P. Primary School, Kharbadi, Room No. 1",48
144 - Sinjar,"Z.P. Higher Primary School, Sinjar, Room No. 1",48
145 - Vadvihira,"Z.P. Primary School, Vadvihira, Room No. 1",48
146 - Datewadi,"Z.P. Higher Primary School, Datewadi, Room No. 1",48
147 - Umtha,"Z.P. Higher Primary School, Umtha, Room No. 1",48
148 - Jamgaon Bk.,"Z.P. Higher Primary School, Jamgaon (Bu), Room No. 1",48
149 - Khapa,"Z.P. Higher Primary Central School, Khapa, Room No. 1",48
150 - Khapri kene,"Z.P. Higher Primary School, Khapri (Kene), Room No. 1",48
151 - Paradsinga,"Z.P. Primary Central School, Paradsinga, Room No. 2",48
152 - Paradsinga,"Z.P. Primary Central School, Paradsinga, Room No. 4",48
153 - Paradsinga,"Z.P. High School, Paradsinga, Room No. 1",48
154 - Paradsinga,"Z.P. High School, Paradsinga, Room No. 3",48
155 - Digras Bk.,"Z.P. Higher Primary School, Digras (Bu), Room No. 1",48
156 - Digras Bk.,"Z.P. Higher Primary School, Digras (Bu), Room No. 2",48
157 - Khangaon,"Z.P. Higher Primary School, Khangaon, Room No. 1",48
158 - Kolambi,"Z.P. Primary School, Kolambi, Room No. 1",48
159 - Panwadi,"Z.P. Higher Primary School, Panwadi, Room No. 1",48
160 - Wadhona,"Z.P. Higher Primary School, Wadhona, New Building, Room No. 1",48
161 - Sirsawadi,"Z.P. Primary School, Sirsawadi, Room No. 1",48
162 - Dongargaon,"Z.P. Primary School, Dongargaon, Room No. 1",48
163 - Naigaon,"Z.P. Primary School, Naigaon, Room No. 1",48
164 - Dhawalapur,"Samuha Sadhan Centre, Dhawalapur",48
165 - Dhawalapur,"Z. P. Primary School, Dhawalapur, Room No. 1",48
166 - Kohala,"Z.P. Primary School, Kohala, Room No. 1",48
167 - Sonkhamb,"Z.P. Higher Primary School, Sonkhamb, Room No.1",48
168 - Chargaon,"Z.P. Primary School, Chargaon, Room No. 1",48
169 - Metpanjara,"Z. P. Central Higher Primary School, Metpanjara, Room No. 1",48
170 - Ajangaon,"Z. P. Primary School Ajangaon, Sarv Shiksha Abhiyan Room",48
171 - Hatla,"Z. P. Primary School, Hatla, Room No. 1",48
172 - Kukadi Panjara,"Z. P. Pri School, Kukadi Panjara, Room No. 1",48
173 - Pardi Gotmare,"Z.P. Primary School, Pardi (Go.), Room No. 1",48
174 - Linga,"Z.P. Higher Primary School, Linga, Room No. 1",48
175 - Katol,"Nagar Parishad Primary School No. 7, Katol, Main Building, Room No. 1",48
176 - Katol,"Nagar Parishad Arts & Science Junior Collage, Near Rural Hospital, Room No. 1",48
177 - Katol,"Nagar Parishad Primary School No. 7, Katol, Main Building, Room No. 2",48
178 - Katol,"Nagar Parishad Primary School No. 7, Katol, New Building, Room No. 1",48
179 - Katol,"Nagar Parishad Primary School No. 4, Katol, Room No. 2",48
180 - Katol,"Nagar Parishad Primary School No. 4, Katol, Room No. 3",48
181 - Katol,"Nagar Parishad Higher Primary School No. 11, Katol, Room No. 1",48
182 - Katol,"Nagar Parishad Higher Primary School No. 11, Katol, Room No. 2",48
183 - Katol,"Nagar Parishad Higher Primary School No. 2,Katol, Room No. 1",48
184 - Katol,"Nagar Parishad Higher Primary School No. 2, Katol, Room No. 2",48
185 - Katol,"Z.P. Seconary School Katol, Room No. 1",48
186 - Katol,"Nagar Parishad Primary School No. 6, Katol, Room No. 1",48
187 - Katol,"Nagar Parishad Primary School No. 6, Katol, Room No. 2",48
188 - Katol,"Katol High School Katol, Room No. 1",48
189 - Katol,"Katol High School Katol, Room No. 3",48
190 - Katol,"Nagar Parishad Higher Primary School No.1, Room No. 1",48
191 - Katol,"Nagar Parishad Higher Primary School No.1, Katol, Room No. 2",48
192 - Katol,"Nagar Parishad Primary School, No.10 Katol, Room No. 1",48
193 - Katol,"Nagar Parishad Primary School, No.10 Katol, Room No. 2",48
194 - Katol,"Nagar Parishad Higher Primary School, No. 5 Katol, Room No. 1",48
195 - Katol,"Nagar Parishad Higher Primary School, No. 5 Katol, Room No. 2",48
196 - Katol,"Nagar Parishad Library, Sharda Chowk, Katol",48
197 - Katol,"Nagar Parishad Higher Primary School, No. 8 Katol, Room No. 1",48
198 - Katol,"Nagar Parishad Higher Primary School, No. 8 Katol, Room No. 2",48
199 - Katol,"Nagar Parishad Higher Primary School, No. 8 Katol, Room No. 3",48
200 - Katol,"Katol High School Katol, Room No. 6",48
201 - Katol,Sahityabhushan Lokshahir Annabhau Sathe Library & Gymnasiam,48
202 - Katol,"Nagar Parishad High School No.3, Peth Budhwar, Katol, Room No. 2",48
203 - Katol,"City Library, Kale Chowk, Katol",48
204 - Katol,"Nagar Parishad Primary School, No. 9, Pethbudhwar Katol, Main Building, Room No. 1",48
205 - Katol,"Nagar Parishad Primary School, No. 9, Pethbudhwar Katol, Main Building, Room No. 2",48
206 - Katol,"Nagar Parishad Higher Primary School, No. 3, Pethbudhwar Katol, , Room No. 1",48
207 - Katol,"Nagar Parishad Higher Primary School, No. 3, Pethbudhwar Katol, , Room No. 2",48
208 - Katol,"Nagar Parishad Higher Primary School, No. 3, Pethbudhwar Katol, , Room No. 3",48
209 - Ambada Sonak,"Z.P. Primary School, Ambada Sonak, Room No. 1",48
210 - Fetri,"Z.P. Higher Primary School, Fetri, New Building, Room No. 1",48
211 - Pandhardhakni,"Z.P. Primary School, Pandhardhakni, Room No. 1",48
212 - Chaurepathar,"Z.P. Primary. School, Chaurepathar, Room No. 1",48
213 - Ghogra,"Z.P. Higher Primary School, Ghogra, Room No. 1",48
214 - Lohara,"Z.P. Primary School, Lohara, Room No. 1",48
215 - Wadhona,"Z.P. Primary School, Wadhona, Room No. 1",48
216 - Mendhala,"Z.P.Primary School , Mendhala, New Building Room No. 1",48
217 - Mendhala,"Z.P.Primary School , Mendhala, New Building Room No. 2",48
218 - Sakharkheda,"Z.P.Primary School, Sakharkheda, Room No. 1",48
