PS No & Name,Address,Constituency Number
1 - Sindewani (B.),Z.P. Upper Pri. School Sindewani (B) Room No.1,49
2 - Tekadi,Z. P. Pri. School Tekadi,49
3 - Nagalwadi,"Z.P. Upper Pri. School Nagalwadi, Room No.1",49
4 - Surewani,Z.P. Pri. School Room No 2 Surewani,49
5 - Sironji,Z.P. Kendriya Upper Pri. School Sironji Room No 1,49
6 - Kormeta,Z.P. Pri. School Kormeta Room No 1,49
7 - Bichwa,"Z. P. Upper Pri. School Bichawa, Room No.1",49
8 - Raiwadi,"Z. P. Upper Pri. School Raiwadi, Room No.1",49
9 - Sonpur,Z.P.Pri. School Sonpur,49
10 - Tembhurdoh,"Z. P. Upper Pri. School Tembhurdoh, Room No.1",49
11 - Kharduka,"Z. P. Upper Pri. School Kharduka, Room No.1",49
12 - Badegaon,"Anganwadi Building No.1, Badegaon",49
13 - Badegaon,Z.P.Pri. School Badegaon Room No. 2,49
14 - Badegaon,Z.P.Pri. School (Heti) Badegaon Sarva Shiksha Abhiyan Room,49
15 - Khairy (Dhal.),"Z. P. Upper Pri. School Khairi Dh., Room No.1",49
16 - Khairy (Dhal.),Z. P. Upper Pri. School Khairi Dh. Room No. 2,49
17 - Bidjatamkhora,Z.P.Pri. School Bidjatamkhora,49
18 - Jatamkhora,Z.P.Pri. School Jatamkhora,49
19 - Raibasa,Z.P.Pri. School Raibasa,49
20 - Sawali (Moh.),Z.P.Pri. School Sawali (Moh.) Room No. 2,49
21 - Khursapar,Z.P.Pri. School Khursapar,49
22 - Joga,Z. P. Boys & Girls Pri. School Joga Room No 1,49
23 - Malegaon (J.),Z.P.Pri. School Malegaon Jo.,49
24 - Nandagomukh,Z.P.Pri. School No. 1 Nandagimukh West Side,49
25 - Nandagomukh,Z.P.Pri. School No. 2 Nandagimukh,49
26 - Nandagomukh,Z.P.Pri. School No. 1 Nandagimukh East Side,49
27 - Nandagomukh,Grampanchayat Bhavan Nandagomukh,49
28 - Jaitpur,Z. P. Pri. School Jaitpur,49
29 - Rampuri,Z.P.Pri. School Rampuri,49
30 - Kelwad,Bhimrao Bapu Deshmukh Adarsha Vidyalaya Kelwad Room No 1,49
31 - Kelwad,Bhimrao Bapu Deshmukh Adarsha Vidyalaya Kelwad Room No 2,49
32 - Kelwad,Z.P.Pri. School No. 2 Kelwad,49
33 - Kelwad,Z.P.Pri. School No 1 Kelwad Room No 1,49
34 - Kelwad,Z.P.Pri. School No 1 Room No 3 Kelwad,49
35 - Kelwad,Z.P.Pri. School No 1 Kelwad Room No 2,49
36 - Hattisarra,Z.P.Pri. School Hattisara Room No 1,49
37 - Kavtha,Z.P.Pri. School Kavtha Room No 1,49
38 - Ashti (Bu.),Z.P.Pri. School Ashti (Bu.),49
39 - Kochhi,Z.P. Primary School Kochchi New Building Room No. 1,49
40 - Kochhi,Z.P.Upper Pri. School Kochchi New Build.,49
41 - Khubala,Z.P.Upper Pri. School Khubala Room N0. 1,49
42 - Khubala,Z.P.Upper Pri. School Khubala New Build.,49
43 - Khubala,Z.P.Upper Pri. School Khubala Room N0. 2,49
44 - Pendhari,Z.P.Pri. School Pendhari,49
45 - Umri (Ja.),Z.P.Pri. School Umari (Ja). Room No 1,49
46 - Mohgaon (Ja.),Z.P.Pri. School Mohgaon (Ja). Room No 1,49
47 - Bawangaon,"Z. P. Pri. School Bawangaon, Room No.1",49
48 - Nandapur,Z.P.Pri. School Nandapur,49
