PS No & Name,Address,Constituency Number
1 - Navagaon,Post Besik Government Aashram School Northern Side Room no . 1 Navagaon,4
2 - Navagaon,Post Besik Government Aashram School Northern Side Room no . 5 Navagaon,4
3 - Karanjvel,Zilla Parishad Primary Marathi School Southern Side Room no . 1 Karanjwel,4
4 - Amalan,Zilla Parishad Primary Marathi School Vasavefali Amalan,4
5 - Kakenifali (Amlan),Zilla Parishad Primary School East-west Building western Side Room no 1 Kokanifali (Amalan),4
6 - Pachaamba,Zilla Parishad Primary Marathi School Pachamba,4
7 - Vatavi (dhayate ),Zilla Parishad Primary Marathi School watvi,4
8 - Umaran,Zilla Parishad Primary Marathi School Northern Side Building Western Side Room no 3 Umran,4
9 - Umaran,Zilla Parishad Primary Marathi School Northern Side Building Western Side Room no 2 Umran,4
10 - Chedapada,Zilla Parishad Primary Marathi School Western Side old Building Chedapada,4
11 - Devalipada,Zilla Parishad Primary Marathi School New Building Devlipada,4
12 - Bilipada,Zilla Parishad Primary Marathi School Southern side Building Bilipada,4
13 - Dokare,Zilla Parishad Primary Marathi School Dokare,4
14 - Sukavel,Zilla Parishad Primary Marathi School New Northern side Building Northern side Room no 1 Sukvel,4
15 - Bandhare,Government Aashram School Northern Side Building Western Side Building Room no 1 Bandhare,4
16 - Chikhali,Zilla Parishad Primary Marathi School Chikhli,4
17 - Dudhave,Zilla Parishad Primary Marathi School Dudhve,4
18 - Bilabara,Zilla Parishad Primary Marathi School Bilbara,4
19 - Tarapada,Zilla Parishad Primary Marathi School East-West Building Eastern Side Room no 1 Tarpada,4
20 - Kokanipada,Zilla Parishad Primary Marathi School Northern Side Room no 1 Kokanipada,4
21 - Shetgaon,Zilla Parishad Primary Marathi School Shetgaon,4
22 - Anjane,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 Anjane,4
23 - Anjane,Zilla Parishad Primary Marathi School Eastern Side Room no. 2 Anjane,4
24 - Vahande,Tim Trust Primary School Eastern Side Room no. 2 Vahande,4
25 - Jamade,Zilla Parishad Primary Marathi School Jamde,4
26 - Bilda,Zilla Parishad Primary Marathi School New BuildingEastern Side Room no. 1 Bilda,4
27 - Tarapur,Zilla Parishad Primary Marathi School Old Building Tarapur,4
28 - Tarapur,Zilla Parishad Primary Marathi School New Building Tarapur,4
29 - Vadafali,Government Aashram School New Buildintg sourthern Side Room no . 2 Wadfali.,4
30 - Dogegaon,Zilla Parishad Primary Marathi School Western Side Room no. 1 Dogegaon,4
31 - Dogegaon,Zilla Parishad Primary Marathi School Western Side Room no. 2 Dogegaon,4
32 - Marod,Zilla Parishad Primary Marathi School Marod,4
33 - Devmogara,Zilla Parishad Primary Marathi School Devmogra,4
34 - Shehi,Zilla Parishad Marathi School Eastern Side Room no. 2 Shehi,4
35 - Shehi,Zilla Parishad Marathi School East - West building Western Side Room no. 3 Shehi,4
36 - Shehi,Zilla Parishad Marathi School Eastern Side Room no. 4 Sehi,4
37 - Nagare,Zilla Parishad Primary Marathi School Room no. 2 Nagare,4
38 - Maulipada,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 Maulipada,4
39 - Palipada,Zilla Parishad Primary Marathi School East - West Building Eastern Side Room no. 1 Palipada,4
40 - Nijampur,Tim Trust Primary School East - west Building Western Side Room no. 2 Nijampur,4
41 - Nijampur,Tim Trust Primary School East - west Building Western Side Room no. 1 Nijampur,4
42 - Sonapada,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 Sonpada,4
43 - Karanjali,Zilla Parishad Primary Marathi School Eastern Side Room no. 2 Karanjali,4
44 - Karanjali,Zilla Parishad Primary Marathi School Eastern Side Room no. 4 Karanjali,4
45 - Karanjali,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 Karanjali,4
46 - Vagde,Zilla Parishad Primary Vidya Mandir New Building Eastern Side Room no. 1 Vagde,4
47 - Borachak East,Zilla Parishad Primary Marathi School Northern Side Room no. 1 Borchak East,4
48 - Borachak West,Tim Trust Primary School Eastern Side Room no. 1 Borchak West,4
49 - Vatavi,Zilla Parishad Primary Marathi School East - West Building Room no. 2 watvi,4
50 - Mendipada,Zilla Parishad Primary Marathi School East - West Building Room no. 1 Mendipada,4
51 - Khandbara,Zilla Parishad Primary Marathi School East - West Building Western Side Room no. 1 Khandbara,4
52 - Khandbara,Zilla Parishad Primary Marathi School East - West Building Eastern Side Room no . 2 Khandbara,4
53 - Khandbara,Zilla Parishad Primary Marathi School East - West Building Eastern Side Room no. 1 Khandbara,4
54 - Khandbara,Zilla Parishad Primary Gujrati School Eastern Side Room no. 1 Khandbara,4
55 - Shegave,Zilla Parishad Primary Marathi School Shegave,4
56 - Chmanipada,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 Chimnipada,4
57 - Talavipada,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 Talavipada,4
58 - Talavipada,Zilla Parishad Primary Marathi School Eastern Side Room no. 3 Talavipada,4
59 - Khairave,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 Khairve,4
60 - Khairave,Zilla Parishad Primary Marathi School Eastern Side Room no. 4 Khairve,4
61 - Vadazakan,Zilla Parishad Primary Marathi School Eastern Side Room no. 2 Vadzakan,4
62 - Umaj,Zilla Parishad Primary Marathi School Sourthen Side Building Umaj,4
63 - Shiravade,Zilla Parishad Primary Marathi School Eastern Side Building Room no. 1 Shirvade,4
64 - Vagashepa,Zilla Parishad Primary Marathi School North - South Building Northern Side Room no. 1 Vagshepa,4
65 - Kothade,Zilla Parishad Primary Marathi School Western Side Room no. 1 Kothade,4
66 - Pavla,Zilla Parishad Primary Marathi School East - West Building western Side Room no. 1 Pawala,4
67 - Pavla,Zilla Parishad Primary Marathi School East - West Building western Side Room no. 2 Pawala,4
68 - Arditara,Zilla Parishad Primary Marathi School North - South Building Sourthen Side Room no. 1 Aarditara,4
69 - Vasalai,Zilla Parishad Primary Marathi School Sourthen Side Room no. 1 Vaslai,4
70 - Bhangada,Zilla Parishad Primary Marathi School East - West Building Western Side Room no. 1 Bhangda,4
71 - Mangrul,Zilla Parishad Primary Marathi School North South sourthern Side Room no. 1Mangrul,4
72 - Malapur,Zilla Parishad Primary Marathi School East - West Building Eastern Side Room no. 1 Malpur,4
73 - Dhanora,Zilla Parishad Primary Marathi School North - South Building Sourthern Side Room no. 3 Dhanora,4
74 - Dhanora,Zilla Parishad Primary Marathi School North - South Building Sourthern Side Room no.4 Dhanora,4
75 - Dhanora,Zilla Parishad Primary Marathi School East - West Building Eastern Side Room no. 2 Dhanora,4
76 - Dhanora,Zilla Parishad Primary Marathi School North - South Building Sourthern Side Room no. 2 Dhanora,4
77 - Dhanora,Zilla Parishad Primary Marathi School East - West Building Eastern Side Room no. 1 Dhanora,4
78 - Tarapur,Zilla Parishad Marathi School Southern Side Room no. 1 Tarapur,4
79 - Isainagar,M.A. Mission Primary Marathi School Southern Side Room no. 1 Isainagar,4
80 - Isainagar,M.A. Mission Primary Marathi School North - South Building Southern Side Room no. 2 Isainagar,4
81 - Nandpur,Zilla Parishad Primary Marathi School New BuildingEastern Side Room no. 1 Nandpur,4
82 - Natavad,Zilla Parishad Primary Marathi School North - South Building Northern Side Room no. 3 Natavad,4
83 - Natavad,Zilla Parishad Primary Marathi School North - South Building Sourthern Side Room no.2 Natavad,4
84 - Bhavanipada,Zilla Parishad Primary Marathi School Western Side Room no. 1 Bhavanipada,4
85 - Devapur,Zilla Parishad Primary Marathi School Western Side New Building Room no. 1 Devpur,4
86 - Kakanipada (nimgaon ),Zilla Parishad Primary Marathi School North - South Building Northern Side Room no. 2 Kokanipada,4
87 - Kothali Ku,Zilla Parishad Primary Marathi School East - West Building Western Side Room no. 2 Kothali khu.,4
88 - Kothali Ku,Zilla Parishad Primary Marathi School North - South Building Northern Side Room no. 1 kothali khu.,4
89 - Kothali Ku,Zilla Parishad Primary School North - South Building Northern Side Room no. 2 kothali khu.,4
90 - Pimpalod,Zilla Parishad Primary Marathi School East - West Building Western Side Room no. 1 Pimplod,4
91 - Pimpalod,Zilla Parishad Primary Marathi School East - West Building Western Side Room no. 2 Pimplod,4
92 - Shejave,Zilla Parishad Primary School East - West Building Western Side Room no. 1 Shejave,4
93 - Karanjave,Zilla Parishad Primary School Southern Side Room no. 1 Karanjvel,4
94 - Shivpur,Zilla Parishad Primary Marathi School Shivpur,4
95 - Vyahur,Zilla Parishad Primary Marathi School Room no. 1 Vyahur,4
96 - Dhulavad,Zilla Parishad Primary Marathi School East - West Building Eastern Side Room no. 1 Dhulvad,4
97 - Gujarbhavali,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 Gujarbhavali,4
98 - Gujarbhavali,Zilla Parishad Primary Marathi School Western Side Room no. 1 Gujarbhavali,4
99 - Rajapur,Zilla Parishad Primary School Western Side Room no. 1 Rajapur,4
100 - Gujarjambholi,Zilla Parishad Primary Marathi School Southern Side New Building Gujarjambholi,4
101 - Gujarjambholi,Zilla Parishad Primary Marathi School Northern Side old Building Gujarjambholi,4
102 - Velavad,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 velavad,4
103 - Velavad,Zilla Parishad Primary Marathi School Eastern Side Room no.2 velavad,4
104 - Loy,Zilla Parishad Primary Marathi School Eastern Side Room no.2 Loy,4
105 - Nimboni Bk.,Zilla Parishad Primary Marathi School East - West Building western Side Room no. 1Nimboni Bu.,4
106 - Ghirajgaon,Zilla Parishad Primary Marathi School East - West Building Eastern Side Room no. 1Dhirajgaon,4
107 - Biladi,Zilla Parishad Primary School Western Side Room no. 1 Biladi,4
108 - Khamgaon,Zilla Parishad Primary Marathi School New Building Western Side Room no. 1 Khamgaon,4
109 - Khamgaon,Zilla Parishad Primary Marathi School East - West Building Eastern Side room no. 1 Khamgaon,4
110 - Pachorabari,Zilla Parishad Primary Marathi School old Building Western Side Room no. 1 Pachorabari,4
111 - Pachorabari,Zilla Parishad Primary Marathi School New Building Eastern Side Room no. 1 Pachorabari,4
112 - Dhekvad,Zilla Parishad Primary Marathi School Western Side Room Dhekvad,4
113 - Jalakhe,Zilla Parishad Primary Marathi School East - West Building room no. 1 Jalkhe,4
114 - Ranale Ku,Zilla Parishad Primary Marathi School East - West Building Eastern Side room Ranale Khu.,4
115 - Balaamarai,Zilla Parishad Primary Marathi School Western Side Room 1 Balamrai,4
116 - Kalamba,Zilla Parishad Primary Marathi School East - West Building Eastern Side room no. 1 kalamba,4
117 - Zamtyawad,Zilla Parishad Primary Marathi School Southern Side New Building Zamtayavad,4
118 - Zaripada,Zilla Parishad Primary Marathi School South North Building Northern Side New Building Zaripada,4
119 - Bijagaon,Zilla Parishad Primary Marathi School Old Building Bijgaon,4
120 - Bijadevi,Zilla Parishad Primary Marathi School Bijadevi,4
121 - Bhadavad,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 Bhadvad,4
122 - Bhadavad,Zilla Parishad Primary Marathi School Western Side Room 1 Bhadvad,4
123 - Bhadavad,Zilla Parishad Primary Marathi School Western Side Room 2 Bhadvad,4
124 - Ghogalapada,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 Ghogalpada,4
125 - Ghogalapada,Zilla Parishad Primary Marathi School Room no. 3 Ghogalpada,4
126 - Bardifali (ghogalapada ),Zilla Parishad Primary Marathi School Northern Side Room no. 1 Bardifali (Ghogalpada),4
127 - Nimboni,Zilla Parishad Primary Marathi School Nimborni,4
128 - Shravani,Zilla Parishad Primary Marathi School Eastern Side Room no 2 Shravani,4
129 - Shravani,Zilla Parishad Primary Marathi School Western Side Room 1 Shravani,4
130 - Shravani,Zilla Parishad Primary Marathi School Western Side Room 3 Shravani,4
131 - Malavan,Zilla Parishad Primary Marathi School Hexagonal Room Malvan,4
132 - Malavan,Zilla Parishad Aganwadi School East Room Malvan,4
133 - Navapada,Zilla Parishad Primary Marathi School Old Building Navapada,4
134 - Palasun,Zilla Parishad Primary Marathi School Old Building Northern Side Room no. 1 Palsun,4
135 - Dhong,Zilla Parishad Primary Marathi School East - West Building Eastern Side room no. 2 Dhong,4
136 - Dhong,Zilla Parishad Primary Marathi School East - West Building Eastern Side room no. 1 Dhong,4
137 - Sagali,Zilla Parishad Primary Marathi School Old Building Sagali,4
138 - Vadada,Zilla Parishad Primary Marathi School Wadda,4
139 - Shirve,Zilla Parishad Primary Marathi School Eastern Side Room no 1 Shirve,4
140 - Choravihir,Tim Trust primary School Eastern Side Room no.1 Chorvihir,4
141 - Khadaki,Zilla Parishad Marathi School Northern Side Room no.1 Khadki,4
142 - Khadaki,Zilla Parishad Marathi School Northern Side Room no.2 Khadki,4
143 - Khadakipada,Zilla Parishad Marathi School Northern Side Room no.1Khadkipada,4
144 - Vadasatra,Zilla Parishad Primary Marathi School North - South Building Room no.1 Vadsatra,4
145 - Vadasatra,Zilla Parishad Primary Marathi School East-west Building Eastern side Room no.1Vadsatra,4
146 - Mothe Kadavan,Zilla Parishad Primary Marathi School Mothe kadvan,4
147 - Lahan Kadavan,Zilla Parishad Primary Marathi School Northern Side Room no 1 lahan kadvan,4
148 - Khatgaon,Zilla Parishad Primary Marathi School New building Eastern side Room no. 1 Khatgaon,4
149 - Keli,Zilla Parishad Marathi School Keli,4
150 - Kumbharapada,Zilla Parishad Primary Marathi School Khumbharpada,4
151 - Navapada,Zilla Parishad Primary Marathi School Navapada,4
152 - Bharadu,Zilla Parishad Primary Marathi School Eastern Side Room no. 1 Bhardu,4
153 - Bharadu,Zilla Parishad Primary Marathi School Eastern Side Room no. 2 Bhardu,4
