PS No & Name,Address,Constituency Number
1 - Deoli Kalbande,"Z. P. Upper Primary School Deoli Kalbande, Room. No 1",50
2 - Sitakhairi,"Z. P. Primary School, Sita Khairi Room. No 1",50
3 - Digdoh Pande,"Z. P. Primary School Digdoh Pande,Room. No 1",50
4 - Walni,"Z.P. Primary School, Walni, Room No. 2",50
5 - Umri Wagh,"Z. P. Primary School Umri Wagh,Room. No 1",50
6 - Chicholi Pathar,"Z. P. Upper Primary School Chicholi Pathar,Room. No 1",50
7 - Sukli Kalar,"Z. P. Upper Primary School Sukli Kalar,Room. No 1",50
8 - Nandera,"Z. P. Upper Primary School Nandora,Room. No 1",50
9 - Neri Mankar,Z. P. Upper Primary School Neri Mankar Room No. 1,50
10 - Neri Mankar,Z. P. Upper Primary School Neri Mankar Room No. 2,50
11 - Mangrul,"Z. P. Primary School Mangrul,Room. No 1",50
12 - Surabuldi,"z. p. Upper primary school, surabardi toli , room no. 1",50
13 - Surabuldi,"z. p. Upper primary school, surabardi toli , room no. 2",50
14 - DrugDhamana,"Z. P. Primary School Drugdhamna, Romm No. 1",50
15 - DrugDhamana,"Z. P. Primary School Drugdhamna, Romm No. 2",50
16 - Khadgao,Z. P. Primary School Khadgaon Room No. 1,50
17 - Khadgao,Z. P. Primary School Khadgaon Room No. 2,50
18 - yerala,Z. P. Higher Primary School Yerla Room No,50
19 - yerala,Z. P. Higher Primary School Yerla Room No.,50
20 - yerala,Z. P. Higher Primary School Yerla Room No. 2,50
21 - Gonhi,Z. P. Higher Primary School Gonhi Room No. 2,50
22 - chicholi,Z. P. Higher Primary School Chicholi Room. No. 1,50
23 - Bodhala,Z.P PRIMARY SCHOOL BODHALA ROOM NO 1,50
24 - Borgao(Kh),Z. P. Higher Primary School Borgaon Khurd Room. No. 1,50
25 - Ashti,Z. P. Higher Primary School Ashati Room. No. 1,50
26 - Khandala,"Z. P. Primary School Khandala, Room No. 1",50
27 - Paradi,"Z. P. Primary School Pardi, Room No. 1",50
28 - Walni,"Z. P. Higher Primary School Walni,Room No. 1",50
29 - Bramanwadi,"Z. P. Higher Primary School, Brahmanwada Room No. 1",50
30 - Bailwada,Z. P. Higher Primary School Bailwada Room No. 1,50
31 - Gumthala,Z. P. Higher Primary School Gumthala Room No. 1,50
32 - Gumthala,Z. P. Higher Primary School Gumthala Room No. 2,50
33 - Ghogali,"Z. P. Higher Primary School Ghogali, Room No. 1",50
34 - Lonara,"Z. P. Higher Primary School Lonara, Room No. 1",50
35 - Bhokara,Z. P. Higher Primary School Bhokara Room No. 1,50
36 - Bhokara,Z. P. Higher Primary School Bhokara Room No. 3,50
37 - Bhokara,Z. P. Higher Primary School Bhokara Room No. 2,50
38 - Bhokara,Anganwadi (Z. P. School Pragnat),50
39 - Bhokara,Z. P. Higher Primary School Bhokara Room No. 4,50
