PS No & Name,Address,Constituency Number
1 - Pachgaon,Z. P. Highschool Pachgaon Room No. 01,51
2 - Pachgaon,Z. P. Highschool Pachgaon Room No. 02,51
3 - Pachgaon,Z. P. Kendriya Pri. School Pachgaon Room No. 01,51
4 - Pachgaon,Z. P. Kendriya Pri. School Pachgaon Room No. 02,51
5 - Surgaon,"Z.P. Upper Primary School, surgaon Room No. 01",51
6 - Surgaon,"Z.P. Upper Primary School, surgaon Room No. 02",51
7 - Undari,"Z.P. Primary School, Undri",51
8 - Khalasna,Z.P. Upper Primary School Khalasana,51
9 - Wadegaon Kale,Z.P. Primary School Wadegaon Kale,51
10 - Kuchadi,Z.P. Upper Primary School Kuchadi,51
11 - Mohadi,"Z.P. Primary School, Mohadi",51
12 - Dhanoli,Z.P. Primary School Dhanoli,51
13 - Dongargaon,Z.P. Central Upper Primary School Dongargaon,51
14 - Lanjala,Z.P. Upper Primary School Lanjala,51
15 - Chitapur,Z.P. Primary School Chitapur,51
16 - Bhamewada,Z.P. Upper Primary School Bhamewada,51
17 - Titur,Samuh Sadhan Center Titur,51
18 - Mangali,Z.P. Uppar Primary School Mangli,51
19 - Ambadi,"Z.P. Upper Primary School, Ambadi Room No. 01",51
20 - Ambadi,"Z.P. Upper Primary School, Ambadi Room No. 02",51
21 - Sawali,"Z.P. Primary School, Sawali",51
22 - Khobna,"Z.P. Primary School, Khobna",51
23 - Khobana,Anganwadi Kendra Khobana,51
24 - Mohgaon,Z.P. Primary School Mohgaon,51
25 - Chapegadi,Z.P. Upper Primary School Chapegadi Room No. 01,51
26 - Chapegadi,Z.P. Upper Primary School Chapegadi Room No. 02,51
27 - Salwa,Late.Damodharrao Khaparde Vidhyalay & Jr. College Salwa,51
28 - Salwa,Grampanchyat Office Salwa,51
29 - Rajola,Z. P. Centeral Upper Primary School Rajola Room No. 01,51
30 - Rajola,Z. P. Centeral Upper Primary School Rajola Room No. 02,51
31 - Awarmara,Z.P. Upper Primary School Awarmara Room No. 01,51
32 - Awarmara,Z.P. Upper Primary School Awarmara Room No. 02,51
33 - Umari (Rehabilitation),"Z. P.Pri. School, Umari (Rehabilitation) Room No.1",51
34 - Mhasli Kesori (Rehabilitaion),"Z. P. Pri. School, Mhasli Kesori (Rehabilitaion)",51
35 - Hardoli Naik,"Z.P. Primary School, Hardoli Naik Room No. 01",51
36 - Hardoli Naik,"Z.P. Primary School, Hardoli Naik Room No. 02",51
37 - Bori Naik (Rehabilitation),"Z.P. Upper Primary School, Borinaik (Rehabilitation)",51
38 - Tekepar,Z.P. Primary School Tekepar,51
39 - Deoli Khurd,Z.P. Primary School Deoli Khurd,51
40 - Deoli Kala,"Z.P. Upper Primary School, Deoli Kala",51
41 - Kujba,"Z.P. Central Upper Primary School, Kujaba Room No. 01",51
42 - Kujba,"Z.P. Central Upper Primary School, Kujaba Room No. 01",51
43 - Khenda,Z.P. Primary School Khenda,51
44 - Bhatara,Z.P. Primary School Bhatara New Building,51
45 - Pandegaon,"Z. P. Pri. School, Pandegaon",51
46 - Kuhi,"Z. P. Central Primary School, Kuhi Room No. 01 North Side",51
47 - Kuhi,"Z. P. Central Primary School, Kuhi Room No. 02 Middle Side",51
48 - Kuhi,"Z. P. Central Primary School, Kuhi Room No. 03 Middle Side",51
49 - Kuhi,"Z. P. Central Primary School, Kuhi Room No. 04",51
50 - Kuhi,Sarvodaya Vidhyalay Kuhi New Building Room No. 02 North Side,51
51 - Kuhi,Sarvodaya Vidhyalay Kuhi New Building Room No. 04 South Side,51
52 - Kuhi,Rukhadaashram Vidhyalaya & Junior College Kuhi Room No. 02 North Side,51
53 - Kuhi,Rukhadaashram Vidhyalaya & Junior College Kuhi Room No. 03 North Side,51
54 - Kuhi,Rukhadaashram Vidhyalaya & Junior College Kuhi Room No. 04 North Side,51
55 - Kuhi,Rukhadaashram Vidhyalaya & Junior College Kuhi Room No. 05 South Side,51
56 - Akoli,Z.P. Primary School Akoli Room No. 01,51
57 - Akoli,Z.P. Primary School Akoli Room No. 02,51
58 - Bhojapur,Z.P. Primary School Bhojapur,51
59 - Malani,"Z. P. Upper Primary School, Malani Room No.2",51
60 - Sasegaon,Sasegaon Grampanchyat Office Hall,51
61 - Khetapur,"Z.P.Upper Pri.School, Khetapur",51
62 - Takli,Z.P. Primary School Takli,51
63 - Dodma,Z.P. Upper Primary School Dodma,51
64 - Nawargaon,Z.P. Upper Primary School Nawargaon,51
65 - Uti,Grampanchayat Office Uti,51
66 - Khapari (Bu),Z.P. Primary School Khapari (Bu),51
67 - Champa,"Kendriya Upper Primary School,Champa Room No. 01",51
68 - Mangali,Z.P. Primary School Mangali,51
69 - Chimanazari,Z.P. Primary School Chimanazari,51
70 - Haladgaon,"Z.P. Upper Primary School, Haladgaon",51
71 - Matakazari,"Z.P. Upper Primary School, Matakazari",51
72 - Wadadh,"Z.P. Upper Primary School, Wadadh",51
73 - Kacchimet,"Z.P. Primary School, Kacchimet",51
74 - Bothali,"Z.P. Upper Primary School, Bothali",51
75 - Thana Padari,"Divine Providence School, Thana Padari Room No.2",51
76 - Sindivihari,"Z.P. Primary School,Sindivihari",51
77 - Khairi,"Z.P. Upper Primary School, Khairi (Buti)",51
78 - Dawha,"Z.P. Kendriya Upper Primary School, Dawha",51
79 - Fukeshwar,"Z.P. Upper Primary School, Fukeshwar",51
80 - Saiki,"Z.P. Upper Primary School,Saiki",51
81 - Parsodi,"Z.P.Primary School, Parsodi",51
82 - Hewati,"Z.P. Upper Primary School, Hewati Room No. 01",51
83 - Hewati,"Z.P. Upper Primary School, Hewati Room No. 02",51
84 - Welsakhara,"Upper Primary School,Welsakhara Room No. 01",51
85 - Welsakhara,"Upper Primary School,Welsakhara Room No. 02",51
86 - Virli,"Z.P. Primary School,Virli Room No. 01",51
87 - Virli,"Z.P. Primary School,Virli Room No. 02",51
88 - Nirwha,"Z.P. Primary School, Nirwha",51
89 - Borgaon (Ka),"Z.P. Upper Primary School, Borgaon ( Ka)",51
90 - Kolarmet,"Z.P.Primary School, Kolarmet",51
91 - Navegaon (Isapur),Z.P. Upper Primary School Navegaon (Isapur),51
92 - Mohadara,Z.P.Primary School Mohadara,51
93 - Aaptur,"Z.P. Primary School,Aaptur Room No. 01",51
94 - Aaptur,"Z.P. Primary School,Aaptur Room No. 02",51
95 - Silli,Z. P. Central Upper Primary School Silli Room No. 01 West Side,51
96 - Silli,Z. P. Central Upper Primary School Silli Room No. 02 Head Master Office Side Room,51
97 - Musalgaon,Z.P. Upper Primary School Musalgaon,51
98 - Murabi,"Z. P. Primary School, Murabi , Room No.1",51
99 - Sonpuri,"Z.P. Primary School, Sonpuri",51
100 - Chipadi,Z.P. Uppar Primary School Chipadi,51
101 - Katara,Z.P. Upper Primary School Katara,51
102 - Satara,Z. P. Primary School Satara,51
103 - Ruyad,Z.P. Upper Primary School Ruyad,51
104 - Wag,Z. P. Upper Primary School Wag Room No. 01,51
105 - Wag,Z. P. Upper Primary School Wag Room No. 02,51
106 - Mandhal,Z.P. Primary School No. 1 Mandhal Room No. 01 North Side,51
107 - Mandhal,Z.P. Primary School No. 1 Mandhal Room No. 02 South Side,51
108 - Mandhal,Z.P. Primary School No. 1 Mandhal Room No. 03 East Side,51
109 - Mandhal,Z.P. High School & Jr. College Mandhal Room No. 01 East Side,51
110 - Mandhal,Z.P. High School & Jr. College Mandhal Room No. 04 West Side,51
111 - Mandhal,Z.P. Primary School No. 2 Mandhal Room No. 01 East Side,51
