PS No & Name,Address,Constituency Number
1 - Ambazari,"Nagpur University, Manav Shastra Vibhag, Nagpur Room No.8",52
2 - Ambazari,"Nagpur University, Manav Shastra Vibhag, Nagpur Room No.9",52
3 - Ambazari,"Nagpur University, Manav Shastra Vibhag, Nagpur Room No.1",52
4 - Ambazari,"Nagpur University, Manav Shastra Vibhag, Nagpur Room No.2",52
5 - Ambazari,"Dharampeth M.P.Dev Memorial Science Mahavidhyalaya, Ambazari Nagpur Room No.1",52
6 - Ambazari,"Dharampeth M.P.Dev Memorial Science Mahavidhyalaya, Ambazari Nagpur Room No.2",52
7 - Ambazari,"Dharampeth M.P.Dev Memorial Science Mahavidhyalaya, Ambazari Nagpur Room No.3",52
8 - Ambazari,"Saraswati Primary School, Daga Layout, Nagpur Room No. 1",52
9 - Ambazari,"Saraswati Primary School, Daga Layout, Nagpur Room No. 2",52
10 - Ambazari,"Saraswati Primary School, Daga Layout, Nagpur Room No. 3",52
11 - Ambazari,"Yashoda Marathi Primary School, Sim Takli, Nagpur Room No.1",52
12 - Ambazari,"Yashoda Marathi Primary School, Sim Takli, Nagpur Room No.2",52
13 - Ambazari,"Yashoda Marathi Primary School, Sim Takli, Nagpur Room No.3",52
14 - Ambazari,"Yashoda Marathi Primary School, Sim Takli, Nagpur Room No.4",52
15 - Ambazari,"Yashoda Public School, & junior Collage Sim Takli, Nagpur, Room No. 1",52
16 - Ambazari,"Yashoda Public School, & junior Collage Sim Takli, Nagpur, Room No. 3",52
17 - Ambazari,"Ramsambhar Tripathi Public School Goverment Press Society Jaitala Road, Nagpur Room No. 1",52
18 - Ambazari,"Ramsambhar Tripathi Public School Goverment Press Society Jaitala Road, Nagpur Room No. 2",52
19 - Ambazari,"Yashoda Public School And Junior College, Sim Takali, Nagpur. Room No. 3",52
20 - Ambazari,"Yashoda Marathi Primary School, Sim Takali, Nagpur. Room No. 6",52
21 - Ambazari,"Yashoda Marathi Primary School, Sim Takali, Nagpur. Room No. 5",52
22 - Vishvesh-waraiyya,"V.N.I.T. organization, shradhanand peth Nagpur Room No. 1",52
23 - Vishvesh-waraiyya,Nutan bharat highschool abhaynkar nagar Nagpur Room No. 1,52
24 - Vishvesh-waraiyya,Nutan bharat highschool abhaynkar nagar Nagpur Room No. 2,52
25 - Vishvesh-waraiyya,Nutan bharat highschool abhaynkar nagar Nagpur Room No. 3,52
26 - Vishvesh-waraiyya,Shree Shradhanand anthalaya shradhanandpeth nagpur. Room No. 1,52
27 - Vishvesh-waraiyya,Shree Shradhanand anthalaya shradhanandpeth nagpur. Room No. 2,52
28 - Diksha Bhoomi,"mordern school R.P.T.S. road aath rashta squre laxmi nagar, Nagpur Room No.1",52
29 - Diksha Bhoomi,"mordern school R.P.T.S. road aath rashta squre laxmi nagar, Nagpur Room No.2",52
30 - Diksha Bhoomi,"mordern school R.P.T.S. road aath rashta squre laxmi nagar, Nagpur Room No.3",52
31 - Diksha Bhoomi,"Pitale shashrti vidhyalaya laxmi nagar, nagpur. Room No. 1",52
32 - Diksha Bhoomi,"Pitale shashrti vidhyalaya laxmi nagar, nagpur. Room No. 2",52
33 - Diksha Bhoomi,"Pitale shashrti vidhyalaya laxmi nagar, nagpur. Room No. 3",52
34 - Diksha Bhoomi,Headmaster association hall Nagpur Room No.1,52
35 - Diksha Bhoomi,Headmaster association hall Nagpur Room No.2,52
36 - Dhantoli,"Dinanath highschool Employees Dhantoli, Nagpur Room No.10",52
37 - Dhantoli,"Dinanath highschool Employees Dhantoli, Nagpur Room No.11",52
38 - Dhantoli,Bipin Krishanbos vidhyalaya dinanath primary school dhantoli nagpur Room No. 1,52
39 - Shaniwari,"Cotton Market, building West side, Subhash Kridamandal nagpur, Room No.1",52
40 - Shaniwari,"Cotton Market, building West side, Subhash Kridamandal nagpur, Room No.2",52
41 - Shaniwari,"N.M.C. mahatma fule hindi Primary school shakuntla bondre girl school west side nagpur, Room No. 1, Nagpur",52
42 - Shaniwari,"N.M.C. mahatma fule hindi Primary school shakuntla bondre girl school west side nagpur, Room No. 2, Nagpur",52
43 - Shaniwari,"N.M.C. mahatma fule hindi Primary school shakuntla bondre girl school west side nagpur, Room No. 3, Nagpur",52
44 - Shaniwari,"N.M.C. mahatma fule hindi Primary school shakuntla bondre girl school west side nagpur, Room No. 4, Nagpur",52
45 - Shaniwari,"Rashtrasant tukadoji maharaj krida sankul N. M.C. Cotton Market Nagpur, South side, Room No.1",52
46 - Shaniwari,"Rashtrasant tukadoji maharaj krida sankul N. M.C. Cotton Market Nagpur, South side, Room No.2",52
47 - Shaniwari,"Rashtrasant tukadoji maharaj krida sankul N. M.C. Cotton Market Nagpur, South side, Room No.3",52
48 - Rambag,"N.M.C.Primary School Untkhana Room No.3, Nagpur",52
49 - Rambag,"N.M.C. Work Shop & Stores, Baidyanath Chowk Office Room Nagpur Room No.1",52
50 - Rambag,"N.M.C. Work Shop & Stores, Baidyanath Chowk Office Room Nagpur Room No.2",52
51 - Shaniwari,"Patidar Samaj Building, Sardar Timber Market Ghat Road, Nagpur, South side, Room No.1",52
52 - Shaniwari,"Patidar Samaj Building, Sardar Timber Market Ghat Road, Nagpur, South side, Room No.2",52
53 - Dhantoli,Bipin Krishanbos vidhyalaya dinanath primary school dhantoli nagpur Room No. 2,52
54 - Dhantoli,Bipin Krishanbos vidhyalaya dinanath primary school dhantoli nagpur Room No. 3,52
55 - Dhantoli,"Sule High School, Dhantoli, Mehadiya Chowk, Old Building Room No.7, Nagpur",52
56 - Dhantoli,"Sule High School, Dhantoli, Mehadiya Chowk, Old Building Room No.8, Nagpur",52
57 - Dhantoli,"Sule High School, Dhantoli, Mehadiya Chowk, Old Building Room No.9, Nagpur",52
58 - Dhantoli,"Sule High School, Dhantoli, Mehadiya Chowk, Old Building Room No.10, Nagpur",52
59 - Dhantoli,"Tilak Vidhyalay Behind Dhantoli Garden North Room No.1, Nagpur",52
60 - Dhantoli,"Tilak Vidhyalay Behind Dhantoli Garden North Room No.2, Nagpur",52
61 - Dhantoli,"Tilak Vidhyalay Behind Dhantoli Garden North Room No.3, Nagpur",52
