PS No & Name,Address,Constituency Number
1 - Chandan Nagar,"Jivan Shikshan Vidyalaya, Chandan Nagar, Nagpur West Side Room No.1",53
2 - Chandan Nagar,"Jivan Shikshan Vidyalaya, Chandan Nagar, Nagpur Center Side Room No.2",53
3 - Chandan Nagar,"N.M.C. Tax Office, Hanuman Nagar, Nagpur North Side Room No. 2",53
4 - Chandan Nagar,"N.M.C. Tax Office, Hanuman Nagar, Nagpur North Side Room No. 3",53
5 - Chandan Nagar,"N.M.C. Tax Office, Hanuman Nagar, Nagpur North Side Room No. 1",53
6 - Chandan Nagar,"N.M.C. Tax Office, Hanuman Nagar, Nagpur Nort Side Room No. 4",53
7 - Chandan Nagar,Anand Convent Chandan Nagar Nagpur Room No.1,53
8 - Chandan Nagar,Anand Convent Chandan Nagar Nagpur Room No.2,53
9 - Juni shukrwari,"Vanita Vikas Vidyalaya, Aajamshaha Layout, Nagpur Old Building, West Side Room No. 1",53
10 - Juni shukrwari,"Vanita Vikas Vidyalaya, Aajamshaha Layout, Nagpur Old Building, East Side Room No. 3",53
11 - Juni shukrwari,"Vanita Vikas Vidyalaya, Aajamshaha Layout, Nagpur Old Building, West Side Room No. 2",53
12 - Juni shukrwari,"Vanita Vikas Vidyalaya, Aajamshaha Layout, Nagpur Old Building, South Side Room No. 4",53
13 - Juni shukrwari,"Swami Sitaram Highschool, Great Nag Road, Nagpur North Side Building Room No. 5",53
14 - Juni shukrwari,"Swami Sitaram Highschool, Great Nag Road, Nagpur North Side Building Room No. 4",53
15 - Juni shukrwari,"Jamdar High School, Great Nag Road, Nagpur, West Side Room No. 1",53
16 - Juni shukrwari,"Jamdar High School, Great Nag Road, Nagpur East Side Room",53
17 - Juni shukrwari,"Jamdar High School, Great Nag Road, Nagpur East side Room no.4",53
18 - Juni shukrwari,"Jamdar High School, Great Nag Road, Nagpur West Side Building Room No. 2",53
19 - Juni shukrwari,"Vidarbha Buniyadi Highschool, Mirchi Bazar, Nagpur, East Side Bhag Room No. 11",53
20 - Juni shukrwari,"Vidarbha Buniyadi Highschool, Mirchi Bazar, Nagpur Room No. 14",53
21 - Juni shukrwari,"Vidarbha Buniyadi Highschool, Mirchi Bazar, Nagpur Room No. 18",53
22 - Shivnagar,Jawahar Gurukul Vidyalaya Nandanwan Nagpur Room No.2,53
23 - Shivnagar,Jawahar Gurukul Vidyalaya Nandanwan Nagpur Room No.3,53
24 - Shivnagar,"Vanita Vikas Vidyalaya, Aajamshaha Layout, Nagpur East Side Room No. 5",53
25 - Shivnagar,"Vanita Vikas Vidyalaya, Aajamshaha Layout, Nagpur East Side Room No. 6",53
26 - Shivnagar,Vanita vikas Vidyalaya Ganeshnagar Nagpur Room No.7,53
27 - Shivnagar,Mahila Mahavidyalaya Nandanwan Nagpur,53
28 - Shivnagar,"N.M.C. Aajamshaha, Primary School, Shiv Nagar, Gurudev Park Nagpur Room No. 1",53
29 - Shivnagar,"N.M.C. Ajamshaha, Primary School, Shiv Nagar, Gurudev Park Nagpur Room No. 2",53
30 - Shivnagar,"N.M.C. Ajamshaha, Primary School, Shiv Nagar, Gurudev Park Nagpur Room No. 3",53
31 - Shivnagar,"N.M.C. Ajamshaha, Primary School, Shiv Nagar, Gurudev Park Nagpur Room No. 4",53
32 - Reshimbag,"Jamdar Jr. College, East Side, Room No. 1",53
33 - Reshimbag,"Jamdar Jr. College, East Side, Room No. 2",53
34 - Reshimbag,"Jamdar Jr. College, East Side, Room No. 3",53
35 - Reshimbag,"Jamdar Jr. College, East Side, Room No. 4",53
36 - Reshimbag,"Jamdar Jr. College, East Side, Room No. 5",53
37 - Medical College,"Navyug Primary School, Room No. 2",53
38 - Medical College,"Navyug Primary School, Room No. 1",53
39 - Medical College,"Mahatma Gandhi Marathi, Lal Bahadur Shashtri Hindi Middle School Hanuman Nagar Nagpur South Side Room No. 1",53
40 - Medical College,"Mahatma Gandhi Marathi, Lal Bahadur Shashtri Hindi Middle School Hanuman Nagar Nagpur South Side Room No. 2",53
41 - Medical College,"Mahatma Gandhi Marathi, Lal Bahadur Shashtri Hindi Middle School Hanuman Nagar Nagpur South Side Room No. 4",53
42 - Medical College,"Mahatma Gandhi Marathi, Lal Bahadur Shashtri Hindi Middle School Hanuman Nagar Nagpur South Side Room No. 3",53
43 - Medical College,"Mahatma Gandhi Marathi, Lal Bahadur Shashtri Hindi Middle School Hanuman Nagar Nagpur Room No. 5",53
44 - Medical College,"Mahatma Gandhi Marathi, Lal Bahadur Shashtri Hindi Middle School Hanuman Nagar Nagpur Room No. 6",53
45 - Medical College,Pandit Bachharaj Wvyas Vidyalaya & Junior College Rajabaksha Nagpur Room No.7,53
46 - Medical College,Pandit Bachharaj Wvyas Vidyalaya & Junior College Rajabaksha Nagpur Room No.8,53
47 - Raghuji Nagar,"Mohta Science College, Sakkardara West Side Room No. 1",53
48 - Raghuji Nagar,"Mohta Science College, Sakkardara West Side Room No. 4",53
49 - Raghuji Nagar,"Mohta Science College, Sakkardara West Side Room No. 3",53
50 - Raghuji Nagar,"Mohta Science College, Sakkardara West Side Room No. 2",53
51 - Raghuji Nagar,"Binzhani City College Sakkardara, East Side Room No.10",53
52 - Raghuji Nagar,"Binzhani City College Sakkardara, East Side Room No.4",53
53 - Raghuji Nagar,"Binzhani City College Sakkardara, West Side Room No. 11",53
54 - Raghuji Nagar,"Binzhani City College Sakkardara, Professor Room",53
55 - Raghuji Nagar,"Binzhani City College Sakkardara, Room No.9",53
56 - Raghuji Nagar,"Binzhani City College Sakkardara, Room No.12",53
57 - Raghuji Nagar,"Rashtriya Vidyalaya, Somwari Qtr., Central Room No. 1",53
58 - Raghuji Nagar,"National Institute of Social Work, Raghuji Nagar South Side Room No. 1",53
59 - Raghuji Nagar,"National Institute of Social Work, Raghuji Nagar South Side Room No. 2",53
60 - Raghuji Nagar,"Ishwar Deshmukh Physical Training College, Raghuji Nagar Center Room No. 1",53
61 - Raghuji Nagar,Ishwar Deshmukh Physical Training College Raghuji Nagar Center Room No. 2,53
62 - Raghuji Nagar,Ishwar Deshmukh Physical Training College Raghuji Nagar Center Room No. 3,53
63 - Om Nagar,"Sharda Mahila Vidyalaya, Sakkardara Nagpur, Near Power House, West Building Room No. 2",53
64 - Om Nagar,"Sharda Mahila Vidyalaya, Sakkardara Nagpur Near Power House, West Building Room No. 4",53
65 - Om Nagar,"Vidarbha Buniyadi Highschool, Mirchi Bazar, Nagpur East Side Room No. 12",53
66 - Om Nagar,"Jankidevi Jayaswal, Vidyalaya, Nehru Nagar East Side Building Middle Room No. 2",53
67 - Om Nagar,"Jankidevi Jayaswal, Vidyalaya, Nehru Nagar East Side Building North Side Room No. 5",53
68 - Om Nagar,"Jankidevi Jayaswal, Vidyalaya, Nehru Nagar East Side Building, West Side Room No. 1",53
69 - Om Nagar,"Jankidevi Jayaswal, Vidyalaya, Nehru Nagar, East Side Building, West Side Room No. 3",53
70 - Om Nagar,"Jankidevi Jayaswal, Vidyalaya, Nehru Nagar, East Side Building, West Side Room No. 4",53
71 - Om Nagar,"Abhinadan High School, Bapunagar, Nagpur Bapunagar, Umred Road, North Side part of Building Room No. 1",53
72 - Om Nagar,"Abhinadan High School, Bapunagar, Nagpur, Bapu Nagar Umred Road Main Building South Side Room No. 2",53
73 - Om Nagar,"Abhinadan High School, Bapunagar, Nagpur Bapu Nagar Umred Road North Side part Room No. 3",53
74 - Om Nagar,"Abhinadan High School, Bapunagar, Nagpur Bapu Nagar Umred Road Central Part Room No. 4",53
75 - Harpur,"Abhang Higher Primary School, Ramna Maroti, Nagpur East Side Room No. 1",53
76 - Harpur,"Abhang Higher Primary School, Ramna Maroti, Nagpur East Side Room No. 2",53
77 - Harpur,"Abhang Higher Primary School, Ramna Maroti, Nagpur West Side Room No. 1",53
78 - Sakkardara,"Sakkardara Higher Primary School, Ramna Maroti, Nagpur North South Building , North Side Room No. 1",53
79 - Sakkardara,"Sakkardara Higher Primary School, Ramna Maroti, Nagpur North South Building , North Side Room No. 3",53
80 - Sakkardara,"Sakkardara Higher Primary School, Ramna Maroti, Nagpur North South Building, North Side Room No. 2",53
81 - Sakkardara,"Navpratibha Junior College, Mirchi Bazar Nagpur, Ayurvedic Layout, Mirchi Bazar, Umred Road, North South Building South Side Room No. 1",53
82 - Sakkardara,"Navpratibha Junior College, Mirchi Bazar Nagpur Main Building, West Side Room No. 7 of Main Building",53
83 - Sakkardara,Kamla Nehru Mahavidyalaya Sakkardara Room No. 1,53
84 - Sakkardara,"Navpratibha Junior College, Mirchi Bazar Nagpur East Side Room No. 21",53
85 - Sakkardara,"Navpratibha Junior College, Mirchi Bazar Nagpur West Side part Room No. 2",53
86 - Sakkardara,"Navpratibha Junior College, Mirchi Bazar Nagpur Main Building, Room No. 1",53
87 - Sakkardara,"Navpratibha Junior College, Mirchi Bazar Nagpur Main Building, West Side Room No. 1",53
88 - Sakkardara,"Raje Raghuji Nagar Priamary School, East West Building Room No. 1",53
89 - Sakkardara,"Sanjuba High School, South Side Room",53
90 - Sakkardara,"Sanjuba High School, Middle Side Room",53
91 - Sakkardara,"Hajrat Tajbaba Industrial Training Institute, Office Professors Room.",53
92 - Sakkardara,"Hajrat Tajbaba Industrial Training Institute, Office Staff Room.",53
93 - Sakkardara,"N.M.C. Urdu Primary School, New Bidipeth Room No. 1",53
94 - Raghuji Nagar,"Raje Raghujinagar, Primary School, Nagpur Near Overhead Tank, North South Building South Side Room No. 1",53
95 - Raghuji Nagar,"Raje Raghujinagar, Primary School, Nagpur Near Overhead Tank North South Building South Side Room No. 2",53
96 - Raghuji Nagar,"Indira Gandhi Higher Primary School, Jawhar Nagar, Nagpur & Junior College Room No. 1",53
97 - Raghuji Nagar,"Indira Gandhi Higher Primary School, Jawhar Nagar, Nagpur & Junior College Room No. 2",53
98 - Raghuji Nagar,"Indira Gandhi Higher Primary School, Jawhar Nagar, Nagpur & Junior College Room No. 3",53
99 - Raghuji Nagar,"Indira Gandhi Higher Primary School, Jawhar Nagar, Nagpur & Junior College Room No. 4",53
