PS No & Name,Address,Constituency Number
"1 - Lalganj, Bastarwari",Nagpur Municipal Corporation Yendalwadi Primary School Nagpur Room No. 1,54
"2 - Lalganj, Bastarwari",Nagpur Municipal Corporation Yendalwadi Primary School Nagpur Room No. 2,54
"3 - Lalganj, Bastarwari",Nagpur Municipal Corporation Yendalwadi Primary School Nagpur Room No. 3,54
4 - Kharipura,"Shri Dayaramji Wade High School, New Mangalwari, Lalganj, Khairipura, Nagpur Room No. 1",54
5 - Kharipura,"Shri Dayaramji Wade High School, New Mangalwari, Lalganj, Khairipura, Nagpur Room No. 2",54
6 - Kharipura,"Shri Dayaramji Wade High School, New Mangalwari, Lalganj, Khairipura, Nagpur Room No. 3",54
7 - Kharipura,"Edan Point English Primary School,Shanti nagar colony, Nagpur Room No. 1",54
8 - Kharipura,"Edan Point English Primary School,Shanti nagar colony, Nagpur Room No. 2",54
9 - Kharipura,"Edan Point English Primary School,Shanti nagar colony, Nagpur Room No. 4",54
10 - Kharipura,"Edan Point English Primary School,Shanti nagar colony, Nagpur Room No. 3",54
11 - Prem Nagar,"North Point Convent & Jr. College, Near Panch Deual, Shanti Nagar, Nagpur Room No 1",54
12 - Prem Nagar,"North Point Convent & Jr. College, Near Panch Deual, Shanti Nagar, Nagpur Room No 2",54
13 - Prem Nagar,"Wings Adarsh Primary School, Adarsh Nagar, Prem Nagar, Nagpur Room No. 1",54
14 - Prem Nagar,"Wings Adarsh Primary School, Adarsh Nagar, Prem Nagar, Nagpur Room No. 2",54
15 - Prem Nagar,"Hanuman Samaj Mandir, Prem Nagar, Near Navin Vikash Adhunik Pat Purvatha Sahkari Sanstha, Nagpur",54
16 - Prem Nagar,"Nagpur Municipal Corporation Library, Prem Nagar, Nagpur",54
17 - Prem Nagar,"Kolba Swami Higher Primary School Premnagar, Nagpur Room No. 1",54
18 - Prem Nagar,"Nagpur Municipal Corporation Primary School, Prem Nagar, Nagpur Room No. 1",54
