PS No & Name,Address,Constituency Number
1 - Saifi Nagar,"N.M.C Abdul Jalil Choudhari Samaj Bhawan, Room No. 3",55
2 - Saifi Nagar,"N.M.C Abdul Jalil Choudhari Samaj Bhawan, Room No. 4",55
3 - Saifi Nagar,"Islamiya High School, Boriyapura, Room No.1",55
4 - Saifi Nagar,"Islamiya High School, Boriyapura, Room No.2",55
5 - Saifi Nagar,"Islamiya High School, Boriyapura, Room No.3",55
6 - Saifi Nagar,Urdu Uppar Pri. School Mohammad Ali Sarai Room No. 1,55
7 - Barse Nagar,"NMC Dr. Ambedkar Sandesh Library, Barse Nagar Room No.1",55
8 - Barse Nagar,"NMC Dr. Ambedkar Sandesh Library, Barse Nagar Room No.2",55
"9 - Barse Nagar, Pachpawli, Kurhadkar Peth","NMC Karmaveer Shinde Primary School, Barse Nagar Room No. 1",55
"10 - Barse Nagar, Pachpawli","NMC Karmaveer Shinde Primary School, Barse Nagar Room No. 2",55
"11 - Barse Nagar, Pachpawli","NMC Karmaveer Shinde Primary School, Barse Nagar Room No. 3",55
"12 - Barse Nagar, Pachpawli","NMC Karmaveer Shinde Primary School, Barse Nagar Room No. 4",55
"13 - Barse Nagar, Pachpawli, Kumbharpura","NMC Tandapeth Primary School, Kumbharpura, Room No. 1",55
14 - Tandapeth,"NMC Samaj Bhavan Near Vithal Rukhmini Temple Tandapeth, Room No. 1",55
15 - Tandapeth,"NMC Samaj Bhavan Near Vithal Rukhmini Temple Tandapeth, Room No. 2",55
16 - Tandapeth,"NMC Tandapeth Hindi Primary School, Room No. 1",55
17 - Tandapeth,"NMC Tandapeth Hindi Primary School, Room No. 2",55
18 - Tandapeth,"NMC Samaj Bhavan Near Vithal Rukhmini Temple Tandapeth, Room No. 3",55
19 - Tandapeth,"Om High School Mehandibag Road, Khairipura, R. No. 1",55
20 - Tandapeth,"Om High School Mehandibag Road, Khairipura, R. No. 2",55
21 - Tandapeth,"Om High School Mehandibag Road, Khairipura, R. No. 3",55
22 - Naik Talao,"Mahatma Jyotiba Phule High School, Naik Talao, Room No. 1",55
23 - Naik Talao,"Mahatma Jyotiba Phule High School, Naik Talao, Room No. 2",55
24 - Naik Talao,"Mahatma Jyotiba Phule High School, Naik Talao, Room No. 3",55
25 - Naik Talao,"Mahatma Jyotiba Phule High School, Naik Talao, Room No. 4",55
26 - Naik Talao,"Mahatma Jyotiba Phule High School, Naik Talao, Room No. 5",55
27 - Naik Talao,"Mahatma Jyotiba Phule High School, Naik Talao, Room No. 6",55
28 - Naik Talao,"Mahatma Jyotiba Phule High School, Naik Talao, Room No. 7",55
29 - Naik Talao,"Mahatma Jyotiba Phule High School, Naik Talao, Room No. 8",55
30 - Naik Talao,"Sant Kabir Ucch Primary School & High School, Naik Talav, Bangladesh, Room No. 1",55
31 - Naik Talao,"Sant Kabir Ucch Primary School & High School, Naik Talav, Bangladesh, Room No. 2",55
32 - Naik Talao,"Sant Kabir Ucch Primary School & High School, Naik Talav, Bangladesh, Room No. 3",55
33 - Naik Talao,"Sant Kabir Ucch Primary School & High School, Naik Talav, Bangladesh, Room No. 4",55
34 - Lendi Talao,"Pandit Nehru Convent, Tandapeth, Room No. 1",55
35 - Lendi Talao,"Pandit Nehru Convent, Tandapeth, Room No. 2",55
36 - Lendi Talao,"NMC Vachnalay, Tandapeth",55
37 - Lendi Talao,"Nav Shakti Uccha Primary School & High School Adarsh Vinkar Colony, Tandapeth Room No. 7",55
38 - Lendi Talao,"Nav-Shakti Ucch Primary School & High School Adarsh Vinkar Colony ,Tandapeth, Room No. 1",55
39 - Lendi Talao,"Nav-Shakti Ucch Primary School & High School Adarsh Vinkar Colony ,Tandapeth, Room No. 2",55
40 - Lendi Talao,"Nav-Shakti Ucch Primary School & High School Adarsh Vinkar Colony ,Tandapeth, Room No. 3",55
41 - Lendi Talao,"Nav-Shakti Ucch Primary School & High School Adarsh Vinkar Colony ,Tandapeth, Room No. 4",55
42 - Lendi Talao,"Nav-Shakti Ucch Primary School & High School Adarsh Vinkar Colony ,Tandapeth, Room No. 5",55
43 - Lendi Talao,"Nav-Shakti Ucch Primary School & High School Adarsh Vinkar Colony ,Tandapeth, Room No. 6",55
44 - Lendi Talao,Shri Dayaramji Wade Highschool & Shri. Mahadeorao Wade Junior Collage Mehandibagh Road Khairipura Nagpur Room No. 6,55
45 - Lendi Talao,Shri Dayaramji Wade Highschool & Shri. Mahadeorao Wade Junior Collage Mehandibagh Road Khairipura Nagpur Room No. 7,55
46 - Lendi Talao,Shri Dayaramji Wade Highschool & Shri. Mahadeorao Wade Junior Collage Mehandibagh Road Khairipura Nagpur Room No. 8,55
47 - Lendi Talao,Shri Dayaramji Wade Highschool & Shri. Mahadeorao Wade Junior Collage Mehandibagh Road Khairipura Nagpur Room No. 9,55
48 - Lendi Talao,Shri Dayaramji Wade Highschool & Shri. Mahadeorao Wade Junior Collage Mehandibagh Road Khairipura Nagpur Room No. 10,55
49 - Lendi Talao,NMC Ayurvedic Hospital Near Bastarwari School,55
50 - Lendi Talao,"NMC Mehandibag Marathi Pry. School, Mehandibag, Nagpur, Room No. 1",55
51 - Lendi Talao,"NMC Mehandibag Marathi Pry. School, Mehandibag, Nagpur, Room No. 2",55
52 - Lendi Talao,"NMC Mehandibag Marathi Pry. School, Mehandibag, Nagpur, Room No. 3",55
53 - Lendi Talao,"NMC Mehandibag Marathi Pry. School, Mehandibag, Nagpur, Room No. 4",55
54 - Lendi Talao,"NMC Mehandibag Marathi Pry. School, Mehandibag, Nagpur, Room No. 5",55
55 - Lendi Talao,"NMC Mehandibag Marathi Pry. School, Mehandibag, Nagpur, Room No. 6",55
56 - Jagnath Budhwari,"NMC Marathi Primary School, Bangali Panja, Room No. 1",55
57 - Jagnath Budhwari,NMC Water Suplay & OCW Zone office No. 7 Jagnath Budhwari Room No. 1,55
