PS No & Name,Address,Constituency Number
1 - Gorewada,"Adivasi Academy Upper Pry School Gorewada, Nagpur Room No.1",56
2 - Gorewada,"Adivasi Academy Upper Pry School Gorewada, Nagpur Room No.2",56
3 - Gorewada,"Adivasi Academy Upper Pry School Gorewada, Nagpur Room No.3",56
4 - Gorewada,"Adivasi Academy Upper Pry School Gorewada, Nagpur Room No.4",56
5 - Gorewada,"Adivasi Academy Upper Pry School Gorewada, Nagpur Room No.5",56
6 - Gorewada,"Adivasi Academy Upper Pry School Gorewada, Nagpur Room No.6",56
7 - Gorewada,"Adivasi Academy Upper Pry School Gorewada, Nagpur Room No.7",56
8 - Gorewada,"Ashirwad Higher Primary School Zingabai Takli, Godhani Road, Nagpur, Room No.1",56
9 - Gorewada,"Ashirwad Higher Primary School Zingabai Takli, Godhani Road, Nagpur, Room No.2",56
10 - Gorewada,"Gurukunj Convent And Jniour Collage Zingabai Takli, Godhani Road, Nagpur, Room No.1",56
11 - Gorewada,"Gurukunj Convent And Jniour Collage Zingabai Takli, Godhani Road, Nagpur, Room No.2",56
12 - Gorewada,"Ashirwad Higher Primary School Zingabai Takli, Godhani Road, Nagpur, Room No.3",56
13 - Gorewada,"Ashirwad Higher Primary School Zingabai Takli, Godhani Road, Nagpur, Room No.4",56
14 - Gorewada,"Ashirwad Higher Primary School Zingabai Takli, Godhani Road, Nagpur, Room No.5",56
15 - Gorewada,"Ashirwad Higher Primary School Zingabai Takli, Godhani Road, Nagpur, Room No.6",56
16 - Gorewada,"Ashirwad Higher Primary School Zingabai Takli, Godhani Road, Nagpur, Room No.7",56
17 - Gorewada,"Bhartiya Krishi Vidyalaya, Geetanagar, Zingabai Takli, Room No.1",56
18 - Gorewada,"Bhartiya Krishi Vidyalaya, Geetanagar, Zingabai Takli, Room No.2",56
19 - Gorewada,"Bhartiya Krishi Vidyalaya, Geetanagar, Zingabai Takli, Room No.3",56
20 - Gorewada,"Bhartiya Krishi Vidyalaya, Geetanagar, Zingabai Takli, Room No. 4",56
21 - Gorewada,"Bhartiya Krishi Vidyalaya, Geetanagar, Zingabai Takli, Room No. 5",56
