PS No & Name,Address,Constituency Number
1 - Nara,"N.M.C. Nara Primary School, Nagpur Room No. 1",57
2 - Nara,"N.M.C. Nara Primary School, Nagpur Room No. 2",57
3 - Nara,"N.M.C. Nara Primary School, New buillding bilding Nagpur Room No. 1",57
4 - Nara,"N.M.C. Nara Primary School, New buillding bilding Nagpur Room No. 2",57
5 - Nara,"Nirmal Pry. School, Nirmal Colony, Nara Road, Nagpur, Room No. 1",57
6 - Nara,"Nirmal Pry. School, Nirmal Colony, Nara Road, Nagpur, Room No. 2",57
7 - Nara,"Nirmal Pry. School, Nirmal Colony, Nara Road, Nagpur, Room No. 3",57
8 - Nara,"Nirmal Pry. School, Nirmal Colony, Nara Road, Nagpur, Room No. 4",57
9 - Nara,"Nirmal Pry. School, Nirmal Colony, Nara Road, Nagpur, Room No. 5",57
10 - Nara,"Dr. B.R.A. Law College, Near Noori Masjid, Nara, Nagpur Room No 1",57
11 - Nara,"Nirmal Pry. School, Nirmal Colony, Nara Road, Nagpur, Room No. 6",57
12 - Nara,"Dr. B.R.A. Law College, Near Noori Masjid, Nara, Nagpur Room No 2",57
13 - Nara,"Nirmal Pry. School, Nirmal Colony, Nara Road, Nagpur, Room No. 7",57
14 - Nara,"Dr. B.R.A. Law College, Near Noori Masjid, Nara, Nagpur Room No 3",57
15 - Nara,"Nirmal Pry. School, Nirmal Colony, Nara Road, Nagpur, Room No. 8",57
16 - Nara,"Dr. B.R.A. Law College, Near Noori Masjid, Nara, Nagpur Room No 4",57
17 - Nari,"N.M.C. Kapilnagar Hindi Pry. School, Kapilnagar, Nagpur Room No.1",57
18 - Nari,"N.M.C. Kapilnagar Hindi Pry. School, Kapilnagar, Nagpur Room No.2",57
19 - Nari,"N.M.C. Kapilnagar Hindi Pry. School, Kapilnagar, Nagpur Room No.3",57
20 - Nari,"N.M.C. Kapilnagar Hindi Pry. School, Kapilnagar, Nagpur Room No.4",57
21 - Nari,"N.M.C. Kapilnagar Hindi Pry. School, Kapilnagar, Nagpur Room No.5",57
22 - Nari,"N.M.C. Kapilnagar Hindi Pry. School, Kapilnagar, Nagpur Room No.5",57
23 - Nari,"N.M.C. Kapil Nagar Hindi Pry. School, Kapil Nagar New Building Room No.1",57
24 - Nari,"N.M.C. Kapil Nagar Hindi Pry. School, Kapil Nagar New Building Room No.3",57
25 - Nari,"N.M.C. Kapil Nagar Hindi Pry. School, Kapil Nagar New Building Room No.2",57
26 - Nari,"N.M.C. Kapil Nagar Hindi Pry. School, Kapil Nagar old Building Room No.6",57
27 - Nari,"N.M.C. Kamgarnagar Urdu Pry. School, Kamgar Nagar, Nagpur Room No.1",57
28 - Nari,"N.M.C. Kamgarnagar Urdu Pry. School, Kamgar nagar, Nagpur Room No.2",57
29 - Nari,"N.M.C. Kamgarnagar Urdu Pry. School, Kamgar nagar, Nagpur Room No.3",57
30 - Nari,"N.M.C. Kamgarnagar Urdu Pry. School, Kamgar nagar, Nagpur Room No.4",57
31 - Nari,"Blossom Public School, Kamgar Nagar, Nagpur Room No 1",57
32 - Nari,"Blossom Public School, Kamgar Nagar, Nagpur Room No 2",57
33 - Nari,"Rouradh Highschool Upper Pry. School, Chaitanyanagar, Nagpur East Side Room No.2",57
34 - Nari,"Rouradh Highschool Upper Pry. School, Chaitanyanagar, Nagpur East Side Room No.8",57
