PS No & Name,Address,Constituency Number
1 - BABHULKHEDA,"Z.P. Higher Primary School, Bhabulkheda Room No. 1",58
2 - BABHULKHEDA,"Z.P. Higher Primary School, Bhabulkheda Room No. 2",58
3 - KHAPA,Z.P. Higher Primary School Khapa Room No 1,58
4 - KHAPA,Z.P. Higher Primary School Khapa Room No 2,58
5 - LONKHAIRI,Z.P. Higher Primary School Lonkhairi Room No 1,58
6 - LONKHAIRI,"Z.P. Higher Primary School, Lonkhairi Room No 2",58
7 - GUMTHI,"Z.P. Higher Primary School, Gumthi, Room No 1",58
8 - MAHADULA,Z.P. Higher Primary School Mahadulla (west side) Room No 1,58
9 - MAHADULA,Tejswini Vidyalay Mahadulla Room No 1,58
10 - MAHADULA,Samajbhavn Sabhagru Mahadula Nagar panchyat Room No.1,58
11 - MAHADULA,Pech Sinchai Krayalay koradidevi mandir Road Koradi,58
12 - MAHADULA,Z.P. Higher Primary School,58
13 - MAHADULA,"Smita Patil High School, Mahadula Room No 1",58
14 - MAHADULA,"Smita Patil High School, Mahadula Room No 2",58
15 - MAHADULA,"Smita Patil High School, Mahadula Room No 3",58
16 - MAHADULA,"Smita Patil High School, Mahadula Room No 4",58
17 - MAHADULA,Tejswini Vidyalay Mahadulla Room No 2,58
18 - MAHADULA,Z.P. Higher Primary School Mahadulla (west side) Room No 4,58
19 - MAHADULA,Z.P. Higher Primary School Mahadulla (west side) Room No 5,58
20 - MAHADULA,Z.P. Higher Primary School Fule Nagar Mahadulla Room No1,58
21 - MAHADULA,Z.P. Higher Primary School Fule Nagar Mahadulla Room No2,58
22 - MAHADULA,Z.P. Higher Primary School Fule Nagar Mahadulla Room No3,58
23 - NANDA KORADI,Z.P. Higher Primary School Nanada Punerwasan Koradi Room No 1,58
24 - NANDA KORADI,Z.P. Higher Primary School Nanada Punerwasan Koradi Room No 2,58
25 - PANJRA KORADI,Bhange Public School Panjra Koradi Room No 1,58
26 - PANJRA KORADI,Bhange Public School Panjra Room No 2,58
27 - NANDA KORADI,Z.P. Higher Primary School Nanada Juni Wasti Room No 1,58
28 - KORADI,Talathi Karyalay G.p.Koradi Room No.1,58
29 - KORADI,Gram panchyat Karyaly sabhagru korodi Room No.1,58
30 - KORADI,Anganwadi Kendra Navin koradi Punerwasan Room No 4,58
31 - KORADI,Anganwadi Kendra Navin koradi Punarwasan Room No 5,58
32 - MAHADULA,Bright Scholars School Koradi Room No 1,58
