PS No & Name,Address,Constituency Number
1 - Ghatpendhari,"Z. P. Pri. School, Ghatpendhari",59
2 - Garra,"Z.P. Primary School , Garra Room No. 2",59
3 - Manegaon Tek,"Z.P. Higher Primary School , Manegoan Tek Room No. 1",59
4 - Karwahi,"Z.P. Primary Higher Primary School, Karwahi Room No. 1",59
5 - Karwahi,"Z.P. Primary Higher Primary School, Karwahi Room No. 2",59
6 - Sitapar,"Z.P. Higher Primary School, Sitapar Room No. 1",59
7 - Lodha,"Z.P. Higher Primary School, Lodha Room No 1",59
8 - Dulara,"Z.P. Primary School, Dulara Room No. 1",59
9 - Bandra,"Z.P. Primary School, Bandra Room No. 1",59
10 - Ghatkukada,Z.P.Pri. School Ghatkukada Room No. 1,59
11 - Sawara,"Z.P. Higher Primary School, Sawara Room No. 1",59
12 - Navegaon (Wadamba),"Z.P. Higher Primary School, Navegaon Room No. 1",59
13 - Kadbikheda,"Z.P. Primary School, Kadbikheda room No 1",59
14 - Dongartal,"Z.P. Primary School, Dongartal Room No. 1",59
15 - Wadmba (mal),"Z.P. Higher Primary School ,Eest Part ,Wadmba (mal) Room No. 1",59
16 - Navegaon (Kh),"Z.P. Higher Primary School ,Navegaon (Kh) Room No. 2",59
17 - Pindkapar (Lodha),"Z.P. Higher Primary School, Pindkapar (Lodha) Room No. 1",59
18 - Belda,"Z.P. Higher Primary School, Belda Room no 1",59
19 - Wadmba (R),"Z.P. Higher Primary School, west Part ,Wadmba (R) Room No. 1",59
20 - Deolapar,"Z.P. Higher Primary School, Bulding , Deolapar Room No 1",59
21 - Deolapar,"Z.P. Higher Primary School, Bulding , Deolapar Room No 2",59
22 - Deolapar,"Z.P. Higher Primary School, Bulding , Room No. 3 Deolapar",59
23 - Zinzeriya,"Z.P. Higher Primary School, Zinzeriya",59
24 - Sindhewani,"Z.P. Primary School, Sindhewani Room No. 1",59
25 - Tuyapar (Belda),"Z.P. Higher Primary School, Tuyapar Room No. 1",59
26 - Khanora,"Z.P. Primary School ,Khanora Room No. 1",59
27 - Katta,"Z.P. Primary School ,Katta Room No. 1",59
28 - Pipariya,"Z.P. Higher Primary School ,west Part ,Pipariya Room no 1",59
29 - Dhawlapur,Z.P.Pri. School Dhawalapur,59
30 - Kolitmara,Grampanchayat Bhavan Kolithmara.,59
31 - Ghoti (Dahoda),"Z.P. Higher Primary School, New Builading ,Ghoti Room No. 1",59
32 - Salai (Pipriya),"Z.P. Higher Primary School, New Builading ,Salai Room No. 1",59
33 - Bothiya (Palora),"Z.P. Higher Primary School, Bothiya Palora Room No. 1",59
34 - Warghat,"Z.P. Primary School ,Warghat Room No 1",59
35 - Warghat,"Z.P. Primary School ,Warghat Room No 2",59
"36 - Fulzari, Hiwra Bazar","Z.P. Primary School ,Fulzari Room No. 1",59
37 - Tangla,"Z.P. Higher Primary School ,Tangla Room No. 1",59
38 - Hiwra (Bazar),"Z.P. Higher Primary School ,west Part ,Hiwra (Bazar) Room No 1",59
39 - Hiwra (Bazar),"Z.P. Higher Primary School ,west Part ,Hiwra (Bazar) Room No 2",59
40 - Manegaon Kala,"Z.P. Primary School ,Bulding Manegaon Kala Room No. 1",59
41 - Sawngi,"Z.P. Primary School ,Bulding Sawangi Room No. 1",59
42 - Hiwra (Patharai),"Z.P. Primary School ,Bulding Hiwara (Patharai) Room No. 1",59
43 - Dahoda,"Gram Panchyat Bhawan , Dahoda Room No. 1",59
44 - Narhar,Z.P.Pri. School Narhar,59
45 - Saleghat,Z. P. Pri. School Saleghat,59
46 - Ambazari (Saleghat),Z.P.Pri. School Ambazari,59
47 - Pathrai,"Z.P. Higher Primary School , Builading ,Eest Part , Pathrai Room No. 1",59
48 - Moudi,"Z.P. Higher Primary School , Moudi Room No. 1",59
49 - Pauni (F),"Z.P. Higher Primary School, Pauni (F) Room No. 1",59
50 - Salai (Hiwara Bazar),"Z.P. Primary School , Salai (Hiwara Bazar) Room No. 1",59
51 - Kharpada,"Z.P. Higher Primary School , Kharpada Room No. 1",59
52 - Pauni,"Z.P. Higher Primary School , Pauni Room No.1",59
53 - Pauni,"Z.P. Higher Primary School , Pauni Room No.2",59
54 - Ambazari (Pathrai),"Z.P. Higher Primary School , Builading ,Eest Part , Ambazari Room No. 1",59
55 - Suwardhara,Z. P. Pri. School Suwardhara,59
56 - Chargaon (Suwardhara),Z.P.Pri. School Chargaon,59
57 - Ghoti (Ramjan),"Z.P. Primary School ,Ghoti Room No. 1",59
58 - Pusda (Purnavasan),"Z.P. Primary School ,Pusda (Purnavasan No. 1) near Ghoti (Ramzan)",59
59 - Pusda (Purnavasan),"Z.P. Primary School ,Pusda (Purnavasan No. 2) near Chichda",59
60 - Umari (Chichada),"Z.P. Higher Primary School, Umari Eest Part Room No 1",59
61 - Umari (Chichada),"Z.P. Higher Primary School, Umari Eest Part Room No 2",59
62 - Khumari,"Z.P. Higher Primary School, Khumari , New Bulding Room No 1",59
63 - Borda,"Z.P. Higher Primary School, Borda Room No 1",59
64 - Sarakha,"Z.P. Higher Primary School, Sarakha Room No 1",59
65 - Chharapur,"Z.P. Higher Primary School,Chharapur Room No 1",59
66 - Navegaon (Khairy),Rashtriya Adarsh Vidyalya Room No. 1,59
67 - Navegaon (Khairi),Rashtriya Adarsh Vidyalya Room No. 2,59
68 - Bachhera,"Z.P.Pri. School Bachchera, Pench Project Colony",59
69 - Awaleghat,"Z. P. Pri. School, Awaleghat Room No 1",59
70 - Kondasawali,Z.P.Pri. School Kondasawali Room No 1,59
71 - Palasawali,"Z.P.Upper Pri. School , Palasawali Room No 1",59
72 - Neurwada,Z.P.Pri. School Neurwada Room No 1,59
73 - Bhondewada,"Z.P. Higher Primary School ,Bhondewada Room No 1",59
74 - Dongri,"Z.P. Higher Primary School ,Dongri , Eest Part Room No 1",59
75 - Dongri,"Z.P. Higher Primary School ,Dongri , Eest Part Room No 2",59
76 - Nahabi,"Z.P. Higher Primary School ,Nahabi , Room No 1",59
77 - Guguldoh,Z.P. Primary School Guguldoh Room No 1,59
