PS No & Name,Address,Constituency Number
1 - Sinaban,"Z.P. Primary School Sinban,Northen Side East- West Building, Room No.1 From East.",5
2 - Kalatek,"Z.P.Primary School Kaltek,North-South Buliding,Room No.1 From North",5
3 - Pachale,"Z.P. Primary School Pachale, East - West Building,Room No.1 From West Side.",5
4 - Korde,"Z.P.Primary School Korde, South-North Building,Room No.1 From North.",5
5 - Vajadare,"Z.P. Primary School Korde, South-North Building, Room No.3 From North.",5
6 - Vitave,"Z.P. Primary School Vitave, East - West Building, Room No.1 From East.",5
7 - Chhadavel (k ),"Z.P. Center School Chhadwel (K), Western Side North - South Building , Room No.1 From South",5
8 - Chhadavel (k ),"Z.P. Center School Chhadwel (K), Western Side North - South Building , Room No.3 From South",5
9 - Chhadavel (k ),"Z.P. Center School Chhadwel (K), Eastern Side North-South Building,Room No.3 From South",5
10 - Dhavalivihir,"Z.P. Primary School Dhavalivihir, East-West Building, Room No. 1 From Western Side.",5
11 - Kuttaramare,"Z.P.Primary School Kuttarmare, East-West Building,Room No.1 From East.",5
12 - Titane,"Z.P. Primary School Titane, East-West Building,Room No.2 From East.",5
13 - Titane,"Z.P. Primary School Titane, East-West Hexagonal Builiding , Room No.1 From West.",5
14 - Panhalipada,"Z.P. Primary School Panhalipada, East-West Builiding , Room No.1 From East.",5
15 - Khori,"Z.P. Primary School Khori, East-West Builiding , Room No.1 From East.",5
16 - Khori,"Z.P. Primary School Khori, East-West Builiding ,Room No.2 From East.",5
17 - Khori,"Z.P. Primary School Khori, East-West Builiding , Room No.4 from west",5
18 - Jamade,Z.P.Primary Boys School Jamade,5
19 - Petale,"Z.P. Primary School Petle East - west New building, West side Room No. 1",5
20 - Isarde,"Z.P. Primary School Isarde, North-South Builiding, Room No. 1 From North.",5
21 - Valhave,"Z.P. Primary School Valhave, Old Builiding (West Side) .",5
22 - Valhave,"Z.P. Primary School Valhave, New Builiding. (East Side)",5
23 - Basar,"Z.P. Primary School Basar, North-South Builiding , Room No.2 From North .",5
24 - Ranjanaganv,Z.P. Primary School Ranjangaon,5
25 - Amakhel,"Z.P. Primary School Amakhel, East-west Builiding , Room No.1 From East.",5
26 - Pangan,"Z.P. Primary School Pangan, New Building",5
27 - Mogarapada,"Z.P.Primary School Mogarpada,East-West Builiding,Room No.2 From East",5
28 - Bramhanavel,Z.P. Primary School Bramhanwel Western side New building,5
29 - Nagaziri,Z.P.Center School Nagaziri North Side Hexagonal Building Room No.1 from east,5
30 - Nagaziri,Z. P. Marathi School Nagaziri,5
31 - Ziranipada,"Z.P. Primary School Ziranipada, Southern side new building",5
32 - Chipalipada,"Z.P. Primary School Chipalipada, East-West building, Room No.4 From East.",5
33 - Chipalipada,"Z.P. Primary School Chipalipada, East-west building, Room No.2 from west.",5
34 - Vihiraganv,"Z.P. Primary School Vihirgaon, North-western Room",5
35 - Bhoratepada,"Z.P. Primary School Bhortepada, East-west building, Room No.2 from east",5
36 - Navapada,"Z.P.Center School Nawapada, North-South Old Building, Room No 2 from South",5
37 - Navapada,"Z.P. Center School Nawapada, Nothern side, New Building",5
38 - Panganadar,"Z.P. Primary School Pangandar, western side Room",5
39 - Devajipada,"Z.P. Primary School Devajipada, East-west Old Building, Room no 3 from east side",5
