PS No & Name,Address,Constituency Number
1 - Chikhali,Zilha Parishad Purv Madhyamik School Chikhali Room No. 1 Tah.Tumsar,60
2 - Devnara,Zilha Parishad Purv Madhyamik School Deonara Room No. 1 Tah.Tumsar,60
3 - Bajartola,Zilha Parishad Primary School Bajartola North Side Room No. 1 Tah.Tumsar,60
4 - Bajartola,Zilha Parishad Primary School Bajartola North Side Room No. 2 Tah.Tumsar,60
5 - Dongari Bu.,Zilha Parishad Kendriya Primary School Dongari Buj. North Side Room Tah.Tumsar,60
6 - Dongari Bu.,Zilha Parishad Kendriya Primary School Dongari Buj. East Side Room Tah.Tumsar,60
7 - Chandamara,Zilha Parishad Primary School Chandmara Room No. 1 Tah.Tumsar,60
8 - Lobhi,Zilha Parishad Aadarsh Purv Madhyamik School Lobhi East Side Room No. 2 Tah.Tumsar,60
9 - Lobhi,Zilha Parishad Aadarsh Purv Madhyamik School Lobhi West Side Room Tah.Tumsar,60
10 - Ashti,Zilha Parishad Purv Madhyamik School Ashti Chaukoni New Building West Side Room No. 1 Tah.Tumsar,60
11 - Ashti,Zilha Parishad Purv Madhyamik School Ashti New Building West Side Room No. 2 Tah.Tumsar,60
12 - Ashti,Zilha Parishad Purv Madhyamik School Ashti New Building Room No. 1 Tah.Tumsar,60
13 - Ashti,Zilha Parishad Purv Madhyamik School Ashti New Building Room No. 2 Tah.Tumsar,60
14 - Nakadongari,Zilha Parishad Junior College Room No. 3 Nakadongari Tah.Tumsar,60
15 - Nakadongari,Zilha Parishad High School And Art & Science Junior College Nakadongari Room No. 1 Tah.Tumsar,60
16 - Nakadongari,Zilha Parishad High School And Art & Science Junior College Nakadongari Room No. 2 Tah.Tumsar,60
17 - Pathari,Zilha Prishad Purv Madhyamik School Pathari Sauth Side Room Tah.Tumsar,60
18 - Pathari,Zilha Prishad Purv Madhyamik School Pathari North Side Room Tah.Tumsar,60
19 - Dhutera,Zilha Parishad Primary School Dhutera Tah.Tumsar,60
20 - Hirapur Hamesha,Zilha Parishad Primary School Hirapur Hamesha New Building Room No. 1 Tah.Tumsar,60
21 - Kawlewada,Zilha Parishad Purv Madhyamik School Kawlewada North Side Room Tah.Tumsar,60
22 - Kawlewada,Zilha Parishad Purv Madhyamik School Kawlewada East Side Room No. 2 Tah.Tumsar,60
23 - Chikhala,Zilha Parishad Purv Madhyamik School Chikhala Marathi Old Building Office West Side Room Tah.Tumsar,60
24 - Chikhala,Zilha Parishad Purv Madhyamik School Chikhala Marathi Old Building Office South Side Room No. 1 Tah.Tumsar,60
25 - Chikhala,Zilha Parishad Purv Madhyamik School Chikhala Marathi New Building Near Grampanchayat Office West Side Room No.1 Tah.Tumsar,60
26 - Yedarbuchi,Zilha Parishad Primary School Yedarbuchi North Side Room Tah.Tumsar,60
27 - Sundartola,Zilha Parishad Primary School Sundartola Tah.Tumsar,60
28 - Rajapur,Zilha Parishad Purv Madhyamik School Rajapur Room No. 1 Tah.Tumsar,60
29 - Rajapur,Zilha Parishad Purv Madhyamik School Rajapur North-East Side Room Tah.Tumsar,60
30 - Pavnarkhari Hamesha,Zilha Parishad Purv Madhyamik School Paunarkhari Hamesha (Ganeshpur) Room No. 1 Tah.Tumsar,60
31 - Balapur Hamesha,Zilha Parishad Primary School Balapur Hamesha Room No. 1 Tah.Tumsar,60
32 - Kurmuda,Zilha Parishad Primary School Kurmuda East Side Room Tah.Tumsar,60
33 - Gonditola,Zilha Parishad Primary School Gonditola Sauth Side Room Tah.Tumsar,60
34 - Alesur,Zilha Parishad Purv Madhyamik School Alesur East Side Room Tah.Tumsar,60
35 - Khapakhurd,Zilha Parishad Primary School Khapakhurd East Side Room Tah.Tumsar,60
36 - Rongha,Zilha Parishad Purv Madhyamik School Rongha Tah.Tumsar,60
37 - Mangarli,Zilha Parishad Purv Madhyamik School Mangarli Room No. 1 Tah.Tumsar,60
38 - Pipriya,Zilha Parishad Purv Madhyamik School Pipriya South Side Room No.1 Tah.Tumsar,60
39 - Gowaritola,Zilha Parishad Primary School Gowaritola Room No. 1 Tah.Tumsar,60
40 - Lendezari,Zilha Parishad Purv Madhyamik School Lendezari Room No. 1 Tah.Tumsar,60
41 - Mothagaon,Zilha Parishad Primary School Mothagaon New Building Room No. 1 Tah.Tumsar,60
