PS No & Name,Address,Constituency Number
1 - Hattidohi,"Zilla Parishad Higher Primary School, Hattidohi Room No. 2",61
2 - Mohdura,Zilla Parishad Higher Primary School Mohdura Room No. 1,61
3 - Mohdura,Zilla Parishad Higher Primary School Mohdura Room No. 2,61
4 - Khurshipar,Zilla Parishad Primary School Khurshipar Room No. 1.,61
5 - Tawepar,"Zilla Parishad Primary School Tawepar, New Building North Side Room No. 1.",61
6 - Pandharabodi,"Zilla Parishad Pre. Middle School Pandharabodi, New Building West Side Room No. 1.",61
7 - Pandharabodi,"Zilla Parishad Pre. Middle School Pandharabodi, New building West Side Room No.2",61
8 - Sirsi,"Zilla Parishad Primary School Sirsi, New Building West Side Room No. 1.",61
9 - Sonuli,"Zilla Parishad Primary School Sonuli, Room No.1.",61
10 - Indurkha,"Zilla Parishad Primary School Indurkha, Room No. 1.",61
11 - Khairi (be),"Zilla Parishad Primary School Khairi (be), West Side New Building Room No. 1.",61
12 - Kothurna,"Zilla Parishad Higher Primary School Kothurna, Room No. 1.",61
13 - Kothurna,"Zilla Parishad Higher Primary School Kothurna, Room No. 2.",61
14 - Mandwi,"Zilla Parishad Higher Primary School Mandvi, Room No. 1.",61
15 - Mandwi,"Zilla Parishad Higher Primary School Mandvi, Room No. 2.",61
16 - Belgaon,Kasturba Gandhi Vidhalaya Belgaon.,61
17 - Laweshwar,"Zilla Parishad Primary School Laweshwar, Old Building Room No. 1.",61
18 - Dabha,Zilla Parishad Higher Primary School Dabha Room No. 1,61
19 - Dabha,Zilla Parishad Higher Primary School Dabha Room No. 2,61
20 - Takli (Pu.),Zilla Parishad Primery School Takli (pu.) Room No. 1,61
21 - Khamata / Tak,"Zilla Parishad Primary School Khamata (Takli), New Building Center side Room No. 2.",61
22 - Kesalwada,"Zilla Parishad Primary School Kesalwada, Old Building Room No.1.",61
23 - Kesalwada,"Zilla Parishad Primary School Kesalwada, New Building Room No. 1",61
24 - Khokarla,"Zilla Parishad Primary School Khokarla,Old Building Room No. 1.",61
25 - Khokarla,"Zilla Parishad Primary School Khokarla, Old Building Room No. 2.",61
26 - Khokarla,Grampanchayat Office New Building Khokarla,61
27 - Khokarla,Grampachayat Office Khokarla.,61
