PS No & Name,Address,Constituency Number
1 - Sonegaon,Z.P.Lower Primary School Sonegaon,62
2 - Makkitola,Z.P.Lower Primary School Makkitola,62
3 - Umarzari,Z.P..Lower Primary School Umarzari,62
4 - Pitezari,Z.P. Lower Primary School Pitezari,62
5 - Jambhali/Kh.,Z.P.Primary School Jambhali/Khamba,62
6 - Jambhali/Kh.,Z.P. Primary School Jambhali/Khamba,62
7 - Ategaon,Z.P.Primary School Ategaon,62
8 - Usgaon,Z.P. Higher Primary School New Building Usgaon Room No.4,62
9 - Chandori,Z.P. Higher Primary School Chandori New Building Last Room,62
10 - Chandori,Z.P. Higher Primary School Chandori North Zone,62
11 - Nipeartola,Z.P. Primary School Nipeartola,62
12 - Amgaon/ Bu.,Z.P. Primary School Amgaon/Bu. East Zone,62
13 - Malutola,Z.P.Lower Primary School Malutola,62
14 - Khamba / Jambhali,"Z.P. Higher Primary School Khamba (Jambhli) New Building, Room No. 1",62
15 - Ghanod,Z.P. Upper Primary School Ghanod Room No.1,62
16 - Bampewada,Z.P. Higher Primary School Bampewada West Zone,62
17 - Bampewada,Z.P. Higher Primary School Bampewada South Zone,62
18 - Palaspani,Z.P. Lower Primary School Palaspani New Building,62
19 - Amgaon / Khu.,Z.P. Lower Primary School Amgaon/Khu.,62
20 - Khairi,Z.P. Lower Primary School Khairi,62
21 - Walmazari,Z.P. Lower Primary School Valmazari,62
22 - Rengepar,Z.P. Primary School Rengepar,62
23 - Kinhi / Ekodi,Z.P. Higher Primary School Kinhi/Ekodi New Building Room No.5,62
24 - Kinhi / Ekodi,Z.P. Higher Primary School Kinhi/Ekodi South Zone,62
25 - Kesalwada/paw.,Zilha Parishad Upper Primary School Kesalwada/Paw.,62
26 - Parsodi,Zilha Parishad Upper Primary School Parsodi North Side Room No. 1,62
27 - Gondsawari,Zilha Parishad Lower Primary School Gondsawari North Side Room No. 1,62
28 - Mundipar,"Anganwadi Kendra, Mundipar",62
29 - Ekodi,Z.P. Junior College Ekodi East Zone Room No. 3,62
30 - Ekodi,Z.P. Lower Primary School Ekodi New Building Room No. 4,62
31 - Ekodi,Z.P. Junior College Ekodi,62
32 - Borgaon,Z.P. Lower Primary School Borgaon,62
33 - Wadegaon,Z.P. Higher Primary School Wadegaon,62
34 - Satalwada,Z.P. Higher Primary School Satalwada,62
35 - Satalwada,Z.P. Higher Primary School Satalwada,62
36 - Tudmapuri,Z.P. Primary School Tudmapuri,62
37 - Parastola,Z.P. Lower Primary School Parastola New Building,62
38 - Sindipar,Zilha Parishad Lower Primary School Sindipar,62
39 - Daitmagali,Zilha Parishad Lower Primary School Daitmagali,62
40 - Rengepar/kotha,Zilha Parishad Upper Primary School East Side Room No. 1 Rengepar/Kotha,62
41 - Rengepar/kotha,Zilha Parishad Upper Primary School West Side Room No. 2 Rengepar/Kotha,62
42 - Salebhata,Zilha Parishad Lower Primary School Salebhata Room No. 1,62
43 - Salebhata,Zilha Parishad Lower Primary School Salebhata (In Holl),62
44 - Nilagondhi,Zilha Parishad Lower Primary School Nilagondhi,62
45 - Kinhi / Mokhe,Z.P. Higher Primary School Kinhi/Mokhe,62
46 - Kinhi / Mokhe,Z.P. Higher Primary School Kinhi/Mokhe,62
47 - Pindkepar,Sarwangin High School & Jr.College West Zone Room No. 3,62
48 - Pindkepar,Z.P. Higher Primary School Pindkepar,62
49 - Pindkepar,Z.P. Higher Primary School Pindkepar,62
50 - Sonpuri,Z.P.Lower Primary School Sonpuri,62
51 - Gudhari,Z.P. Primary School Gudhari Room. No.1,62
52 - Morgaon,Zilla Parishad Lower Primary School Morgaon Room No. 1,62
53 - Masalmeta,Zilha Parishad Lower Primary School Masalmeta East Side,62
54 - Mokhe,Z.P.Lower Primary School Mokhe,62
55 - Rajegaon,Zilha Parishad Lower Primary Schooll Rajegaon,62
56 - Khedepar,Zilha Parishad Lower Primary School Khedepar Room No. 1,62
57 - Somalwada,Zilla Parishad Upper Primary School Somalwada West Side Room No. 1,62
58 - Mendha/so,"Anganwadi Kendra, Mendha/So.",62
59 - Borgaon,Zilha Parishad Lower Primary School Borgaon,62
60 - Bodra,Z P Higher Primary School Bodra East Zone,62
61 - Bodra,Z.P.Higher Primary School Bodra North Zone,62
62 - Kairlanji,Z.P.Lower Primary School Kairlanji South Zone Rom.No.1,62
63 - Jamnapur,Z.P.Lower Primary School Jamnapur Middle Zone,62
64 - Pathari,Z.P. Primary School Pathari,62
65 - Wirshi,Z.P. Central Primary School Wirshi,62
66 - Wirshi,Z.P. Central Primary School Wirshi,62
67 - Wirshi,G.E.S. High School & Jr.College Wirshi Room No. 3,62
68 - Sitepar,G.E.S. High School & Jr.College Wirshi/Sitepar Room No. 2,62
69 - Chichgaon,Z.P. Primary School Chichgaon,62
70 - Samewada,Zilha Parishad Lower Primary School Samewada Room No. 2,62
71 - Lakhori,Anganwadi Kendra No. 3 (Pashu Vidykiy Dawakhana Parisar,62
72 - Lakhori,Ujwal Vidylay Lakhori ( North Area),62
73 - Lakhori,Ujwal Vidylay Lakhori (South Area),62
74 - Alesur,Zilha Parishad Lower Primary School Alesur North Side Room,62
75 - Sawari,Zilha Parishad Primary School Sawari/Murmadi North Side Room No. 1,62
76 - Sawari,Zilha Parishad Primary School Sawari/Murmadi North Side Room No. 2,62
77 - Kinhi,Anganwadi Kendra Kinhi,62
78 - Gadegaon,Zilha Parishad Upper Primary School Gadegaon West Side,62
79 - Gadegaon,Zilha Parishad Upper Primary School Gadegaon South Side,62
80 - Lakhani,Samarth Vidyalay And Science Jr College Lakhani East Side Room No. 1,62
81 - Lakhani,Samarth Vidyalay And Science Jr College Lakhani East Side Room No. 3,62
82 - Lakhani,Samarth Vidyalay And Science Jr College Lakhani South Side Room No.2,62
83 - Lakhani,Zilha Parishad Gandhi Vidyalay And Science Jr. College Lakhani New Building Ground Flower East Side Room No. 1,62
84 - Lakhani,Zilha Parishad Gandhi Vidyalay And Science Jr. College Lakhani New Building Ground Flower East Side Room No. 2,62
85 - Lakhani,Panchayat Samiti Office Building Lakhani Room 1,62
86 - Lakhani,Panchayat Samiti Office Building Lakhani Room 3,62
87 - Lakhani,Zilha Parishad Boys Central Primary School Lakhani East Side Room No 1,62
88 - Lakhani,Zilha Parishad Boys Central Primary School Lakhani West Side Room No 1,62
89 - Lakhani,Zilha Parishad Boys Central Primary School Lakhani West Side Room No 3,62
90 - Jambhali / Sa.,Z P. Digital Primary Public School Jambhali/Sadak,62
91 - Jambhali / Sa.,Z.P.Lower Primary School Jambhali/ Sadak East Zone,62
92 - Sakoli,"Shamrao Bapu Art Senior College, Sakoli Room No.18",62
93 - Sakoli,Nandlal Patil Kapgate Primary School North Zone,62
94 - Sakoli,Nandlal Patil Kapgate Primary School South Zone,62
95 - Sakoli,Z.P. Primary School East Zone Room No.1,62
96 - Sakoli,Z.P. Primary School Middle Zone Room No.2,62
97 - Sakoli,Z.P. Primary School Sakoli Room No.3 Samuh Sadhan Kendra,62
98 - Sakoli,Nandlal Patil Kapgate Jr.College Sakoli Room No. 32,62
99 - Sakoli,Nandlal Patil Kapgate Jr.College Sakoli Room No. 33,62
100 - Sakoli,Z.P. Primary School No.2 Sakoli East Zone,62
101 - Sakoli,Z.P. Highschool Sakoli East Zone Room No.6,62
102 - Sakoli,Z.P. Primary School Sakoli No.2 Hexagone Building,62
103 - Sakoli,Kalabai Kanya Jr.College Sakoli Room No.5,62
104 - Sakoli,Kalabai Kanya Jr.College Sakoli Room No.10,62
105 - Sendurwafa,Indira Primary School Sendurwafa,62
106 - Sendurwafa,Nagar Parishad Office Sakoli/Sendurwafa (Old Bilding),62
107 - Sendurwafa,Rahangdale Adhyapak Vidyalaya Sendurwafa Room No. 3,62
108 - Sendurwafa,Laxmi Narayan Highschool Sendurwafa,62
109 - Sendurwafa,Rahangdale Adhyapak Vidyalaya Sendurwafa Room No. 1,62
110 - Sendurwafa,Laxmi Narayan Highschool Sendurwafa,62
111 - Sendurwafa,Z.P. Higher Primary School Sendurwafa Building 1,62
112 - Sendurwafa,Z.P. Higher Primary School Sendurwafa Building 1,62
113 - Ukara,Z.P. Lower Primary School Ukara,62
114 - Chargaon,Z.P. Lower Primary School Chargaon,62
115 - Khairi,Zilha Parishad Lower Primary School Khairi,62
116 - Bamhani,Z.P. Lower Primary School Bamhani,62
117 - Murmadi/saw,Uttar Buniyadi School Murmadi/Saw North Side Room No 1,62
118 - Murmadi/saw,Uttar Buniyadi School Murmadi/Saw East Side South Room No 2,62
119 - Murmadi/saw,Samarth College Murmadi/Saw.,62
120 - Murmadi/saw,Samarth College Murmadi/Saw.,62
121 - Murmadi/saw,Samarth College Murmadi Saw Stop Room,62
122 - Murmadi/saw,Samarth College Murmadi/Saw.,62
123 - Murmadi/saw,Samarth Primary School Murmadi/Saw.,62
124 - Murmadi/saw,Samarth Primary School Murmadi/Saw.,62
125 - Kesalwada/wagh,Zilha Parishad Central Primary School Kesalwada/Wagh North Side Room No 1,62
126 - Kesalwada/wagh,G.E.S. High School Kesalwada Wagh Room No 5,62
127 - Kesalwada/wagh,Zilha Parishad Central Primary School Kesalwada/Wagh East Side Building Room No 3,62
128 - Manegaon,Zilha Parishad Upper Primary School Manegaon West Side,62
129 - Manegaon,Zilha Parishad Upper Primary School Manegaon East Side,62
130 - Pimpalgaon,Zilha Parishad Central Lower Primary School Pimpalgaon East Room No. 1,62
131 - Pimpalgaon,Zilha Parishad Central Lower Primary School Pimpalgaon West Room No. 2,62
132 - Pimpalgaon,Zilha Parishad Central Lower Primary School Pimpalgaon West Side New Room,62
133 - Dharmapuri,Z.P. Lower Primary School Dharmapuri,62
134 - Gadkumbhali,Z.P. Primary School Gadkumbhali,62
135 - Sundari,Z.P. Lower Primary School Sundari West Zone Room No.1,62
136 - Mohgata,Z.P. Lower Primary School Mohgata New Building No. 1 North Zone,62
137 - Mundipar / Sa.,Z.P. Higher Primary School Mundipar/Sad.,62
138 - Seloti,Zilha Parishad Lower Primary School Seloti Room No 1,62
139 - Seloti,Zilha Parishad Lower Primary School Seloti Room No 2,62
140 - Garada,Adiwasi Shiv Vidyalay Garada Room No.1,62
141 - Sipewada,Zilha Parishad Primary School Sipewada Room No. 1,62
142 - Mendha/pohara,Zilha Parishad Lower Primary School Mendh/Pohara,62
143 - Rengepar/koh.,Zilla Parishad Upper Primary School Rengepar/Koh.South Side Room No. 1,62
144 - Chichtola,Zilha Parishad Primary School Chichtola,62
145 - Kumbhali,Z.P. Central Primary School Kumbhali New Building North Zone Room No. 1,62
146 - Kumbhali,Z.P.Central Primary School Kumbhali New Building South Zone Room No. 3,62
147 - Lawari,Z.P. Higher Primary School Lawari,62
148 - Lawari,Z.P. Higher Primary School Lawari,62
149 - Lawari,"Anganwadi Kendra, No.1 Lawari",62
150 - Umari,Z.P. Higher Primary School Umari East Zone Room No.1,62
151 - Umari,Z.P. Higher Primary School Umari East Zone Room No.2,62
152 - Umari,Namrata Vidhyalay &Jr.College Umari Room No. 7,62
153 - Parsodi / Sou.,Z.P. Higher Primary School Parsodi/Sou. South Side Room No. 1,62
154 - Parsodi / Sou.,Z.P. Higher Primary School Parsodi/Sou. West Side Room No. 1,62
155 - Parsodi / Sou.,Indira Primary School Parsodi/Sou. Room No. 2,62
156 - Sawarband,Z.P. Primary School Sawarband Room No.1 Nourth Zone,62
157 - Sawarband,Z.P. Primary School Sawarband Room No.2 South Zone,62
158 - Bardkinhi,Z.P. Primary School Bardkinhi New Building,62
159 - Channa,Zilha Parishad Lower Primary School Channa North Side Room No 1,62
160 - Channa,Zilha Parishad Lower Primary School Channa North Side Room No 2,62
161 - Dhanla,Zilha Parishad Lower Primary School Dhanla Room No.1,62
162 - Pohara,Zilha Parishad Central Primary School Pohara East Side New Bulding,62
163 - Pohara,Zilha Parishad Central Primary School Pohara New Bulding Hexagon Room,62
164 - Pohara,Zilha Parishad High School & Junior College Pohara Room No 2,62
165 - Pohara,Zilha Parishad High School & Junior College Pohara Room No 3,62
