PS No & Name,Address,Constituency Number
1 - Ambetalao,Z.P.Upper Primari School Ambetalao,63
2 - Ambetalao,Z.P.Upper Primari School Ambetalao,63
3 - Mhasgaon,Z.P Pre Middle School Mhasgaon East Part,63
4 - Mhasgaon,Z.P Pre Middle School Mhasgaon West Part,63
5 - Bhadanga,Z.P.Warishta Madhyamik Shala Bhadanga,63
6 - Bhadanga,Z.P.Warishta Madhyamik Shala Bhadanga,63
7 - Bhadanga,Z.P.Upper Primari School Bhadanga South Part,63
8 - Pindkepar,Z.P Pre Middle School Pindkepar West Part,63
9 - Pindkepar,Z.P Pre Middle School Pindkepar,63
10 - Jabhulpani,Z.P Pre Middle School Jabhulpani West Part,63
11 - Mundipar,Z.P.Upper Primari School Mundipar East Part,63
12 - Mundipar,Z.P.Upper Primari School Mundipar West Part,63
13 - Mundipar,Z.P.Upper Primari School Mundipar New Buililding,63
14 - Palewada,Z.P. Primari School Palewada,63
15 - Kamargoan,Z.P.Upper Primari School Kamargon New Buililding,63
16 - Kamargoan,Z.P.Upper Primari School Kamargon Old Buililding,63
17 - Dewutola,Z.P. Primari School Dewutola,63
18 - Babai,Z.P.Upper Primari School Babai East Part,63
19 - Babai,Z.P.Upper Primari School Babai West Part,63
20 - Chilhati,Z.P.Upper Primari School Chilhati East Part,63
21 - Chilhati,Z.P.Upper Primari School Chilhati West Part,63
22 - Kalimati,Z.P.Upper Primari School Kalimati,63
23 - Hiratola,Z.P.Upper Primari School Hiratola,63
24 - Gidhadi,Z.P.Upper Primari School Gidhadi East Part,63
25 - Gidhadi,Z.P.Upper Primari School Gidhadi West Part,63
26 - Kawaditola,Z.P.Upper Primari School Kawditola,63
27 - Mohadi,Z.P Warishta Prathamik Shala Mohadi,63
28 - Mohadi,Z.P Warishta Prathamik Shala Mohadi,63
29 - Mohadi,Z.P Pre Middle School Mohadi West Part,63
30 - Kalpathri,Z.P. Primari School Kalpathri,63
31 - Murdoli,Z.P. Primari School Murdoli,63
32 - Ghummarra,Z.P Pre Middle School Ghummra East Part,63
33 - Ghummarra,Z.P Pre Middle School Ghummra West Part,63
34 - Bamhani,Z.P Pre Middle School Bamhani East Part,63
35 - Bamhani,Z.P Pre Middle School Bamhani West Part,63
36 - Khosetola,Z.P. Primari School Khosetola,63
37 - Chanditola,Z.P.Upper Primari School Chanditola,63
38 - Tumsar,Z.P.Upper Primari School Tumsar East Part,63
39 - Tumsar,Z.P.Upper Primari School Tumsar West Part,63
40 - Changotola,Z.P. Primari School Changotola,63
41 - Palkheda,Z.P. Primari School Palkheda East part,63
42 - Bajartola,Z.P. Primari School Bajartola,63
