PS No & Name,Address,Constituency Number
1 - Savra,Z.P Purva Madhyamik Shala Sawara,64
2 - Pipariya,Z.P Purva Madhyamik Shala Pipriya,64
3 - Chandori Khu,Z.P Varistha Prathamik Shala Chandori Khu,64
4 - Chandori Khu,Z.P Varisth Prathamik Shala Chandori Khu,64
5 - Khairalanji,Z.P Purva Madhyamik Shala Khairlanji,64
6 - Arjuni,Z.P Kendriya Prathamik Shala Arjuni,64
7 - Arjuni,Z.P Kendriya Prathamik Shala Arjuni,64
8 - Arjuni,Z.P. Kendriya Prathamik Shala Arjuni,64
9 - Fagunatola,Z.P Prathamik Shala Faguntola,64
10 - Kidagipar,Z.P Prathamik Shala Kidagipar,64
11 - Parasavada,Z.P Kendriya Prathamik Shala Paraswada,64
12 - Parasavada,Z.P Prathamik Shala Paraswada,64
13 - Bagholi,Z.P Prathamik Shala Bagholi,64
14 - Bihiriya,Z.P Purva Madhyamik Shala Bihariya,64
15 - Indora Bu.,Z.P Purva Madhyamik Shala Indora (Bu),64
16 - Indora Bu,Z.P Purva Madhyamik Shala Indora (Bu),64
17 - Karati Khurd,Z.P Prathamik Shala Karti Khu,64
18 - Mararatola,Z.P Prathamik Shala Marartola,64
19 - Kavalevada,Z.P Kendriya Purva Madhyamik Shala Kawalewada,64
20 - Kavalevada,Z.P Kendriya Purva Madhyamik Shala Kawalewada,64
21 - Kavalevada,Z.P Kendriya Purva Madhyamik Shala Kawalewada,64
22 - Mundipar,Z.P Purva madhyamik Shala Mundipar,64
23 - Mandavi,Z P Purvamadhyamik Shala Mandavi,64
24 - Chandori Bu.,Z.P Purva Madhyamik Shala Chandori Buj,64
25 - Ghatakuroda,Z P Purva Madhyamik Shala Ghatkuroda,64
26 - Ghatakuroda,Z P Purva Madhyamik Shala Ghatkuroda,64
27 - Ghogara,Z.P Purva Madhyamik Shala Ghogara,64
28 - Ghogara,Z.P Purva Madhyamik Shala Ghogara,64
29 - Pujaritola,Z.P Purva Madhyamik Shala Pujaritola,64
30 - Karati Bu,Z.P Kendriya Madhyamik Shala Karti Buz. (Purva Bhag) Kholi No.1,64
31 - Karati Bu,Z.P Kendriya Madhyamik Shala Karti Buz. (Purva Bhag) Kholi No.2,64
32 - Karati Bu,Z.P Kendriya Madhyamik Shala Karati Bu Pastchim Bhag,64
33 - Dabbetola,Z.P Purva Madhyamika Shala Dabetola,64
34 - Bora,Z.P Purva Madhyamik Shala Bora,64
35 - Bora,Z.P Purva Madhyamik Shala Bora,64
36 - Godmohadi,Z P Purva Madhyamik Shala Gondmohali,64
37 - Gond Mohadi,Z P Purva Madhyamik Kendriya Shala Gondmohali,64
38 - Muradada,Z.P Purva Madhyamik Shala Muradada purv Bhag,64
39 - Muradada,Z.P Purva Madhyamik Shala Murdada pastchim Bhag,64
40 - Mahalagaon,Z.P Purva Madhyamik Shala Mahalgaon,64
41 - Mahalagaon,Z P Purva Madhyamik Shala Pastchim Bhag Mahalgaon,64
42 - Dhapevada,Z P Purva Madhyamik Shala Dhapevada purva Bhag,64
43 - Dhapevada,Z. P. Purva. Madhyamik Shala Dhapevada Pastchim Bhag,64
44 - Lodhitola,Z.P Madhyamik Shala Lodhitola,64
45 - Lodhitola,Z.P Purva Madhyamik Shala Lodhitola,64
46 - Atri,Z.P Purva Madhyamik Shala Atri,64
47 - Atri,Z.P Madhyamik Shala Atri,64
48 - Boda,Z.P Madhyamik Shala Boda,64
49 - Boda,Z.P Madhyamik Shala Boda,64
50 - Sonegaon,Z.P Madhyamik Shala Sonegaon,64
51 - Sonegaon,Z.P Madhyamik Shala Sonegaon,64
52 - Paladongari,Z.P Madhyamik Shala Paldongari Purva Bhag,64
53 - Paladongari,Z P Madhyamik Shala Paldongari Pastchim Bhag,64
54 - Chirekhani,Z.P Purva Madhyamik Shala Chirekhani,64
55 - Chirekhani,Z.P Purva Madhyamik Shala Chirekhani,64
56 - Belati Bu.,Z.P Madhyamik Shala Belati Buj.,64
57 - Dhadari,Z.P Madhyamik Shala Dhadari,64
58 - Salebardi,Z.P Madhyamik Shala Salebardi,64
59 - Bhambodi,Jilha Parishad Purva Madhyamik Shala Bhambodi,64
60 - Mundikota,Jilha Parishad Purva Madhyamik Shala Mundikota (dakshin bhag),64
61 - Mundikota,Jilha Parishad Purva Madhyamik Shala Mundikota (uttar Bhag),64
62 - Mundikota,Z P Purva Madhyamik Shala Mundikota,64
63 - Patil Tola,Jilha Parishad Prathamik Shala Patil Tola,64
64 - Navegaon Khurd,Jilha Parishad Prathamik Shala Navegaon Khurd,64
65 - Yed Makot,Jilha Parishad Prathamik Shala Yedamakot,64
66 - Panjra,Jilha Parishad Prathamik Shala Panjara,64
67 - Sarandi,Z. P. Purva Madhyamik Shala Sarandi (uttar Bhag),64
68 - Sarandi,Z. P. Purva Madhyamik Shala Sarandi (dakshin Bhag),64
69 - Khurakhuli,Z. P. Purva Madhyamik Shala Khurakhudi,64
70 - Umari,Z. P. Pra. Shala Umari,64
