PS No & Name,Address,Constituency Number
"1 - Kasa, Pujaritola","Z.P. Hindi Pre Middle School Kasa, Room No. 1",65
2 - Bramhantola,"Z.P. Hindi Pre Middle School Kasa, Room No. 2",65
3 - Tedhava,"Z.P. Hindi Pre Middle School Tedhva, Room No. 1",65
4 - Tedhava,"Z.P. Hindi Pre Middle School Tedhva, Room No. 2",65
5 - Tedhava,"Z.P. Hindi Pre Middle School Tedhva, Room No. 3",65
6 - Dangorli,"Z.P. Hindi Pre Middle School Dangorli, Room No. 1",65
7 - Dangorli,"Z.P. Hindi Pre Middle School Dangorli,Room No. 2",65
8 - Kinhi,"Z.P. Hindi Pre Middle School Kinhi, Room No. 1",65
9 - Kinhi,"Z.P. Hindi Pre Middle School Kinhi, Room No.2",65
10 - Dasgaon Khurd,"Z.P.Hindi Pre Middle School Dasgaon Khurd, Room No. 1",65
11 - Dasgaon Khurd,"Z.P.Hindi Pre Middle School Dasgaon Khurd, Room No. 2",65
12 - Dasgaon Khurd,"Z.P.Hindi Pre Middle School Dasgaon Khurd, Room No. 3",65
13 - Dasgaon Buj.,"Z.P.Hindi Pre Middle School Dasgaon Buj., Room No. 1",65
14 - Dasgaon Buj.,"Z.P.Hindi Pre Middle School Dasgaon Buj., Room No. 2",65
15 - Makdi,Z.P. Primary School Makadi Room No. 1,65
16 - Kati,"Z.P.Hindi Primary Central School Kati, Room No. 1",65
17 - Kati,"Z.P.Hindi Primary Central School Kati, Room No. 2",65
18 - Marartola ( Kati ),"Z. P. School Marartola (Kati), Room No. 1",65
19 - Marartola ( Kati ),"Z. P. School Marartola, (Kati) Room No. 2",65
20 - Kanhartola,"Z.P.Hindi Primary School Kanhartola, Room No. 1",65
21 - Bajartola,"Z.P.Hindi Pre Middle School Bajartola, Room No. 1",65
22 - Bajartola,"Z.P.Hindi Pre Middle School Bajartola, Room No. 2",65
23 - Bhadyatola,"Z.P.Hindi Primary School Bhadyatola, Room No. 1",65
24 - Birsola,"Z.P.Hindi Pre Middle School Birsola, Room No. 1",65
25 - Birsola,"Z.P.Hindi Pre Middle School Birsola, Room No. 2",65
26 - Korni,"Z.P.Hindi Primary School Korni, Room No. 1",65
27 - Jirutola,"Z.P.Hindi Primary School Jirutola, Room No. 1",65
28 - Satona,"Z.P. Hindi Pre Middle School Satona, ‍Room No. 1",65
29 - Satona,"Z.P. Hindi Pre Middle School Satona, ‍Room No. 2",65
30 - Dhamangaon,Z.P.Hindi Primary School Dhamangaon Room No.1,65
31 - Dhamangaon,Z.P.Hindi Primary School Dhamangaon Room No.2,65
32 - Vadegaon,"Z.P. Hindi Pre Middle School Vadegaon, Room No. 1",65
33 - Banathar,"Z.P.Hindi Primary Central School Banathar, Room No.1",65
34 - Jagantola,"Z.P.Hindi Primary Central School Banathar, Room No.2",65
35 - Changera,"Z.P.Hindi ‍Pri. School Changera, Room No. 1",65
36 - Bagholi Pujaritola,"Z.P.Hindi Pre Middle School Bagholi, Room No. 1",65
37 - Bagholi Pujaritola,"Z.P.Hindi Pre Middle School Bagholi, Room No. 2",65
38 - Umari,"Z.P. Hindi Primary School Umari, Room No. 1",65
39 - Sivani,"Z.P.Hindi Pre Middle School Sivani, Room No. 1",65
40 - Sivani,"Z.P.Hindi Pre Middle School Sivani, Room No. 2",65
41 - Nilaj,"Z.P. Hindi Pre Middle School Nilaj, Room No. 1",65
42 - Nilaj,"Z.P. Hindi Pre Middle School Nilaj, Room No. 2",65
43 - Birsi Dasgaon,"Z.P.Hindi Primary School Birsi, Room No. 1",65
44 - Habutola,"Z. P. Primary School Habutola, Room No. 1",65
45 - Raipur,"Z.P. Hindi Pre Middle School Raipur, Room No. 1",65
46 - Balmatola,"Z.P. Hindi Pre Middle School Balmatola, Room No. 1",65
47 - Sonbihari,"Z.P. Hindi Pre Middle School Sonbihari, Room No. 1",65
48 - Deori,"Z.P. Marathi Pre Middle School Deori, Room No. 1",65
49 - Navegaon Dhapewada,"Z.P.Hindi Upper Primary School Navegaon, Room No. 1",65
50 - Navegaon Dhapewada,"Z.P.Hindi Upper Primary School Navegaon, Room No. 2",65
51 - Sonpuri,"Z. P. Primary School Sonpuri, Room No. 1",65
52 - Nilagondi,"Z,P. Upper Primary School Nilagondi, Room No. 1",65
53 - Lohara Gonditola,"Z.P.Upper Primary School Lohara, Room No. 1",65
54 - Lohara Gonditola,"Z.P.Upper Primary School Lohara, Room No. 2",65
55 - Girola,"Z.P. Marathi Pre Primary School Girola, Room No. 1",65
56 - Girola,"Z.P. Marathi Pre Primary School Girola, Room No. 2",65
57 - Gonditola,"Z.P Primary School Gonditola, ‍Room No. 1",65
58 - Ghiwari Gonditola,"Z.P.Marathi Pre Middle School Ghiwari, Room No. 1",65
59 - Garra Khurd.,"Z.P.Hindi Primary School Kasaritola, (Garra Khurd) Room No. 1",65
60 - Garra Buj.,"Z.P.Hindi Middle School Garra Buj., Room No. 1",65
61 - Garra Buj.,"Z.P.Hindi Middle School Garra Buj., Room No. 2",65
62 - Gonditola,"Z.P.Marathi Primary School Gonditola, Room No. 1",65
63 - Murpar,"Z.P.Marathi Primary School Murpar, Room No. 1",65
64 - Rajegon,"Z.P. Upper Primary School Rajegaon, Room No. 1",65
65 - Rajegaon,"Z.P. Upper Primary School Rajegaon, Room No. 2",65
66 - Kochewahi,"Z.P.Hindi Upper Primary School Kochewahi, Room No. 1",65
