PS No & Name,Address,Constituency Number
1 - Baniyatola,Z.P.Hindi Wasti School Jangitola,66
2 - Ghattemani,Z.P.Hindi Middle School Ghattemani West Part,66
3 - Ghattemani,Z.P.Hindi Middle School Ghattemani North Part,66
4 - Girola,Z.P.Hindi Middle School Girola,66
5 - Boda,Z.P. Primary School Boda,66
6 - Bhosa,Z.P.Marathi Purva Middle School Bhosa New Building Room No.1,66
7 - Bhosa,Z.P.Marathi Purva Middle School Bhosa New Building Room No.2,66
8 - Takri,Z.P. Primary School Takri,66
9 - Tekri,Z.P. Primary School Tekri,66
10 - Karanji,Z.P.Warist Primary School Karanji East Part,66
11 - Karanji,Z.P.Warist Primary School Karanji West Part,66
12 - Mohagaon,Z.P. Primary School Mohagaon,66
13 - Katurli,Z.P.Purva Middle School Katurli New Building North Part,66
14 - Katurli,Z.P.Purva Middle School Katurli New Building South Part,66
15 - Kalimati,Z.P.Kendriya Warist Primary School Kalimati Room No.1,66
16 - Kalimati,Z.P.Kendriya Warist Primary School Kalimati Room No.2,66
17 - Suplipar,Z.P.Purv Middle School Suplipar Room No.1,66
18 - Suplipar,Z.P.Purv Middle School Suplipar Room No.2,66
19 - Banjaritola,Z.P. Primary School Banjaritola,66
20 - Dongargaon,Z.P. Primary School Dongargaon,66
21 - Basipar,Z.P.Primary School Basipar,66
22 - Chicharbandh,Z.P.Kendriya Warist Primary School Chicharbandh East Part,66
23 - Chicharbandh,Z.P.Kendriya Warist Primary School Chicharbandh West Part,66
24 - Buraditola,Anganwadi Building Buraditola,66
25 - Sitepar,Z.P.Purv Middle School Sitepar Room No.1,66
26 - Sitepar,Z.P.Purv Middle School Sitepar Room No.2,66
27 - Kattipar,Z.P. East Primary School Kattipar East Part,66
28 - Kattipar,Z.P.Kendriya Primary School Kattipar West Part,66
29 - Gosaitola,Z.P. Primary School Gosaitola,66
30 - Nangpura,Z.P. Primary School Nangpura,66
31 - Sarkartola,Z.P. Warist Primary School Sarkartola,66
32 - Mundipar,Z.P.Purv Middle School Mundipar New Building Room No.3,66
33 - Mundipar,Z.P.Purv Middle School Mundipar New Building Room No.2,66
34 - Nansari,Z.P.Kendriya Warist Primary School Nansari,66
35 - Marartola,Z.P. Girls Primary School Sarkartola Building Room No.3,66
36 - Dhamangaon,Z.P. Kanya Primary School Dhamangaon,66
37 - Nawegaon,Z.P. Marathi Primary School Nawegaon New Building,66
38 - Kikripar,Z.P. Warist Primary School Kikripar New Building Room No.1,66
39 - Kikripar,Z.P. Warist Primary School Kikripar New Building Room No.3,66
40 - Shioni,Z.P. Warist Primary School Shioni New Building Room No.2,66
41 - Shioni,Z.P. Warist Primary School Shioni New Building Room No.3,66
42 - Bhajiyapar,Z.P.Purv Middle School Bhajiyapar Room No.1,66
43 - Bhajiyapar,Z.P.Purv Middle School Bhajiyapar Room No.2,66
44 - Jawari,Z.P. East Primary School Jawari New Building Room No.1,66
45 - Jawari,Z.P. East Primary School Jawari New Building Room No.2,66
46 - Dahegaon,Z.P. East Primary School Dahegaon Room No.1,66
47 - Dahegaon,Z.P. East Primary School Dahegaon Room No. 2,66
48 - Khurshipar,Z.P.Purv Middle School Khurshipar,66
49 - Khurshipartola,Z.P. Primary School Khurshipartola,66
50 - Manegaon,Z.P.Purv Middle School Manegaon Room No.1,66
51 - Manegaon,Z.P.Purv Middle School Manegaon Room No.2,66
52 - Thana,Z.P. Warist Primary School Thana Room No.2,66
