PS No & Name,Address,Constituency Number
1 - Sawangi,"Z. P. Higher Primary School, Sawangi Room No. 1",67
2 - Sawangi,"Z.P. Kanya Primary School, Sawangi Room No. 1",67
3 - Gandhinagar,"Z.P. Higher Primary School, Gandhinagar Room No. 1",67
4 - Amgaon,"Anganwadi, Amgaon Room No. 2",67
5 - Amgaon,"Z.P. Higher Primary Center School, Amgaon Room No. 2",67
6 - Amgaon,"Gram Panchayat Office, Amgaon (Meeting Hall)",67
7 - Navin Ladaj,"Z.P. Pramary School, Navin Ladaj Room No. 1",67
8 - Amgaon,"Z.P. Higher Primary Center School, Amgaon Room No. 3",67
9 - Chop,"Z.P. Higher Primary School, Chop Room No. 1",67
10 - Chop,"Z.P. Girls School, Chop Room No. 1",67
11 - Chop,"Z.P. Girls School, Chop Room No. 2",67
12 - Ekalpur,"Z.P. Higher Primary School, Ekalpur Room No. 1",67
13 - Koregaon,"Z.P. Higher Grade Primary School, Koregaon New Building (3 rd Class)",67
14 - Koregaon,"Z.P. Higher Grade Primary School, Koregaon New Building (4 th Class)",67
15 - Koregaon,"Z.P. Higher Grade Primary School, Koregaon New Building Room No. 1",67
16 - Koregaon,"Z.P. Higher Grade Primary School, Koregaon New Building Room No. 2",67
17 - Ravanwadi,"Z.P. Primary School, Ravanwadi (New Building)",67
18 - Boladha (Ga.),"Z.P. Higher Primary School, Bodadha (Ga.) Room No. 1",67
19 - Boladha (Ga.),"Z.P. Higher ‍Primary School, Boldha (1st Class)",67
20 - Kasari (Tu.),Z.P. Primary School Kasari (Tu.) Room No. 1,67
21 - Gewardha,"Z.P. Higher Primary School, Gewardha Room No. 1",67
22 - Gewardha,"Z.P. Higher Primary School, Gewardha Room No. 2",67
23 - Khedegaon,"Z.P. Higher Primary School, Khedegaon",67
24 - Gurnoli,"Z.P. Higher Primary School, Gurnoli",67
25 - Chikhali,"Z.P. Higher Primary School, Chikhali Room No. 1",67
26 - Chikhali,"Z.P. Higher Primary School, Chikhali Room No. 2",67
27 - Wadegaon,"Z.P. Higher Primary School, Wadegaon Room No. 1",67
28 - Wadegaon,"Z.P. Higher Primary School, Wadegaon Room No. 2",67
29 - Anjantola,"Z.P. Primary School, Anjantola",67
30 - Nanhi,"Z.P. Higher Primary School, Nanhi",67
31 - Dhamditola,"Z.P. Higher Primary School, Dhamditola",67
32 - Kurkheda Gandhi Ward,"Shriram Vidyalay & Higher Secondary College, Kurkheda",67
33 - Kurkheda Ambedkar Ward,"Shivaji Highschool And Junior College, Kurkheda",67
34 - Kurkheda Rana Pratap Ward,"Gramin Vikas Higher Primary School, Kurkheda Room No. 1",67
35 - Kurkheda Ranapratap Ward,"Gramin Vikas Higher Primary School, Kurkheda Room No. 2",67
36 - Kurakheda Azad Ward,"Z.P. Higher Primary Center School, Kurkheda",67
37 - Jabhulakheda,"Z.P. Higher Primary School, Jambhulkheda",67
38 - Yerandi,"Z.P. Higher Primary School, Yerandi",67
39 - Talegaon,"Z.P. Higher Primary School, Talegaon Room No. 1",67
40 - Talegaon,"Z.P. Higher Primary School, Talegaon Room No. 2",67
41 - Mohgaon (Wakdi),"Z.P. Primary School, Mohgaon (Wakdi)",67
42 - Palasagad,"Z.P. Higher Primary School, Palasgad",67
43 - Dhanori,"Z.P. Higher Primary School, Dhanori",67
44 - Charbhatti,"Z.P. Higher Primary School, Charbhatti",67
45 - Lekurbodi,"Z.P. Primary School, Lekurbodi",67
46 - Navezari,"Grampanchayat Office, Navezari",67
47 - Bonde,"Z.P. Primary School, Bonde",67
48 - Maseli,"Government Ashram School, Maseli",67
49 - Savli,"Z.P. Primary School, Savli",67
50 - Bodaldand,"Z.P. Primary School, Bodaldand",67
51 - Kotra,"Z.P.upp. Primary School, Kotra",67
52 - Kaimul,"Z.P. Primary School, Kaimul",67
53 - Khurshipar,"Z.P. Primary School, Khurshipar",67
54 - Bihitekala,"Z.P. Ucch Primary School, Bihitekala",67
55 - Markekasa,"Z.P. Primary School, Markekasa",67
56 - Botekasa,"Z.P. Primary School, Botekasa",67
57 - Betkathi,"Z.P. Higher Primary School, Betkathi",67
58 - Allitola,"Z.P. Primary School, Allitola",67
59 - Bori,"Z.P. Higher Primary School, Bori",67
60 - Jamnara,"Z.P. Primary School, Jamnara",67
61 - Kukdel,"Z.P. Primary School, Kukdel",67
62 - Belgaon,"Z.P. Primary School, Belgaon",67
63 - Satputi,"Grampanchayat Office, Satputi",67
64 - Bhimpur,"Z.P. Primary School, Bhimpur",67
65 - Bhimpur,"Z.P. Primary School, Sohle",67
66 - Jambhali,"Z.P.Upp. Primary School,Jambhali",67
67 - Dodke,"Z.P. Higher Primary School, Dodke",67
68 - Korchi,"Z.P. Higher Grade Primary School, Korchi Room No. 1",67
69 - Korchi,"Z.P. Higher Grade Primary School, Korchi Room No. 2",67
70 - Korchi,Z.P. Higher Primary School Korchi Kholi No. 3,67
71 - Kochinara,"Z.P. Higher Primary School, Kochinara",67
72 - Kochinara,"Z.P. Primary School, Mohgaon",67
73 - Bedgaon,"Z.P. Primary School, Bedgaon",67
74 - Temli,"Z.P. Primary School, Temli",67
75 - Lawari,"Z.P. Primary School, Lawari",67
76 - Marartola,"Z.P. Higher Primary School, Marartola",67
77 - Khedegaon,"Z.P. Higher Primary Center School, Khedegaon Room No. 1",67
78 - Khedegaon,"Z.P. Higher Primary Center School, Khedegaon Room No. 2",67
79 - Purada,"Z.P. Higher Primary School, Purada",67
80 - Hetinagar,"Z.P. Higher Primary School, Hetinagar",67
81 - Lendhari,"Z.P. Primary School, Lendhari",67
82 - Chirchadi,"Z.P. Higher Primary School, Chirchadi",67
83 - Yedapur,"Z.P. Primary School, Yedapur",67
84 - Shivni,"Z.P. Higher Primary School, Shivni",67
85 - Chandagad,"Z.P. Higher Primary School, Chandagad",67
86 - Gothangaon,"Z.P. Higher Primary Central School, Gothangaon",67
87 - Maldugi,"Z.P. Higher Primary School, Maldugi",67
88 - Kumbhitola,"Z.P. Higher Primary School, Kumbhitola",67
89 - Andhali,"Z.P. Higher Primary School, Andhali",67
90 - Belgaon (Khairi),"Z.P. Higher Primary School, Belgaon Room No. 1",67
91 - Belgaon (Khairi),"Z.P. Higher Primary School, Belgaon Room No. 2",67
92 - Kharamattola,"Z.P. Higher Primary School, Kharmattola Room No. 1",67
93 - Kharamattola,"Z.P. Higher Primary School, Kharmattola Room No. 2",67
94 - Shirpur,"Z.P. Higher Primary School, Shirpur",67
95 - Pimpalgaon,"Z.P. Primary School, Pimpalgaon (H.)",67
96 - Shankarpur,"Z.P. Higher Primary School, Shankarpur Room No. 1",67
97 - Shankarpur,"Z.P. Higher Primary School, Shankarpur Room No. 2",67
98 - Dongarmendha,"Z.P. Primary School, Dongarmendha Room No. 1",67
99 - Visora,"Z.P. Primary School, Visora Room No. 1",67
100 - Visora,"Z.P. Primary Kanya School, Visora Room No. 1",67
101 - Visora,"Z.P. Primary Kanya School, Visora Room No. 2",67
102 - Visora,"Z.P. Primary School, Visora Room No. 2",67
103 - Desaiganj (Virshi Ward),N.P. Marathi Primary School Desaiganj Virshi Ward Room No. 1,67
104 - Desaiganj (Virshi Ward),N.P. Marathi Primary School Desaiganj Virshi Ward Room No. 2,67
105 - Desaiganj (Gandhi Ward),"Universal Convent Virshi Tukum, Desaiganj Building North Side Room No. 1",67
106 - Desaiganj (Gandhi Ward),"Universal Convent Virshi Tukum, Desaiganj Building Center Side Room No. 2",67
107 - Desaiganj (Hanuman Ward),"Manvata Primary School, Desaiganj Room No. 1",67
108 - Desaiganj (Hanuman Ward),"Manvata Primary School, Desaiganj Room No. 2",67
109 - Desaiganj (Shivaji Ward),"Manvata Primary School, Desaiganj Room No. 3",67
110 - Desaiganj (Rajendra Ward),"N. P. Primary School, Virshi Tukum Room No. 1",67
111 - Desaiganj (Rajendra Ward),"N. P. Primary School, Virshi Tukum Room No. 2",67
112 - Desaiganj (Kasturba Ward),"N. P. Kanya Primary School, Kasturba Ward Room No. 1",67
113 - Desaiganj (Kasturba Ward),"N .P. Kanya Primary School, Kasturba Ward Room No. 2",67
114 - Desaiganj (Tukum Ward),"Nagar Parishad Marathi Primary School, Navin Imarat Patel Ward Room No. 2",67
115 - Desaiganj (Tukum Ward),"Nagar Parishad Marathi Primary School, Navin Imarat Patel Ward Room No. 3",67
116 - Desaiganj (Mata Ward),Nagar Parishad Primary School Bhagatsingh Ward Room No. 1,67
117 - Desaiganj (Ambedkar Ward),"N.P. Marathi Primary School, New Building Patel Ward Room No. 1",67
118 - Desaiganj (Bhagatsingh Ward),"N. P. Primary School, Bhagatsing Ward Room No. 2",67
119 - Desaiganj (Bhagatsingh Ward),"N. P. Primary School, Bhagatsing Ward Room No. 3",67
120 - Desaiganj (Kidwai Ward),Nagar Parishad Urdu Higher Primary School Jawahar Ward Room No. 1,67
121 - Desaiganj (Kidwai Ward),Nagar Parishad Urdu Higher Primary School Jawahar Ward Room No. 2,67
122 - Desaiganj (Kannamwar),"Hutatma Smarak, Desaiganj (Kannamwar Ward)",67
123 - Desaiganj (Jawahar Ward),"N.P. Urdu Higher Primary School, Jawahar Ward Room No. 3",67
124 - Desaiganj (Chawhan Ward),N. P. Higher Primary School Wadsa Juni Wadsa Room No. 1,67
125 - Desaiganj (Juni Wadsa),N. P. Higher Primary School Wadsa Juni Room No. 2,67
126 - Desaiganj (Juni Wadsa),N. P. Higher Primary School Wadsa Juni Room No. 3,67
127 - Desaiganj (Shastri Ward),N. P. Higher Primary School Wadsa Juni Room No. 4,67
128 - Desaiganj (Nainpur Ward),"N.P. Marathi Primary School, Nainpur Ward,",67
129 - Kurud,"Z.P High School, Kurud Room No. 1",67
130 - Kurud,"Z.P. Higher Grade Centeral Primary School, Kurud Room No. 1",67
131 - Kurud,"Z.P. Higher Grade Centeral Primary School, Kurud Room No. 2",67
132 - Kurud,"Z.P. Primary Kanya School, Kurud Room No. 1",67
133 - Tulshi,"Z.P. Marathi Primary School, Tulshi Old Building Room No. 1",67
134 - Tulshi,"Z.P. Highest Primary School, Tulshi New Building Room No. 1",67
135 - Kokdi,"Z.P. Marathi Primary School, Kokdi Old Building Room No. 1",67
136 - Kokdi,"Z.P. Higher Primary School, Kokdi (New Building) Room No. 1",67
