PS No & Name,Address,Constituency Number
1 - Vasa,Zilha Parishad Prathamik School Vasa Room No.-1,68
2 - Vasa,Zilha Parishad Prathamik School Vasa Room No. 2,68
3 - Porla,Zilha Parishad uchchaa Shreni Prathamik School Porla Room Na. 1,68
4 - Porla,Zilha Parishad uchchaa Shreni Prathamik School Porla Room No. 2,68
5 - Porla,Zilha Parishad uchchaa Shreni Prathamik School Porla Room No. 3,68
6 - Nagari,Zilha Parishad Prathamik School Nagari Room no.1,68
7 - Sakhara,Zilha Parishad Prathamik School Sakhara Room no.1,68
8 - Katali,Zilha Parishad Prathamik School katali Room no.1,68
9 - Katali,Zilha Parishad Prathamik School Katali Room No-2,68
10 - Adapalli,Zilha Parishad PrathamikSchool Adapalli Room no.1,68
11 - Adapalli,Zilha Parishad PrathamikSchool Adapalli Room no.2,68
12 - Gogaon,Zilha Parishad Uchcha Prathamik School Gogaon Room No. 1,68
13 - Gogaon,Zilha Parishad Uchcha Prathamik School Gogaon Room No. 2,68
14 - Churchura Mal,Zilha Parishad Prathamik School Churchura Room No.1,68
15 - Navargaon,Zilha Parishad Prathamik School Navargaon Room No.1,68
16 - Mahadawadi,Zilha Parishad Prathamik School Manadawadi Room No.1,68
17 - Jepra,Zilha Parishad Prathamik School Jepra Room No.1,68
18 - Rajgata Mal,Zilha Parishad Prathamik School Jepra Room No.2,68
19 - Rajgata Chak,Zilha Parishad Marathi Prathamik Shala Rajgata Chak Room no.1,68
20 - Ambeshivani,Zilha Parishad Prathamik Shala Ambeshivani Room No. 1,68
21 - Ambeshivani,Zilha Parishad Prathamik Shala Ambeshivani Room No. 2,68
22 - Ambetola,Z.P. Prathamik Shala Ambetola Kholi No.1,68
23 - Bhikarmoushi,Zilha Parishad Prathamik Shala Bhikarmoushi Kholi No. 1,68
24 - Botheda,Zilha Parishad Prathamik Shala Botheda Kholi No. 1,68
25 - Dhundeshivani,Zilha Parishad Marathi Prathamik Shala Dhundeshivani Room No1,68
26 - Dhundeshivani,Zilha Parishad Marathi Prathamik Shala Dhundeshivani Room No. 2,68
27 - Amirza,Zilha Parishad uchchaashreni Prathamik Shala Amirza Room No-1,68
28 - Amirza,Zilha Parishad uchchaashreni Prathamik Shala Amirza Navin Imarat Room No. 2,68
29 - Amirza,Zilha Parishad uchchaashreni Prathamik Shala Amirza Room No. 3,68
30 - Kalamtola,Zilha Parishad Prathamik Shala Kalamatola Room No. 1,68
31 - Tembha,Zilha Parishad Prathamik Shala Tembha Room No 1,68
32 - Tembha,Zilha Parishad Prathamik Shala Tembha Room No 2,68
33 - Chambharda,Zilha Parishad Prathamik Shala Chambharda Room no.1,68
34 - Maregaon,Zilha Parishad uchchaashreni Prathamik Shala Maregaon Room no.1,68
35 - Moushikhamb,Zilha Parishad uchchaashreni Prathamik Shala Moushikhamb Room No 1,68
36 - Moushikhamb,Zilha Parishad uchchaashreni Prathamik Shala Moushikhamb Room No-2,68
37 - Belagaon,Z.P. Prathamik Shala Belgaon,68
38 - Rankheda,Zilha Parishad Prathamik Shala Rankheda Kholi No. 1,68
39 - Muramadi,Zilha Parishad uchchaa shreni Prathamik Shala Muramadi Room No-2,68
40 - Gilagaon,Zalla . P. uchchaashreni Prathamik Shala Gilagaon Room No. 3,68
41 - Khursa,Zilha Parishad Prathamik Shala Khursa Room No.- 1,68
42 - Michgaon Bu.,Zilha Parishad prathmik school Michgaon buj.,68
43 - Navar-gaon,Zilha Parishad prathmik school Navargaon,68
44 - Nimgaon,Zilha Parishad School Nimgaon Room No.1,68
45 - Nimgaon,Zilha Parishad Prathmik School Nimgaon Room No.2,68
46 - Rangi,Zilha Parishad Prathamik school Rangi Room No.1,68
47 - Rangi,Zilha Parishad Prathamik school Rangi Room No.2,68
48 - Chingali,Zilha Parishad Prathamik school Chingali Room No.1,68
49 - Chingali,Zilha Parishad Prathamik school Chingali Room No.2,68
50 - Mohali,Zilha Parishad Prathamik school Mohali,68
51 - Jangada Bu.,Zilha Parishad Prathamik school Jangada Bu.,68
52 - Japtalai,Zilha Parishad Uchcha Prathamik school Japtalai,68
53 - Chudiyal,Zilha Parishad Prathamik school Chudiyal,68
54 - Darachi,Zilha Parishad Prathamik school Darachi,68
55 - Chicholi,Zilha Parishad Prathamik school Chicholi,68
56 - Dhanora,Zilha ParishadUchcha Prathamik school Dhanora,68
57 - Dhanora,Zilha Parishad High school & Ju. College East side Dhanora,68
58 - Dhanora,Zilha Parishad High school & Ju. College Dhanora West side,68
59 - Dhanora,Zilha Parishad High school & Ju. College Dhanora West side,68
60 - Sode,Gram panchayat Sode,68
61 - Malanda,Zilha Parishad Prathamik school Malanda,68
62 - Salebhatti,Zilha Parishad Prathamik school Salebhatti,68
63 - Heti,Zilha Parishad Uchcha Prathamik school Heti,68
64 - Tukum,Zilha Parishad Prathamik school Tukum,68
65 - Lekha,Zilha Parishad Uchcha Prathamik school Lekha,68
66 - Rajoli,Zilha Parishad Uchcha Prathamik school Rajoli,68
67 - Dudhmala,Zilha Parishad Uchcha Prathamik School Dudhmala,68
68 - Katezari,Zilha Parishad Prathamik school Katezari,68
69 - Girola,Garmapchayat karyalaya Girola,68
70 - Chatgaon,Garmapchayat karyalaya Chatgaon,68
71 - Sawar-gaon,Zilha Parishad Prathamik Shala Savaragaon,68
