PS No & Name,Address,Constituency Number
1 - Adpalli Chek,Zilla Parishad Pri. School Adpalli chek,69
2 - Adpalli Mal,Zilla Parishad Pri. School Adpalli Mal,69
3 - Rengevahi,Jilha Parishad Prathamik Shala Rengevahi,69
4 - Kalinagar,Jilha Parishad Bangali Prathamikashala Kalinagar,69
5 - Gandhinagar,Zilla Parishad Bangali Pri. School Gandinagar,69
6 - Laxmipur,Zilla Parishad Bangali Pri. School Laxmipur,69
7 - Vijaynagar,Zilla Parishad Pri. School Vijaynagar,69
8 - Devada,Jilha Parishad Prathamik Shala Devada,69
9 - Bolepalli,Jilha Parishad Prathamik Shala Bolepalli,69
10 - Vengnur,"Zilla Parishad Pri. School, Vengnur",69
11 - Kotami,Jilha Parishad Prathamik Shala Kotmi,69
12 - Tekka,Jilha Parishad Prathamik Shala Tekka,69
13 - Kasuravahi,Jilha Parishad Prathamik Shala Kasuravahi,69
14 - Vadasa Khurd,Jilha Parishad Prathamik Shala Vadasakhurd,69
15 - Dolanda,Jilha Parishad Prathamik Shala Dolanda,69
16 - Jaravandi,Jilha Parishad Prathamik Shala Kholi Kramank 1 Jarawandi,69
17 - Jaravandi,Z. P. Prathamik Shala Kho Kr 2 Jaravandi,69
18 - Dindavi,Jilha Parishad Prathamik Shala Dindavi,69
19 - Bhapada,Jilha Parishad Prathamik Shala Bhapada,69
20 - Sohgaon,Jilha Parishad Prathamik Shala Sohgaon,69
21 - Guindam,Jilha Parishad Prathamik Shala Gundam,69
22 - Javeli Bu.,Jilha Parishad Prathamik Shala Javeli Bu,69
23 - Gadadapalli,Jilha Parishad Prathamik Shala Gadadapalli,69
24 - Vaghezari,Jilha Parishad Prathamik Shala Vaghezari,69
25 - Vategatta,Jilha Parishad Prathamik Shala Vategatta,69
26 - Tadapalli Urf Narulahur,Jilha Parishad Prathamik Shala Tadapalli Urf Narul,69
27 - Geda,Jilha Parishad Prathamik Shala Geda,69
28 - Chandanaveli,Jilha Parishad Prathamik Shala Chandanaveli,69
29 - Vivekanandapur,Shasakiy Ashram Shala Navin Imarat Vivekanandapur Kholi Kramank 1,69
30 - Vivekanandapur,Shasakiy Ashram Shala Navin Imarat Vivekanandapur Kholi Kramank 2,69
31 - Deshbandhugram,Zilla Parishad Hindi Pri. School Deshbandhugram,69
32 - Bhavanipur,Jilha Parishad Pra. Shala Bhavanipur,69
33 - Ganeshanagar,Jilha Parishad Prathamik Shala Ganeshanagar,69
34 - Mulachera,Jilha Parishad Prathamik Kendra Shala Mulachera,69
35 - Koparaalli Chak,Jilha Parishad Uchch Prathamik Shala Koparali Che,69
36 - Vishvanathanagar,Jilha Parishad Prathamik Shala Vishvanathanagar,69
37 - Kothari,Jilha Parishad Prathamik Shala kothari,69
38 - Mallera,Zilla Parishad Pri. School Mallera,69
39 - Gitali,Zilla Parishad Pri. School Gitali,69
40 - Nagulavahi,Jilha Parishad Prathamik Shala nagulavahi,69
41 - Machchhigatata,Jilha ParishadPrathamik Shala Machchhigatata,69
42 - Lagam Mal,Jilha Parishad Madhyamik Kendra Shala Lagam Mal,69
43 - Yella,Jilha Parishad Prathamik Shala Yella,69
44 - Kanchanpur,Z. P. Ucch Prathamik Shala Kanchanapur,69
45 - Shantigram,Jilha Parishad Prathamik Shala Shantigram,69
46 - Kolapali,Jilha Parishad Prathamik Shala Kolapali,69
47 - Chutaguntchak,Anganavadi Kendra Chutagunta chek,69
48 - Bori,Jilha Parishad Prathamik Shala Bori,69
49 - Rajapur Pech,Gramapanchayat Karyalay Rajapur Patch,69
50 - Rampur Chek,Jilha Parishad Prathamik Shala Rampur Chek,69
51 - Shrinagar,Z. P. Prath. Shala Shrinagar,69
52 - Mohurli,Z. P. Prath. Shala Mohurli,69
53 - Sundaranagar,Z. P. Prath. Shala Sundaranagar,69
54 - Khudiramapalli,Z. P. Prath. Shala Khudiramapalli,69
55 - Bhagatnagar,Z. P. Prath. Shala bhagatanagar,69
56 - Ambatapalli,Z. P. Prath. Shala ambatapalli,69
57 - Gomani,Anganavadi Kendra Gomani,69
58 - Chichela,Jilha Parishad Pra. Sha. Chichela,69
59 - Mukhdi Tola,Z. P. Prath. Shala mukhaditola,69
60 - Shrirampur,Zilla Parishad Pri. School Shrirampur,69
61 - Harinagar,Z. P. Prath. Shala harinagar,69
62 - Mathuranagar,Zilla Parishad Pri. School Mathuranagar,69
63 - Govindapur,Z. P. Prath. Shala navin Imarat Govindapur,69
64 - Vasamundi,Z. P. Pa. Sha. Vasamundi,69
65 - Krushnar.,Jilha Parishad Prathamik Shala Krushnar,69
66 - Jivanagatta,Jilha Parishad Prathamik Shala Kholi Kr. 1 Jivanagatta,69
67 - Jivanagatta,Jilha Parishad Prathamik Shala Kholi Kr. 2 Jivanagatta,69
68 - Tambada,Jilha Parishad Prathamik Shala Tambada S.,69
69 - Todasa S.,Shasakiy Ashram Shala Todasa S.,69
70 - Petha S.,Jilha Parishad Prathamik Shala Petha S.,69
71 - Halevara,Jilha Parishad Prathamik Shala Halevara,69
72 - Kasanasur,Shasakiy Ashram Shala Kasanasur,69
73 - Punnur,Jilha Parishad Prathamik Shala Punnur,69
74 - Sevari S.,Jilha Parishad Prathamik Shala Sevari S.,69
75 - Ghotasur,Jilha Parishad Prathamik Shala Ghetasur,69
76 - Manewara,Jilha Parishad Prathamik Shala Manewara,69
77 - Mendhari,Jilha Parishad Prathamik Shala Mendhari,69
78 - Javeli Khurd,Jilha Parishad Prathamik Shala Javeli Khu.,69
79 - Kachaler S.,Jilha Parishad Prathamik Shala Kachaler S.,69
80 - Burgi M.,Jilha Parishad Prathamik Shala Burgi M,69
81 - Kudari,Jilha Parishad Prathamik Shala Kudari,69
82 - Hedari,Vinoba Pri & Sec. Ashram Shala Hedari,69
83 - Purasalagondi,Jilha Parishad Prathamik Shala Purasalagondi,69
84 - Parasalagondi,Jilha Parishad Prathamik. Shala Parasalagondi,69
85 - Rekanar,Jilha Parishad Prathamik Shala Rekanar,69
86 - Pandevahi S.,Jilha Parishad Prathamik Shala Pandevahi,69
87 - Tumaragunda Bu.,Jilha Parishad Prathamik Shala Tumaragauda Buj.,69
88 - Atapalli,Jilha Parishad Samuh Nivasi Prathamik Shala Kholi,69
89 - Atapalli,Jilha Parishad Samuh Nivasi Prathamik Shala Kholi,69
90 - Atapalli,Jilha Parishad Madhyamik Shala Kholi Kr. 1 Etapali,69
91 - Atapalli,Jilha Parishad Madhyamik Shala Kholi Kr. 2 Etapali,69
92 - Gurupali,Jilha Parishad Prathamik Shala Gurupalli,69
93 - Velagur S,Jilha Parishad Prathamik Shala Kholi Kr 1 Velgur S,69
94 - Velagur S.,Jilha Parishad Prathamik Shala Kholi Kra. 2 Velagur S,69
95 - Navegaon,Anganwadi Kendra Navegoan,69
96 - Krishnapur Vel,J. P. Prathamik Shala Krishnapur Velgur,69
97 - Dinacherapalli,Jilha Parishad Prathamik Shala Dinacherpalli,69
98 - Chintalapeth,Jilha Parishad Prathamik Shala Chintalpeth,69
99 - Mahagaon Bu,Jilha Parishad Prathamik Shala Mahagoan Buj.,69
100 - Mahagaon Khu,Jilha Parishad Prathamik Shala Mahagoan Khu.,69
101 - Khamanacheru,Shasakiy Ashram Shala Navin Imarat Khamancheru,69
102 - Tanabodi,G. P. Pra. Sha. Tanbodi,69
103 - Kannepali,Jilha Parishad Prathamik Shala Kannepalli,69
104 - Yelachil,Jilha Parishad Prathamik Shala Yelchil,69
105 - Bidri S.,Jilha Parishad Prathamik Shala Bidri S.,69
106 - Yemali,Jilha Parishad Prathamik Shala Yemali,69
107 - Udera S.,Zilha Parishad Prathamik Shala Udera S,69
108 - Burgi S. (kadoli ),Jilha Parishad Prathamik Shala Burgi S. (kandoli ),69
109 - Titoda S.,Jilha Parishad Prathamik Shala Titoda S.,69
110 - Vateli,Jilha Parishad Prathamik Shala Wateli,69
111 - Jambiya,Shasakiy Ashram Shala Jambiya,69
112 - Gardevada,Jilha Parishad Prathamik Shala Gardevada,69
113 - Puskoti,Z.P. Pri. School Puskoti,69
114 - Wangeturi,Z.P. Pri. School Wangeturi,69
115 - Gatta,Jilha Parishad Prathamik Shala Gatta,69
116 - Tadguda,Jilha Parishad Prathamik Shala Tadguda Kholi Kr.1,69
117 - Gilanaguda,Jilha Parishad Prathamik Shala Gilanaguda,69
118 - Kothi S.,Shasakiy Madhyamik Ashram Shala Navin Imarat Kothi,69
119 - Naragunda,ilha Parishad Prathamik Shala Naragunda,69
120 - Visamundi,Zilla Parishad Primary School Visamundi,69
121 - Kandoli S.,Jilha Parishad Prathamik Shala Kandoli S.,69
122 - Koreli Bu,Jilha Parishad Prathamik Shala Koreli Buj.,69
123 - Medapalli,Jilha Parishad Prathamik Shala Medpalli,69
124 - Gurja Bu,Jilha Parishad Prathamik Shala Gurja Bu.,69
125 - Talavada,Jilha Parishad Prathamik Shala Talwada,69
126 - Alapalli,Z.P. Boys Primary School West Side Building Allapalli.,69
127 - Alapalli,Anganwadi Kendra Kramank 6/116 (bajaravadi ) Alapalli,69
128 - Alapalli,Jilha Parishad Boys Primary School East side Building Allapalli,69
129 - Alapalli,Jilha Parishad Boys Primary School South Side Building Allapalli,69
130 - Alapalli,Jilha Parishad Central Girls Primary School ( North Side Building Sixthround ) Allapalli,69
131 - Alapalli,Anganwadi Kendra No. 1/25 (Nearby Sai Mandir) Allapalli,69
132 - Alapalli,Jilha Parishad Prathamik Kendriy Shala (West Side Building) Allapalli,69
133 - Alapalli,Jilha Parishnd Prathamik Shala (mannewar Colony) Allapalli,69
134 - Alapalli,Jilha Parishad Urdu Prathamik Shala Alapalli,69
135 - Alapalli,Jilha Parishad Prathamik Shala Ramayyapetha,69
136 - Modumadagu,Jilha Parishad Prathamik Shala Modumadgu,69
137 - Nagepali,Jilha Parishad Prathamik Shala Westside Building Nagepalli M .,69
138 - Nagepalli M,Jilha Parishad Prathamik Shala (navin Imarat ) Nagepalli M.,69
139 - Nagepalli M,Gram Panchayat Office Nagepalli M.,69
140 - Aheri,Anganwadi Kendra Kra. 7 Pawar House Colony Aheri,69
141 - Aheri,World Bank Project Anganwadi Kendra (Nearby IDDS Office Aheri,69
142 - Aheri,"Z.P.Primary School New Building, Dharampur, Aheri",69
143 - Aheri,Anganwadi Kendra no.1 Dharampur (Z.P.Primary School Area),69
144 - Aheri,Jilha Parishad Prathamik Shala Juni Imarat Dharampur Aheri,69
145 - Aheri,"Krantivir Birsa Munda Meeting Hall Building, Panchayat Samiti Aheri",69
146 - Aheri,Anganwadi Kendra Kramank 5 (urdu Shale javal ) Aheri,69
147 - Aheri,Jilha Parishad Kendra Prathamik Shala (East Side Aheri),69
148 - Aheri,Jilha Parishad Kendra Prathamik Shala West Side Aheri,69
149 - Aheri,Gram panchayat Office Navin Imarat Aheri,69
150 - Aheri,Anganwadi Krendr Kramank 2 ( Nearby kendra Shala ) Aheri,69
151 - Vangepalli,Jilha Parishad Prathamik Shala Vangepalli,69
152 - Chinchagundi,Jilha Parishad Prathamik Shala Chinchagundi,69
153 - Gadaaheri,Anganwadi Kendra Gadaheri,69
154 - Cherapalli,Jilha Parishad Prathamik Shala Cherpalli,69
155 - Vyenkataravapetha M,Jilha Parishad Prathamik Shala (navin Imarat ) Kholi No. 1 Venkatraopetha M.,69
156 - Indaram,G. P. Pra. Sha. Kholi Kramank 1 Indaram S.,69
157 - Indaram S.,G. P. Pra. Sha. Kholi Kramank 2 Indaram S.,69
158 - Devalamari S,Jilha Parishad Prathamik Shala (juni Imarat ) Dewalmari S.,69
159 - Danvalamari S,Jilha Parishad Uchch Prathamik Shala Devalamari S. New /Building Room No.4 North Side,69
160 - Katatepalli,Jilha Parishad Prathamik Shala Katepalli S.,69
161 - Mosam S.,Jilha Parishad Prathamik Shala Mosam S.,69
162 - Gudadigudam,Jilha Parishad Prathamik Shala Guddigudam M,69
163 - Rajaram s,z.p.pri. School Rajaram s. new Building,69
164 - Rajaram s,Gram Panchayat Office Rajaram S.,69
165 - Khandala S,Jilha Parishad Prathamik Shala Khandla S,69
166 - Chaudamapalli,Jilha Parishad Prathamik Shala Chaudampalli,69
167 - Yeramanar,Jilha Parishad Prathamik Shala Yermanar,69
168 - Peramili,G. P. Pra. Shala East Side Permili,69
169 - Peramili,Jilha Parishad Prathamik Shala West side Permili,69
170 - Chandra S,Jilha Parishad Prathamik Shala Chandra S.,69
171 - Kudakeli,Jilha Parishad Prathamik Shala Kudkeli,69
172 - Tadagavan,Jilha Parishad Prathamik Shala Tadgoan,69
173 - Kiyar,Jilha Parishad Prathamik Shala Kiyer,69
174 - Arevada,G. P. Pra. Sha. Arewada,69
175 - Hindur,Jilha Parishad Prathamik Shala Hindur,69
176 - Poyarkothi,Zilla Parisad Primary School Poyarkothi,69
177 - Hodari,Jilha Parishad Prathamik Shala Hodri,69
178 - Binagunda,anganwadi Kendra binagunda,69
179 - Laheri,Jilha Parishad Uchch Prathamik Shala Laheri,69
180 - Mallamapodur,Jilha Parishad Prathamik Shala Mallampodur,69
181 - Dhodaraj,G. P. Pra. Shala Dhodraj,69
182 - Nelgunda,Zilla Parisad ‍Primary School Nelgunda,69
183 - Gongavada.,Jilha Parishad Prathamik Shala Gongavada.,69
184 - Bhatpar,Zilla Parisad Primary School Bhatpar,69
185 - Gollaguda,Zilla Parisad Primary School Gollaguda,69
186 - Bhamaragad,Samuh Nivasi Shala Kholi Kr. 1 Bhamragad,69
187 - Bhamaragad,Samuh Nivasi Shala Kholi Kr. 2 Bhamragad,69
188 - Hemalakasa,Jilha Parishad Prathamik Shala Hemalkasa,69
189 - Palli,"Zilla Parisad Primary School, Palli",69
190 - Chichoda,Jilha Parishad Prathamik Shala Chichoda,69
191 - Irakadumme,Jilha Parishad Prathamik Shala Irakdumme,69
192 - Palle,G. P. Pra. Shala Palle,69
193 - Mannerajaram,Jilha Parishad Prathamik Shala Mannerajaram,69
194 - Madveli,"Zilla Parisad Primary School, Madveli",69
195 - Mannerajaram,Z.P.Primary School Yechali,69
196 - Bamanapalli,G. P. Pra. Shala. Brahmanpalli,69
197 - palle,Z.P.Primary School Kurumpalli,69
198 - Yeramnar,Z.P. Primary School Kodsepalli S.,69
199 - Chhallevada,Jilha Parishad Prathamik Shala (juni Imarat ) Chhallewada,69
200 - Chhallevada,Jilha Parishad Prathamik Shala (navin Imarat ) Chhallewada,69
201 - Golakarji,Jilha Parishad Prathamik Shala Golakarji,69
202 - Vatra Khu. S,Jilha Parishad Prathamik Shala Vatra Khu. S.,69
203 - Avalamari,Jilha Parishad Prathamik Shala Awalmari,69
204 - Repanapalli,Gram Panchayat Karyalay Repanpalli,69
205 - Kamlapur,Jilha Parishad Prathamik Shala Navin Imarat Kamlapur,69
206 - Kamlapur,Anganwadi Kendra New Building Kamlapur,69
207 - Tatigudam,Jilha Parishad Prathamik Shala Tatigudam,69
208 - Mandra,Jilha Parishad Prathamik Shala Mandra,69
209 - Asa M,Jilha Parishad Prathamik Shala Aasa M.,69
210 - Damarancha,Jilha Parishad Prathamik Shala Damrancha,69
211 - Bhangaramapetha,Jilha Parishad Prathamik Shala Bhangarampetha,69
212 - Kishtapur S Daud,Jilha Parishad Prathamik Shala Kishtapur S Daud,69
213 - Sindha S,"Anganwadi Kendra, Sindha S.",69
214 - Jimalagatta,Jilha Parishad Prathamik Shala Jimalgatta,69
215 - Arkapalli,Jilha Parishad Prathamik Shala Arkapalli,69
216 - Ganvindgaon,Jilha Parishad Prathamik Shala Govindgoan,69
217 - Marapali,"G. P. Pra. Shala, Marpali",69
218 - Joganaguda M.,G. P. Pra. Shala Joganguda M.,69
219 - Umanur S,Jilha Parishad Prathamik Shala Umanur S,69
220 - Marpalli,J.P.Paraymari Shala Regulwahi M.,69
221 - Bondra,Anganwadi Kendra Bondra,69
222 - Moyabinapeta,Jilha Parishad Prathamik Shala Moyabinnpetha,69
223 - Kotapalli,Jilha Parishad Prathamik Shala Kotapalli,69
224 - 1. Viththalaravapeta Mal,Jilha Parishad Prathamik Shala Vithalraopetha Mal,69
225 - 1. Viththalaravapetha Ve. Lan.,Jilha Parishad Prathamik Shala Vithalravapetha W.L.,69
226 - 1. Narasinhapalli,Jilha Parishad Prathamik Shala Narsinhapalli,69
227 - 1. Parsevada,Anganwadi Kendra Parsewada,69
228 - 1. Bejurapalli,Jilha Parishad Prathamik Shala Bejurpalli,69
229 - Jafrabad Chek,"Z.P. Primary School, Jafrabad Chek, Kholi Kra. 1",69
230 - Jafrabad Chek,Jilha Parishad Prathamik Shala Kholi Kra. 2 Jafrabad chek,69
231 - Jafrabad Chek,Jilha Parishad Prathamik Shala Navin Imarat Jafrabad Chek,69
232 - 1 ) Boramapalli Mal,Jilha Parishad Varishth Prathamik Shala Borampalli mal.,69
233 - Romapalli,Jilha Parishad Prathamik Shala Rompalli,69
234 - Metigudam,Z.P. Primary School Kalled S.,69
235 - Rasapali S,Jilha Parishad Prathamik Shala Raspalli S.,69
236 - Dechali S,Jilha Parishad Prathamik Shala Dechali S,69
237 - Petha S,Jilha Parishad Prathamik Shala Petha S.,69
238 - Metigudam,Jilha Parishad Prathamik Shala Metigudam,69
239 - 1 ) Rameshagudam,Jilha Parishad Prathamik Shala Rameshgudam,69
240 - Zinganur,Shasakiy Ashram Shala Zinganur Mal,69
241 - Zinganur,Jilha Parishad Higher Primary School Zinganur mal,69
242 - 1 ) Sirakoda Mal,Jilha Parishad Higher Primary School Sirkonda Mal,69
243 - 1 ) Venalaya Mal,Jilha Parishad Prathamik Shala Venlaya Mal,69
244 - 1 ) Venkatapur,"Gram panchayat Office, New Building Venkatapur",69
245 - Glosafordapeta,Jilha Parishad Prathamik Shala Glasfordpetha,69
246 - Rangayyapalli Ve. Lan.,Jilha Parishad Prathamik Shala Rangayapalli W.L.,69
247 - Amravati Kliarans,Jilha Parishad Prathamik Shala Amaravati cli.,69
248 - 1 ) Kota Mal,Jilha Parishad Prathamik Shala kotha Mal,69
249 - 1 ) Yerragunthametham Urf Narayanapur,Jilha Parishad Prathamik Shala Karaspalli,69
250 - 1 ) Medaram Chek,Jilha Parishad Prathamik Shala Medaram Chek,69
251 - Sironcha Mal,Jilha Parishad Prathamik Mulichi Shala Sironcha Mal,69
252 - Sironcha Mal,"Zilha Parishad Primary Boys School, Sironcha Mal",69
253 - Sironcha Mal,Jilha Parishad Prathamik Boys School Sironcha Mal.,69
254 - 1 ) Janamapalli Chek,Jilha Parishad Prathamik Shala Janampalli Chek.,69
255 - 1 ) Adimuttapur,Jilha Parishad Prathamik Shala Adimuttapur,69
256 - Sirancha Rai.,Jilha Parishad Prathamik Girls School Sirancha Rai,69
257 - Siranecha Rai.,Jilha Parishad Prathamik Boys School Sirancha Rai,69
258 - Siraecha Rai.,Jilha Parishad High School Room No.1 Sironcha Ryt.,69
259 - Siranncha Rai.,Jilha Parishad High School Room No. 2 Sironcha Ryt.,69
260 - Sironcha Rai.,Jilha Parishad High School (New Building) Sironcha Ryt.,69
