PS No & Name,Address,Constituency Number
1 - Lamakani,"Z.P. Girls School Eastern Building Room No.1, Lamkani.",6
2 - Lamakani,"Z.P. Girls School Eastern Building Room No.3, Lamkani.",6
3 - Lamakani,"Z.P. Marathi Boys School Southern Building East Side Room No.1, Lamkani.",6
4 - Lamakani,"Z.P. Marathi Boys School Southern Building East Side Room No.2, Lamkani.",6
5 - Lamakani,"Z.P. Marathi Boys School Western Building, from South side Room No.1, Lamkani.",6
6 - Lamakani,"Z.P. Marathi Boys School Western Building from South side Room No.3, Lamkani.",6
7 - Saitale,Z.P. Primary School Saitale Room No. 1,6
8 - Saitale,Z.P. Primary School Saitale Room.No.2,6
9 - Rami,"Z.P. Primary School Rami, from East side Room No. 2.",6
10 - Rami,"Z.P. Primary School Rami, from East side Room No. 4.",6
11 - Nave Kothare,Z.P. School Navekothare Room No. 2.,6
12 - Behed,Z.P. Primary School Behed Room No. 1,6
13 - Boris,"Z.P. Primary School Northern Building Room No. 3, Boris.",6
14 - Boris,"Z. P. Primary School Northern Building Form Westside Room No. 4, Boris.",6
15 - Boris,"New English School Boris, Southern Building From Westside Room No. 3.",6
16 - Boris,"New English School Boris, Southern Building From Eastside Room No.3",6
17 - Boris,"New English School Boris, Southern Building From Eastside Room No.6",6
18 - Borasule,Z.P. Primary School Borasule,6
19 - Nikumbhe,"Z.P. Primary School Northern Building From Westside Room No.1, Nikumbhe.",6
20 - Nikumbhe,"Z.P. Primary School Northern Building Form Eastside Room No. 2, Nikumbhe.",6
21 - Burzad,"Z.P. Primary School From Eastside Room No.2, Burzad.",6
22 - Burzad,"Z.P. Primary School From Eastside Room No.3, Burzad.",6
23 - Burzad,"Z.P. Primary School From Eastside Room No.5, Burzad.",6
24 - Vadane,Aganwadi Vadane Room No.1,6
25 - Vadane,Z.P. Primary School Sourthern Building Room No. 1 Vadane,6
26 - Nandane,Z.P. Primary School Nandane Room No. 1,6
27 - Nandane,Z.P. Primary School Nandane Room No. 2,6
28 - Nandane,Z.P. Primary School Nandane Room No. 3,6
29 - Sayane,Z.P. Primary School Eastern Building Room No. 1 Sayane,6
30 - Sayane,Z.P. Primary School Eastern Building Room No. 3 Sayane,6
31 - Mehergaon,"Z.P. Kendra School, From Eastside Room No.3, Mehergaon.",6
32 - Mehergaon,"Z.P. Kendra School, From Eastside Room No.4, Mehergaon.",6
33 - Mehergaon,Z.P. Kendra School From Eastside Room No. 5 Mehergaon.,6
34 - Kavathi,Z. P. Primary School Room No. 1 Kavathi,6
35 - Kavathi,Z. P. Primary School Room No. 2 Kavathi,6
36 - Chinchvar,"Z.P. Primary School, Southern Building, From Westside Room No. 2 Chinchvar.",6
37 - Chinchvar,"Z.P. Primary School, Southern Building, From Westside Room No. 3 Chinchvar.",6
