PS No & Name,Address,Constituency Number
1 - Umapur,Zilla Parishad Primary School West side Room No.4,70
2 - Umapur,Zilla Parishad Primary School South side Room,70
3 - Bhingara,Zilla Parishad Marathi School Building Bhingara,70
4 - Kuvaradev,Zilla Parishad Marathi School Building Kuwar Dev,70
5 - Salavan,Zilla Parishad.Marathi school Building Salwan,70
6 - Pingali Bu.,Zilla Parishad.Marathi school Building Room No.1 Pingali Bu.,70
7 - Saykhed,Zilla Parishad Marathi school Building west part room no. 3 Sayakhed,70
8 - Saykhed,Zilla Parishad Marathi school Building west room no. 2 Sayakhed,70
9 - Alevadi,Zilla Parishad Marathi school Building north part room no.1 Alevadi,70
10 - Alevadi,Zilla Parishad Marathi school Building north part room no. 2 Alevadi,70
11 - Chichari,Zilla Parishad Marathi school Buildng Chichari,70
12 - Vasali,Zilla Parishad Marathi Primary School Vasali New Building from Southern Eastern Room No.2,70
13 - Vasali,""" Zilla Parishad Marathi Primary School Vasali New Building Southern Eastern Room No.3""",70
14 - Vasali,""" Zilla Parishad Marathi Primary School Vasali New Building Southern Eastern Room No.4""",70
15 - Vasali,""" Zilla Parishad Marathi Primary School Vasali New Building Southern Eastern Room No.5""",70
16 - Karmoda,Zilla Parishad. Marathi School Bulding Karamoda,70
17 - Shivani,Zilla Parishad Marathi primary School Building Shivani,70
18 - Jamod,Zilla Parishad Marathi School Building South part of jamod,70
19 - Jamod,Zilla Parishad Marathi School Building North Jamod,70
20 - Jamod,Zilla Parishad Marathi School Building North Part Jamod,70
21 - Jamod,Back Side of Zilla Parishad Marathi School Building North Side Jamod,70
22 - Jamod,Zilla Parishad Marathi School Jamod,70
23 - Jamod,New 2 nd floor of Zilla Parishad primary Urdu School east side jamod,70
24 - Jamod,Zilla Parishad Urdu school East Part Jamod,70
25 - Jamod,New Building of Zilla Parishad Urdu School (Anganwadi) East Side Jamod,70
26 - Jamod,Zilla Parishad Urdu School West part Jamod,70
27 - Jamod,Zilla Parishad Urdu School Jamod,70
28 - Jamod,Marathi School Jamod Eastern Room Of Western Side Building,70
29 - Chalathana,Zilla Parishad Marathi Primary School Building Chalathana,70
30 - Usara Bu,Zilla Parishad Marathi School Usara Bu.,70
31 - Sungaon,Zilla Parishad Marathi School Old Building Sungaon,70
32 - Sungaon,Zilla Parishad Pre Secondary Marathi School Old Building Sungaon,70
33 - Sungaon,Zilla Parishad Marathi School New Building Sungaon,70
34 - Sungaon,Zilla Parishad School sungaon Western room Of North side Building,70
35 - Sungaon,Zilla Parishad School Sungaon Western Room No 12 Of South Side New Building,70
36 - Sungaon,Zilla Parishad School sungaon Eastern Room 13 Of Soth Side Building,70
37 - Sungaon,Zilla Parishad Marathi School Room No. 10 Sungaon,70
38 - Nimkhedi,Zilla Parishad Marathi School Nimkhedi,70
39 - Nimkhedi,Zilla Parishad Marathi School New Building Nimkhedi,70
40 - Hanvatkhed,Zilla Parishad Marathi School Hanvatkhed,70
41 - Islampur,Zilla Parishad Marathi School Islampur,70
42 - Hashampur,Zilla Parishad Urdu primary. School Hashimpur,70
43 - Vadgaon Gad,Zilla Parishad Marathi School East side Room Vadgaon Gad,70
44 - Vadgaon Gad,Zilla Parishad Marathi School Vadgaon Gad,70
45 - Dhanora,Zilla Parishad Marathi School Northen side Room No. 1,70
46 - Dhanora,Zilla Parishad .Marathi School Eastern Room Of North Side Building,70
47 - Dhanora,Zilla Parishad Marathi School South sides Room No 1 Dhanora,70
48 - Rasulpur,Zilla Parishad School Rasulpur,70
49 - Rasulpur,Zilla Parishad Urdu School Rasulpur West side room,70
50 - Jalgaon Ja,Municipal Council School No. 1 Jalgaon (ja) In Room No 3,70
51 - Jalgaon Ja,Municipal Council School No. 1 Jalgaon (ja) East West Building Southern Room No 2,70
52 - Jalgaon Ja,Municipal Council Primary Marathi School No.1east side Room of North-sout in Building,70
53 - Jalgaon Ja,Mahatma Phule Girls School Jalgaon (ja),70
54 - Jalgaon Ja,East West Old Building Room No.3 From South Municipal Council Mahatma Phule Girls School,70
55 - Jalgaon Ja,Municipal Council Urdu School No. 2 Jalgaon (ja)Eastern Side Room No 4,70
56 - Jalgaon Ja,Municipal Council Urdu School No. 2 Jalgaon (ja) in Front of Main door western side Room No 2,70
57 - Jalgaon Ja,Chhatrapati Shivaji School 3 Jalgaon (ja) esten Room No 4,70
58 - Jalgaon Ja,Chhatrapati Shivaji School 3 Jalgaon (ja) Southen Side Room No 8,70
59 - Jalgaon Ja,Chhatrapati Shivaji Maharaj School No. 3 North Side Room Of East - West Building ( Near Ofice ),70
60 - Jalgaon Ja,Municipal Council School No. 2 Jalgaon (ja) in Room 2 near Office,70
61 - Jalgaon Ja,Municipal Council School No. 2 Jalgaon (ja) in Room No 1,70
62 - Jalgaon Ja,Dr. Babasaheb Ambedkar Vidyalaya Jalgaon Jamod Room No.2,70
63 - Jalgaon Ja,Dr. Babasaheb Ambedkar Vidyalaya Jalgaon Jamod Room No.3,70
64 - Jalgaon Ja,Zilla Parishad School Jalgaon (ja) in back side room no 1,70
65 - Jalgaon Ja,Muncipal Councial Urdu Pre Secondry School No.1 Room No.1,70
66 - Jalgaon Ja,"""Zilla Parishad School Jalgaon (ja) From west Side Room No 3""",70
67 - Jalgaon Ja,Zilla Parishad Urdu School Jalgaon ja in front of room no 1,70
68 - Jalgaon Ja,Municipal Council Urdu High Primary Girls School in right side Room No 3 Jalgaon Ja,70
