PS No & Name,Address,Constituency Number
1 - Sakharwahi,"Z.P. Pri. School, Sakharwahi Room No. 1",71
2 - Tadali,"Z.P. Pri. School, tadali room no. 1",71
3 - Tadali,"Z.P. Pri. School, tadali room no. 2",71
4 - Tadali,Nutan Convent Tadali Room No. 1,71
5 - Tadali,"vidya vihar urjagram room no.1, Tadali",71
6 - Tadali,"vidya vihar urjagram room no.2, Tadali",71
7 - Morva,"Z.P. Pri. School, Morva room no. 1",71
8 - Morva,"Z.P. Pri. School, Morva room no. 2",71
9 - Chhota Nagpur,"Z.P. Pri. School, Chhota Nagpur",71
10 - Vichoda Rayy.,"Z.P. Pri. School,Vichoda Rayy",71
11 - Padoli,"Z.P. Pri. School, padoli room no. 1",71
12 - Padoli,"Z.P. Pri. School, padoli room no. 2",71
13 - Padoli,"Z.P. Pri. School, padoli room no. 5",71
14 - Padoli,"Z.P. Pri. School, padoli room no. 3",71
15 - Padoli,"Samuh Sadhan Kendra, Building",71
16 - Khutala,"Z.P. Pri. School, Khutala",71
17 - Khutala,"Z.P. Pri. School, Khutala Room No. 2",71
18 - Kosara,Z.P. Pri. School Kosara,71
19 - Yerur,"Z.P. Pri. School, Yerur",71
20 - Sonegaon,"Z.P. Pri. School, sonegaon",71
21 - Belsani,"Z.P. Pri. School, Belsani",71
22 - Mhartardevi,"Z.P. Pri. School, Mhatardevi Room No.1",71
23 - Mhartardevi,"Z.P. Pri. School, Mhatardevi Room No.2",71
24 - Shengaon,"Z.P. Pri. School, shengaon Room no. 1",71
25 - Shengaon,"Z.P. Pri. School, shengaon Room no. 2",71
26 - Anturla,"Z.P. Pri. School, Anturla",71
27 - Nagala / Mahakurla,"Z.P. Pri. School, Nagala",71
28 - Chinchala,"Z.P. Pri. School,Chinchala room no. 1 ( Building) Chinchala",71
29 - Chinchala,"Z.P. Pri. School,Chinchala room no. 1 ( Building) Chinchala",71
30 - Chinchala,"Z.P. Pri. School,Chinchala room no. 3",71
31 - Datala,"Z.P. Pri. School, Datala room no. 1",71
32 - Datala,"Z.P. Pri. School, Datala room no. 3",71
33 - Datala,"Z.P. Pri. School, Datala room no. 2",71
34 - Wadgaon,"Munciple corporatin Primary School Room No. 1, Wadgaon",71
35 - Wadgaon,"muncipal corporation school, room 2 wadgaon",71
36 - Wadgaon,"Panjabrao High School, Wadgaon Room No. 1",71
37 - Wadgaon,"Panjabrao High School, Wadgaon Room No. 2",71
38 - Wadgaon,"Panjabrao High School, Wadgaon Room No. 3",71
39 - Wadgaon,Swami Vivekanand Primary School Wadgaon,71
40 - Wadgaon,"samaj mandir imarat, Wadgaon",71
41 - D.G.Rayyatwari,Pandit Dindayal Upadhya Semi English Medium School Room No 1,71
42 - D.G.Rayyatwari,Pandit Dindayal Upadhya Semi English Medium School Room No 2,71
43 - D.G.Tukum,Pandit Dindayal Upadhya Semi English Medium School Room No 3,71
44 - D.G.Tukum,Pandit Dindayal Upadhya Semi English Medium School Room No 4,71
45 - D.G.Tukum,"India Convent, Tukum Chandrapur Room No 7",71
46 - D.G.Tukum,"India Convent, Tukum Chandrapur Room No 8",71
47 - D.G.Tukum,"India convent, tukum, Chandrapur room no. 1",71
48 - D.G.Tukum,"India convent, tukum, Chandrapur room no. 2",71
49 - D.G.Tukum,"India convent, tukum, Chandrapur room no. 3",71
50 - D.G.Tukum,"India convent, near gurudwara tukum, Chandrapur outlet room",71
51 - D.G.Tukum,"matoshri HighSchool & Jr. Collage, Room No .1",71
52 - D.G.Tukum,"Jainuddin Javehri Pollytechnic, tukum, Chandrapur, room no. 2",71
53 - D.G.Tukum,"Jainuddin Javehri Pollytechnic, tukum, Chandrapur, room no. 3",71
54 - D.G.Tukum,"Jainuddin Javehri Pollytechnic, tukum, Chandrapur, room no. 4",71
55 - D.G.Tukum,"Jainuddin Javehri Pollytechnic, tukum, Chandrapur, room no. 6",71
56 - D.G.Tukum,"Jainuddin Javehri Pollytechnic, tukum, Chandrapur, room no. 7",71
57 - D.G.Tukum,"Vidyavihar convent tukum , chandrapur room no. 1",71
58 - D.G.Tukum,"Vidyavihar convent tukum , chandrapur room no. 5",71
59 - D.G.Tukum,"Vidyavihar convent tukum , chandrapur room no. 2",71
60 - D.G.Tukum,"Vidyavihar convent pri primary tukum , chandrapur room no. 1",71
61 - D.G.Tukum,"Vidyavihar convent pri primary tukum , chandrapur room no. 3",71
62 - D.G.Tukum,"Vidyavihar convent pri primary tukum , chandrapur room no. 4",71
63 - D.G.Tukum,"Matoshri Higher Pri. School, Room No. 9 Tukum, Chandrapur",71
64 - D.G.Tukum,"Matoshri Higher Pri. School, Room No. 10 Tukum, Chandrapur",71
65 - D.G.Tukum,"Matoshri Higher Pri. School, Room No. 4 Tukum, Chandrapur",71
66 - D.G.Tukum,"Matoshri Higher Pri. School, Room No. 5 Tukum, Chandrapur",71
67 - D.G.Tukum,"Matoshri Higher Pri. School, Room No. 12 Tukum, Chandrapur",71
68 - D.G.Tukum,"Bhavanji Bhai Chavhan Highschool, Room No. 10",71
69 - D.G.Tukum,"Bhavanji Bhai Chavhan Highschool, computer Room",71
70 - D.G.Tukum,"Bhavanji Bhai Chavhan Highschool, Room No. 8",71
71 - D.G.Tukum,"Bhavanji Bhai Chavhan Highschool, Room No. 7",71
72 - D.G.Tukum,"Bhavanji Bhai Chavhan Highschool, Room No. 3",71
73 - D.G.Tukum,"Bhavanji Bhai Chavhan Highschool, Room No. 5",71
74 - D.G.Tukum,"Bhavanji Bhai Chavhan Highschool, Room No. 4",71
75 - D.G.Tukum,"Bhavanji Bhai Chavhan Highschool, Room No. 3 Tukum, Chandrapur",71
76 - D.G.Tukum,"Bhavanji Bhai Chavhan Highschool Hall Tukum, Chandrapur",71
77 - D.G.Tukum,Cental Chanda Forest office Room No. 1,71
78 - D.G.Tukum,"Savitribai Fule Pri. School, Salve Colony, Tukum",71
79 - D.G.Tukum,"Savitribai Fule Pri. School, Salve Colony, Tukum Room No. 2",71
80 - D.G.Tukum,"Don English Convent Police line , Tukum Room No. 1",71
81 - D.G.Tukum,"Don English Convent Police line , Tukum Room No. 3",71
82 - D.G.Tukum,"India convent , tukum, chandrapur, room no. 5",71
83 - D.G.Tukum,"India convent , tukum, chandrapur, room no. 6",71
84 - Shastrinagar,"Karmvir Kannamwar Pri. School, Room No. 1",71
85 - Shastrinagar,"Sadguru vyayam shala , sarkar nagar, near Karmvir Kannamwar Pri. School Shejari",71
86 - Shastrinagar,"Karmvir Kannamwar Pri. School, Room No. 2",71
87 - Shastrinagar,"Karmvir Kannamwar Pri. School, Room No. 3",71
88 - Shastrinagar,"Karmvir Kannamwar Pri. School, Room No. 4",71
89 - Shastrinagar,Mount Karmel Convent Room No. 1,71
90 - Shastrinagar,Mount Karmel Convent Room No. 4,71
91 - Shastrinagar,Mount Karmel Convent Room No. 2 East Side,71
92 - Shastrinagar,Mount Karmel Convent Band Room,71
93 - Shastrinagar,Mount Karmel Convent Room No. 3 East Side,71
94 - Shastrinagar,Mount Karmel Convent Room No. 5 East Side,71
95 - Camp Ward,Muncipal Corporation Zone office Room No. 1,71
96 - Camp Ward,MSEB Electric Distribution office Civil Sec. Room No. 1,71
97 - Camp Ward,Muncipal Corporation Zone office Room No. 2,71
98 - Sanjay Nagar,Muncipal Corporation Zone office Room No. 3,71
99 - Sanjay Nagar,Muncipal Corporation Zone office Room No. 4,71
100 - Sanjay Nagar,Muncipal Corporation Zone office Room No. 5,71
101 - Sanjay Nagar,MSEB Electric Construction Sec. Room,71
102 - Sanjay Nagar,"Ravindra Vidyalaya Higher Primary School, Bangali Camp Ward Room No. 2",71
103 - Sanjay Nagar,"Ravindra Vidyalaya Higher Primary School, Bangali Camp Ward Room No. 3",71
104 - Sanjay Nagar,Swargiya Baburaoji Wankhede Highschool Sanjay Nagar Room No.1,71
105 - Sanjay Nagar,Swargiya Baburaoji Wankhede Highschool Sanjay Nagar Room No. 2,71
106 - Sanjay Nagar,Swargiya Baburaoji Wankhede Highschool Sanjay Nagar Room No. 3,71
107 - Sanjay Nagar,Swargiya Baburaoji Wankhede Highschool Sanjaynagar Library Room,71
108 - Sanjay Nagar,Swargiya Baburaoji Wankhede Highschool Sanjay Nagar Room No. 4,71
109 - Sanjay Nagar,Swargiya Baburaoji Wankhede Highschool room no. 5,71
110 - Sanjay Nagar,Swargiya Baburaoji Wankhede Highschool room no. 6,71
111 - Sanjay Nagar,Rajiv Gandhi Collage Room No. 4 Mul Road,71
112 - Sanjay Nagar,Rajiv Gandhi Collage Room No. 3 Mul Road,71
113 - Sanjay Nagar,Rajiv Gandhi Collage Meeting Hall (New Bullding),71
114 - Sanjay Nagar,"Amar Shahid Bhagat Singh Pri. School, Building North Side Room No. 1",71
115 - Sanjay Nagar,"Amar Shahid Bhagat Singh Pri. School, Building North Side Room No. 2",71
116 - Sanjay Nagar,"Amar Shahid Bhagat Singh Pri. School, Building North Side Room No. 3",71
117 - Sanjay Nagar,"Amar Shahid Bhagat Singh Pri. School, Building North Side Room No. 4",71
118 - Sanjay Nagar,Pandit Jawaharlal Neharu Semi English Pri.School Room No. 3,71
