PS No & Name,Address,Constituency Number
1 - Payali Bhatali,"Z P. Pra . Shala,Room No 1 Payali Bhatali",72
2 - Payali Bhatali,"Z P. Pra . Shala,Room No 2 Payali Bhatali",72
3 - Mohurli,"Z P. Pra. Shala, Mohurli",72
4 - Adeganv,"Z P. Pra. Shala ,adegav",72
5 - Choraganv,"Z P. Pra. Shala, Choragav",72
6 - Kolasa (New),"Z P. Pra. Shala, Kolasa (New)",72
7 - Bhadurni,Z P Pri.School Bhadurni,72
8 - Dongargaon,Z P Pri.School Dongargaon Room No 1,72
9 - Dongargaon,Z P Pri.School Dongargaon Room No 2,72
10 - Ratnapur,Z P Pri.School Ratnapur,72
11 - Rajoli,Grampanchayat Office Rajoli,72
12 - Rajoli,Z P Pri.School Rajoli Room No 1,72
13 - Rajoli,Z P Pri.School Rajoli Room No 2,72
14 - Alewahi Urf Nawegaon,Z P Pri.School Alewahi Urf Nawegaon,72
15 - Murmadi,Z P Pri.School Murmadi,72
16 - Gangalwadi,Z P Pri.School Gangalwadi,72
17 - Chikhali,Z P Pri.School Chikhali,72
18 - Chikhali,Z P Pri.School Chikhali,72
19 - Belgata Mal,Z P Pri.School Belgata Mal,72
20 - Chitegaon,Z P Pri.School Chitegaon,72
21 - Morwahi,Z P Pri.School Morwahi,72
22 - Usrala Chak,Z P Pri.School Usrala Chak,72
23 - Maroda,Z P Pri.School Maroda,72
24 - Maroda,Z P Pri.School Maroda,72
25 - Maroda,Grampanchayat Office Maroda,72
26 - Somanath Prakalpa,Z P Pri.School Somanath Prakalpa,72
27 - Doni,"Z P. Pra. Shala, Doni",72
28 - Zari,"Z P. Pra. Shala, Anganavadi Zari",72
29 - Pahami,Farest Naka Pahami,72
30 - Chak Nimbala,"Z P. Pra. Shala, Chak Nimbala",72
31 - Nimbala,"Z P. Pra. Shala, Nimbala",72
32 - Chak Vaygaon No. 2,Z P. Pra. Shala Chak Vaygaon No. 2,72
33 - Mamala Mokasa,"Z P. Pra. Shala, Mamala Mokasa",72
34 - Varavat,"Z P. Pra. Shala, Varavat Kholi Kr 1",72
35 - Masala Tukum,"Z P. Pra. Shala, Masala Tukum",72
36 - Padamapur Rai,"Z P. Pra. Shala, Padamapur Rai",72
37 - Kitali,"Z P. Pra. Shala, Kitali",72
38 - Vadholi,"Z P. Pra. Shala, Vadholi",72
39 - Chandasurla,Z P. Pra. Shala Chandasurla,72
40 - Ambora,"Z P. Pra. Shala, Ambora",72
41 - Lakhamapur,"Z P. Pra. Shala, Lakhamapur Kholi Kr. 1",72
42 - Lakhamapur,"Z P. Pra. Shala, Lakhamapur Kholi Kr 2",72
43 - Urjanagar,Vidya Niketan Highschool Urjanager Room No. 4,72
44 - Urjanagar,Kamgar Kalyan Kendrachi Kholi Kr 1,72
45 - Urjanagar,Kamgar Kendrachi Kholi Kr 2,72
46 - Urjanagar,Vidya Niketan High school Urjanager Room No. 5,72
47 - Urjanagar,Vidhyaniketan Inglish Midal School C. T. P. Kholi Kr 3,72
48 - Urjanagar,Vidya Niketan English Medium High school C.T.P.S Urjanager Room No. 8,72
49 - Urjanagar,Vidya Niketan English Medium High school C.T.P.S Urjanager Room No. 9,72
50 - Urjanagar,Vidya Niketan English Medium High school C.T.P.S Urjanager Room No. 10,72
51 - Urjanagar,Vidya Niketan English Medium High school C.T.P.S Urjanager Room No. 11,72
52 - Urjanagar,Vidya Niketan English Medium High school C.T.P.S Urjanager Room No. 12,72
53 - Urjanagar,Vidya Niketan English Medium High school C.T.P.S Urjanager Room No. 13,72
54 - Durgapur,St. Mery Hgihschool Durgapur Room No. 1,72
55 - Durgapur,St. Mery Hgihschool Durgapur Room No. 2,72
56 - Durgapur,St. Mery Hgihschool Durgapur Room No. 3,72
57 - Durgapur,St. Mery Hgihschool Durgapur Room No. 4,72
58 - Durgapur,St. Mery Hgihschool Durgapur Room No. 5,72
59 - Durgapur,St. Mery Hgihschool Durgapur Room No. 6,72
60 - Durgapur,Z.P.Primary School Old Biulding No. 3,72
61 - Durgapur,Z.P.Primary School Old Biulding No. 4,72
62 - Urjanagar,Z.P. Higher primary School (Old Bulding) Durgapur Room no. 1,72
63 - Durgapur,Z.P. Uchha primary School (Old Bulding) Durgapur Room no. 2,72
64 - Durgapur,Janta Vidyalay Durgapur Navin Imarat Kho. Kr 1,72
65 - Durgapur,Janta Vidyalay Durgapur Navin Imarat Kho. Kr 1,72
66 - Durgapur,Janta Vidyalay Durgapur Navin Imarat Kho. Kr. 2,72
67 - Durgapur,Kendriy Vidhyalay Vekoli Kho. Kr. 3,72
68 - Durgapur,Kendriy Vidhyalay Durgapur Vekoli Kho. Kr. 6,72
69 - Durgapur,Kendriy Vidhyalay Durgapur Vekoli Kho. Kr. 2,72
70 - Durgapur,Z P. Ucch Shreni Prath. Shala Ve. Ko. Shaktinagar Durgapur Kho Kr. 1,72
71 - Durgapur,Z P. Ucch Shreni Prath. Shala Ve. Ko. Shaktinagar Durgapur Kho Kr. 4,72
72 - Durgapur,Z P. Ucch Shreni Prath. Shala Ve. Ko. Shaktinagar Durgapur Kho. Kr.5,72
73 - Durgapur,Z P. Ucch Shreni Prath. Shala Ve. Ko. Shaktinagar Durgapur Kho. Kr. 2,72
74 - Durgapur,Z P. Ucch Shreni Prath. Shala Ve. Ko. Shaktinagar Kho Kr6,72
75 - Durgapur,Z P. Ucch Shreni Prath. Shala Ve. Ko. Shaktinagar Kho Kr. 3,72
76 - Urjanagar,Z P. Ucch Shreni Prath. Shala Urjanagar Navin Imarat Kr. 1 Kholi,72
77 - Urjanagar,Z P. Ucch Shreni Prath. Shala Urjanagar Navin Imarat Kr 1 Kho. Kr. 2,72
78 - Urjanagar,Z P. Ucch Shreni Prath. Shala Urjanagar Navin Imarat Kr 2 Kho Kr. 1,72
79 - Urjanagar,Z P. Ucch Shreni Prath. Shala Urjanagar Navin Imarat Kr 2 Kho Kr. 1,72
80 - Urjanagar,Z P. Ucch Shreni Prath. Shala Urjanagar Navin Imarat Kr 2 Kho Kr 2,72
81 - Durgapur,Z P. Ucch Shreni Prath. Shala Urjanagar Navin Imarat Kr 3 Kho. Kr1,72
82 - Urjanagar,Z P. Ucch Shreni Prath. Shala Urjanagar Navin Imarat Kr 3 Kho. Kr. 2,72
83 - New Sinala,Z P Pri.School New Sinala Room No. 1,72
84 - New Sinala,Z P Pri.School Masala (New Sinala) Room No. 1,72
85 - Lohara,Z .Pra. Shala kholi kra.1 Lohara,72
86 - Lohara,Z .Pra. Shala kholi kra.1 Lohara,72
87 - Borda,Z P. Pra. Shala Borda,72
88 - Vayagav Mokasa,Z P. Pra. Shala Vayagav Mokasa,72
89 - Valani,Z P. Pra. Shala Valani,72
90 - Pipanlakhut,Z Pra. Shala Pimpalakhunt,72
91 - Haladi,Z P. Pra. Shala Haladi,72
92 - Chichapalli,Z P. Pra. Chichapali Kho Kr. 1,72
93 - Ajayapur,Z P. Pra. Shala Ajayapur Kholi Kr. 1,72
94 - Phulzari,Z P Pri.School Phulzari,72
95 - Karwan,Z P Pri.School Karwan,72
96 - Kosambi Rait.,Z P Pri.School Kosambi Rait.,72
97 - Mul,Naagar parishad Mul Room No 1,72
98 - Mul,Swami Vivekanand Vidya Mandir Mul Room No 1,72
99 - Mul,Swami Vivekanand Vidya Mandir Mul Room No 2,72
100 - Mul,Nav Bharat Vidyalaya Mul Room No 1,72
101 - Mul,Nav Bharat Vidyalaya Mul Room No 2,72
102 - Mul,Balvikas Pry School Room No. 1,72
103 - Mul,Balvikas Pry School Room No. 2,72
104 - Mul,Panchayat Samiti Mul Room No. 1,72
105 - Mul,Panchayat Samiti Mul Room No 2,72
106 - Mul,Z P Pri.School vihirgaon Room No 1,72
107 - Mul,Z P Pri.School vihirgaon Room No 2,72
108 - Mul,Nav Bharat Vidyalaya Mul Room No 3,72
109 - Mul,Krushi Utapan Bajar Samiti Mul Room No.1,72
110 - Mul,Krushi Utapan Bajar Samiti Mul Room No.2,72
111 - Mul,"subhash nager Z.P.School,Room No.1 Mul",72
112 - Mul,"subhash nager Z.P.School,Room No.2 Mul",72
113 - Mul,"subhash nager Z.P.School,Room No.3 Mul",72
114 - Mul,Nav Bharat Vidyalaya Mul Room No 4,72
115 - Mul,Z P Pri.High School Gandhi Chouk Room No.1,72
116 - Mul,Z P Pri.High School Gandhi Chouk Room No.2,72
