PS No & Name,Address,Constituency Number
1 - Kurza,Z.P. Pry.School Kurza Room No.1,73
2 - Kurza,Z.P. Pry.School Kurza Room No.2,73
3 - Bandegaon,Z.P. Pry.School Bondegaon Room No.1,73
4 - Bandegaon,Z.P. Pry.School Bondegaon Room No.2,73
5 - Bramhapuri,Z.P. Pry. School No.5 Bramhapuri (Northen Part ),73
6 - Bramhpuri,Z.P. Pry. School No.5 Bramhapuri Central Part Room No.1,73
7 - Bramhpuri,Z.P. Pry. School No.5 Bramhapuri Central Part Room No.2,73
8 - Bramhapuri,Z.P.Pry.School Delanwadi Room No.1,73
9 - Bramhpuri,Anganwadi Centre Delanwadi,73
10 - Bramhpuri,Z.P.Pry.School Delanwadi Room No.2,73
11 - Bramhpuri,Water Conservation Project Sub Division Bramhapuri New Building,73
12 - Bramhpuri,Z.P. Pry School No.4 Bramhapuri New Building No.1,73
13 - Bramhpuri,Z.P. Pry School No.4 Bramhapuri New Building No.2,73
14 - Bramhpuri,Z.P. Pry School No.4 Bramhapuri New Building No.3,73
15 - Bramhpuri,Z.P Pry School No. 3 New Building Room No.1 Bramhapuri,73
16 - Bramhpuri,Z.P Pry School No. 3 New Building Room No.2 Bramhapuri,73
17 - Bramhpuri,Government Rest House Hall Bramhapuri,73
18 - Bramhpuri,Dy.Superintendent Land Record Bramhapuri,73
19 - Bramhpuri,Karmyougi St.Gadgebaba Hall Panchayat Samiti Bramhapuri,73
20 - Bramhpuri,Z. P. Pry. School Kran. 1 Southern Part Bramhapuri,73
21 - Bramhpuri,Z. P. Pry. School Kran. 1 Central Part Bramhapuri,73
22 - Bramhpuri,Z. P. Pry. School Kran. 1 North Part Bramhapuri,73
23 - Bramhpuri,Lokmanya Tilak High School & Jr.Co. Wadsa Road Bramhapuri Room No.1,73
24 - Bramhpuri,Anganavadi Center No.34 Bramhapuri,73
25 - Bramhpuri,Lokmanya Tilak High School & Jr.Co. Wadsa Road Bramhapuri Room No.1,73
26 - Bramhpuri,Lokmanya Tilak Pry.Vidyalaya Bramhapuri Room No.1,73
27 - Bramhpuri,Lokmanya Tilak Pry.Vidyalaya Bramhapuri Room No.2,73
28 - Bramhpuri,Z. P. Pry. School Eastern Part Peth Ward Bramhapuri,73
29 - Bramhpuri,Z. P. Pry. School Western Part Peth Ward Bramhapuri,73
30 - Bramhpuri,Anganavadi Center No. 1 Peth Ward Bramhapuri,73
31 - Bramhpuri,Taluka Small Veterinary Surgery Hospital Brahmapuri,73
32 - Zilbodi,Z. P. Pry. School Zilbodi,73
33 - Borgaon,Z. P. Pry. School Boragaon,73
34 - Udapur,Z. P. Pry. School Udapur eastern Part,73
35 - Udapur,Z. P. Pry. School Udapur Weastern Part,73
36 - Chandgaon,Z. P. Pry. School Chandagon,73
37 - Dudhwahi,Z. P. Pry. School Dudhawahi,73
38 - Adyal Jani,Z. P. Pry. School Adayala Jani Room No.1,73
39 - Dhamangaon,Z. P. Pry. School Dhamangaon,73
40 - Maldongri,Z. P. Pry. School New Building Maldongari Room No.1,73
41 - Maldongri,Z. P. Pry. School New Building Maldongari Room No.2,73
42 - Paradgaon,Z. P. Pry. School Paradagaon Room No.1,73
43 - Betala,Z. P. Uchch Pry. School Betala Room No.1,73
44 - Bodhegaon,Z. P. Pryamik School Bodhegaon,73
45 - Ranmochan,Z.P.Pry.School Ranmochan,73
46 - Kinhi,Z. P. Pry. School Kinhi New Building,73
47 - Dhanoli Pohachak,Z. P. Pry. School Dhanoli Pohachak,73
48 - Bhagwanpur,Z. P. Pry. School Bhagawanapur,73
49 - Chorti,Z. P. Pry. School Chorti,73
50 - Waygaon,Z. P. Pry. School Wayagaon Room No.1,73
51 - Chaugan,Z. P. Pry. School Chougan New Building Room No.1,73
52 - Chaugan,Z. P. Pry. School Chougan New Building North Part,73
53 - Chaugan,Z. P. Pry. School Chougan New Building Room No.2,73
54 - Chakbothali,Z. P. Pry. School Chakabothali,73
55 - Kharkada,Z.P.Middle School Kharkada Room No.1,73
56 - Kharkada,Z.P.Middle School Kharkada Room No.2,73
57 - Juganala,Z.P.Higher Pry.School Jugnala Room No.1,73
58 - Juganala,Z.P.Higher Pry.School Jugnala Room No.2,73
59 - Ranbothali,Z. P. Purv Middle School Ranbothali Room No.1,73
60 - Ranbothali,Z. P. Purv Middle School Ranbothali Room No.2,73
61 - Tulanmal,Z. P. Pry. School Tulanamal New Building,73
62 - Tulanmendha,Z.P.Pry School Tulanmendha,73
63 - Mangali,Z. P. Pry. School Mangali,73
64 - Rui,Z.P.Middle School Rui Room No.1,73
65 - Rui,Z.P.Middle School Rui Room No.2,73
66 - Nilaj,Z.P.Middle School Nilaj Room No.1,73
67 - Pachagaon,Z. P. Pry. School Pachagaon,73
68 - Belpatli,Z. P. Pry. School Belpatali,73
69 - Mui,Z. P. Pry. School Mui,73
70 - Javarabodi Mendha,Z. P. Higher Pry.School Jawarabodi Mendha,73
71 - Talodhi Khurd,Z. P. Pry. School Talodhi Khurd Room No.1,73
72 - Talodhi Khurd,Z. P. Pry. School Talodhi Khurd Room No.2,73
73 - Gangalwadi,Z. P. Pry. School Gangalwadi New Building Room No.1,73
